EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,TotalPoss,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,PenaltyDefPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,Offensive Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,PenaltyOffPoss,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,AtRimAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyOffPossExcludingTakeFouls,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffCorner3ReboundPct,AtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,SecondChanceFg2Pct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGM,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,BlockedShortMidRange,RecoveredBlocks,OffShortMidRangeReboundPct,BlocksRecoveredPct,Travels,SecondChanceArc3FGM,SecondChanceArc3FGA,Arc3Assists,FTOffRebounds,SelfOReb,ShootingFouls,Loose Ball Fouls,Offensive Fouls,BlockedLongMidRange,OffFTReboundPct,SelfORebPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyFtPoints,SecondChanceFtPoints,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,DefCorner3ReboundPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefAtRimReboundPct,NonShootingPenaltyNonTakeFouls,DefensiveGoaltends,Charge Fouls,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,ShortMidRangePctBlocked,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3FGM,Charge Fouls Drawn,3pt And 1 Free Throw Trips,PenaltyCorner3Accuracy,FTDefRebounds,Technical Free Throw Trips,DefFTReboundPct,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,BlockedCorner3,SecondChanceAtRimPctAssisted,Fg3aBlocked,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveMakes,team_id,year,season,team_vs
101141-1626220-1627777-1629714-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Jarrell Brantley, Joe Ingles","Ilyasova, O'Neale, Niang, Brantley, Ingles",101141-1626220-1627777-1629714-204060,UTA,20.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,144.0,12.0,8.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
101141-1626220-1627777-1629744-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Matt Thomas, Joe Ingles","Ilyasova, O'Neale, Niang, Thomas, Ingles",101141-1626220-1627777-1629744-204060,UTA,350.0,1,10.0,10.0,20.0,1.0,,1.0,1.0,82.28571428571429,16.9,18.1,16.9,16.5,6.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,6.0,1.0,3.0,2.0,13.0,11.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,13.0,0.5,0.5,1.0,0.3333333333333333,0.5,0.6666666666666666,0.6111111111111112,0.65,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.5,1.0,0.4444444444444444,0.5,0.5,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,1.0,0.7777777777777778,0.521775,0.1,0.14285714285714285,6.683333333333334,35.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
101141-1626220-1627777-1630235-203903,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Trent Forrest, Jordan Clarkson","Ilyasova, O'Neale, Niang, Forrest, Clarkson",101141-1626220-1627777-1630235-203903,UTA,46.0,1,1.0,2.0,3.0,1.0,1.0,1.0,1.0,93.91304347826086,30.0,8.0,24.0,8.0,1.0,-2.0,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,0.5,,1.0,0.5083,,,2.9,25.9,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
101141-1626220-1627777-202324-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Derrick Favors, Joe Ingles","Ilyasova, O'Neale, Niang, Favors, Ingles",101141-1626220-1627777-202324-204060,UTA,141.0,1,5.0,4.0,9.0,,,1.0,,91.91489361702128,15.4,16.0,12.8,13.5,2.0,1.0,,1.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,5.0,4.0,1.0,2.0,,3.0,,1.0,1.0,1.0,2.0,1.0,,,5.0,,,,1.0,2.0,1.0,,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.6,,,,,,0.2,1.0,1.0,0.2,,,,,,,,0.4,0.5,0.5,1.0,0.2,0.5,0.8,0.58827,,,5.05,24.366666666666664,1.0,,1.0,,1.0,,,,,,0.5,0.3333333333333333,,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.4431,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
101141-1626220-1627777-203903-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Georges Niang, Jordan Clarkson, Joe Ingles","Ilyasova, O'Neale, Niang, Clarkson, Ingles",101141-1626220-1627777-203903-204060,UTA,102.0,1,3.0,2.0,5.0,,,,,70.58823529411765,21.666666666666668,18.5,21.666666666666668,18.5,2.0,1.0,,2.0,2.0,,,,2.0,,,,,2.0,4.0,,,,4.0,3.0,,,4.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,2.0,,,,,,0.5,0.5,0.5,,,,,,,0.5,1.0,1.0,,,,,0.5,,,,,,,,,,0.5,0.541225,,,8.575,,1.0,,,1.0,1.0,,,,,0.5,,0.5,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,0.5,,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,0.7952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
101141-1626220-1628378-202711-203903,1610612762,"Ersan Ilyasova, Royce O'Neale, Donovan Mitchell, Bojan Bogdanovic, Jordan Clarkson","Ilyasova, O'Neale, Mitchell, Bogdanovic, Clarkson",101141-1626220-1628378-202711-203903,UTA,113.0,1,4.0,5.0,9.0,,,1.0,,114.69026548672566,8.0,16.2,8.0,16.2,2.0,7.0,,2.0,2.0,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,,7.0,,1.0,4.0,,,,1.0,2.0,,2.0,,,,4.0,3.0,1.0,4.0,4.0,,,,,,,,,,,7.0,1.0,1.0,,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,0.3333333333333333,1.0,1.0,1.0,,1.0,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.5868333333333333,,,1.65,24.2,,,,,,,,,,,,,,,4.0,,,,,,2.0,2.0,,1.0,1.0,4.0,,,,,1.0,,,,0.5868333333333333,,1.0,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,7.0,3.0,1.0,1.0,7.0,1.0,1.0,1.1666666666666667,1.1666666666666667,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
101141-1626220-1628378-202711-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Donovan Mitchell, Bojan Bogdanovic, Joe Ingles","Ilyasova, O'Neale, Mitchell, Bogdanovic, Ingles",101141-1626220-1628378-202711-204060,UTA,124.0,1,3.0,3.0,6.0,,,,,69.6774193548387,18.666666666666668,22.666666666666668,18.666666666666668,22.0,2.0,,,1.0,4.0,,1.0,,,,,,,1.0,5.0,,,,2.0,2.0,,,2.0,,,,,,,,,,,1.0,1.0,2.0,4.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,0.2,0.2,0.2,,1.0,0.5,0.6666666666666666,,0.5,0.8,0.25,0.25,0.2,,,,,,,,,,,,,,0.8,0.5368,,,3.02,,2.0,,,2.0,2.0,,,,,0.5,,0.5,0.3333333333333333,,,,,,,2.0,,,,,,,,0.5,0.5,,,,,,,1.0,,1.0,2.0,1.0,2.0,2.0,0.5,,1.0,0.5,0.63255,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
101141-1626220-1629671-1630235-203903,1610612762,"Ersan Ilyasova, Royce O'Neale, Miye Oni, Trent Forrest, Jordan Clarkson","Ilyasova, O'Neale, Oni, Forrest, Clarkson",101141-1626220-1629671-1630235-203903,UTA,121.0,1,5.0,4.0,9.0,,,2.0,,107.10743801652893,11.0,16.5,10.6,16.5,2.0,-2.0,,,,,,,1.0,,,2.0,,,1.0,,2.0,,,2.0,,,,,,2.0,,,,,,,,2.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,0.6666666666666666,,1.0,1.0,,1.0,,,,,,,,0.3333333333333333,,,,,,,,0.6666666666666666,,0.6666666666666666,0.5013166666666666,,,16.3,26.85,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
101141-1626220-1630235-202711-203903,1610612762,"Ersan Ilyasova, Royce O'Neale, Trent Forrest, Bojan Bogdanovic, Jordan Clarkson","Ilyasova, O'Neale, Forrest, Bogdanovic, Clarkson",101141-1626220-1630235-202711-203903,UTA,15.0,1,,1.0,1.0,,,,,96.0,,12.0,,12.0,,-3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
101141-1626220-202711-203903-204060,1610612762,"Ersan Ilyasova, Royce O'Neale, Bojan Bogdanovic, Jordan Clarkson, Joe Ingles","Ilyasova, O'Neale, Bogdanovic, Clarkson, Ingles",101141-1626220-202711-203903-204060,UTA,1145.0,1,36.0,36.0,72.0,5.0,3.0,6.0,0.8333333333333334,90.55021834061137,15.88888888888889,15.916666666666666,15.444444444444445,15.416666666666666,19.0,-6.0,2.0,8.0,11.0,2.0,4.0,2.0,3.0,,3.0,10.0,1.0,12.0,18.0,4.0,13.0,7.0,43.0,49.0,1.0,6.0,18.0,12.0,,10.0,3.0,4.0,7.0,,,,18.0,11.0,2.0,13.0,18.0,3.0,2.0,2.0,6.0,5.0,8.0,4.0,1.0,,1.0,40.0,0.25,0.25,1.0,0.3076923076923077,0.3076923076923077,0.6666666666666666,0.5806451612903226,0.6142857142857143,0.41935483870967744,1.0,0.8461538461538461,0.8666666666666667,1.0,0.9166666666666666,0.3548387096774194,0.7272727272727273,0.8,0.12903225806451613,0.5,0.5,,0.0967741935483871,0.6666666666666666,0.6666666666666666,,0.0967741935483871,,,,0.3225806451612903,0.3333333333333333,0.7741935483870968,0.5349693548387097,0.11428571428571428,0.18181818181818182,7.1,25.299999999999997,3.0,1.0,2.0,2.0,5.0,1.0,,0.05555555555555555,0.09090909090909091,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.3333333333333333,0.3333333333333333,3.0,,1.0,1.0,3.0,3.0,2.0,3.0,1.0,,1.0,3.0,0.3333333333333333,0.375,0.375,,0.375,0.25,,,0.5185666666666667,0.06976744186046512,0.08333333333333333,,1.0,,1.0,,,,0.25,,0.684675,1.0,1.0,4.0,,2.0,,4.0,,4.0,,4.0,,1.0,0.6666666666666666,0.6666666666666666,,0.4,0.4,0.3333333333333333,1.0,,0.4,0.09302325581395349,,1.0,0.5,1.0,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2021,2020-21,True
