EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,SecondChanceFG2A,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGA,Arc3FGA,FG2M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,LongMidRangeFGA,DefTwoPtRebounds,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,OffThreePtRebounds,Loose Ball Fouls,Charge Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,NonHeaveArc3Accuracy,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFtPoints,Offensive Fouls Drawn,LongMidRangeFGM,Corner3FGM,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,Assisted3sPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,PenaltyDefPoss,PenaltyAtRimFGA,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,AtRimPctBlocked,PenaltyAtRimFrequency,PenaltyAtRimFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,FTOffRebounds,PenaltyFg3Pct,OffFTReboundPct,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,DefensiveGoaltends,PenaltyCorner3FGM,LostBallSteals,Travels,Charge Fouls,Offensive Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,OffArc3ReboundPct,Loose Ball Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,LongMidRangePctBlocked,HeaveAttempts,OffensiveGoaltends,3SecondViolations,HeaveMakes,BlockedCorner3,team_id,year,season,team_vs
1626145-1626159-1628415-1628991-1629634,1610612763,"Tyus Jones, Justise Winslow, Dillon Brooks, Jaren Jackson Jr., Brandon Clarke","Jones, Winslow, Brooks, Jackson Jr., Clarke",1626145-1626159-1628415-1628991-1629634,MEM,51.0,1,1.0,-3.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,112.94117647058823,13.0,12.5,8.0,12.5,1.0,0.4623,0.4623,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1626159-1628415-1629001-1629634,1610612763,"Tyus Jones, Justise Winslow, Dillon Brooks, De'Anthony Melton, Brandon Clarke","Jones, Winslow, Brooks, Melton, Clarke",1626145-1626159-1628415-1629001-1629634,MEM,246.0,2,4.0,8.0,10.0,8.0,2.0,18.0,3.0,8.0,8.0,3.0,1.0,,1.0,1.0,105.3658536585366,13.2,14.25,12.4,14.25,0.3,0.55463,0.5524666666666667,4.975,5.0,5.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,4.0,16.0,2.0,1.0,5.0,4.0,8.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,11.0,0.3333333333333333,0.5,0.75,0.6666666666666666,0.6,0.6666666666666666,0.7272727272727273,0.8333333333333334,0.2,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.4,0.3333333333333333,0.3333333333333333,0.1,0.1,0.6666666666666666,1.0,0.7,0.2727272727272727,0.3333333333333333,0.3125,24.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1626159-1628415-1629001-202685,1610612763,"Tyus Jones, Justise Winslow, Dillon Brooks, De'Anthony Melton, Jonas Valanciunas","Jones, Winslow, Brooks, Melton, Valanciunas",1626145-1626159-1628415-1629001-202685,MEM,219.0,1,4.0,3.0,8.0,9.0,2.0,17.0,5.0,8.0,3.0,2.0,,,,,111.78082191780823,11.875,13.777777777777779,11.5,13.777777777777779,0.5,0.43945999999999996,0.43885,7.4,2.0,2.0,1.0,1.0,1.0,,2.0,3.0,2.0,,6.0,1.0,,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,,7.0,2.0,9.0,1.0,,,,1.0,1.0,1.0,,,,4.0,0.3333333333333333,0.5,0.375,0.5,0.3,0.5,0.3,0.5,0.2,,0.4,1.0,1.0,0.2857142857142857,0.25,1.0,0.14285714285714285,0.2,1.0,1.0,0.5,0.2,0.2,,0.2,0.5,1.0,0.4,,,0.3333333333333333,26.35,1.0,3.0,1.0,1.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1626159-1628415-1629634-1630214,1610612763,"Tyus Jones, Justise Winslow, Dillon Brooks, Brandon Clarke, Xavier Tillman","Jones, Winslow, Brooks, Clarke, Tillman",1626145-1626159-1628415-1629634-1630214,MEM,395.0,2,7.0,4.0,12.0,12.0,1.0,24.0,4.0,9.0,3.0,1.0,2.0,2.0,2.0,1.0,87.49367088607595,14.166666666666666,18.75,13.083333333333334,16.583333333333332,0.3076923076923077,0.5366230769230769,0.502975,5.466666666666667,2.0,5.0,,,,1.0,3.0,2.0,4.0,,7.0,,,3.0,4.0,,,3.0,2.0,2.0,2.0,4.0,2.0,3.0,,9.0,3.0,12.0,1.0,,,,,2.0,1.0,,,,4.0,1.0,1.0,0.2222222222222222,,0.2692307692307692,0.75,0.2692307692307692,0.75,0.3076923076923077,,0.2857142857142857,0.6,0.6923076923076923,0.3,0.25,0.5,0.1111111111111111,0.38461538461538464,0.4,0.4,1.0,,,0.07692307692307693,0.23076923076923078,,,0.6923076923076923,,,0.42857142857142855,25.225,,6.0,0.75,,0.6666666666666666,0.6666666666666666,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.25,1.0,0.25,0.1111111111111111,0.25,0.3333333333333333,0.3333333333333333,1.0,0.75,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1626159-1628415-1629634-1630217,1610612763,"Tyus Jones, Justise Winslow, Dillon Brooks, Brandon Clarke, Desmond Bane","Jones, Winslow, Brooks, Clarke, Bane",1626145-1626159-1628415-1629634-1630217,MEM,41.0,1,1.0,-1.0,2.0,1.0,,3.0,2.0,2.0,3.0,,,,,,105.36585365853658,13.5,14.0,13.5,14.0,1.0,0.33645,,7.4,,,,,1.0,,,1.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.5,,0.5,,0.5,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,0.5,0.33645,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1626159-1628415-1630214-203937,1610612763,"Tyus Jones, Justise Winslow, Dillon Brooks, Xavier Tillman, Kyle Anderson","Jones, Winslow, Brooks, Tillman, Anderson",1626145-1626159-1628415-1630214-203937,MEM,54.0,1,1.0,2.0,2.0,3.0,,5.0,1.0,1.0,,,,,,,133.33333333333334,15.0,8.0,15.0,8.0,1.0,0.4071,,5.7,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,,2.0,,2.0,,,,,,,2.0,2.0,,1.0,2.0,,,,,,,0.5,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,0.5,0.5,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,2.0,2.0,2.0,,,0.5,0.4071,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1626159-1628415-1630217-202685,1610612763,"Tyus Jones, Justise Winslow, Dillon Brooks, Desmond Bane, Jonas Valanciunas","Jones, Winslow, Brooks, Bane, Valanciunas",1626145-1626159-1628415-1630217-202685,MEM,415.0,3,7.0,1.0,14.0,13.0,1.0,27.0,5.0,8.0,19.0,1.0,,,1.0,,93.6867469879518,12.142857142857142,18.846153846153847,11.5,18.846153846153847,0.4166666666666667,0.5223833333333333,0.4135,8.75,2.0,2.0,,,3.0,3.0,1.0,6.0,4.0,2.0,20.0,1.0,,2.0,10.0,2.0,,1.0,5.0,7.0,2.0,16.0,,2.0,,5.0,,5.0,,,,,2.0,5.0,1.0,2.0,,1.0,18.0,0.8333333333333334,0.8333333333333334,0.75,1.0,0.75,1.0,0.7692307692307693,1.0,0.3333333333333333,,,1.0,0.8333333333333334,,,1.0,,0.16666666666666666,1.0,1.0,1.0,0.6,0.6,0.25,0.08333333333333333,,,0.5,0.07692307692307693,0.1111111111111111,0.1,23.875,1.0,3.0,0.75,,0.5,,0.08333333333333333,1.0,,,2.0,,,,1.0,,,,,1.0,,1.0,1.0,0.5,,0.5,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1626159-1628960-1629001-202685,1610612763,"Tyus Jones, Justise Winslow, Grayson Allen, De'Anthony Melton, Jonas Valanciunas","Jones, Winslow, Allen, Melton, Valanciunas",1626145-1626159-1628960-1629001-202685,MEM,25.0,1,,-3.0,1.0,2.0,,3.0,,1.0,3.0,,,,,,172.79999999999998,16.0,4.5,16.0,3.0,,0.5605,,1.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1626159-1628960-1630217-202685,1610612763,"Tyus Jones, Justise Winslow, Grayson Allen, Desmond Bane, Jonas Valanciunas","Jones, Winslow, Allen, Bane, Valanciunas",1626145-1626159-1628960-1630217-202685,MEM,186.0,2,3.0,,7.0,7.0,1.0,14.0,1.0,4.0,4.0,,1.0,1.0,3.0,0.3333333333333333,108.38709677419355,17.428571428571427,9.142857142857142,17.428571428571427,7.0,0.25,0.446675,,11.625,,1.0,,,,,,1.0,,2.0,4.0,,,,2.0,,,,1.0,1.0,,2.0,1.0,1.0,1.0,4.0,1.0,5.0,,,,,2.0,2.0,1.0,2.0,,1.0,4.0,1.0,1.0,0.25,,0.25,,0.4,,,1.0,0.3333333333333333,0.5,0.75,0.3333333333333333,1.0,0.5,,0.25,,,,,,,,,,0.25,0.2,0.2,,,2.0,2.0,1.0,,1.0,,0.5,,,,,,,,,1.0,,,,,,,,,,,0.25,,,,,,,,,,,,,4.0,,1.0,2.0,2.0,4.0,,,0.5,0.5772,0.5,0.5714285714285714,2.0,,1.0,,,,,,,1.0,2.0,,,,,0.5,0.5,1.0,,,,,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
1626145-1626159-1628991-1629001-1630214,1610612763,"Tyus Jones, Justise Winslow, Jaren Jackson Jr., De'Anthony Melton, Xavier Tillman","Jones, Winslow, Jackson Jr., Melton, Tillman",1626145-1626159-1628991-1629001-1630214,MEM,341.0,1,6.0,-2.0,11.0,11.0,3.0,22.0,7.0,9.0,16.0,2.0,1.0,1.0,2.0,0.5,92.90322580645162,17.09090909090909,13.909090909090908,16.09090909090909,13.909090909090908,0.5,0.48231071428571426,0.6217875,6.155555555555555,2.0,2.0,1.0,1.0,3.0,4.0,1.0,5.0,5.0,1.0,14.0,1.0,,2.0,4.0,6.0,2.0,1.0,2.0,3.0,1.0,7.0,3.0,2.0,1.0,3.0,4.0,7.0,,,,,4.0,4.0,2.0,2.0,2.0,2.0,12.0,0.4,0.5,0.5555555555555556,0.5,0.4642857142857143,0.25,0.5,0.25,0.35714285714285715,1.0,0.75,1.0,1.0,0.42857142857142855,0.75,1.0,,0.14285714285714285,1.0,1.0,0.5,0.42857142857142855,0.5,0.2857142857142857,0.07142857142857142,0.25,1.0,0.5,0.14285714285714285,0.2222222222222222,0.14285714285714285,24.44,,,,,,,,1.0,,,1.0,,2.0,,1.0,1.0,,,,,,,,0.2,,0.2,0.1111111111111111,0.14285714285714285,,,,,,,1.0,1.0,,,1.0,6.0,3.0,5.0,10.0,10.0,6.0,0.6,0.5625,0.625,0.5077375,0.7142857142857143,0.5454545454545454,1.0,,,,3.0,1.0,1.0,,1.0,,1.0,,,1.0,0.3333333333333333,,,,,,,1.0,8.0,2.0,,1.0,1.0,,0.25,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.25,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2021,2020-21,False
