EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,SelfOReb,LostBallOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,ShortMidRangeFGM,ShortMidRangeAssists,Travels,Loose Ball Fouls Drawn,Defensive 3 Seconds Violations,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,LongMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,SecondChanceFg3Pct,OffLongMidRangeReboundPct,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTDefRebounds,LostBallTurnovers,PenaltyTurnovers,DefFTReboundPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Technical Free Throw Trips,SecondChanceTurnovers,LongMidRangePctBlocked,PtsUnassisted3s,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,Charge Fouls Drawn,BlockedLongMidRange,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,DefensiveGoaltends,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101114-101154-201228-201572-2207,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Joe Johnson","Williams, Blatche, Watson, Lopez, Johnson",101114-101154-201228-201572-2207,BKN,752.0,5,13.0,-2.0,25,24,7.0,8.0,6.0,49,7.0,11.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0,10.0,19.0,4.0,8.0,28.0,30.0,3.0,4.0,2.0,6.0,3.0,5.0,4.0,10.0,8.0,12.0,6.0,3.0,3.0,4.0,4.0,4.0,8.0,1.0,4.0,1.0,5.0,6.0,11.0,6.0,17.0,2.0,2.0,3.0,9.0,1.0,1.0,9.0,12.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,22.0,10.0,7.0,1.0,3.0,0.4,0.5714285714285714,0.5263157894736842,0.75,0.6,0.43478260869565216,0.5,0.6,0.5,0.5,0.625,0.17391304347826086,0.15789473684210525,0.18181818181818182,0.25,0.3333333333333333,0.6666666666666666,0.4444444444444444,1.0,0.25,0.7857142857142857,0.38461538461538464,0.5,0.5,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,93.82978723404256,0.6666666666666666,17.28,13.333333333333334,16.68,13.291666666666666,0.4782608695652174,0.6363636363636364,0.7777777777777778,0.5714285714285714,0.17391304347826086,0.17391304347826086,0.75,0.75,0.043478260869565216,0.13043478260869565,0.6666666666666666,0.75,0.16666666666666666,0.16666666666666666,0.6,1.0,0.6521739130434783,0.47393695652173917,0.53285,0.42206,0.16,0.19047619047619047,0.21428571428571427,0.35714285714285715,7.026315789473684,24.75,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-201572-2222,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Gerald Wallace","Williams, Blatche, Watson, Lopez, Wallace",101114-101154-201228-201572-2222,BKN,190.0,2,3.0,3.0,5,4,3.0,2.0,1.0,9,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,2.0,3.0,,5.0,2.0,,,1.0,,1.0,1.0,,5.0,2.0,,,2.0,,1.0,2.0,1.0,5.0,,1.0,,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,,,,,,,,2.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,,,1.0,1.0,0.5,,1.0,0.5,,0.8333333333333334,0.5,,0.8333333333333334,0.6,,,,,1.0,1.0,1.0,,1.0,0.3333333333333333,,1.0,,1.0,1.0,,1.0,,68.21052631578948,1.0,18.0,25.0,16.6,25.0,0.2,1.0,1.0,1.0,0.2,,,,0.2,0.4,,,,1.0,0.3333333333333333,1.0,0.8,0.56952,0.61065,0.6181833333333333,,,,1.0,3.65,24.166666666666668,0.6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-201572-711,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Brook Lopez, Jerry Stackhouse","Williams, Blatche, Watson, Lopez, Stackhouse",101114-101154-201228-201572-711,BKN,266.0,2,4.0,-10.0,9,10,,8.0,1.0,19,1.0,7.0,,1.0,,,1.0,,1.0,,,,,1.0,9.0,,,2.0,12.0,,2.0,,,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,2.0,,3.0,1.0,4.0,2.0,6.0,1.0,2.0,1.0,4.0,,,2.0,,,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,,1.0,1.0,0.1111111111111111,,,0.1111111111111111,,,0.1111111111111111,,,,,,,,1.0,0.25,0.75,,0.8,0.25,0.3333333333333333,,,1.0,,,0.5,1.0,102.85714285714285,1.0,17.333333333333332,11.0,15.88888888888889,10.6,0.7777777777777778,0.14285714285714285,0.14285714285714285,1.0,0.1111111111111111,0.1111111111111111,,,,,0.5,,,,,,0.7777777777777778,0.5050666666666667,0.44925,,,,,,4.333333333333333,,,,,,,,,,,,,,1.0,1.0,,,,,0.125,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-202705-2743,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, MarShon Brooks, Kris Humphries","Williams, Blatche, Watson, Brooks, Humphries",101114-101154-201228-202705-2743,BKN,403.0,3,7.0,2.0,13,11,,,1.0,24,3.0,3.0,1.0,1.0,,,4.0,,,,,2.0,,4.0,7.0,2.0,3.0,11.0,9.0,1.0,1.0,,2.0,,,,,8.0,,,2.0,,4.0,4.0,3.0,8.0,1.0,,,1.0,4.0,5.0,1.0,6.0,3.0,3.0,,2.0,,1.0,5.0,4.0,,2.0,,,,,,,9.0,,,,,1.0,1.0,0.5714285714285714,1.0,,0.4444444444444444,1.0,,0.5,1.0,,0.2222222222222222,,,,,0.8,,1.0,0.5,0.8333333333333334,0.2,,,0.5,,1.0,0.6666666666666666,1.0,,85.75682382133995,,18.846153846153847,14.363636363636363,17.307692307692307,13.818181818181818,0.3333333333333333,1.0,1.0,1.0,0.4444444444444444,,,,,0.2222222222222222,1.0,1.0,,,,,0.5555555555555556,0.4450277777777778,,,0.18181818181818182,0.2222222222222222,0.18181818181818182,,6.414285714285714,25.8,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-2207-2743,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Joe Johnson, Kris Humphries","Williams, Blatche, Watson, Johnson, Humphries",101114-101154-201228-2207-2743,BKN,592.0,4,10.0,8.0,17,17,5.0,,1.0,34,4.0,7.0,,,,1.0,,5.0,7.0,,,3.0,1.0,9.0,14.0,3.0,1.0,22.0,14.0,,,1.0,3.0,2.0,4.0,,4.0,8.0,10.0,,3.0,,4.0,5.0,2.0,11.0,,1.0,,2.0,6.0,8.0,1.0,9.0,1.0,1.0,2.0,4.0,,,3.0,1.0,1.0,1.0,,,,,,,19.0,4.0,5.0,,,0.4444444444444444,0.4444444444444444,0.6428571428571429,,0.5,0.6176470588235294,1.5,0.4,0.6470588235294118,1.5,0.4,0.17647058823529413,,,,,0.6,0.2,0.5,,0.5714285714285714,0.14285714285714285,,,,0.6666666666666666,,1.0,0.5,0.5,82.7027027027027,,19.058823529411764,15.764705882352942,18.705882352941178,14.588235294117647,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.5,,0.4117647058823529,0.7142857142857143,0.7142857142857143,,0.17647058823529413,,,,1.0,0.2,,0.5882352941176471,0.4707617647058824,0.5448,0.43246,0.058823529411764705,0.07142857142857142,0.13636363636363635,0.18181818181818182,9.592857142857143,25.03333333333333,0.29411764705882354,,1.0,,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1.0,,0.2,,0.3333333333333333,2.0,1.0,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-2222-2501,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Gerald Wallace, Reggie Evans","Williams, Blatche, Watson, Wallace, Evans",101114-101154-201228-2222-2501,BKN,642.0,3,11.0,5.0,21,20,7.0,7.0,1.0,41,5.0,7.0,,1.0,1.0,2.0,4.0,1.0,3.0,,,3.0,,9.0,14.0,3.0,5.0,26.0,21.0,1.0,2.0,,2.0,2.0,3.0,3.0,7.0,12.0,6.0,,3.0,1.0,6.0,7.0,2.0,15.0,,2.0,,2.0,5.0,8.0,2.0,10.0,1.0,3.0,4.0,8.0,,,5.0,6.0,,2.0,1.0,,,,,,24.0,7.0,7.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.6428571428571429,0.5,0.6666666666666666,0.6176470588235294,0.5,0.5,0.65,0.5,0.5833333333333334,0.17647058823529413,0.07142857142857142,0.14285714285714285,,,0.7142857142857143,0.4,0.6666666666666666,,0.7,0.3333333333333333,0.5,,,,0.5,0.8,0.6666666666666666,,91.96261682242991,,14.238095238095237,17.15,13.904761904761905,16.1,0.4117647058823529,0.7142857142857143,0.8333333333333334,0.4,0.23529411764705882,0.17647058823529413,0.3333333333333333,0.3333333333333333,,0.17647058823529413,0.5,,,,0.5,0.5,0.5882352941176471,0.43515882352941176,0.40195,0.4050875,0.10526315789473684,0.125,0.07692307692307693,0.2692307692307692,7.364285714285714,26.5,0.3333333333333333,,1.0,,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1.0,,0.25,,0.3333333333333333,3.0,1.0,2.0,1.0,0.6666666666666666,3.0,3.0,,1.0,,0.75,0.75,1.0,,,,1.0,2.0,1.0,,,0.5,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-2222-2586,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Gerald Wallace, Keith Bogans","Williams, Blatche, Watson, Wallace, Bogans",101114-101154-201228-2222-2586,BKN,113.0,1,2.0,-1.0,3,3,,,1.0,6,1.0,2.0,1.0,1.0,,,1.0,,,,,1.0,,2.0,3.0,1.0,,4.0,5.0,1.0,1.0,,2.0,,,,,,4.0,2.0,1.0,,,,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,0.6666666666666666,1.0,,0.5,1.0,,0.5,1.0,,0.25,,,,,,1.0,,,,0.5,1.0,,,,,,,,76.46017699115045,,23.666666666666668,14.0,23.0,14.0,0.5,0.5,0.5,,0.25,,,,,0.25,1.0,1.0,,,,,0.75,0.51215,0.5838,,,,0.5,,4.266666666666667,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-2222-2743,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Gerald Wallace, Kris Humphries","Williams, Blatche, Watson, Wallace, Humphries",101114-101154-201228-2222-2743,BKN,465.0,4,8.0,4.0,13,15,1.0,4.0,1.0,28,1.0,3.0,,1.0,,,6.0,1.0,2.0,1.0,,4.0,1.0,4.0,11.0,5.0,3.0,17.0,13.0,,3.0,1.0,,1.0,1.0,,2.0,4.0,4.0,,4.0,1.0,2.0,4.0,1.0,10.0,,4.0,,1.0,4.0,6.0,4.0,10.0,,,1.0,1.0,,,4.0,3.0,1.0,2.0,,2.0,2.0,,2.0,,17.0,2.0,1.0,,,0.5,0.5,0.36363636363636365,,1.0,0.4375,,1.0,0.5,,1.0,0.3125,0.09090909090909091,,0.16666666666666666,,0.5714285714285714,0.5714285714285714,0.3333333333333333,,0.5,0.4,1.0,0.25,,0.25,1.0,1.0,0.3333333333333333,,86.70967741935483,,18.384615384615383,15.066666666666666,16.692307692307693,13.0,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.375,0.125,0.5,0.5,0.0625,0.25,0.25,,,0.25,,,0.5,0.481290625,0.5095625,0.3099,0.11764705882352941,0.16666666666666666,,0.11764705882352941,8.472727272727273,25.74,0.07692307692307693,,1.0,,,2.0,,,6.0,1.0,2.0,1.0,,,1.0,0.4,,0.4,,0.25,0.25,1.0,,,,0.25,2.0,2.0,,,,2.0,1.0,,,,0.3333333333333333,0.4,0.5,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201228-2743-711,1610612751,"Deron Williams, Andray Blatche, C.J. Watson, Kris Humphries, Jerry Stackhouse","Williams, Blatche, Watson, Humphries, Stackhouse",101114-101154-201228-2743-711,BKN,282.0,2,5.0,6.0,10,9,,,1.0,19,,3.0,,,,,,4.0,6.0,,,,,4.0,9.0,,3.0,11.0,5.0,1.0,1.0,,2.0,,,,,6.0,2.0,,,2.0,3.0,3.0,,6.0,,1.0,,1.0,4.0,6.0,1.0,7.0,1.0,1.0,2.0,3.0,,,2.0,3.0,,1.0,,,,,,,9.0,,,,,0.75,0.75,0.4444444444444444,1.0,,0.4444444444444444,1.0,,0.5,1.0,,,0.2222222222222222,0.6666666666666666,,,1.0,0.2,1.0,,1.0,0.2,0.3333333333333333,,,,1.0,1.0,1.0,,97.02127659574468,,17.0,12.444444444444445,16.2,12.444444444444445,0.3333333333333333,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,0.3333333333333333,0.4188,0.3945,,0.1,0.1,0.18181818181818182,,12.81111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,0.75,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
101114-101154-201572-202705-2207,1610612751,"Deron Williams, Andray Blatche, Brook Lopez, MarShon Brooks, Joe Johnson","Williams, Blatche, Lopez, Brooks, Johnson",101114-101154-201572-202705-2207,BKN,345.0,2,6.0,-8.0,9,9,,,3.0,18,1.0,2.0,1.0,1.0,,,2.0,,2.0,2.0,,,,1.0,6.0,2.0,,2.0,10.0,1.0,1.0,,2.0,,,,,,2.0,,,2.0,,,,,,3.0,,2.0,2.0,4.0,3.0,7.0,4.0,5.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,0.16666666666666666,1.0,,0.125,1.0,,0.125,1.0,,0.25,0.3333333333333333,0.5,,,1.0,0.75,0.6666666666666666,,0.8,0.5,1.0,0.5,,1.0,1.0,,0.6666666666666666,,75.1304347826087,,22.77777777777778,15.555555555555555,18.555555555555557,15.555555555555555,0.25,0.5,1.0,,0.25,0.25,,,0.25,,1.0,1.0,,,,,0.5,0.47775,0.6344,,,,1.0,,8.766666666666667,23.95,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,0.2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,0.5,,,,,,,,,,,,,,,,,,,,,1610612751,2013,2012-13,True
