EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,FtPoints,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,PenaltyPointsPct,ShortMidRangeAssists,DefThreePtRebounds,FTDefRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Arc3Assists,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,HeaveAttempts,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,OffThreePtReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyArc3FGM,SecondChanceFtPoints,LostBallTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,BlockedShortMidRange,ShortMidRangePctBlocked,OffArc3ReboundPct,DefLongMidRangeReboundPct,PenaltyArc3Accuracy,BlockedLongMidRange,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,Travels,Charge Fouls Drawn,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,Fg3aBlocked,Clear Path Fouls,DefensiveGoaltends,OffensiveGoaltends,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3PctBlocked,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,BlockedCorner3,team_id,year,season,team_vs
101108-101142-1497-201933-2406,1610612746,"Chris Paul, Ronny Turiaf, Chauncey Billups, Blake Griffin, Caron Butler","Paul, Turiaf, Billups, Griffin, Butler",101108-101142-1497-201933-2406,LAC,154.0,1,3.0,4.0,5.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,7.0,7.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,0.5,0.5,0.5,0.5,1.0,0.875,0.875,0.5,1.0,1.0,1.0,84.15584415584415,24.25,11.4,24.25,11.4,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.5,0.5,0.5,0.75,0.5,0.5020625,0.25,0.5,2.75,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1497-201933-2440,1610612746,"Chris Paul, Ronny Turiaf, Chauncey Billups, Blake Griffin, Matt Barnes","Paul, Turiaf, Billups, Griffin, Barnes",101108-101142-1497-201933-2440,LAC,33.0,1,1.0,,1.0,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,,,,,0.5,,,,,43.63636363636363,,13.0,,13.0,,,,,,,,,,,,,,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1497-2406-255,1610612746,"Chris Paul, Ronny Turiaf, Chauncey Billups, Caron Butler, Grant Hill","Paul, Turiaf, Billups, Butler, Hill",101108-101142-1497-2406-255,LAC,46.0,1,1.0,2.0,2.0,2.0,4.0,,,1.0,1.0,,,1.0,1.0,,,2.0,,2.0,,,,,1.0,1.0,,2.0,,2.0,2.0,,,,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,125.21739130434781,10.0,13.0,10.0,13.0,,,,,1.0,1.0,1.0,,,,,,0.4161,,,10.6,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1885-202339-2037,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Eric Bledsoe, Jamal Crawford","Paul, Turiaf, Odom, Bledsoe, Crawford",101108-101142-1885-202339-2037,LAC,278.0,3,5.0,7.0,7.0,,14.0,1.0,2.0,,2.0,,1.0,2.0,8.0,,1.0,4.0,10.0,,4.0,,1.0,,,,,,,2.0,5.0,2.0,3.0,1.0,,,,2.0,,,,,0.25,0.2222222222222222,0.2222222222222222,0.1111111111111111,,0.6666666666666666,,72.51798561151078,22.285714285714285,17.428571428571427,17.428571428571427,17.428571428571427,0.2222222222222222,0.5,0.5,,0.2222222222222222,,,0.1111111111111111,,,0.3333333333333333,,0.4623222222222222,,,11.775,26.1,-6.0,,,,,,,,,,2.0,,1.0,,1.0,,0.6666666666666666,0.5,,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.42857142857142855,1.0,0.5,0.3333333333333333,1.0,0.4444444444444444,0.25,0.25,0.3333333333333333,1.0,0.4634,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1885-202339-2440,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Eric Bledsoe, Matt Barnes","Paul, Turiaf, Odom, Bledsoe, Barnes",101108-101142-1885-202339-2440,LAC,386.0,3,6.0,13.0,11.0,1.0,24.0,6.0,11.0,2.0,3.0,1.0,1.0,9.0,15.0,1.0,1.0,23.0,10.0,8.0,10.0,,1.0,1.0,4.0,5.0,3.0,11.0,3.0,5.0,10.0,,,2.0,2.0,,,16.0,0.4444444444444444,0.5714285714285714,1.0,1.0,0.6,0.65625,0.6470588235294118,0.0625,1.0,0.8333333333333334,1.0,89.53367875647668,16.76923076923077,15.272727272727273,15.692307692307692,15.272727272727273,0.6875,0.5454545454545454,0.6666666666666666,0.5,0.1875,0.6666666666666666,0.6666666666666666,0.0625,1.0,1.0,0.75,1.0,0.5015625,,,4.7733333333333325,27.5,13.0,2.0,,,1.0,,,,,1.0,2.0,,1.0,1.0,2.0,,0.6666666666666666,1.0,0.5,4.0,2.0,3.0,1.0,1.0,2.0,4.0,7.0,4.0,5.0,5.0,1.0,,,,0.5,0.7,0.7,0.8333333333333334,0.8333333333333334,0.8,1.0,,,0.0625,1.0,1.0,0.6,0.6666666666666666,0.5095,0.30434782608695654,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0.18181818181818182,0.5,1.0,0.25,1.0,1.0,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1885-2037-2406,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Jamal Crawford, Caron Butler","Paul, Turiaf, Odom, Crawford, Butler",101108-101142-1885-2037-2406,LAC,460.0,4,8.0,14.0,12.0,12.0,26.0,2.0,3.0,1.0,2.0,,5.0,4.0,6.0,1.0,10.0,12.0,18.0,4.0,4.0,,4.0,,2.0,3.0,1.0,7.0,1.0,3.0,5.0,,1.0,3.0,2.0,,,10.0,0.5,0.5,0.1,0.1111111111111111,0.6666666666666666,0.34375,0.35294117647058826,0.625,0.3333333333333333,0.6,,81.39130434782608,16.214285714285715,19.416666666666668,14.714285714285714,18.083333333333332,0.1875,0.6666666666666666,0.6666666666666666,0.5,0.125,0.5,0.5,0.3125,,,0.8125,,0.49572333333333335,,,8.316666666666666,27.589999999999996,-6.0,1.0,1.0,12.0,1.0,12.0,1.0,0.35294117647058826,1.0,,2.0,,,,,,1.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,,,,,1.0,0.5,0.5,0.5,0.2222222222222222,,1.0,,1.0,0.0625,1.0,1.0,,,0.4281,0.16666666666666666,,1.0,,1.0,3.0,,1.0,,,,,,1.0,,,,,,1.0,,,,,0.3333333333333333,,,,0.5,,,14.0,2.0,3.0,1.0,5.0,1.0,5.0,5.0,4.0,6.0,1.0,10.0,1.0,1.0,1.0,1.0,14.0,1.0,0.1,0.6666666666666666,0.34375,0.14285714285714285,0.25,1.0,0.3125,0.2,0.2,1.0,0.1875,0.6666666666666666,0.3125,0.2,0.3125,0.49572333333333335,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1885-2037-2440,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Jamal Crawford, Matt Barnes","Paul, Turiaf, Odom, Crawford, Barnes",101108-101142-1885-2037-2440,LAC,1518.0,12,25.0,51.0,51.0,31.0,102.0,10.0,13.0,5.0,8.0,3.0,6.0,20.0,34.0,3.0,9.0,57.0,38.0,22.0,18.0,3.0,6.0,3.0,11.0,13.0,7.0,28.0,11.0,17.0,21.0,4.0,7.0,12.0,10.0,2.0,5.0,51.0,0.55,0.5789473684210527,0.3333333333333333,0.3333333333333333,0.5882352941176471,0.5697674418604651,0.6063829787234043,0.20930232558139536,0.6111111111111112,0.6818181818181818,0.4,96.7588932806324,13.745098039215685,16.019607843137255,13.470588235294118,15.137254901960784,0.3023255813953488,0.7692307692307693,0.7692307692307693,0.7,0.18604651162790697,0.625,0.7142857142857143,0.13953488372093023,0.5,0.5,0.5116279069767442,0.5,0.4937290697674419,0.10869565217391304,0.13513513513513514,8.926470588235293,25.133333333333333,19.0,8.0,7.0,23.0,1.0,23.0,1.0,0.42592592592592593,0.40350877192982454,2.0,4.0,2.0,3.0,,6.0,1.0,1.0,1.0,0.4,5.0,1.0,2.0,5.0,13.0,2.0,3.0,6.0,2.0,3.0,4.0,7.0,2.0,,,0.6666666666666666,0.6666666666666666,0.75,0.21428571428571427,0.21052631578947367,0.3333333333333333,0.3333333333333333,0.125,1.0,0.3023255813953488,0.38461538461538464,0.38461538461538464,0.6666666666666666,0.5,0.6222,0.10526315789473684,,,,,6.0,1.0,2.0,2.0,,5.0,3.0,2.0,3.0,,3.0,1.0,3.0,1.0,0.6666666666666666,,0.029411764705882353,,0.5,0.7142857142857143,,0.3333333333333333,0.6666666666666666,,,,28.0,2.0,5.0,,3.0,,3.0,4.0,5.0,16.0,2.0,7.0,,,2.0,1.0,28.0,1.0,0.2857142857142857,0.3125,0.34782608695652173,0.2,,0.4,0.06976744186046512,,,,0.21739130434782608,0.4,0.13043478260869565,,0.17391304347826086,0.4771521739130435,0.5490196078431373,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.125,0.3333333333333333,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1885-2037-255,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Jamal Crawford, Grant Hill","Paul, Turiaf, Odom, Crawford, Hill",101108-101142-1885-2037-255,LAC,178.0,1,3.0,4.0,5.0,,9.0,,,1.0,1.0,,1.0,3.0,3.0,,1.0,6.0,7.0,2.0,4.0,,1.0,,1.0,1.0,,2.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,6.0,0.3333333333333333,0.3333333333333333,,,1.0,0.75,0.75,0.25,1.0,1.0,,72.80898876404494,19.5,20.0,19.5,20.0,,,,,0.25,1.0,1.0,0.25,,,0.25,,0.4251625,,,16.633333333333333,27.4,-1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1885-2037-2584,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Jamal Crawford, Willie Green","Paul, Turiaf, Odom, Crawford, Green",101108-101142-1885-2037-2584,LAC,66.0,2,1.0,1.0,2.0,,3.0,,,,,,,1.0,1.0,,,3.0,,,2.0,,,,,,,,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,3.0,,,,,1.0,1.0,1.5,,0.5,0.5,0.3333333333333333,65.45454545454545,21.0,22.5,21.0,13.0,,,,,,,,,,,,,0.3926,1.0,1.0,15.1,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
101108-101142-1885-2406-2440,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Caron Butler, Matt Barnes","Paul, Turiaf, Odom, Butler, Barnes",101108-101142-1885-2406-2440,LAC,252.0,2,4.0,8.0,9.0,6.0,17.0,3.0,4.0,2.0,2.0,,1.0,5.0,7.0,,1.0,10.0,11.0,8.0,2.0,,1.0,,4.0,4.0,3.0,8.0,1.0,4.0,6.0,,,,,,,6.0,0.8,0.8,,,0.7142857142857143,0.625,0.625,0.125,0.5,0.75,,97.14285714285714,17.125,12.777777777777779,16.25,12.666666666666666,0.5,0.75,0.75,1.0,0.25,1.0,1.0,0.125,,,0.625,,0.4666625,,,7.2,26.8,-1.0,,,6.0,,6.0,,0.75,0.6,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,,1.0,2.0,2.0,4.0,,1.0,2.0,,,,,1.0,1.0,1.0,0.5,0.6666666666666666,,,1.0,,0.125,,,0.5,1.0,0.5195,0.4,,,,,,,,,,,2.0,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,,,5.0,3.0,3.0,,,,,,3.0,4.0,,,,,,1.0,5.0,,,0.75,0.75,1.0,,,,,,,0.75,1.0,,,,0.445625,0.625,,,1.0,2.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,False
