EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,BlockingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,FtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyDefPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,Corner3Assists,FTDefRebounds,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,OffRebounds,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PtsPutbacks,OffTwoPtRebounds,FTOffRebounds,SelfOReb,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,BadPassTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,LostBallSteals,DefShortMidRangeReboundPct,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LongMidRangePctAssisted,ShortMidRangeAssists,ShortMidRangePctAssisted,OffArc3ReboundPct,2pt And 1 Free Throw Trips,DefCorner3ReboundPct,BlockedShortMidRange,OffAtRimReboundPct,Charge Fouls Drawn,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,Charge Fouls,Fg3aBlocked,BlockingFouls,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceTurnovers,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,BlockedLongMidRange,StepOutOfBoundsTurnovers,Corner3PctBlocked,SecondChanceCorner3FGA,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,3SecondViolations,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101124-201160-202333-203148-2427,1610612740,"Hakim Warrick, Jason Smith, Xavier Henry, Brian Roberts, Roger Mason Jr.","Warrick, Smith, Henry, Roberts, Mason Jr.",101124-201160-202333-203148-2427,NOH,194.0,1,3.0,7.0,7.0,14.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,0.5,0.4,0.4,0.2,0.25,0.5,0.5,1.0,1.0,1.0,1.0,103.91752577319588,13.571428571428571,14.142857142857142,13.571428571428571,14.142857142857142,0.4,0.5,1.0,0.2,0.2,1.0,1.0,0.2,0.6,0.49681,7.675,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
101124-201577-202329-203148-2427,1610612740,"Hakim Warrick, Robin Lopez, Al-Farouq Aminu, Brian Roberts, Roger Mason Jr.","Warrick, Lopez, Aminu, Roberts, Mason Jr.",101124-201577-202329-203148-2427,NOH,89.0,1,1.0,3.0,3.0,6.0,1.0,2.0,,1.0,1.0,,2.0,3.0,,4.0,,2.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.3333333333333333,0.5,,1.0,1.0,,1.0,97.07865168539325,7.666666666666667,22.0,7.666666666666667,22.0,0.6666666666666666,0.5,1.0,,0.3333333333333333,1.0,1.0,,0.6666666666666666,0.5761666666666666,6.033333333333334,,4.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
101124-201577-202333-203148-2427,1610612740,"Hakim Warrick, Robin Lopez, Xavier Henry, Brian Roberts, Roger Mason Jr.","Warrick, Lopez, Henry, Roberts, Mason Jr.",101124-201577-202333-203148-2427,NOH,151.0,1,3.0,4.0,4.0,8.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,,,1.0,1.0,,,,2.0,,,2.0,,2.0,,,5.0,1.0,1.25,1.25,0.5,,,,,0.5,,,76.29139072847683,14.0,23.75,14.0,22.75,,,,,0.5,1.0,1.0,0.5,0.5,0.442325,21.5,25.8,1.0,,,1.0,,3.0,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
200811-201569-201577-202329-202349,1610612740,"Lou Amundson, Eric Gordon, Robin Lopez, Al-Farouq Aminu, Greivis Vasquez","Amundson, Gordon, Lopez, Aminu, Vasquez",200811-201569-201577-202329-202349,NOH,47.0,1,1.0,2.0,1.0,3.0,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,2.0,,4.0,,,1.0,,,,,,,,,91.91489361702128,16.5,14.0,16.5,14.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
200811-201569-201577-202329-203148,1610612740,"Lou Amundson, Eric Gordon, Robin Lopez, Al-Farouq Aminu, Brian Roberts","Amundson, Gordon, Lopez, Aminu, Roberts",200811-201569-201577-202329-203148,NOH,104.0,1,2.0,4.0,3.0,7.0,,,1.0,,,1.0,,1.0,2.0,6.0,4.0,,1.0,,1.0,2.0,2.0,,,,1.0,,,1.0,1.0,1.0,,,6.0,,1.0,1.0,0.6666666666666666,,,,1.0,1.0,1.0,,96.92307692307692,11.25,19.666666666666668,11.25,19.666666666666668,,,,0.3333333333333333,,,,0.3333333333333333,0.6666666666666666,0.4651166666666667,10.5,25.5,2.0,,,1.0,,3.0,,,,1.0,2.0,3.0,1.0,1.0,,,,,0.5,1.0,1.0,,,1.0,1.0,,1.0,,,,,,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.4651166666666667,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
200811-201569-201577-202333-203148,1610612740,"Lou Amundson, Eric Gordon, Robin Lopez, Xavier Henry, Brian Roberts","Amundson, Gordon, Lopez, Henry, Roberts",200811-201569-201577-202333-203148,NOH,103.0,1,2.0,2.0,3.0,5.0,,,,,1.0,1.0,,1.0,2.0,,2.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,0.6666666666666666,,,,,,,,69.90291262135922,32.0,13.0,29.0,13.0,,,,,0.3333333333333333,,,0.3333333333333333,0.6666666666666666,0.4834833333333333,15.4,24.3,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,0.3333333333333333,,,,,,,,0.316,,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
200811-201569-201577-202333-2427,1610612740,"Lou Amundson, Eric Gordon, Robin Lopez, Xavier Henry, Roger Mason Jr.","Amundson, Gordon, Lopez, Henry, Mason Jr.",200811-201569-201577-202333-2427,NOH,38.0,1,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,75.78947368421053,15.0,23.0,15.0,23.0,1.0,1.0,1.0,,,,,,1.0,0.5788,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
200811-201569-201583-202329-202349,1610612740,"Lou Amundson, Eric Gordon, Ryan Anderson, Al-Farouq Aminu, Greivis Vasquez","Amundson, Gordon, Anderson, Aminu, Vasquez",200811-201569-201583-202329-202349,NOH,393.0,2,7.0,11.0,12.0,23.0,5.0,6.0,1.0,,1.0,1.0,5.0,8.0,2.0,15.0,17.0,4.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,,2.0,,,2.0,2.0,4.0,2.0,,9.0,0.625,0.65,0.6818181818181818,0.2,0.125,0.16666666666666666,,0.3333333333333333,0.42857142857142855,0.5,,84.27480916030535,16.727272727272727,17.416666666666668,15.272727272727273,16.416666666666668,0.6,0.8333333333333334,1.0,0.1,0.1,,,0.1,0.8,0.527825,5.0,24.35,-2.0,6.0,3.0,4.0,3.0,9.0,0.6,0.75,0.6,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,2.0,2.0,,,,6.0,4.0,,1.0,,1.0,,,5.0,,1.0,8.0,,,,,8.0,6.0,,0.5,0.5714285714285714,,0.1,,,,0.16666666666666666,,,,0.549575,0.5333333333333333,0.5454545454545454,3.0,,,,3.0,,0.5,,,,,2.0,2.0,3.0,4.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.75,0.51515,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
200811-201569-201583-202329-203148,1610612740,"Lou Amundson, Eric Gordon, Ryan Anderson, Al-Farouq Aminu, Brian Roberts","Amundson, Gordon, Anderson, Aminu, Roberts",200811-201569-201583-202329-203148,NOH,132.0,1,2.0,4.0,3.0,7.0,1.0,1.0,2.0,,,,2.0,3.0,,4.0,4.0,2.0,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,2.0,,,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,0.5,0.5,,0.5,76.36363636363636,16.5,22.0,16.5,22.0,0.3333333333333333,1.0,1.0,0.6666666666666666,,,,,0.3333333333333333,0.4583333333333333,5.733333333333333,,,2.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
200811-201569-201583-202329-2427,1610612740,"Lou Amundson, Eric Gordon, Ryan Anderson, Al-Farouq Aminu, Roger Mason Jr.","Amundson, Gordon, Anderson, Aminu, Mason Jr.",200811-201569-201583-202329-2427,NOH,136.0,1,2.0,6.0,5.0,11.0,,,,,,1.0,,,1.0,2.0,4.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,2.0,2.0,2.0,2.0,,2.0,,,0.3333333333333333,1.0,,,1.0,1.0,1.0,1.0,,116.47058823529412,11.0,14.0,10.666666666666666,14.0,,,,,,,,1.0,1.0,0.55155,,24.4,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,0.5,1.0,5.0,3.0,,,,,,1.0,,,1.0,2.0,,,,2.0,2.0,5.0,,,0.3333333333333333,,,,,,,,1.0,,0.55155,1.0,0.8333333333333334,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2013,2012-13,True
