EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefTwoPtRebounds,DeadBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,BadPassTurnovers,BlockingFouls,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,DefFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,ShortMidRangePctAssisted,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,LostBallOutOfBoundsTurnovers,DefLongMidRangeReboundPct,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,Corner3Assists,Offensive Fouls,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,PenaltyCorner3FGM,SecondChanceArc3FGM,PenaltyFG3M,BadPassOutOfBoundsTurnovers,Charge Fouls,Blocked3s,BlockedArc3,BlockedAtRim,3SecondViolations,Defensive 3 Seconds Violations,PenaltyFg3Pct,OffArc3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3FGM,PenaltyArc3Accuracy,FTOffRebounds,OffFTReboundPct,PtsUnassisted3s,BlockingFoulsDrawn,LongMidRangePctBlocked,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
101108-101142-1497-201933-2440,1610612746,"Chris Paul, Ronny Turiaf, Chauncey Billups, Blake Griffin, Matt Barnes","Paul, Turiaf, Billups, Griffin, Barnes",101108-101142-1497-201933-2440,LAC,254.0,1,4.0,6.0,8.0,8.0,8.0,8.0,2.0,16.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,6.0,10.0,4.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0,6.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,9.0,1.0,3.0,2.0,6.0,10.0,8.0,1.0,2.0,0.5,1.0,0.4,0.5,0.4,0.2857142857142857,0.5,0.2857142857142857,0.45454545454545453,0.6666666666666666,0.45454545454545453,0.2857142857142857,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.2,90.70866141732283,19.0,12.75,15.75,12.75,0.5714285714285714,0.5,0.5,0.5,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.5,0.5714285714285714,0.5,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.5479928571428572,0.5661,0.5479928571428572,0.3333333333333333,0.42857142857142855,0.4,1.0,2.8600000000000003,24.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
101108-101142-1497-2406-2440,1610612746,"Chris Paul, Ronny Turiaf, Chauncey Billups, Caron Butler, Matt Barnes","Paul, Turiaf, Billups, Butler, Barnes",101108-101142-1497-2406-2440,LAC,45.0,1,1.0,-4.0,1.0,2.0,1.0,2.0,,3.0,,,,,,,,,,1.0,1.0,,,1.0,,,4.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,96.0,23.0,11.0,23.0,11.0,,,,,,,1.0,,,,,,1.0,1.0,0.35715,,0.35715,,,,,,28.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
101108-101142-1885-202339-2037,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Eric Bledsoe, Jamal Crawford","Paul, Turiaf, Odom, Bledsoe, Crawford",101108-101142-1885-202339-2037,LAC,86.0,1,1.0,1.0,2.0,1.0,,,1.0,3.0,,,,,,,2.0,,,,,2.0,3.0,,,4.0,3.0,1.0,1.0,,2.0,,,,,,2.0,2.0,,,1.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,0.5,0.5,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,,,1.0,,,1.0,,1.0,,,,50.23255813953488,27.5,31.0,20.5,31.0,,,,,0.6666666666666666,,,,,,,,,,0.3761666666666667,0.3909,,,,0.5,,12.966666666666667,,,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
101108-101142-1885-2037-2440,1610612746,"Chris Paul, Ronny Turiaf, Lamar Odom, Jamal Crawford, Matt Barnes","Paul, Turiaf, Odom, Crawford, Barnes",101108-101142-1885-2037-2440,LAC,163.0,2,3.0,4.0,3.0,4.0,1.0,2.0,1.0,7.0,,,,,,,1.0,,,1.0,,1.0,2.0,1.0,,5.0,1.0,,,,,,1.0,,,,,2.0,,1.0,,1.0,,3.0,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,5.0,,1.0,1.0,,,,0.5,,,0.8333333333333334,,,0.8333333333333334,,,0.3333333333333333,,1.0,1.0,0.5,1.0,,,1.0,,,61.84049079754601,13.666666666666666,30.5,10.666666666666666,19.5,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,0.3333333333333333,0.4668833333333333,,0.4218,,,,,12.2,25.2,0.3333333333333333,1.0,,1.0,,1.0,1.0,0.3333333333333333,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
101108-101142-201599-202339-2037,1610612746,"Chris Paul, Ronny Turiaf, DeAndre Jordan, Eric Bledsoe, Jamal Crawford","Paul, Turiaf, Jordan, Bledsoe, Crawford",101108-101142-201599-202339-2037,LAC,82.0,1,1.0,-2.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,,,,1.0,1.0,,,1.0,,,2.0,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,0.5,,,,1.0,,,70.2439024390244,19.0,22.0,19.0,11.0,,,,,,,1.0,,,,,,1.0,1.0,0.46995,,0.46995,,,,,,25.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
101108-101142-201599-2037-2440,1610612746,"Chris Paul, Ronny Turiaf, DeAndre Jordan, Jamal Crawford, Matt Barnes","Paul, Turiaf, Jordan, Crawford, Barnes",101108-101142-201599-2037-2440,LAC,253.0,1,4.0,-1.0,7.0,8.0,1.0,5.0,2.0,15.0,1.0,1.0,,,,,5.0,1.0,,,,3.0,8.0,1.0,,6.0,7.0,1.0,2.0,,2.0,,1.0,,,,4.0,2.0,,,2.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,6.0,2.0,,,,,,,,,3.0,1.0,,,,,,4.0,,1.0,2.0,,0.6666666666666666,0.6666666666666666,0.375,0.5,,0.3333333333333333,0.5,,0.3333333333333333,0.5,,0.1111111111111111,,0.2,1.0,0.5,0.3333333333333333,,0.3333333333333333,1.0,,0.3333333333333333,85.37549407114625,19.714285714285715,14.375,18.571428571428573,12.0,0.1111111111111111,1.0,1.0,1.0,0.5555555555555556,0.1111111111111111,,,,,,,,0.2222222222222222,0.44526666666666664,0.4691,0.2892,,,0.3333333333333333,,10.7375,23.7,0.14285714285714285,2.0,,2.0,,0.4,0.4,0.2222222222222222,,,,,,,,,,1.0,,,,1.0,,,,0.25,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
101108-101142-201933-202339-2440,1610612746,"Chris Paul, Ronny Turiaf, Blake Griffin, Eric Bledsoe, Matt Barnes","Paul, Turiaf, Griffin, Bledsoe, Barnes",101108-101142-201933-202339-2440,LAC,96.0,1,2.0,1.0,3.0,3.0,,3.0,,6.0,1.0,2.0,,,,,,,,,,1.0,2.0,,1.0,3.0,2.0,,,,,,,,,,2.0,,,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,,1.0,3.0,,,,,1.0,1.0,0.5,,,0.5,,,0.5,,,,1.0,,1.0,1.0,,,,1.0,,,90.0,17.0,15.0,17.0,15.0,1.0,0.5,1.0,1.0,,,,,,,,,,1.0,0.67035,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
101108-101142-201933-2037-2406,1610612746,"Chris Paul, Ronny Turiaf, Blake Griffin, Jamal Crawford, Caron Butler","Paul, Turiaf, Griffin, Crawford, Butler",101108-101142-201933-2037-2406,LAC,139.0,2,2.0,2.0,6.0,5.0,2.0,4.0,1.0,11.0,2.0,4.0,1.0,2.0,,,,,,,,2.0,5.0,,4.0,8.0,6.0,1.0,2.0,,2.0,,,,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,3.0,,1.0,1.0,,1.0,,1.0,1.0,,,3.0,,5.0,1.0,3.0,,6.0,2.0,2.0,,,0.5,1.0,0.4,0.5,,0.4,0.5,,0.5714285714285714,0.5,1.0,,1.0,0.6666666666666666,,1.0,0.6666666666666666,1.0,,,,,113.95683453237409,12.166666666666666,13.2,11.833333333333334,10.8,0.8,0.5,0.5,0.5,,,,1.0,0.5,,,,,0.8,0.4814,0.47305,,0.42857142857142855,0.42857142857142855,0.25,0.25,5.4799999999999995,,0.3333333333333333,,,1.0,,,,0.2,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
101108-101142-201933-2037-2440,1610612746,"Chris Paul, Ronny Turiaf, Blake Griffin, Jamal Crawford, Matt Barnes","Paul, Turiaf, Griffin, Crawford, Barnes",101108-101142-201933-2037-2440,LAC,265.0,2,4.0,7.0,8.0,7.0,6.0,4.0,1.0,15.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,,,,,3.0,5.0,,5.0,11.0,4.0,1.0,1.0,,2.0,2.0,4.0,,3.0,7.0,4.0,2.0,2.0,,2.0,2.0,2.0,4.0,1.0,3.0,4.0,1.0,5.0,,1.0,1.0,,,,1.0,1.0,,,4.0,,6.0,,2.0,1.0,9.0,7.0,6.0,,1.0,0.6666666666666666,1.0,0.6,1.0,0.5,0.6,1.0,0.5,0.6875,1.0,0.5833333333333334,,,0.5,1.0,0.8,0.5,1.0,,1.0,1.0,,81.50943396226414,14.125,21.714285714285715,14.125,18.285714285714285,0.8,0.75,0.75,0.6666666666666666,0.2,,,1.0,1.0,0.75,0.6666666666666666,,,0.8,0.538,0.5157,0.5087,0.2857142857142857,0.2857142857142857,0.18181818181818182,0.6363636363636364,3.12,,0.75,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
101108-101142-202339-2037-2440,1610612746,"Chris Paul, Ronny Turiaf, Eric Bledsoe, Jamal Crawford, Matt Barnes","Paul, Turiaf, Bledsoe, Crawford, Barnes",101108-101142-202339-2037-2440,LAC,178.0,1,3.0,2.0,4.0,4.0,,3.0,2.0,8.0,2.0,6.0,1.0,3.0,,,,,,,,3.0,7.0,,,6.0,4.0,1.0,3.0,,2.0,,,,,,2.0,4.0,2.0,,1.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,6.0,,,,,1.0,,1.0,,,,1.0,,,,,,4.0,,,,,0.3333333333333333,0.5,0.42857142857142855,0.3333333333333333,,0.42857142857142855,0.3333333333333333,,0.42857142857142855,0.3333333333333333,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,1.0,,64.71910112359551,29.75,14.75,23.25,13.25,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.5,,,,1.0,0.3333333333333333,,,,,0.8571428571428571,0.5326142857142857,0.5879333333333333,,,,0.3333333333333333,,4.514285714285714,,,,1.0,1.0,,,,0.14285714285714285,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2013,2012-13,True
