EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,Steals,BadPassSteals,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Loose Ball Fouls,LongMidRangePctBlocked,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,PenaltyDefPoss,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,DefThreePtRebounds,LostBallSteals,BadPassTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceFtPoints,Travels,Loose Ball Fouls Drawn,OffLongMidRangeReboundPct,DefAtRimReboundPct,OffAtRimReboundPct,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,PtsUnassisted3s,ShortMidRangeAssists,BlockedAtRim,ShortMidRangePctAssisted,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,DefensiveGoaltends,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,FTDefRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Offensive Fouls Drawn,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SelfOReb,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls Drawn,SelfORebPct,Clear Path Fouls,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,HeaveAttempts,BlockedLongMidRange,BlockedCorner3,FTOffRebounds,OffFTReboundPct,Defensive 3 Seconds Violations,3SecondViolations,team_id,year,season,team_vs
101126-1737-1888-201959-202710,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Taj Gibson, Jimmy Butler","Robinson, Mohammed, Hamilton, Gibson, Butler",101126-1737-1888-201959-202710,CHI,361.0,2,6.0,-11.0,10.0,10.0,2.0,20.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,7.0,2.0,2.0,4.0,15.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,0.14285714285714285,0.1111111111111111,0.2,0.2222222222222222,0.2857142857142857,1.0,0.5,0.5,0.5,0.16666666666666666,0.5,0.5,0.25,0.5,1.0,0.3333333333333333,0.6666666666666666,79.77839335180056,20.8,15.3,19.6,14.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.25,0.25,1.0,0.1111111111111111,0.1111111111111111,0.5,0.3333333333333333,0.47868888888888894,0.4273,0.1,0.125,11.757142857142856,23.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-1888-202710-2430,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Jimmy Butler, Carlos Boozer","Robinson, Mohammed, Hamilton, Butler, Boozer",101126-1737-1888-202710-2430,CHI,195.0,1,3.0,2.0,5.0,5.0,1.0,10.0,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,,6.0,4.0,,,1.0,,,,,,1.0,,2.0,2.0,1.0,3.0,,,,,,1.0,,,,,6.0,,,0.75,0.5,0.5,0.3333333333333333,,,,,0.5,,0.5,0.5,0.3333333333333333,,,,1.0,73.84615384615384,15.2,23.8,14.4,21.2,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,,0.16666666666666666,0.16666666666666666,,0.5,0.49794166666666667,,,,10.25,23.55,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.58285,0.3333333333333333,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-1888-202710-2736,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Jimmy Butler, Luol Deng","Robinson, Mohammed, Hamilton, Butler, Deng",101126-1737-1888-202710-2736,CHI,33.0,1,1.0,-2.0,1.0,1.0,,2.0,,,,,1.0,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,87.27272727272727,24.0,9.0,24.0,9.0,,,1.0,,,,,,,,0.3866,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201149-201158-202710,1610612741,"Nate Robinson, Nazr Mohammed, Joakim Noah, Marco Belinelli, Jimmy Butler","Robinson, Mohammed, Noah, Belinelli, Butler",101126-1737-201149-201158-202710,CHI,32.0,1,1.0,,2.0,2.0,,4.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,180.0,6.0,10.0,6.0,10.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,2.0,2.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201158-201161-201959,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Daequan Cook, Taj Gibson","Robinson, Mohammed, Belinelli, Cook, Gibson",101126-1737-201158-201161-201959,CHI,127.0,1,2.0,,3.0,3.0,,6.0,,,1.0,,1.0,,,1.0,2.0,,2.0,4.0,4.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,4.0,,,0.5,0.5,0.75,,,,,,,,,,,,,,,68.03149606299212,18.0,24.333333333333332,18.0,17.666666666666668,,0.5,0.5,,,,,,,,0.3942,,0.5,0.5,16.5,,1.0,,,,1.0,,,,,,,,,2.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,0.3333333333333333,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201158-201959-202710,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Taj Gibson, Jimmy Butler","Robinson, Mohammed, Belinelli, Gibson, Butler",101126-1737-201158-201959-202710,CHI,452.0,3,8.0,-3.0,14.0,13.0,3.0,27.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,5.0,9.0,3.0,3.0,16.0,19.0,3.0,4.0,2.0,,2.0,3.0,1.0,7.0,1.0,2.0,1.0,3.0,3.0,6.0,2.0,,1.0,2.0,,1.0,,3.0,4.0,2.0,12.0,0.4,0.5,0.5555555555555556,0.5416666666666666,0.5714285714285714,0.25,,,,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,,1.0,86.01769911504425,13.428571428571429,20.307692307692307,12.714285714285714,20.307692307692307,0.16666666666666666,0.25,0.3333333333333333,0.75,0.75,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.4734875,0.45555,0.14285714285714285,0.18181818181818182,10.766666666666667,24.833333333333332,7.0,1.0,,1.0,1.0,,1.0,2.0,,1.0,3.0,3.0,5.0,6.0,1.0,,5.0,7.0,0.3333333333333333,0.4166666666666667,0.4166666666666667,,0.5,0.5,0.3333333333333333,0.3333333333333333,,0.16666666666666666,,0.16666666666666666,0.3333333333333333,0.47870833333333335,0.3125,0.5,,,,,,1.0,,,6.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201158-201959-2550,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Taj Gibson, Kirk Hinrich","Robinson, Mohammed, Belinelli, Gibson, Hinrich",101126-1737-201158-201959-2550,CHI,30.0,1,,-2.0,1.0,1.0,,2.0,,,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,16.0,14.0,16.0,14.0,,1.0,,,,,,,,,0.4114,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201158-201959-2736,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Taj Gibson, Luol Deng","Robinson, Mohammed, Belinelli, Gibson, Deng",101126-1737-201158-201959-2736,CHI,409.0,4,7.0,2.0,11.0,11.0,1.0,22.0,4.0,,1.0,2.0,4.0,,,6.0,9.0,,3.0,15.0,13.0,,10.0,,1.0,5.0,5.0,2.0,10.0,,2.0,4.0,5.0,2.0,7.0,,2.0,,2.0,,2.0,1.0,4.0,3.0,1.0,13.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.7,,0.1111111111111111,0.25,,,1.0,0.6666666666666666,,1.0,0.6666666666666666,,,1.0,1.0,77.45721271393643,17.818181818181817,19.363636363636363,16.363636363636363,19.363636363636363,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.5,0.5,1.0,,,,0.4444444444444444,0.4755333333333333,,0.1,0.1,9.155555555555557,,,3.0,,,1.0,,,,,,,,,2.0,,,,,,,,,0.75,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,2.0,,,,,,,3.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,0.13333333333333333,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201158-2430-2736,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Carlos Boozer, Luol Deng","Robinson, Mohammed, Belinelli, Boozer, Deng",101126-1737-201158-2430-2736,CHI,202.0,2,3.0,-9.0,4.0,6.0,1.0,10.0,3.0,,1.0,,1.0,,,1.0,5.0,,,2.0,11.0,1.0,2.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,,2.0,1.0,1.0,0.2,0.2,0.2,,0.2,0.3333333333333333,,,0.3333333333333333,0.25,,0.3333333333333333,0.25,,,,,71.2871287128713,24.75,17.166666666666668,23.25,16.0,0.6,0.2,0.2,,,,,,,0.6,0.49996,0.4458,,,6.68,,2.0,1.0,,1.0,,,,,,,2.0,,,,,,,2.0,,,,,0.3333333333333333,0.5,,,,0.5,,,,0.4038,,0.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
101126-1737-201959-202710-2550,1610612741,"Nate Robinson, Nazr Mohammed, Taj Gibson, Jimmy Butler, Kirk Hinrich","Robinson, Mohammed, Gibson, Butler, Hinrich",101126-1737-201959-202710-2550,CHI,101.0,1,2.0,-2.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,,2.0,,1.0,,4.0,1.0,,,2.0,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,0.2,0.25,1.0,,,1.0,0.3333333333333333,1.0,1.0,0.5,,,1.0,,71.2871287128713,25.0,13.0,16.666666666666668,13.0,0.2,0.2,0.4,,,,,0.2,0.5,0.4,0.38743,0.2496,,,13.075,25.5,3.0,,,1.0,,,,1.0,,,4.0,1.0,,,,,,3.0,,,,1.0,,,,,,0.2,,,0.2,0.38743,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,True
