EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,OffAtRimReboundPct,DefCorner3ReboundPct,Loose Ball Fouls Drawn,BlockedLongMidRange,Corner3FGA,AtRimAssists,OffThreePtRebounds,StepOutOfBoundsTurnovers,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffCorner3ReboundPct,AtRimPctAssisted,Corner3Frequency,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,ShortMidRangeAssists,FTDefRebounds,BadPassSteals,LostBallTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,Loose Ball Fouls,Defensive 3 Seconds Violations,PenaltyArc3Frequency,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Corner3FGM,Corner3Assists,BadPassOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,AtRimPctBlocked,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyTurnovers,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,PenaltyFtPoints,PtsUnassisted3s,Fg3aBlocked,Offensive Fouls,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,FTOffRebounds,Charge Fouls,BlockingFoulsDrawn,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,BlockingFouls,DefensiveGoaltends,3SecondViolations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,LongMidRangePctBlocked,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101126-1737-1888-201959-202710,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Taj Gibson, Jimmy Butler","Robinson, Mohammed, Hamilton, Gibson, Butler",101126-1737-1888-201959-202710,CHI,361.0,2,6.0,11.0,10.0,10.0,2.0,20.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,5.0,1.0,1.0,5.0,11.0,1.0,1.0,2.0,15.0,4.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,5.0,6.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,10.0,0.2,0.25,1.0,1.0,1.0,0.45454545454545453,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.625,0.8333333333333334,0.08333333333333333,0.8333333333333334,0.5,0.5,0.75,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5,1.0,1.0,0.16666666666666666,79.77839335180056,0.5,15.3,20.8,14.0,19.6,0.16666666666666666,1.0,1.0,0.3333333333333333,0.25,0.25,0.4166666666666667,0.4,0.4,0.5,0.08333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.25,1.0,0.44937916666666666,0.5018333333333334,0.16666666666666666,0.18181818181818182,0.3333333333333333,11.518181818181818,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-1888-202710-2430,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Jimmy Butler, Carlos Boozer","Robinson, Mohammed, Hamilton, Butler, Boozer",101126-1737-1888-202710-2430,CHI,195.0,1,3.0,-2.0,5.0,5.0,1.0,10.0,,2.0,,1.0,1.0,1.0,1.0,3.0,,,2.0,6.0,,,,4.0,6.0,,2.0,,,,4.0,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,4.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,4.0,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,1.0,0.5,0.5,0.6666666666666666,0.5,,,,,1.0,,0.25,73.84615384615384,,23.8,15.2,21.2,14.4,0.3333333333333333,,,0.16666666666666666,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,,0.5,,0.3333333333333333,,0.43533333333333335,0.44925,,,,10.4,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-1888-202710-2736,1610612741,"Nate Robinson, Nazr Mohammed, Richard Hamilton, Jimmy Butler, Luol Deng","Robinson, Mohammed, Hamilton, Butler, Deng",101126-1737-1888-202710-2736,CHI,33.0,1,1.0,2.0,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,2.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,1.0,,,87.27272727272727,1.0,9.0,24.0,9.0,24.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.3735,,,,,15.3,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201149-201158-202710,1610612741,"Nate Robinson, Nazr Mohammed, Joakim Noah, Marco Belinelli, Jimmy Butler","Robinson, Mohammed, Noah, Belinelli, Butler",101126-1737-201149-201158-202710,CHI,32.0,1,1.0,,2.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,2.0,2.0,,,,,2.0,,,,,,1.0,,1.0,,,2.0,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,,0.5,,0.5,,0.5,,,,,1.0,,,,,,,,180.0,,10.0,6.0,10.0,6.0,0.5,1.0,1.0,,,,,,,,,,,,,,1.0,,0.4443,,,,,1.9,24.3,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201158-201161-201959,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Daequan Cook, Taj Gibson","Robinson, Mohammed, Belinelli, Cook, Gibson",101126-1737-201158-201161-201959,CHI,127.0,1,2.0,,3.0,3.0,1.0,6.0,2.0,2.0,1.0,1.0,,1.0,,,,1.0,2.0,3.0,,2.0,,4.0,4.0,1.0,2.0,,2.0,,4.0,,,1.0,,,,,,,,1.0,,1.0,1.0,2.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,0.6666666666666666,0.5,0.4,0.5,0.4,0.5,0.4,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,68.03149606299212,,24.333333333333332,18.0,17.666666666666668,18.0,0.4,1.0,1.0,0.2,,,,,,,0.2,,,,0.5,1.0,0.8,,0.54894,0.5169,,,0.5,3.8333333333333335,24.7,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201158-201959-202710,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Taj Gibson, Jimmy Butler","Robinson, Mohammed, Belinelli, Gibson, Butler",101126-1737-201158-201959-202710,CHI,452.0,3,8.0,3.0,13.0,14.0,,27.0,4.0,4.0,,,3.0,3.0,1.0,2.0,1.0,3.0,8.0,9.0,1.0,3.0,,19.0,16.0,,,,,10.0,6.0,3.0,,3.0,1.0,5.0,1.0,6.0,1.0,1.0,13.0,,1.0,2.0,4.0,,4.0,,2.0,1.0,,,1.0,2.0,3.0,1.0,,,,,,,,,,19.0,0.625,0.625,1.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,,0.7916666666666666,,0.7916666666666666,,0.25,0.5,,0.5,0.5,,,,1.0,,1.0,1.0,,86.01769911504425,,20.307692307692307,13.428571428571429,20.307692307692307,12.714285714285714,0.3333333333333333,1.0,1.0,0.25,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,,,0.5833333333333334,0.3333333333333333,0.46039583333333334,,,,,8.588888888888889,25.03333333333333,7.0,1.0,,1.0,,,,,,3.0,,,,,,,0.75,,6.0,2.0,2.0,5.0,6.0,10.0,1.0,1.0,1.0,1.0,10.0,6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,0.3333333333333333,1.0,0.4342,0.5263157894736842,0.46153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201158-201959-2550,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Taj Gibson, Kirk Hinrich","Robinson, Mohammed, Belinelli, Gibson, Hinrich",101126-1737-201158-201959-2550,CHI,30.0,1,,2.0,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,2.0,,,,,,2.0,,,,,,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,,,,96.0,,14.0,16.0,14.0,16.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.4164,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201158-201959-2736,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Taj Gibson, Luol Deng","Robinson, Mohammed, Belinelli, Gibson, Deng",101126-1737-201158-201959-2736,CHI,409.0,4,7.0,-2.0,11.0,11.0,,22.0,1.0,2.0,,,2.0,3.0,2.0,4.0,1.0,2.0,5.0,9.0,1.0,2.0,,13.0,15.0,,,,,8.0,2.0,3.0,,2.0,1.0,4.0,1.0,5.0,1.0,2.0,11.0,,,1.0,1.0,,1.0,,,,,,,1.0,4.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,13.0,0.8,0.8,1.0,0.5,0.5,0.5555555555555556,,0.5909090909090909,,0.5909090909090909,,0.18181818181818182,0.3333333333333333,,,0.3333333333333333,,,,1.0,,,,,77.45721271393643,1.0,19.363636363636363,17.818181818181817,19.363636363636363,16.363636363636363,0.18181818181818182,0.5,0.5,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.36363636363636365,0.5,0.5,1.0,0.18181818181818182,0.5,0.5,1.0,,,0.36363636363636365,0.5,0.41585,,,,,11.466666666666667,26.3,,,,,,,,,,1.0,,,,,,,1.0,,2.0,,,1.0,1.0,2.0,1.0,,,,2.0,2.0,1.0,0.5,0.5,,0.5,,,0.389325,0.15384615384615385,0.18181818181818182,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201158-2430-2736,1610612741,"Nate Robinson, Nazr Mohammed, Marco Belinelli, Carlos Boozer, Luol Deng","Robinson, Mohammed, Belinelli, Boozer, Deng",101126-1737-201158-2430-2736,CHI,202.0,2,3.0,9.0,6.0,4.0,2.0,10.0,3.0,5.0,1.0,1.0,,,,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,11.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,5.0,2.0,,3.0,3.0,2.0,5.0,,,,,,,,,1.0,,2.0,,1.0,1.0,1.0,,1.0,,7.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,1.0,0.6428571428571429,1.0,0.6875,1.0,0.14285714285714285,0.75,0.6666666666666666,,0.75,0.6666666666666666,,1.0,0.5,1.0,1.0,,,71.2871287128713,,17.166666666666668,24.75,16.0,23.25,0.7142857142857143,0.6,0.6,,,,0.14285714285714285,,,,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.5255071428571428,0.5717,0.125,0.14285714285714285,0.36363636363636365,4.1000000000000005,25.6,2.0,,,,0.5,,,,,1.0,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
101126-1737-201959-202710-2550,1610612741,"Nate Robinson, Nazr Mohammed, Taj Gibson, Jimmy Butler, Kirk Hinrich","Robinson, Mohammed, Gibson, Butler, Hinrich",101126-1737-201959-202710-2550,CHI,101.0,1,2.0,2.0,2.0,3.0,,5.0,,,,,1.0,2.0,,,,,1.0,2.0,,,,2.0,,,,,,2.0,,,,,,1.0,,1.0,,,2.0,,,2.0,2.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,0.5,,0.5,,0.5,,,0.6666666666666666,,,0.5,,,,,1.0,1.0,,,71.2871287128713,,13.0,25.0,13.0,16.666666666666668,,,,1.0,0.5,1.0,,,,,,,,,,,,,0.43055,,,,,6.45,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2013,2012-13,False
