EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Corner3FGM,Corner3FGA,FG3M,FG3A,PtsAssisted3s,ThreePtAssists,Corner3Assists,ShootingFouls,Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Avg3ptShotDistance,Arc3FGM,Arc3FGA,FtPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg2aBlocked,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Turnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,FTOffRebounds,FTDefRebounds,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffFTReboundPct,OffArc3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,DefLongMidRangeReboundPct,ShortMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,Travels,LiveBallTurnoverPct,DefAtRimReboundPct,ShortMidRangePctAssisted,PenaltyFtPoints,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,SecondChanceTurnovers,Clear Path Fouls,Offensive Fouls,PenaltyFg3Pct,SecondChanceCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFouls,PenaltyCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,LostBallTurnovers,SecondChanceArc3PctAssisted,BlockedCorner3,LongMidRangePctBlocked,Loose Ball Fouls,BlockingFoulsDrawn,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,Charge Fouls Drawn,Technical Free Throw Trips,HeaveMakes,HeaveAttempts,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,BlockingFouls,OffensiveGoaltends,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,DefensiveGoaltends,team_id,year,season,team_vs
1740-201202-201596-202708-2034,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Norris Cole, Mike Miller","Lewis, Anthony, Chalmers, Cole, Miller",1740-201202-201596-202708-2034,MIA,89.0,1,1.0,2.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,97.07865168539325,11.0,18.666666666666668,11.0,16.666666666666668,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5451,8.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-201202-201596-202708-2544,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Norris Cole, LeBron James","Lewis, Anthony, Chalmers, Cole, James",1740-201202-201596-202708-2544,MIA,43.0,1,1.0,,1.0,1.0,2.0,,,,,,,3.0,3.0,,,,1.0,,3.0,,,,3.0,,,,1.5,1.5,66.97674418604652,26.0,17.0,26.0,17.0,,,,,,,,1.0,0.50475,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-201202-201596-202708-2592,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Norris Cole, James Jones","Lewis, Anthony, Chalmers, Cole, Jones",1740-201202-201596-202708-2592,MIA,71.0,1,1.0,3.0,2.0,1.0,3.0,,,,,,,5.0,2.0,,,,,,,,,,5.0,,,,1.5,1.25,60.84507042253521,16.5,38.0,16.5,38.0,,,,,,,,1.0,0.54975,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,26.6,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-201202-201596-2034-2203,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Mike Miller, Shane Battier","Lewis, Anthony, Chalmers, Miller, Battier",1740-201202-201596-2034-2203,MIA,761.0,2,13.0,-2.0,27.0,26.0,53.0,5.0,9.0,,2.0,6.0,20.0,24.0,26.0,6.0,6.0,3.0,5.0,2.0,12.0,6.0,4.0,2.0,19.0,0.5,0.6,0.3,0.375,0.42857142857142855,100.28909329829172,13.444444444444445,15.307692307692308,13.25925925925926,14.807692307692308,0.375,0.5555555555555556,0.625,0.4,0.08333333333333333,,,0.5416666666666666,0.5485354166666666,8.865,1.0,3.0,2.0,4.0,6.0,2.0,1.0,,2.0,1.0,0.5,0.5,0.16666666666666666,0.125,0.3333333333333333,0.3333333333333333,1.0,24.775,1.0,1.0,6.0,,1.0,1.0,7.0,9.0,5.0,1.0,,1.0,0.041666666666666664,1.0,1.0,1.0,0.17857142857142858,0.20833333333333334,3.0,1.0,2.0,1.0,9.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,6.0,3.0,9.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.05,0.1111111111111111,0.3333333333333333,0.14285714285714285,0.8333333333333334,0.5,0.6666666666666666,0.1875,0.25,0.125,0.5,0.3333333333333333,0.5,1.0,0.06666666666666667,0.375,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,0.5,0.6867,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-201202-201596-2034-2544,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Mike Miller, LeBron James","Lewis, Anthony, Chalmers, Miller, James",1740-201202-201596-2034-2544,MIA,185.0,1,3.0,-4.0,4.0,4.0,8.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,9.0,,4.0,,,,,,,,2.0,,,0.5,0.4,0.4166666666666667,62.27027027027027,29.75,16.5,20.0,16.5,0.4,0.5,1.0,,0.2,1.0,1.0,0.6,0.5208999999999999,7.425,,,,1.0,,,,2.0,3.0,,,,0.2,,,,,25.2,,1.0,1.0,,1.0,,3.0,2.0,1.0,,,,0.2,,,,0.16666666666666666,0.2,2.0,,,,1.0,1.0,2.0,1.0,3.0,,1.0,,,1.0,1.0,,,1.0,3.0,4.0,,1.0,,,1.0,,,0.5,0.5,0.5,0.25,0.5,,0.5,,1.0,,0.6666666666666666,1.0,,,,,,,0.2,,,,,,,0.39265,0.6,3.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5193,0.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-201202-201596-2034-2548,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Mike Miller, Dwyane Wade","Lewis, Anthony, Chalmers, Miller, Wade",1740-201202-201596-2034-2548,MIA,38.0,1,1.0,,2.0,1.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,113.6842105263158,13.0,12.0,13.0,12.0,,,,,,,,0.5,0.52275,20.1,,1.0,,1.0,,,,,1.0,,,,0.5,0.5,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-201202-201596-2034-2592,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, Mike Miller, James Jones","Lewis, Anthony, Chalmers, Miller, Jones",1740-201202-201596-2034-2592,MIA,208.0,1,3.0,-1.0,7.0,7.0,14.0,,6.0,1.0,1.0,1.0,7.0,4.0,5.0,2.0,,1.0,1.0,,2.0,,,,2.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.25,96.92307692307692,16.0,13.714285714285714,13.857142857142858,13.714285714285714,0.8571428571428571,,,,0.14285714285714285,1.0,1.0,0.8571428571428571,0.5402142857142856,3.5,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,1.0,2.0,1.0,,,,,,,,0.125,0.125,3.0,,2.0,,,1.0,3.0,,2.0,,4.0,,,,3.0,3.0,1.0,4.0,3.0,7.0,,1.0,,,2.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1.0,0.5,1.0,,1.0,0.5,0.5,,,,1.0,1.0,,,,,,,0.6666666666666666,,0.4373666666666667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-201202-201596-2544-2548,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, LeBron James, Dwyane Wade","Lewis, Anthony, Chalmers, James, Wade",1740-201202-201596-2544-2548,MIA,396.0,3,7.0,-2.0,12.0,12.0,24.0,2.0,6.0,1.0,3.0,4.0,10.0,12.0,14.0,6.0,2.0,3.0,3.0,2.0,6.0,,,,10.0,0.75,0.75,0.4,0.36363636363636365,0.46153846153846156,87.27272727272728,18.5,14.5,18.416666666666668,14.5,0.5454545454545454,0.3333333333333333,0.3333333333333333,1.0,0.2727272727272727,0.3333333333333333,0.5,0.6363636363636364,0.5381090909090909,5.16,,,,1.0,,,,,,,,,0.09090909090909091,,,,,24.6,,1.0,4.0,,1.0,,5.0,4.0,1.0,,,,0.09090909090909091,,,,0.08333333333333333,0.09090909090909091,2.0,,1.0,1.0,1.0,,1.0,2.0,2.0,,1.0,,1.0,,2.0,,4.0,5.0,2.0,7.0,,2.0,,,2.0,,,,,0.5,0.1,,1.0,0.4,,,1.0,0.3333333333333333,0.25,,,1.0,,,,0.09090909090909091,1.0,1.0,1.0,,1.0,,0.593,0.16666666666666666,3.0,6.0,1.0,2.0,1.0,2.0,6.0,,1.0,,,,6.0,3.0,0.5,0.5,0.75,1.0,,,1.0,0.5,0.6643,0.5,0.25,1.0,,,,1.0,,,,4.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-201202-201596-2544-951,1610612748,"Rashard Lewis, Joel Anthony, Mario Chalmers, LeBron James, Ray Allen","Lewis, Anthony, Chalmers, James, Allen",1740-201202-201596-2544-951,MIA,816.0,1,14.0,-8.0,21.0,21.0,42.0,2.0,4.0,3.0,10.0,6.0,19.0,22.0,30.0,2.0,10.0,1.0,2.0,,5.0,2.0,1.0,1.0,14.0,0.16666666666666666,0.2,0.3157894736842105,0.32608695652173914,0.4074074074074074,74.11764705882354,22.476190476190474,16.38095238095238,19.142857142857142,16.38095238095238,0.17391304347826086,0.5,0.6666666666666666,,0.43478260869565216,0.3,0.3333333333333333,0.34782608695652173,0.4362543478260869,9.468421052631578,,1.0,1.0,4.0,3.0,1.0,,3.0,8.0,1.0,0.25,0.25,0.17391304347826086,0.043478260869565216,,,,24.9,1.0,3.0,7.0,,3.0,1.0,8.0,8.0,1.0,,,,0.13043478260869565,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.05,6.0,1.0,1.0,1.0,5.0,2.0,6.0,4.0,8.0,2.0,2.0,1.0,,3.0,6.0,4.0,,4.0,9.0,13.0,,2.0,,,4.0,,,0.3333333333333333,0.2857142857142857,0.4444444444444444,0.10526315789473684,0.25,,0.5,0.8,1.0,0.8,0.6,1.0,0.3333333333333333,1.0,,0.6666666666666666,1.0,,0.21739130434782608,0.2,0.2,,1.0,0.14285714285714285,1.0,0.4433666666666667,0.36363636363636365,16.0,10.0,1.0,2.0,5.0,13.0,18.0,,,2.0,,3.0,18.0,16.0,0.38461538461538464,0.40625,0.47368421052631576,,,1.0,0.125,0.5,0.413540625,0.8181818181818182,0.7619047619047619,,1.0,2.0,2.0,,0.5,,0.3333333333333333,5.0,1.0,3.0,3.0,0.1,0.42857142857142855,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.1875,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
1740-201202-202227-202708-2592,1610612748,"Rashard Lewis, Joel Anthony, Terrel Harris, Norris Cole, James Jones","Lewis, Anthony, Harris, Cole, Jones",1740-201202-202227-202708-2592,MIA,87.0,1,1.0,2.0,2.0,3.0,5.0,,1.0,,,,1.0,2.0,,,,,,,,1.0,,1.0,,,,,,0.3333333333333333,82.75862068965517,15.0,19.0,15.0,18.333333333333332,0.5,,,,,,,1.0,0.600625,1.4,,,,1.0,,,,,,,,,0.5,,,,,25.0,,1.0,2.0,,1.0,,1.0,2.0,1.0,,,,0.5,,,,0.3333333333333333,0.5,1.0,,,,,,,2.0,2.0,,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,,,1.0,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,1.0,2.0,,,,,,2.0,2.0,,,0.3333333333333333,,,1.0,0.5,,0.600625,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,1.0,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2013,2012-13,True
