year,season,ortg,oreb%,total_points,total_fg_miss,total_oreb,total_opp_dreb,total_off_poss,total_opp_ft_dreb,total_ftoreb,total_fgoreb,total_opp_fgdreb
2001,2000-01,1.0410368862087869,0.307319935455479,13293,6511,2095,4722,12769,386,48.0,2047,4336
2002,2001-02,1.030100076982294,0.2966226138032305,13381,6458,2020,4790,12990,413,61.0,1959,4377
2003,2002-03,1.0476072402677907,0.2960812772133527,16900,7901,2448,5820,16132,470,69.0,2379,5350
2004,2003-04,0.9862686159311381,0.2892755128538042,14437,7308,2228,5474,14638,529,51.0,2177,4945
2005,2004-05,1.0782758164749437,0.3080821205821206,16310,7332,2371,5325,15126,471,71.0,2300,4854
2006,2005-06,1.0825922010075253,0.2752573389248952,17407,7449,2166,5703,16079,553,61.0,2105,5150
2007,2006-07,1.0482962545761758,0.2878598247809762,14890,6826,2070,5121,14204,454,72.0,1998,4667
2008,2007-08,1.069485414618158,0.29193590074954767,16315,7421,2259,5479,15255,443,70.0,2189,5036
2009,2008-09,1.078624401128831,0.2704210386505512,16435,7211,2036,5493,15237,480,50.0,1986,5013
2010,2009-10,1.0859024853999728,0.28766748701121136,15991,6980,2104,5210,14726,460,68.0,2036,4750
2011,2010-11,1.062133891213389,0.2947802197802198,15231,7039,2146,5134,14340,407,50.0,2096,4727
2012,2011-12,1.036566717638455,0.28098318240620956,15591,7439,2172,5558,15041,416,57.0,2115,5142
2013,2012-13,1.049626986701265,0.27830971530703436,16180,7543,2180,5653,15415,418,53.0,2127,5235
2014,2013-14,1.0875890007365578,0.27317615109245774,17719,7767,2213,5888,16292,458,75.0,2138,5430
2015,2014-15,1.0551237206892083,0.2715150018520805,16289,7731,2199,5900,15438,493,54.0,2145,5407
2016,2015-16,1.0684505289359054,0.2708308211744845,17170,8009,2246,6047,16070,423,57.0,2189,5624
2017,2016-17,1.1196124290010023,0.2614051712467849,16755,7133,1931,5456,14965,380,42.0,1889,5076
2018,2017-18,1.0940154563454045,0.24355337802991234,17129,7522,1889,5867,15657,380,40.0,1849,5487
2019,2018-19,1.0995393426294822,0.2596118637861589,17663,7947,2127,6066,16064,375,53.0,2074,5691
2020,2019-20,1.1199581255003388,0.23417161632756223,18187,7660,1853,6060,16239,378,49.0,1804,5682
2021,2020-21,1.1473845212603242,0.2553921568627451,18754,7942,2084,6076,16345,355,44.0,2040,5721
2022,2021-22,1.1196803680610206,0.25432462274567535,18496,7932,2073,6078,16519,363,56.0,2017,5715
2023,2022-23,1.13816765578635,0.26854378566112624,18411,7901,2165,5897,16176,316,38.0,2127,5581
2024,2023-24,1.1381168276496485,0.2664128151260504,17321,7441,2029,5587,15219,314,42.0,1987,5273
2025,2024-25,1.1335508011129234,0.28971611205113745,11815,5166,1541,3778,10423,234,52.0,1489,3544
