EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2A,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,FtPoints,Points,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,AtRimFGM,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,BlockingFouls,Fouls,BlockedLongMidRange,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShootingFouls,PenaltyDefPoss,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,DefLongMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,OffThreePtRebounds,BadPassSteals,Offensive Fouls,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,FTDefRebounds,DefFTReboundPct,PenaltyCorner3FGM,LongMidRangeAssists,SelfOReb,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffAtRimReboundPct,SelfORebPct,LongMidRangePctAssisted,PenaltyCorner3Accuracy,ShortMidRangeFGM,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceCorner3FGA,PtsUnassisted3s,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,BlockedShortMidRange,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Loose Ball Fouls,OffLongMidRangeReboundPct,Charge Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFoulsDrawn,StepOutOfBoundsTurnovers,SecondChanceFtPoints,PtsPutbacks,Technical Free Throw Trips,3pt And 1 Free Throw Trips,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,BlockedArc3,team_id,year,season,team_vs
101135-1627749-1938-200746-201980,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, LaMarcus Aldridge, Danny Green","Lee, Murray, Ginobili, Aldridge, Green",101135-1627749-1938-200746-201980,SAS,103.0,1,2.0,-4.0,3.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,97.86407766990291,1.0,16.0,13.75,15.666666666666666,13.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.4344666666666666,0.5492,0.4344666666666666,11.033333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-200746-203613,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, LaMarcus Aldridge, Jonathon Simmons","Lee, Murray, Ginobili, Aldridge, Simmons",101135-1627749-1938-200746-203613,SAS,223.0,2,4.0,-10.0,9.0,8.0,9.0,,17.0,1.0,,1.0,,1.0,2.0,14.0,,2.0,,1.0,1.0,,1.0,2.0,1.0,4.0,4.0,,,,,9.0,0.5,1.0,,1.0,,,1.0,,109.77578475336323,,13.666666666666666,12.5,13.666666666666666,12.5,0.2,,0.2,,0.2,0.8,0.4405,,0.4405,9.6,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,0.5,0.5,0.2,0.2,0.3333333333333333,0.3333333333333333,0.6,0.5,1.0,1.0,1.0,0.2,0.4,0.2,0.4,0.16666666666666666,0.3333333333333333,1.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-201980-203613,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Danny Green, Jonathon Simmons","Lee, Murray, Ginobili, Green, Simmons",101135-1627749-1938-201980-203613,SAS,40.0,1,1.0,2.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,36.0,,20.0,,20.0,,1.0,,,,,1.0,0.5392,,,1.6,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-203473-203613,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Dewayne Dedmon, Jonathon Simmons","Lee, Murray, Ginobili, Dedmon, Simmons",101135-1627749-1938-203473-203613,SAS,6.0,1,,-2.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-1938-203473-203937,1610612759,"David Lee, Dejounte Murray, Manu Ginobili, Dewayne Dedmon, Kyle Anderson","Lee, Murray, Ginobili, Dedmon, Anderson",101135-1627749-1938-203473-203937,SAS,211.0,1,4.0,7.0,8.0,8.0,3.0,,16.0,1.0,,,,1.0,2.0,4.0,,,,5.0,6.0,,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.5,1.0,,1.0,,,1.0,1.0,109.19431279620854,1.0,11.875,14.5,11.875,13.125,0.2,,0.2,,,0.8,0.48032,,0.51825,10.15,0.375,1.0,,,3.0,1.0,1.0,3.0,3.0,11.0,,1.0,3.0,6.0,2.0,,3.0,,,,1.0,1.0,,3.0,3.0,,11.0,6.0,0.5,,0.8,1.5,0.9166666666666666,1.5,0.6,,,1.0,1.0,,0.6,,1.0,0.16666666666666666,,0.5454545454545454,25.666666666666668,,,,2.0,,6.0,,2.0,,,,,,,1.0,8.0,2.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-200746-202695-203613,1610612759,"David Lee, Dejounte Murray, LaMarcus Aldridge, Kawhi Leonard, Jonathon Simmons","Lee, Murray, Aldridge, Leonard, Simmons",101135-1627749-200746-202695-203613,SAS,105.0,1,2.0,-5.0,3.0,4.0,3.0,,7.0,1.0,,1.0,1.0,,2.0,5.0,,2.0,,1.0,2.0,,2.0,,,,,,,,,3.0,,1.0,,1.0,,,,,96.0,,17.666666666666668,13.0,17.666666666666668,10.25,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.6666666666666666,0.5223333333333333,,0.5223333333333333,6.6,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,0.3333333333333333,,0.3333333333333333,,,,27.5,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-201980-202695-2200,1610612759,"David Lee, Dejounte Murray, Danny Green, Kawhi Leonard, Pau Gasol","Lee, Murray, Green, Leonard, Gasol",101135-1627749-201980-202695-2200,SAS,221.0,1,4.0,-3.0,6.0,6.0,,2.0,12.0,,,,,,,6.0,,,,,1.0,2.0,3.0,1.0,1.0,3.0,,,,,,,0.3333333333333333,,,1.0,0.5,,,,78.19004524886878,,20.166666666666668,16.666666666666668,17.833333333333332,16.666666666666668,,,,,,1.0,0.56907,,,,,,1.0,,4.0,,,5.0,,3.0,,,,,,,4.0,,2.0,1.0,1.0,2.0,,,,,,,,,0.3,,0.3,,1.0,,,,,0.2,0.8,,,,,,25.16,,,,1.0,,3.0,,2.0,,,,,,,,,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,,,1.0,0.2,,0.2,1.0,,0.25,0.25,1.0,,0.25,,,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0.5,0.75,0.75,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-201988-202695-203613,1610612759,"David Lee, Dejounte Murray, Patty Mills, Kawhi Leonard, Jonathon Simmons","Lee, Murray, Mills, Leonard, Simmons",101135-1627749-201988-202695-203613,SAS,143.0,1,2.0,-3.0,3.0,4.0,,,7.0,1.0,,,,,1.0,6.0,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,70.4895104895105,,21.333333333333332,19.75,21.333333333333332,19.75,0.3333333333333333,,,,,1.0,0.4829833333333333,,,3.7,,,1.0,,1.0,,,2.0,,3.0,,,,,,,1.0,1.0,,,,,,1.0,,,3.0,,,,0.5,,0.5,,0.6666666666666666,1.0,1.0,,,0.3333333333333333,0.3333333333333333,,,,,,24.3,,,,1.0,,3.0,,,,,,,,,,4.0,,,1.0,,3.0,,1.0,,,,,1.0,0.5,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-201988-203613-203937,1610612759,"David Lee, Dejounte Murray, Patty Mills, Jonathon Simmons, Kyle Anderson","Lee, Murray, Mills, Simmons, Anderson",101135-1627749-201988-203613-203937,SAS,158.0,1,3.0,-13.0,4.0,5.0,,,9.0,,,,,,,13.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,82.0253164556962,,12.25,21.8,12.25,18.4,,,,,,1.0,0.558,,,,,,1.0,,3.0,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,0.25,0.75,,,,,,24.8,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
101135-1627749-202722-203613-203937,1610612759,"David Lee, Dejounte Murray, Davis Bertans, Jonathon Simmons, Kyle Anderson","Lee, Murray, Bertans, Simmons, Anderson",101135-1627749-202722-203613-203937,SAS,598.0,2,10.0,-9.0,22.0,21.0,16.0,3.0,43.0,5.0,1.0,1.0,2.0,2.0,9.0,27.0,1.0,4.0,1.0,4.0,6.0,3.0,9.0,1.0,,3.0,3.0,,,,,16.0,0.3333333333333333,0.5714285714285714,0.14285714285714285,0.6,0.23076923076923078,,0.5,0.5,103.54515050167224,,15.727272727272727,12.0,14.954545454545455,10.80952380952381,0.2631578947368421,0.10526315789473684,0.10526315789473684,0.3333333333333333,0.08333333333333333,0.7894736842105263,0.5203131578947368,0.552,0.5010416666666667,6.355555555555556,0.7272727272727273,1.0,3.0,2.0,7.0,6.0,2.0,10.0,2.0,18.0,,8.0,2.0,11.0,,,7.0,,2.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,15.0,11.0,0.2222222222222222,,0.42105263157894735,0.375,0.42857142857142855,0.39285714285714285,0.5263157894736842,,,0.5,0.5,0.15789473684210525,0.3684210526315789,0.16666666666666666,0.5,0.05,0.1,0.6111111111111112,24.94,1.0,4.0,2.0,6.0,1.0,16.0,,7.0,,1.0,1.0,0.2,0.2,1.0,5.0,15.0,2.0,2.0,4.0,3.0,12.0,2.0,4.0,2.0,2.0,,,1.0,0.4,0.375,0.4,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2857142857142857,1.0,0.3333333333333333,0.2857142857142857,,0.6666666666666666,1.0,2.0,1.0,2.0,3.0,2.0,1.0,,0.5,0.5,0.5,0.3333333333333333,0.2,1.0,,0.6666666666666666,0.5,1.0,0.16666666666666666,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.15384615384615385,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2017,2016-17,True
