EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3FGM,PenaltyArc3Accuracy,Fg3aBlocked,Charge Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,BlockingFouls,Corner3PctBlocked,HeaveAttempts,BlockedShortMidRange,OffCorner3ReboundPct,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,3SecondViolations,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
101133-1626162-201160-201943-202322,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Brandon Jennings, John Wall","Mahinmi, Oubre Jr., Smith, Jennings, Wall",101133-1626162-201160-201943-202322,WAS,215.0,2,4.0,-4.0,7.0,6.0,2.0,13.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,7.0,11.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,87.06976744186046,13.857142857142858,19.666666666666668,13.857142857142858,19.0,0.5,0.3333333333333333,0.5,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.8333333333333334,0.6184083333333333,4.7,25.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,True
101133-1626162-201160-201943-202711,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Brandon Jennings, Bojan Bogdanovic","Mahinmi, Oubre Jr., Smith, Jennings, Bogdanovic",101133-1626162-201160-201943-202711,WAS,5139.0,13,86.0,-48.0,178.0,180.0,27.0,358.0,30.0,56.0,11.0,37.0,4.0,7.0,35.0,47.0,118.0,13.0,42.0,153.0,201.0,56.0,38.0,33.0,35.0,9.0,28.0,11.0,39.0,4.0,5.0,89.0,33.0,60.0,88.0,15.0,3.0,15.0,5.0,30.0,24.0,44.0,44.0,123.0,0.5957446808510638,0.6666666666666666,0.8461538461538461,0.30952380952380953,0.30952380952380953,0.3983050847457627,0.415625,0.4342857142857143,0.2625,0.07627118644067797,0.14285714285714285,0.5,0.673469387755102,0.6385542168674698,0.7857142857142857,100.31523642732049,15.264044943820224,13.455555555555556,14.573033707865168,12.683333333333334,0.35,0.5357142857142857,0.625,0.23125,0.2972972972972973,0.2972972972972973,0.45454545454545453,0.04375,0.5714285714285714,0.5714285714285714,1.0,0.21875,0.6125,0.5093924999999999,8.453389830508474,25.654761904761905,20.0,24.0,9.0,13.0,4.0,7.0,6.0,25.0,1.0,1.0,9.0,1.0,2.0,3.0,20.0,12.0,21.0,1.0,2.0,3.0,30.0,6.0,15.0,1.0,4.0,5.0,20.0,6.0,10.0,9.0,7.0,19.0,4.0,6.0,21.0,1.0,20.0,7.0,28.0,4.0,12.0,4.0,15.0,1.0,10.0,1.0,2.0,1.0,3.0,1.0,6.0,5.0,4.0,8.0,2.0,33.0,2.0,1.0,16.0,1.0,7.0,2.0,2.0,7.0,9.0,4.0,1.0,1.0,20.0,20.0,3.0,1.0,0.5,0.25,0.5714285714285714,0.4,0.5869565217391305,0.39473684210526316,0.6,0.45454545454545453,0.04,0.875,0.14285714285714285,0.29577464788732394,0.5882352941176471,0.20689655172413793,0.27,0.38461538461538464,0.21052631578947367,0.2692307692307692,0.23076923076923078,0.5,0.8461538461538461,0.5666666666666667,0.75,0.04395604395604396,0.4444444444444444,0.6333333333333333,0.15625,0.24,0.25,0.6666666666666666,0.2571428571428571,0.2571428571428571,0.7777777777777778,0.5652173913043478,0.6923076923076923,0.3333333333333333,0.08695652173913043,0.5,1.0,0.3684210526315789,0.5714285714285714,0.05263157894736842,1.0,0.15789473684210525,0.2571428571428571,0.5349888888888888,0.5018868421052631,0.09195402298850575,0.12121212121212122,0.19607843137254902,0.13071895424836602,0.11235955056179775,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,True
101133-1626162-201160-201943-203078,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Brandon Jennings, Bradley Beal","Mahinmi, Oubre Jr., Smith, Jennings, Beal",101133-1626162-201160-201943-203078,WAS,501.0,5,8.0,-8.0,18.0,18.0,3.0,36.0,2.0,5.0,1.0,4.0,,2.0,2.0,3.0,12.0,1.0,4.0,13.0,21.0,,6.0,3.0,2.0,1.0,,1.0,1.0,,,3.0,3.0,6.0,8.0,2.0,1.0,,,1.0,4.0,5.0,5.0,11.0,,,1.0,0.25,0.25,0.25,0.28125,0.3611111111111111,0.25,0.08333333333333333,0.2,,0.5,0.5555555555555556,1.0,103.47305389221557,15.555555555555555,12.277777777777779,15.222222222222221,11.722222222222221,0.3125,0.4,0.5,0.25,0.25,0.25,,0.125,,,,0.125,0.5625,0.51658125,9.191666666666666,25.25,9.0,2.0,1.0,2.0,,1.0,,3.0,,1.0,1.0,,,,4.0,1.0,2.0,,,,2.0,1.0,6.0,,1.0,2.0,4.0,,2.0,1.0,1.0,,,,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,4.0,,,2.0,,1.0,,,1.0,1.0,1.0,1.0,,4.0,9.0,,,,,0.5,0.16666666666666666,0.5,0.14285714285714285,0.5,0.25,,1.0,,0.2222222222222222,0.6666666666666666,,0.16666666666666666,0.6666666666666666,,,,0.6666666666666666,,0.6666666666666666,,0.09090909090909091,1.0,,0.1875,,,,0.5,0.5,1.0,1.0,0.5,,,,,0.14285714285714285,,0.14285714285714285,,,0.5,0.5884,0.4366357142857143,0.1111111111111111,0.14285714285714285,0.15384615384615385,0.3076923076923077,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,True
101133-1626162-201160-201977-202322,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Marcus Thornton, John Wall","Mahinmi, Oubre Jr., Smith, Thornton, Wall",101133-1626162-201160-201977-202322,WAS,65.0,1,1.0,,2.0,3.0,,5.0,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,2.0,2.0,2.0,,,,,1.0,,1.0,,,2.0,,2.0,2.0,,,,,,,,1.0,2.0,1.0,1.0,,,,1.0,0.5,0.5,0.5,,,,,1.0,,110.76923076923077,20.0,8.333333333333334,20.0,7.666666666666667,0.5,1.0,1.0,,,,,0.5,,,,,1.0,0.528075,2.7,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,True
101133-1626162-201160-201977-203107,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Marcus Thornton, Tomas Satoransky","Mahinmi, Oubre Jr., Smith, Thornton, Satoransky",101133-1626162-201160-201977-203107,WAS,91.0,1,2.0,4.0,3.0,2.0,,5.0,,,,,1.0,1.0,,,1.0,1.0,1.0,5.0,1.0,,,3.0,,1.0,,1.0,1.0,1.0,,3.0,,1.0,2.0,,,1.0,,1.0,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,,0.75,0.8333333333333334,0.5,1.0,,1.0,,0.5,,79.12087912087912,14.666666666666666,23.5,13.333333333333334,22.5,,,,,,,,0.5,1.0,1.0,1.0,,0.5,0.4239,6.5,24.5,,1.0,,,,,,1.0,,,,,,,2.0,,,1.0,1.0,,3.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.5,,1.5,,1.0,,,1.0,0.5,,1.0,,1.0,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,0.4878,,0.3333333333333333,0.5,0.6,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,True
101133-1626162-201160-202322-202711,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, John Wall, Bojan Bogdanovic","Mahinmi, Oubre Jr., Smith, Wall, Bogdanovic",101133-1626162-201160-202322-202711,WAS,346.0,3,6.0,-7.0,10.0,11.0,,21.0,4.0,7.0,,1.0,,,2.0,4.0,10.0,1.0,2.0,12.0,19.0,4.0,4.0,,2.0,2.0,2.0,,2.0,,,4.0,1.0,2.0,6.0,1.0,,1.0,1.0,1.0,2.0,2.0,4.0,8.0,0.5,0.6666666666666666,,0.5,0.5,0.4,0.4583333333333333,0.46153846153846156,0.16666666666666666,0.2,0.2857142857142857,1.0,0.5,0.6666666666666666,1.0,87.39884393063583,18.7,14.454545454545455,17.0,14.181818181818182,0.5833333333333334,0.5714285714285714,0.8,0.08333333333333333,,,,,,,,0.16666666666666666,0.75,0.514575,4.46,24.8,1.0,2.0,2.0,3.0,,,,2.0,,,1.0,,,1.0,1.0,2.0,3.0,,,,4.0,,,1.0,1.0,,3.0,3.0,2.0,1.0,,2.0,,1.0,3.0,,1.0,,4.0,,1.0,,,,,,,,,,,,1.0,,,2.0,,,1.0,,1.0,,,1.0,1.0,,,,3.0,1.0,,,,1.0,0.6666666666666666,,0.6666666666666666,1.5,0.6666666666666666,1.5,,,,0.5,1.0,1.0,0.5714285714285714,0.3333333333333333,0.5,1.0,1.0,,,1.0,,,,0.5,0.16666666666666666,,,,0.5,0.5,,1.0,0.6666666666666666,0.5,,,,,,,,1.0,0.5,0.5957333333333333,0.51015,0.07692307692307693,0.09090909090909091,0.3333333333333333,0.25,0.1,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,True
101133-1626162-201160-202322-203078,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, John Wall, Bradley Beal","Mahinmi, Oubre Jr., Smith, Wall, Beal",101133-1626162-201160-202322-203078,WAS,931.0,6,16.0,13.0,31.0,29.0,8.0,60.0,2.0,8.0,2.0,4.0,,1.0,11.0,7.0,17.0,5.0,12.0,36.0,23.0,6.0,8.0,9.0,11.0,,3.0,3.0,6.0,,1.0,15.0,6.0,12.0,20.0,2.0,,3.0,1.0,4.0,6.0,8.0,9.0,34.0,0.42857142857142855,0.42857142857142855,0.6,0.4166666666666667,0.4166666666666667,0.4117647058823529,0.5,0.5294117647058824,0.41379310344827586,,,0.75,0.6666666666666666,0.6,1.0,92.80343716433941,15.225806451612904,15.827586206896552,12.774193548387096,14.517241379310345,0.27586206896551724,0.25,0.25,0.13793103448275862,0.5,0.5,0.5,0.034482758620689655,,,,0.3793103448275862,0.6896551724137931,0.49216607142857144,7.352941176470588,26.96666666666667,22.0,5.0,1.0,6.0,,1.0,3.0,5.0,,1.0,5.0,,2.0,7.0,7.0,1.0,6.0,,3.0,,2.0,4.0,7.0,4.0,8.0,7.0,27.0,6.0,,5.0,3.0,1.0,1.0,1.0,7.0,,3.0,3.0,8.0,,2.0,,1.0,,2.0,,,,3.0,,1.0,1.0,,2.0,,10.0,,,3.0,2.0,,,,,,,,1.0,27.0,22.0,1.0,2.0,,0.5,0.16666666666666666,0.5714285714285714,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.675,,0.75,,0.7,0.5,0.14285714285714285,0.47058823529411764,0.8333333333333334,0.5,0.5,0.16666666666666666,0.5,0.6666666666666666,0.5,0.5,,,0.5,0.1724137931034483,0.6,0.6,0.3333333333333333,0.45454545454545453,0.5,0.6,0.6666666666666666,0.16666666666666666,1.0,0.2222222222222222,,,0.06666666666666667,,0.06666666666666667,,0.4666666666666667,0.45454545454545453,0.5361,0.47333,0.09375,0.15,0.05555555555555555,0.75,0.7096774193548387,,1.0,0.1111111111111111,,,4.0,0.5714285714285714,1.0,1.0,0.08333333333333333,0.09090909090909091,,,,,,,,,,,,,,,1610612764,2017,2016-17,True
101133-1626162-201160-202322-203504,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, John Wall, Trey Burke","Mahinmi, Oubre Jr., Smith, Wall, Burke",101133-1626162-201160-202322-203504,WAS,146.0,3,2.0,-3.0,6.0,7.0,5.0,13.0,1.0,1.0,1.0,2.0,,,1.0,2.0,3.0,,1.0,6.0,9.0,2.0,2.0,,1.0,,1.0,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,,3.0,3.0,2.0,6.0,0.5,0.5,,,,0.6666666666666666,0.5,0.6,0.25,,,,,,,128.2191780821918,12.166666666666666,10.428571428571429,12.166666666666666,10.428571428571429,0.25,1.0,1.0,0.5,0.5,0.5,,,,,,0.25,0.5,0.449875,11.633333333333333,25.0,5.0,,,,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,2.0,2.0,,1.0,2.0,6.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,6.0,5.0,,,,,,1.0,,0.6666666666666666,,0.75,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,1.0,,,0.3333333333333333,,,0.47080000000000005,0.2,0.25,,1.0,0.8333333333333334,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1610612764,2017,2016-17,True
101133-1626162-201160-202711-203107,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Bojan Bogdanovic, Tomas Satoransky","Mahinmi, Oubre Jr., Smith, Bogdanovic, Satoransky",101133-1626162-201160-202711-203107,WAS,762.0,2,13.0,-11.0,23.0,24.0,,47.0,2.0,4.0,3.0,3.0,,3.0,5.0,5.0,12.0,3.0,8.0,20.0,31.0,4.0,6.0,6.0,5.0,4.0,2.0,2.0,4.0,,1.0,10.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,20.0,0.4,0.4,0.6666666666666666,0.375,0.375,0.4166666666666667,0.475,0.47619047619047616,0.4,0.3333333333333333,0.5,0.5,0.8,0.8,1.0,88.81889763779527,17.47826086956522,15.0,17.47826086956522,14.708333333333334,0.2,0.5,1.0,0.15,1.0,1.0,0.3333333333333333,0.15,,,,0.25,0.6,0.4683,6.991666666666667,25.8125,2.0,,,,1.0,1.0,,5.0,,,3.0,,,,1.0,,,,,,,2.0,2.0,,,,4.0,3.0,,3.0,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,4.0,2.0,,,,,,1.0,,1.0,,1.0,0.4,,,,,,,,,,,0.5,1.0,,,,,0.5,0.25,,,,0.6,0.6,0.6666666666666666,,,,,,,0.5,1.0,,,,0.6,,0.36415,0.047619047619047616,0.07692307692307693,,0.2,0.08695652173913043,,,,,,,,1.0,,0.125,,1.0,0.3333333333333333,,,,,,,,,,,,,1610612764,2017,2016-17,True
101133-1626162-201160-203078-203107,1610612764,"Ian Mahinmi, Kelly Oubre Jr., Jason Smith, Bradley Beal, Tomas Satoransky","Mahinmi, Oubre Jr., Smith, Beal, Satoransky",101133-1626162-201160-203078-203107,WAS,309.0,1,5.0,-5.0,9.0,10.0,4.0,19.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,9.0,1.0,3.0,7.0,12.0,,4.0,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,2.0,3.0,5.0,1.0,,,,,,1.0,1.0,3.0,,,1.0,0.3333333333333333,0.5,0.2222222222222222,0.2916666666666667,0.2916666666666667,0.25,0.1111111111111111,,,1.0,1.0,1.0,88.54368932038834,18.444444444444443,14.3,15.777777777777779,14.3,0.16666666666666666,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,0.4166666666666667,0.4708090909090909,8.8,30.133333333333336,,2.0,1.0,1.0,,,,4.0,,,,,,,,2.0,2.0,,,,4.0,,,,,,,,,,,,,,2.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,0.25,,,0.2857142857142857,1.0,,0.25,,0.5,,,,,,1.0,,,,0.3333333333333333,,,,,,,0.5,1.0,,,,,,,,,,,0.48895,,,,0.5714285714285714,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1610612764,2017,2016-17,True
