EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyDefPoss,LongMidRangeFGA,ShootingFouls,DefArc3ReboundPct,LongMidRangeFrequency,PenaltyOffPoss,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,PenaltyShotQualityAvg,PenaltyOffPossPct,Corner3FGA,LostBallTurnovers,Corner3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,SelfOReb,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyPointsPct,LongMidRangeFGM,LostBallSteals,DeadBallTurnovers,Offensive Fouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PtsUnassisted3s,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,OffLongMidRangeReboundPct,PenaltyArc3FGM,PenaltyFG3M,HeaveAttempts,Fg2aBlocked,LongMidRangeAssists,BlockingFouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,PenaltyArc3Accuracy,PenaltyFtPoints,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyTurnovers,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,OffAtRimReboundPct,NonShootingPenaltyNonTakeFouls,2pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Charge Fouls Drawn,Charge Fouls,BadPassOutOfBoundsTurnovers,LongMidRangePctBlocked,Defensive 3 Seconds Violations,Travels,3SecondViolations,StepOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,BlockedLongMidRange,SecondChanceCorner3PctAssisted,BlockedCorner3,Corner3PctBlocked,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101123-101161-1626179-1627759-203092,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jaylen Brown, Tyler Zeller","Green, Johnson, Rozier, Brown, Zeller",101123-101161-1626179-1627759-203092,BOS,193.0,1,3.0,1.0,6.0,7.0,1.0,13.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,0.5,0.5,1.0,1.0,0.4,1.0,0.4166666666666667,1.0,0.6,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5,96.99481865284974,16.666666666666668,13.285714285714286,16.166666666666668,11.714285714285714,0.4,1.0,1.0,0.5,0.6,1.0,1.0,1.0,1.0,0.68157,0.9307,0.16666666666666666,0.3333333333333333,0.4,0.5,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-1627759-203935,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jaylen Brown, Marcus Smart","Green, Johnson, Rozier, Brown, Smart",101123-101161-1626179-1627759-203935,BOS,205.0,1,3.0,3.0,6.0,6.0,2.0,12.0,2.0,3.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,11.0,8.0,1.0,1.0,5.0,,4.0,4.0,,2.0,,6.0,2.0,1.0,2.0,2.0,4.0,,,,,,,,3.0,1.0,2.0,1.0,6.0,,,0.5,1.0,0.625,1.25,0.6111111111111112,1.25,0.5,,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,,84.29268292682927,20.5,13.666666666666666,18.0,12.833333333333334,0.375,0.6666666666666666,0.6666666666666666,,0.5,0.5,1.0,,0.875,0.569875,0.4971,0.1111111111111111,0.2,0.45454545454545453,4.425,25.675,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.125,0.5,0.5,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-201143-202738,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Al Horford, Isaiah Thomas","Green, Johnson, Rozier, Horford, Thomas",101123-101161-1626179-201143-202738,BOS,90.0,1,2.0,,3.0,3.0,,6.0,,,,,1.0,,2.0,1.0,,3.0,3.0,,,,,,1.0,,1.0,,3.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,3.0,,,,,0.5,,0.5,,0.3333333333333333,,,,1.0,,,,,96.0,11.333333333333334,18.666666666666668,11.333333333333334,18.666666666666668,,,,,0.3333333333333333,,,,0.3333333333333333,0.4526333333333334,,,,,14.0,24.8,1.0,1.0,,,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,0.3333333333333333,1.0,1.0,1.0,,,,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-201143-203109,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Al Horford, Jae Crowder","Green, Johnson, Rozier, Horford, Crowder",101123-101161-1626179-201143-203109,BOS,35.0,1,1.0,-3.0,1.0,1.0,,2.0,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.28571428571428,12.0,23.0,12.0,23.0,,,,,,,,,,0.3654,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,0.3654,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-201143-203935,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Al Horford, Marcus Smart","Green, Johnson, Rozier, Horford, Smart",101123-101161-1626179-201143-203935,BOS,93.0,1,2.0,2.0,4.0,3.0,,7.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,4.0,2.0,,,,2.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,2.0,1.0,4.0,1.0,1.0,1.0,,0.5,,0.6666666666666666,,0.5,1.0,1.0,,1.0,,,1.0,,108.38709677419355,9.75,18.0,9.75,18.0,0.5,1.0,1.0,1.0,,,,,1.0,0.671025,,0.3333333333333333,0.5,,1.1,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-201973-202340,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jonas Jerebko, Avery Bradley","Green, Johnson, Rozier, Jerebko, Bradley",101123-101161-1626179-201973-202340,BOS,432.0,3,7.0,2.0,13.0,13.0,3.0,26.0,3.0,3.0,2.0,2.0,7.0,4.0,6.0,8.0,3.0,20.0,18.0,2.0,2.0,5.0,4.0,4.0,7.0,2.0,5.0,1.0,13.0,2.0,1.0,4.0,3.0,7.0,1.0,1.0,,,,3.0,,2.0,,4.0,2.0,15.0,0.5,1.0,0.6666666666666666,1.0,0.6071428571428571,1.0,0.625,0.8333333333333334,0.5714285714285714,,1.0,0.4,1.0,0.42857142857142855,0.4,,1.0,86.66666666666667,15.153846153846153,18.076923076923077,15.0,18.076923076923077,0.21428571428571427,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,,0.7857142857142857,0.5287642857142857,0.5424,0.125,0.25,0.25,5.116666666666666,25.0875,2.0,2.0,,,3.0,,,9.0,2.0,3.0,2.0,2.0,1.0,0.375,,0.375,1.0,1.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,1.0,,,,0.2857142857142857,7.0,1.0,2.0,,0.07142857142857142,4.0,2.0,4.0,0.498375,0.3076923076923077,1.0,,0.07142857142857142,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.25,1.0,0.5,1.0,0.14285714285714285,0.5,0.5,1.0,1.0,1.0,1.0,0.25,1.0,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-201973-202738,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jonas Jerebko, Isaiah Thomas","Green, Johnson, Rozier, Jerebko, Thomas",101123-101161-1626179-201973-202738,BOS,412.0,2,7.0,5.0,13.0,13.0,1.0,26.0,3.0,4.0,,1.0,3.0,5.0,8.0,5.0,2.0,15.0,10.0,,1.0,,4.0,6.0,3.0,2.0,3.0,1.0,7.0,,2.0,8.0,1.0,9.0,1.0,,,,1.0,1.0,,1.0,,2.0,1.0,15.0,0.4,0.4,0.625,,0.5,,0.5357142857142857,,0.38461538461538464,,0.4,,0.7272727272727273,0.16666666666666666,,0.5,0.5,90.873786407767,13.923076923076923,17.76923076923077,13.692307692307692,16.307692307692307,0.3076923076923077,0.75,0.75,0.3333333333333333,0.23076923076923078,1.0,,,0.6923076923076923,0.5352541666666667,0.6229,0.07142857142857142,0.1111111111111111,,7.2,27.46,2.0,,,,1.0,,,3.0,,1.0,,6.0,1.0,0.2,,0.2,1.0,1.0,0.15384615384615385,,,,,,,,2.0,2.0,,1.0,0.15384615384615385,1.0,2.0,1.0,0.49305,0.07692307692307693,2.0,,0.15384615384615385,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,0.3333333333333333,1.0,,0.5,0.5,1.0,0.5,0.5,1.0,0.3333333333333333,,0.3333333333333333,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-201973-203109,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jonas Jerebko, Jae Crowder","Green, Johnson, Rozier, Jerebko, Crowder",101123-101161-1626179-201973-203109,BOS,158.0,1,3.0,-1.0,6.0,7.0,,13.0,,1.0,,,3.0,1.0,3.0,3.0,,5.0,6.0,,,,,2.0,3.0,,,,,,2.0,3.0,,3.0,2.0,2.0,,,,1.0,,,,,,5.0,,,0.3333333333333333,,0.4166666666666667,,0.4166666666666667,,0.5,,1.0,,1.0,,,1.0,1.0,118.48101265822785,11.166666666666666,13.0,11.166666666666666,13.0,0.16666666666666666,,,,0.5,,,,0.6666666666666666,0.4227166666666667,,,,,14.533333333333333,26.833333333333332,,1.0,,,1.0,,,,1.0,,,1.0,,0.3333333333333333,,0.3333333333333333,1.0,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,,1.0,0.1872,0.16666666666666666,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,0.5,0.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-201973-203935,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jonas Jerebko, Marcus Smart","Green, Johnson, Rozier, Jerebko, Smart",101123-101161-1626179-201973-203935,BOS,132.0,3,2.0,-4.0,3.0,3.0,1.0,6.0,,,,,1.0,,1.0,1.0,1.0,1.0,5.0,,1.0,1.0,,,1.0,,,,,1.0,,1.0,2.0,3.0,,,2.0,1.0,2.0,,,2.0,,3.0,1.0,,,,,,,,0.125,0.16666666666666666,0.5,1.0,,1.0,0.5,1.0,1.0,,,65.45454545454545,29.666666666666668,14.333333333333334,21.333333333333332,9.666666666666666,,,,,0.5,,,,0.5,0.308825,,0.3333333333333333,0.5,1.0,19.0,24.2,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,3.0,1.0,,,0.5,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
101123-101161-1626179-203109-203482,1610612738,"Gerald Green, Amir Johnson, Terry Rozier, Jae Crowder, Kelly Olynyk","Green, Johnson, Rozier, Crowder, Olynyk",101123-101161-1626179-203109-203482,BOS,68.0,1,1.0,,2.0,1.0,,3.0,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,0.5,,1.0,,1.0,,,,1.0,63.529411764705884,16.5,35.0,16.5,35.0,,,,,0.5,,,,0.5,0.454725,,,,,21.4,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2017,2016-17,False
