EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,NonShootingPenaltyNonTakeFouls,PenaltyFG2A,PenaltyShotQualityAvg,PenaltyOffPoss,PenaltyTurnovers,BlockedShortMidRange,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,LostBallOutOfBoundsTurnovers,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,FTOffRebounds,BadPassOutOfBoundsTurnovers,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,Loose Ball Fouls Drawn,BlockingFoulsDrawn,ShortMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceFG3M,SelfOReb,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SelfORebPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,DefensiveGoaltends,3SecondViolations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,Loose Ball Fouls,FG3APctBlocked,Corner3PctBlocked,Offensive Fouls Drawn,BlockedLongMidRange,Travels,Defensive 3 Seconds Violations,HeaveAttempts,Arc3PctBlocked,OffensiveGoaltends,Clear Path Fouls,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,HeaveMakes,BlockedCorner3,team_id,year,season,team_vs
1626159-1626196-201177-201609-202355,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, Goran Dragic, Hassan Whiteside","Winslow, Richardson, McRoberts, Dragic, Whiteside",1626159-1626196-201177-201609-202355,MIA,2296.0,3,38.0,4.0,74.0,74.0,3.0,7.0,148.0,12.0,21.0,1.0,2.0,10.0,15.0,3.0,12.0,1.0,7.0,1.0,8.0,15.0,2.0,25.0,48.0,9.0,22.0,7.0,84.0,80.0,2.0,4.0,3.0,4.0,14.0,36.0,24.0,3.0,2.0,15.0,8.0,3.0,7.0,8.0,15.0,7.0,1.0,4.0,1.0,2.0,38.0,3.0,4.0,7.0,19.0,1.0,27.0,7.0,34.0,7.0,6.0,1.0,3.0,2.0,2.0,1.0,5.0,6.0,1.0,13.0,1.0,14.0,1.0,14.0,2.0,7.0,1.0,2.0,2.0,2.0,2.0,80.0,0.28,0.2916666666666667,0.8888888888888888,0.4090909090909091,0.4090909090909091,0.5208333333333334,0.5,0.55,0.2857142857142857,0.5526315789473685,0.2857142857142857,0.3142857142857143,0.0625,0.09523809523809523,0.08333333333333333,0.6,0.5,0.9047619047619048,0.17391304347826086,0.6363636363636364,0.23076923076923078,0.8125,0.19444444444444445,0.1111111111111111,0.4,0.1111111111111111,0.2857142857142857,0.16666666666666666,0.8,1.0,1.0,0.5,0.8,92.82229965156795,1.0,14.905405405405405,16.12162162162162,14.41891891891892,15.486486486486486,0.3,0.5714285714285714,0.631578947368421,0.3333333333333333,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.1,0.17142857142857143,0.25,0.2727272727272727,0.6666666666666666,0.1,0.14285714285714285,0.14285714285714285,1.0,0.21428571428571427,0.5333333333333333,0.5333333333333333,0.875,0.2857142857142857,0.5,0.14285714285714285,0.2857142857142857,0.6142857142857143,0.5333333333333333,0.5018935714285715,0.48395,0.09333333333333334,0.1320754716981132,0.047619047619047616,8.316666666666666,24.745454545454546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
1626159-1626196-201177-201609-204020,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, Goran Dragic, Tyler Johnson","Winslow, Richardson, McRoberts, Dragic, Johnson",1626159-1626196-201177-201609-204020,MIA,2.0,1,,-2.0,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
1626159-1626196-201177-201949-202337,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, James Johnson, Luke Babbitt","Winslow, Richardson, McRoberts, Johnson, Babbitt",1626159-1626196-201177-201949-202337,MIA,3.0,1,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
1626159-1626196-201177-201949-203585,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, James Johnson, Rodney McGruder","Winslow, Richardson, McRoberts, Johnson, McGruder",1626159-1626196-201177-201949-203585,MIA,114.0,1,2.0,-1.0,3.0,3.0,,,6.0,1.0,1.0,,,1.0,1.0,,,,,,,,,2.0,2.0,,,2.0,6.0,7.0,,,,,2.0,2.0,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,2.0,,1.0,,,,,,6.0,0.5,0.5,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,,19.333333333333332,18.666666666666668,19.333333333333332,18.666666666666668,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,0.5,,0.49225,,0.3333333333333333,0.3333333333333333,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
1626159-1626196-201177-202355-204020,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, Hassan Whiteside, Tyler Johnson","Winslow, Richardson, McRoberts, Whiteside, Johnson",1626159-1626196-201177-202355-204020,MIA,63.0,1,1.0,3.0,2.0,2.0,,,4.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,5.0,2.0,,,,,,2.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,,,,1.0,1.0,0.5,,0.8333333333333334,,0.8333333333333334,,0.3333333333333333,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,91.42857142857143,,9.0,22.5,9.0,22.5,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,0.6666666666666666,1.0,0.49163333333333337,,,,,6.35,24.8,,1.0,0.2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
1626159-1626196-201177-202682-204020,1610612748,"Justise Winslow, Josh Richardson, Josh McRoberts, Derrick Williams, Tyler Johnson","Winslow, Richardson, McRoberts, Williams, Johnson",1626159-1626196-201177-202682-204020,MIA,124.0,1,2.0,,4.0,5.0,,,9.0,,,,,1.0,1.0,,,,,,,3.0,,1.0,1.0,,3.0,,2.0,2.0,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,3.0,1.0,4.0,,4.0,,,,,,,,,,,,,3.0,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,,0.25,,0.25,,0.75,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,104.51612903225805,1.0,18.75,9.8,18.75,9.6,,,,,0.25,1.0,1.0,,,,,,,,,,0.75,,,,,,,,0.75,,0.525475,,,,,12.1,25.166666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
1626159-1626196-201609-201949-202337,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Luke Babbitt","Winslow, Richardson, Dragic, Johnson, Babbitt",1626159-1626196-201609-201949-202337,MIA,172.0,1,3.0,3.0,6.0,5.0,,,11.0,2.0,2.0,,,,,,1.0,,,,,,,2.0,3.0,,,5.0,9.0,6.0,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,3.0,,6.0,,3.0,,,,,,9.0,,,,,,0.6666666666666666,,0.6666666666666666,,0.75,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,92.09302325581395,,13.833333333333334,17.8,13.833333333333334,17.8,0.6666666666666666,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,0.6666666666666666,,0.42293333333333333,,0.5,0.5,,6.8999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
1626159-1626196-201609-201949-202355,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Hassan Whiteside","Winslow, Richardson, Dragic, Johnson, Whiteside",1626159-1626196-201609-201949-202355,MIA,138.0,2,2.0,-5.0,4.0,6.0,2.0,,10.0,,,,,,2.0,,,,,,,1.0,,,2.0,,1.0,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,4.0,,4.0,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,1.0,0.5,,1.0,,0.75,,,,,,,,,1.0,1.0,,104.34782608695653,,18.25,10.833333333333334,18.25,10.0,,,,,0.6666666666666666,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,0.4444333333333333,,,,,11.4,25.1,,,,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
1626159-1626196-201609-201949-203186,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Willie Reed","Winslow, Richardson, Dragic, Johnson, Reed",1626159-1626196-201609-201949-203186,MIA,190.0,1,3.0,-4.0,7.0,7.0,7.0,,14.0,,2.0,,,,,,,,,,1.0,4.0,,,2.0,1.0,4.0,,3.0,7.0,,,,,,,3.0,,,4.0,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,,,1.0,1.0,1.0,3.0,,3.0,,,,,,1.0,,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,3.0,,,1.0,0.25,0.25,,,0.25,,0.25,,0.6666666666666666,0.5,0.5,,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,106.10526315789474,,15.0,12.142857142857142,15.0,12.142857142857142,0.3333333333333333,,,,,,,,,,,,,,,,0.6666666666666666,0.25,0.25,1.0,,,,,1.0,0.25,0.5738,,,,,1.7,25.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
1626159-1626196-201609-201949-203585,1610612748,"Justise Winslow, Josh Richardson, Goran Dragic, James Johnson, Rodney McGruder","Winslow, Richardson, Dragic, Johnson, McGruder",1626159-1626196-201609-201949-203585,MIA,154.0,2,3.0,,8.0,6.0,3.0,2.0,14.0,4.0,4.0,2.0,2.0,,,,,,,,,1.0,,4.0,4.0,,1.0,5.0,13.0,13.0,2.0,2.0,,4.0,2.0,6.0,,,2.0,1.0,,,1.0,,1.0,,,1.0,,,2.0,1.0,,,,,,2.0,2.0,,,,1.0,1.0,1.0,,2.0,1.0,,2.0,,3.0,,6.0,,,3.0,,,,,9.0,0.25,0.3333333333333333,,,,1.0,1.0,0.8,1.0,0.8125,1.0,0.2,,,,0.5,,,,,1.0,,1.0,,,,1.0,,,,,,,130.9090909090909,,9.875,12.5,9.375,12.5,0.8,1.0,1.0,0.25,,,,,,,,,,,,,0.2,,,,1.0,1.0,,,1.0,,0.61174,0.4244,,,0.3076923076923077,1.625,25.0,1.0,1.0,0.4244,4.0,1.0,,4.0,0.5,,1.0,1.0,1.0,5.0,7.0,1.0,1.0,7.0,3.0,1.0,1.0,0.875,1.0,1.0,1.0,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2017,2016-17,True
