EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyArc3FGA,PenaltyFG3A,OffThreePtRebounds,DefTwoPtRebounds,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,ShortMidRangeAssists,FTDefRebounds,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Loose Ball Fouls Drawn,DefAtRimReboundPct,FtPoints,SecondChanceFtPoints,PtsUnassisted3s,Fg3aBlocked,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,PenaltyCorner3FGA,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,LongMidRangeAssists,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,SecondChanceFg2Pct,OffShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,BlockingFouls,LongMidRangePctBlocked,PenaltyFtPoints,PtsPutbacks,FTOffRebounds,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,Corner3PctBlocked,OffFTReboundPct,Charge Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,LostBallTurnovers,3SecondViolations,OffLongMidRangeReboundPct,Corner3FGM,Corner3Assists,LostBallOutOfBoundsTurnovers,Offensive Fouls,Technical Free Throw Trips,ShortMidRangePctBlocked,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,BlockedLongMidRange,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,HeaveAttempts,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
101141-1626143-1626184-1627789-200771,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Timothe Luwawu-Cabarrot, Sergio Rodriguez","Ilyasova, Okafor, Randle, Luwawu-Cabarrot, Rodriguez",101141-1626143-1626184-1627789-200771,PHI,166.0,1,3.0,3.0,5.0,5.0,1.0,10.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,7.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5833333333333334,1.5,0.5833333333333334,1.5,0.16666666666666666,0.2,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,86.74698795180723,14.6,18.6,14.4,17.2,0.5,0.6666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5139333333333334,0.5382,0.42857142857142855,6.540000000000001,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
101141-1626143-1626184-200771-201945,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Sergio Rodriguez, Gerald Henderson","Ilyasova, Okafor, Randle, Rodriguez, Henderson",101141-1626143-1626184-200771-201945,PHI,25.0,1,,,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,115.19999999999999,13.0,12.0,13.0,,,,,,,,1.0,,,,,,,1.0,,0.38985,,,,25.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38985,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
101141-1626143-1626184-201945-203496,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Gerald Henderson, Robert Covington","Ilyasova, Okafor, Randle, Henderson, Covington",101141-1626143-1626184-201945-203496,PHI,96.0,1,2.0,6.0,3.0,3.0,,6.0,1.0,1.0,,,2.0,2.0,,,1.0,1.0,2.0,2.0,8.0,2.0,,,,2.0,6.0,2.0,2.0,,1.0,2.0,3.0,2.0,1.0,8.0,,,1.0,,1.0,1.0,,8.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.3333333333333333,,1.3333333333333333,,0.6666666666666666,,,,,0.5,,,,90.0,11.333333333333334,20.666666666666668,11.333333333333334,19.666666666666668,0.3333333333333333,1.0,1.0,1.0,,,0.6666666666666666,1.0,1.0,1.0,,,,1.0,1.0,0.586,,,1.9,26.45,,,,,,1.0,,0.5,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
101141-1626143-1626184-201945-203967,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Gerald Henderson, Dario Saric","Ilyasova, Okafor, Randle, Henderson, Saric",101141-1626143-1626184-201945-203967,PHI,213.0,1,4.0,-9.0,8.0,8.0,,16.0,2.0,3.0,1.0,,,3.0,,,3.0,4.0,,3.0,6.0,15.0,,,,2.0,,3.0,,,1.0,,1.0,,,2.0,,1.0,2.0,,2.0,1.0,,6.0,0.3333333333333333,0.3333333333333333,,,,,0.75,0.42857142857142855,,0.42857142857142855,,0.42857142857142855,,,,1.0,1.0,,,,108.16901408450705,13.375,13.25,13.375,13.25,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.14285714285714285,,0.42857142857142855,,,,,,,0.8571428571428571,,0.5122428571428571,,,2.45,25.8,3.0,4.0,1.0,1.0,,,3.0,,,,,0.3333333333333333,0.49856666666666666,0.375,1.0,,,,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
101141-1626143-1626184-203496-203917,1610612755,"Ersan Ilyasova, Jahlil Okafor, Chasson Randle, Robert Covington, Nik Stauskas","Ilyasova, Okafor, Randle, Covington, Stauskas",101141-1626143-1626184-203496-203917,PHI,34.0,1,1.0,,1.0,2.0,,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,0.6666666666666666,,,,127.05882352941177,18.0,8.0,18.0,6.0,1.0,,,,,,,,,,,,,1.0,,0.6523,,,1.1,,,2.0,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
101141-1626143-1627789-200771-201945,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Gerald Henderson","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Henderson",101141-1626143-1627789-200771-201945,PHI,470.0,3,8.0,1.0,16.0,15.0,1.0,31.0,1.0,3.0,3.0,,3.0,6.0,,,1.0,6.0,3.0,6.0,16.0,15.0,,,2.0,2.0,3.0,6.0,3.0,,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,7.0,1.0,8.0,1.0,1.0,14.0,1.0,1.0,0.3333333333333333,0.5,,0.5,0.16666666666666666,0.4583333333333333,,0.5333333333333333,1.0,0.5,,,0.2,1.0,1.0,0.125,0.5,1.0,94.97872340425532,17.4375,12.733333333333333,17.4375,12.733333333333333,0.25,0.3333333333333333,0.3333333333333333,1.0,0.25,,0.5,0.5,0.6,0.3333333333333333,,,,0.75,0.5,0.4885041666666667,,0.125,4.883333333333334,25.7,,7.0,,,,4.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,2.0,,2.0,4.0,,,,,,1.0,1.0,,,,,,,,,5.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,1.0,0.14285714285714285,1.0,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
101141-1626143-1627789-200771-203138,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Hollis Thompson","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Thompson",101141-1626143-1627789-200771-203138,PHI,311.0,2,5.0,5.0,9.0,10.0,,19.0,2.0,3.0,,3.0,1.0,1.0,,,2.0,6.0,1.0,2.0,9.0,4.0,,,,4.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,,3.0,7.0,,7.0,,,9.0,1.0,1.0,1.0,0.5,,0.5,0.3333333333333333,0.4375,,0.45,,0.25,0.16666666666666666,0.3333333333333333,,0.75,0.6666666666666666,,,1.0,87.97427652733118,17.333333333333332,15.5,17.333333333333332,14.8,0.375,0.6666666666666666,1.0,1.0,,0.375,0.125,1.0,1.0,1.0,,,,0.625,1.0,0.473975,,,10.799999999999999,25.35,1.0,,,1.0,,3.0,1.0,0.6,,,,,0.53595,0.1111111111111111,,,,,,,,,,,,,1.0,,,,1.0,1.0,2.0,,,,,,1.0,0.5,,,,,,,,0.6666666666666666,2.0,,,,,,,,,4.0,2.0,,,,,,,0.5,,,0.2,0.25,1.0,1.0,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
101141-1626143-1627789-200771-203496,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Robert Covington","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Covington",101141-1626143-1627789-200771-203496,PHI,184.0,3,3.0,1.0,7.0,6.0,3.0,13.0,1.0,1.0,1.0,1.0,,2.0,,1.0,2.0,3.0,,2.0,6.0,5.0,,1.0,2.0,2.0,,2.0,,,1.0,,1.0,,,2.0,1.0,1.0,3.0,2.0,5.0,,,4.0,0.5,0.5,,,,,0.6666666666666666,0.4,0.5,0.42857142857142855,0.5,0.4,,,1.0,1.0,0.75,0.6666666666666666,,1.0,101.7391304347826,14.857142857142858,13.333333333333334,12.571428571428571,12.666666666666666,0.2,1.0,1.0,,0.2,0.2,0.4,,,,0.5,,,0.6,,0.5024,0.43485,0.3333333333333333,9.166666666666666,25.65,3.0,,1.0,1.0,1.0,2.0,3.0,0.6666666666666666,0.5,0.5,,0.3333333333333333,0.5725833333333333,0.42857142857142855,,,,,1.0,1.0,,2.0,2.0,4.0,2.0,,,2.0,,2.0,,1.0,5.0,,4.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,0.3333333333333333,1.0,0.6666666666666666,,0.6666666666666666,2.0,,,,,,1.0,,,4.0,2.0,,,,,,,,,,0.2857142857142857,0.4,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
101141-1626143-1627789-200771-203917,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Nik Stauskas","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Stauskas",101141-1626143-1627789-200771-203917,PHI,150.0,1,2.0,-3.0,5.0,5.0,,10.0,1.0,1.0,1.0,,,1.0,,,1.0,2.0,,1.0,2.0,5.0,,,,2.0,,1.0,,,1.0,,1.0,,1.0,2.0,,1.0,2.0,,2.0,,,2.0,1.0,1.0,,,,,0.5,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,1.0,0.6666666666666666,,,,96.0,12.6,17.4,12.6,16.4,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,,,,,,,0.6666666666666666,,0.43688333333333335,,,5.3,25.8,,,,,,1.0,,0.5,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
101141-1626143-1627789-200771-203967,1610612755,"Ersan Ilyasova, Jahlil Okafor, Timothe Luwawu-Cabarrot, Sergio Rodriguez, Dario Saric","Ilyasova, Okafor, Luwawu-Cabarrot, Rodriguez, Saric",101141-1626143-1627789-200771-203967,PHI,358.0,3,6.0,-8.0,11.0,11.0,,22.0,2.0,2.0,3.0,2.0,,2.0,,,3.0,7.0,,2.0,6.0,14.0,,,,4.0,,2.0,,1.0,2.0,,2.0,,1.0,4.0,,,3.0,,3.0,1.0,,6.0,0.6666666666666666,0.6666666666666666,,,,,0.42857142857142855,0.3333333333333333,,0.3,,0.2222222222222222,0.14285714285714285,,,,0.6666666666666666,,,,88.49162011173185,17.0,15.545454545454545,17.0,13.454545454545455,0.2222222222222222,1.0,1.0,0.5,0.3333333333333333,0.2222222222222222,0.2222222222222222,,,,,,,0.4444444444444444,,0.44097777777777775,,,9.37142857142857,26.65,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,2.0,1.0,1.0,1.0,,1.0,2.0,4.0,2.0,,,,,,1.0,,0.3333333333333333,0.3333333333333333,1.0,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,0.1,0.125,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2017,2016-17,False
