EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,PenaltyFtPoints,DefThreePtRebounds,Steals,BadPassSteals,DeadBallTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,Fouls,Loose Ball Fouls,BlockedShortMidRange,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyDefPoss,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,NonHeaveArc3FGA,Fg2aBlocked,LostBallSteals,StepOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,OffThreePtRebounds,ShootingFouls,Loose Ball Fouls Drawn,OffThreePtReboundPct,OffCorner3ReboundPct,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DefAtRimReboundPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,NonHeaveArc3FGM,Arc3Assists,Offensive Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,SecondChanceFg3Pct,LongMidRangePctBlocked,OffArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PtsUnassisted3s,FTDefRebounds,SelfOReb,Travels,Charge Fouls,DefFTReboundPct,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,PenaltyArc3FGM,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,BlockingFouls,SecondChanceCorner3FGM,FTOffRebounds,BlockedCorner3,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffensiveGoaltends,Defensive 3 Seconds Violations,Arc3PctBlocked,3pt And 1 Free Throw Trips,HeaveMakes,team_id,year,season,team_vs
1890-200811-201567-202681-2544,1610612739,"Shawn Marion, Lou Amundson, Kevin Love, Kyrie Irving, LeBron James","Marion, Amundson, Love, Irving, James",1890-200811-201567-202681-2544,CLE,95.0,1,2.0,1.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.25,1.25,0.5,1.0,1.0,1.0,1.0,106.10526315789474,12.666666666666666,14.25,12.666666666666666,10.75,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.59405,0.59405,1.0,1.9,22.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-200811-201567-203805-2544,1610612739,"Shawn Marion, Lou Amundson, Kevin Love, Will Cherry, LeBron James","Marion, Amundson, Love, Cherry, James",1890-200811-201567-203805-2544,CLE,151.0,1,3.0,,4.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,,,,,2.0,3.0,,,5.0,5.0,2.0,3.0,,,5.0,4.0,,,,,,,1.0,1.0,,,1.0,1.0,5.0,5.0,4.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,,,,0.25,,76.29139072847683,20.5,17.25,20.5,14.75,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,1.0,,,0.3333333333333333,0.3808,0.3808,1.0,11.1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-200811-202681-202684-203079,1610612739,"Shawn Marion, Lou Amundson, Kyrie Irving, Tristan Thompson, Dion Waiters","Marion, Amundson, Irving, Thompson, Waiters",1890-200811-202681-202684-203079,CLE,465.0,2,8.0,3.0,15.0,13.0,,28.0,2.0,3.0,,,,,,,7.0,14.0,,,16.0,13.0,,,,,,8.0,,,3.0,,6.0,6.0,7.0,9.0,,,2.0,,14.0,,,,,,,0.5,,0.5,,0.5333333333333333,,,,0.8571428571428571,0.875,0.8,86.70967741935483,13.066666666666666,20.692307692307693,13.0,20.692307692307693,0.21428571428571427,0.6666666666666666,0.6666666666666666,,,,,,,,,0.21428571428571427,0.4541642857142857,,,10.814285714285715,,,5.0,3.0,6.0,2.0,,1.0,,,2.0,2.0,3.0,1.0,2.0,1.0,,1.0,1.0,,0.35714285714285715,0.42857142857142855,0.5,0.5,0.13333333333333333,0.13333333333333333,2.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,0.42857142857142855,0.5,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.6666666666666666,1.0,1.0,1.0,0.5,0.4,0.4,0.5,0.3333333333333333,1.0,1.0,0.5985,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-200811-202681-203925-2544,1610612739,"Shawn Marion, Lou Amundson, Kyrie Irving, Joe Harris, LeBron James","Marion, Amundson, Irving, Harris, James",1890-200811-202681-203925-2544,CLE,24.0,1,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,120.0,2.0,22.0,2.0,22.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-201567-201985-202684-203079,1610612739,"Shawn Marion, Kevin Love, AJ Price, Tristan Thompson, Dion Waiters","Marion, Love, Price, Thompson, Waiters",1890-201567-201985-202684-203079,CLE,182.0,1,3.0,8.0,7.0,5.0,7.0,12.0,2.0,3.0,2.0,3.0,,,,,3.0,6.0,,1.0,8.0,,3.0,6.0,,1.0,8.0,2.0,,,2.0,,4.0,2.0,4.0,6.0,,,1.0,1.0,8.0,8.0,7.0,,,,,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5,0.5,0.14285714285714285,,1.0,1.0,1.0,94.94505494505495,13.857142857142858,17.0,10.714285714285714,17.0,0.42857142857142855,0.6666666666666666,1.0,,,,,0.42857142857142855,0.6666666666666666,,,0.5714285714285714,0.49324285714285715,0.49324285714285715,1.0,5.783333333333334,24.7,1.0,2.0,,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,,,,,,1.0,,0.2857142857142857,0.14285714285714285,,,,,2.0,,,1.0,,,,4.0,,2.0,1.0,1.0,,2.0,2.0,1.0,,,,,0.6666666666666666,0.6666666666666666,,,,0.6666666666666666,0.5,1.0,1.0,1.0,,0.5,0.5,0.5,1.0,,,,0.4827,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0,0.14285714285714285,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-201567-201985-202684-2592,1610612739,"Shawn Marion, Kevin Love, AJ Price, Tristan Thompson, James Jones","Marion, Love, Price, Thompson, Jones",1890-201567-201985-202684-2592,CLE,113.0,1,2.0,2.0,3.0,3.0,,6.0,1.0,1.0,,,,,,,2.0,3.0,,,4.0,2.0,,,,,,2.0,,,1.0,,2.0,1.0,1.0,1.0,,,,,4.0,,,,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,0.5,0.3333333333333333,1.0,76.46017699115045,19.0,18.666666666666668,19.0,17.0,0.3333333333333333,1.0,1.0,,,,,,,,,0.3333333333333333,0.4803,,,12.366666666666667,,,,1.0,2.0,,,,,,,,,,,,,,,,,0.6666666666666666,0.5,0.5,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,0.5,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-201567-201985-203079-2034,1610612739,"Shawn Marion, Kevin Love, AJ Price, Dion Waiters, Mike Miller","Marion, Love, Price, Waiters, Miller",1890-201567-201985-203079-2034,CLE,226.0,1,4.0,-4.0,7.0,6.0,1.0,13.0,1.0,3.0,,,1.0,2.0,,,2.0,4.0,1.0,4.0,7.0,11.0,,,,1.0,,2.0,3.0,1.0,2.0,1.0,5.0,,1.0,2.0,,,,,7.0,,1.0,1.0,0.25,,0.25,0.5,,0.4375,,0.4375,,0.5,,,1.0,,82.83185840707965,20.142857142857142,14.166666666666666,17.0,14.166666666666666,0.375,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5,1.0,,,,,0.875,0.5509875,0.459,,2.925,24.45,0.14285714285714285,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,0.125,,,,,,1.0,,,1.0,,,,2.0,,1.0,1.0,,,,1.0,,1.0,,,,0.5,0.5,,,,,0.25,,,1.0,,1.0,1.0,1.0,,,,,0.459,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,0.25,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-201567-201985-203079-2217,1610612739,"Shawn Marion, Kevin Love, AJ Price, Dion Waiters, Brendan Haywood","Marion, Love, Price, Waiters, Haywood",1890-201567-201985-203079-2217,CLE,169.0,1,3.0,-1.0,6.0,6.0,,12.0,1.0,1.0,,,,1.0,,,2.0,2.0,,1.0,4.0,5.0,,,,,,,,,2.0,,4.0,2.0,4.0,4.0,2.0,1.0,3.0,,4.0,,,,,,,1.0,,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,102.24852071005917,12.166666666666666,16.0,12.166666666666666,16.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,0.6666666666666666,0.5913666666666667,,,6.55,23.4,,1.0,,,,,2.0,,,1.0,,,,,,,,1.0,,0.3333333333333333,,,,,,,,,1.0,,,,4.0,,2.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-201567-201985-203079-2592,1610612739,"Shawn Marion, Kevin Love, AJ Price, Dion Waiters, James Jones","Marion, Love, Price, Waiters, Jones",1890-201567-201985-203079-2592,CLE,183.0,1,3.0,-10.0,5.0,6.0,,11.0,1.0,1.0,,,,1.0,,,1.0,2.0,,3.0,2.0,12.0,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,,2.0,,,,,,,0.5,,0.2,,0.2,,0.6,,0.3333333333333333,0.3333333333333333,0.5,86.55737704918033,17.4,16.0,17.4,14.333333333333334,0.2,1.0,1.0,0.2,,,,,,,,0.8,0.54565,,,10.9,24.633333333333336,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,0.2,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
1890-201567-202389-202681-203521,1610612739,"Shawn Marion, Kevin Love, Timofey Mozgov, Kyrie Irving, Matthew Dellavedova","Marion, Love, Mozgov, Irving, Dellavedova",1890-201567-202389-202681-203521,CLE,92.0,1,2.0,-3.0,2.0,2.0,,4.0,,,,,,,,,1.0,1.0,,2.0,2.0,5.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,,,,,62.60869565217391,28.0,18.0,28.0,17.0,,,,,,,,,,,,0.6666666666666666,0.4538333333333333,,,22.0,26.05,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,False
