EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,FTOffRebounds,FTDefRebounds,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,RecoveredBlocks,DefensiveGoaltends,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Offensive Fouls,BlockedShortMidRange,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SelfOReb,SelfORebPct,HeaveAttempts,LostBallOutOfBoundsTurnovers,Travels,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,StepOutOfBoundsTurnovers,3SecondViolations,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Clear Path Fouls,Corner3PctBlocked,BlockedArc3,OffensiveGoaltends,team_id,year,season,team_vs
101133-201228-201588-204014-2449,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Damjan Rudez, Luis Scola","Mahinmi, Watson, Hill, Rudez, Scola",101133-201228-201588-204014-2449,IND,591.0,3,10.0,-12.0,17.0,19.0,4.0,,3.0,36.0,1.0,3.0,,,,1.0,3.0,4.0,1.0,5.0,,2.0,,1.0,1.0,2.0,,,5.0,12.0,1.0,4.0,3.0,16.0,28.0,2.0,3.0,4.0,,2.0,,1.0,1.0,1.0,6.0,4.0,3.0,,2.0,1.0,1.0,3.0,1.0,4.0,1.0,,,2.0,1.0,9.0,,3.0,1.0,3.0,5.0,3.0,8.0,,,,,,,,,,,7.0,7.0,,8.0,1.0,,2.0,9.0,5.0,,,,,12.0,1.0,4.0,,,0.6,0.6,1.0,0.25,,0.25,0.4166666666666667,0.6666666666666666,,0.40625,0.6666666666666666,,0.4,0.6666666666666666,0.125,0.25,0.08333333333333333,0.3333333333333333,,0.75,0.42857142857142855,1.0,,0.8,0.3,0.5,,,1.0,0.5,1.0,1.0,,87.71573604060914,19.0,14.105263157894736,17.823529411764707,14.0,0.1875,0.3333333333333333,0.5,,0.25,0.75,0.75,0.6666666666666666,0.3125,0.2,0.2,1.0,0.125,,,,0.125,0.5,0.5,1.0,,,,0.3333333333333333,,0.3333333333333333,,,,0.4375,0.5,0.45074375,0.38893333333333335,0.49295,0.25,0.3125,0.25,0.0625,11.541666666666666,24.825,0.23529411764705882,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201228-201588-204014-2561,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Damjan Rudez, David West","Mahinmi, Watson, Hill, Rudez, West",101133-201228-201588-204014-2561,IND,206.0,1,3.0,,6.0,7.0,6.0,4.0,,13.0,1.0,1.0,,,1.0,1.0,,,1.0,3.0,,,,,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,,7.0,7.0,,,,2.0,4.0,1.0,1.0,,7.0,4.0,,3.0,,1.0,1.0,,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,,,,2.0,3.0,,3.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,3.0,4.0,,,,,,,,,1.0,1.0,1.0,7.0,7.0,6.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.5,0.7,,0.7,0.7,,0.7,0.2,,,1.0,0.6666666666666666,,,,0.6666666666666666,,,,,1.0,,0.5,,,90.873786407767,15.5,16.142857142857142,15.5,15.0,0.2,1.0,1.0,1.0,,,,,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,,0.2,1.0,1.0,1.0,,,,0.2,1.0,,,0.2,1.0,0.4,1.0,0.47046,,0.47046,,,,1.0,11.475,26.0,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201228-202388-204014-2449,1610612754,"Ian Mahinmi, C.J. Watson, Donald Sloan, Damjan Rudez, Luis Scola","Mahinmi, Watson, Sloan, Rudez, Scola",101133-201228-202388-204014-2449,IND,310.0,3,5.0,2.0,10.0,9.0,,,3.0,19.0,2.0,4.0,1.0,3.0,,,,,,3.0,,1.0,,,,1.0,,,2.0,7.0,,2.0,2.0,6.0,4.0,1.0,3.0,2.0,,,,,,,2.0,2.0,,2.0,1.0,,,1.0,,1.0,,,1.0,,,2.0,2.0,1.0,,4.0,4.0,3.0,7.0,1.0,,1.0,,,,3.0,,3.0,,1.0,3.0,,3.0,1.0,,,2.0,1.0,,,,,4.0,,,,,0.5,1.0,,,,,0.2857142857142857,0.3333333333333333,,0.2222222222222222,0.3333333333333333,,0.3,0.3333333333333333,,0.2222222222222222,,,,0.8,0.2,,1.0,0.5714285714285714,0.42857142857142855,,,1.0,0.6666666666666666,,1.0,,,88.25806451612902,14.6,18.22222222222222,12.7,17.88888888888889,0.4444444444444444,0.5,0.5,0.5,,,,,0.3333333333333333,,,,0.1111111111111111,,,,0.1111111111111111,,,,1.0,0.3333333333333333,,,,,,,,0.6666666666666666,,0.49015,0.4379,,0.1,0.125,0.3333333333333333,,9.385714285714286,24.55,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,1.0,,,1.0,,,,,,,1.0,0.14285714285714285,,1.0,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201228-202730-203963-204014,1610612754,"Ian Mahinmi, C.J. Watson, Lavoy Allen, Shayne Whittington, Damjan Rudez","Mahinmi, Watson, Allen, Whittington, Rudez",101133-201228-202730-203963-204014,IND,,1,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201228-203142-203524-204014,1610612754,"Ian Mahinmi, C.J. Watson, Chris Copeland, Solomon Hill, Damjan Rudez","Mahinmi, Watson, Copeland, Hill, Rudez",101133-201228-203142-203524-204014,IND,473.0,1,8.0,-10.0,16.0,15.0,,,1.0,31.0,1.0,4.0,,,,,2.0,3.0,,1.0,,1.0,,,,,,,3.0,8.0,,1.0,,6.0,16.0,,,,,,,,,,4.0,2.0,,,,,2.0,2.0,,2.0,,,1.0,1.0,,4.0,,,1.0,5.0,6.0,,6.0,,,,2.0,,1.0,4.0,1.0,6.0,,,3.0,1.0,1.0,,,,,,,1.0,1.0,1.0,6.0,,,,,0.6666666666666666,0.6666666666666666,,,,,0.375,,,0.3333333333333333,,,0.3333333333333333,,,0.1111111111111111,0.25,0.5,0.3333333333333333,0.7142857142857143,,1.0,,0.75,,,,,0.5,0.6666666666666666,1.0,1.0,,94.37632135306553,16.3125,14.133333333333333,16.0625,13.266666666666667,0.4444444444444444,0.25,0.5,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.1111111111111111,,,,0.1111111111111111,,,,,,,,,,,,,,,,,0.5555555555555556,,0.55025,,,,,,,5.0,23.9,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1610612754,2015,2014-15,False
101133-201228-203142-203524-2449,1610612754,"Ian Mahinmi, C.J. Watson, Chris Copeland, Solomon Hill, Luis Scola","Mahinmi, Watson, Copeland, Hill, Scola",101133-201228-203142-203524-2449,IND,81.0,1,1.0,1.0,2.0,2.0,,,,4.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,5.0,4.0,,,,,,,,,,2.0,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.25,,,1.25,,,0.5,,,,,,,,,,,,,,,,,,71.1111111111111,14.5,26.0,14.5,17.5,,,,,,,,,0.5,1.0,1.0,1.0,,,,,0.5,1.0,1.0,,,,,,,,,,,0.5,1.0,0.480025,,,,,,,18.9,24.3,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201228-203142-203524-2561,1610612754,"Ian Mahinmi, C.J. Watson, Chris Copeland, Solomon Hill, David West","Mahinmi, Watson, Copeland, Hill, West",101133-201228-203142-203524-2561,IND,318.0,3,5.0,-11.0,11.0,10.0,3.0,3.0,3.0,21.0,,1.0,,1.0,,,2.0,6.0,,1.0,,2.0,,1.0,,1.0,,,2.0,8.0,,3.0,,4.0,15.0,,2.0,,1.0,2.0,,1.0,,2.0,2.0,2.0,,,1.0,,2.0,1.0,,1.0,,,,1.0,,2.0,,3.0,,3.0,4.0,3.0,7.0,,,,3.0,,1.0,,2.0,3.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,4.0,2.0,3.0,,,0.5,0.5,,,,,0.25,,0.5,0.18181818181818182,,0.3333333333333333,0.18181818181818182,,0.3333333333333333,0.2727272727272727,0.25,,1.0,0.6,0.5,,,0.6,0.3333333333333333,,0.5,,0.75,,,,,95.09433962264151,18.636363636363637,11.3,17.818181818181817,11.0,0.09090909090909091,,,,0.5454545454545454,0.3333333333333333,0.5,0.5,0.09090909090909091,,,,0.18181818181818182,,,,0.09090909090909091,,,,0.3333333333333333,,,,,0.3333333333333333,,,,0.36363636363636365,,0.4472227272727273,0.44543333333333335,0.4459666666666667,,,,0.5,7.375,23.733333333333334,0.2727272727272727,,1.0,,,,1.0,,,,,,,,,,0.3333333333333333,1.0,,1.0,,,,,1.0,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201228-203524-203963-204014,1610612754,"Ian Mahinmi, C.J. Watson, Solomon Hill, Shayne Whittington, Damjan Rudez","Mahinmi, Watson, Hill, Whittington, Rudez",101133-201228-203524-203963-204014,IND,240.0,1,4.0,3.0,8.0,7.0,6.0,7.0,2.0,15.0,2.0,3.0,1.0,2.0,1.0,2.0,,3.0,,1.0,,,,,,,,,2.0,7.0,,,5.0,9.0,6.0,1.0,2.0,2.0,1.0,5.0,,,4.0,6.0,2.0,2.0,,2.0,,,1.0,1.0,,1.0,,,1.0,,,2.0,,3.0,1.0,1.0,3.0,3.0,6.0,,,,,,,1.0,,1.0,1.0,2.0,2.0,,4.0,,,,7.0,2.0,2.0,,,,7.0,6.0,6.0,,2.0,0.5,1.0,,,,,0.2857142857142857,0.5,0.2,0.2857142857142857,0.5,0.2,0.45,0.5,0.375,,0.14285714285714285,,,0.5,0.6,1.0,,0.6666666666666666,0.6,1.0,0.6666666666666666,,,,1.0,1.0,,90.0,14.75,17.428571428571427,14.375,17.142857142857142,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.42857142857142855,,,,0.14285714285714285,,,,,,,,,,,,1.0,0.5,,0.4,0.5,,,,,0.42857142857142855,,0.49602857142857143,0.60495,0.46631999999999996,0.25,0.25,0.2222222222222222,0.6666666666666666,6.042857142857143,,0.75,,,,,,1.0,1.0,,,,1.0,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201228-203524-204014-2449,1610612754,"Ian Mahinmi, C.J. Watson, Solomon Hill, Damjan Rudez, Luis Scola","Mahinmi, Watson, Hill, Rudez, Scola",101133-201228-203524-204014-2449,IND,1054.0,9,18.0,-7.0,34.0,38.0,12.0,16.0,5.0,72.0,5.0,11.0,3.0,4.0,2.0,6.0,2.0,6.0,5.0,7.0,1.0,2.0,,,1.0,4.0,1.0,3.0,12.0,24.0,2.0,6.0,9.0,39.0,46.0,4.0,6.0,8.0,4.0,10.0,1.0,3.0,4.0,15.0,12.0,12.0,6.0,4.0,3.0,1.0,2.0,6.0,2.0,8.0,1.0,1.0,2.0,,4.0,18.0,,6.0,5.0,4.0,12.0,6.0,18.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,6.0,1.0,7.0,13.0,1.0,10.0,1.0,2.0,1.0,10.0,5.0,,,,,31.0,15.0,12.0,1.0,,0.5,0.6,1.0,0.3333333333333333,0.3333333333333333,0.4,0.5,0.6666666666666666,0.4,0.5,0.6666666666666666,0.4230769230769231,0.5571428571428572,0.6666666666666666,0.5,0.2,0.08333333333333333,0.18181818181818182,0.5,0.8,0.5,1.0,,0.9,0.4,0.3333333333333333,0.75,,,0.6666666666666666,1.0,1.0,1.0,98.36812144212524,15.411764705882353,13.947368421052632,14.441176470588236,13.947368421052632,0.36666666666666664,0.45454545454545453,0.5555555555555556,0.4,0.2,0.3333333333333333,0.3333333333333333,,0.23333333333333334,0.7142857142857143,0.7142857142857143,0.8,0.06666666666666667,0.5,0.5,1.0,0.13333333333333333,0.25,0.25,1.0,0.6666666666666666,0.75,0.3333333333333333,0.46153846153846156,0.3333333333333333,,,0.23076923076923078,0.3333333333333333,0.5666666666666667,0.3333333333333333,0.49521379310344826,0.5527,0.5373708333333334,0.14285714285714285,0.1724137931034483,0.20512820512820512,0.38461538461538464,8.3375,32.583333333333336,0.35294117647058826,,,,,,3.0,,,1.0,,,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,2.0,0.15384615384615385,1.0,,,,,,,,,,,,,1.0,,,,1610612754,2015,2014-15,False
101133-201228-203524-204014-2561,1610612754,"Ian Mahinmi, C.J. Watson, Solomon Hill, Damjan Rudez, David West","Mahinmi, Watson, Hill, Rudez, West",101133-201228-203524-204014-2561,IND,570.0,5,10.0,5.0,18.0,17.0,4.0,4.0,3.0,35.0,5.0,7.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,,,,,3.0,3.0,2.0,2.0,7.0,15.0,3.0,3.0,,23.0,18.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,,8.0,6.0,8.0,6.0,2.0,3.0,3.0,,3.0,2.0,5.0,2.0,,2.0,,1.0,12.0,,3.0,5.0,4.0,9.0,3.0,12.0,1.0,1.0,,,2.0,,3.0,,3.0,,2.0,4.0,,3.0,1.0,,,,,,,,,21.0,8.0,4.0,1.0,,0.42857142857142855,0.5,0.6666666666666666,1.0,1.0,1.0,0.4666666666666667,0.5,0.3333333333333333,0.6388888888888888,0.5,0.8,0.6388888888888888,0.5,0.8,0.16666666666666666,,,,0.8,0.375,1.0,,0.9,0.375,,0.6666666666666666,,0.5,1.0,1.0,1.0,,88.42105263157895,15.61111111111111,17.0,15.444444444444445,17.0,0.3888888888888889,0.7142857142857143,0.7142857142857143,0.4,0.2222222222222222,0.25,0.25,,0.2222222222222222,0.25,0.25,1.0,,,,,0.16666666666666666,1.0,1.0,0.6666666666666666,1.0,0.5,,0.4,0.5,,,0.4,1.0,0.5555555555555556,1.0,0.5076111111111111,0.6426,0.5604199999999999,,,0.08695652173913043,0.34782608695652173,7.260000000000001,26.733333333333334,0.2222222222222222,,,,3.0,,,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201588-202331-203524-2561,1610612754,"Ian Mahinmi, George Hill, Paul George, Solomon Hill, David West","Mahinmi, Hill, George, Hill, West",101133-201588-202331-203524-2561,IND,83.0,1,1.0,,2.0,2.0,2.0,,,4.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,2.0,2.0,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,69.39759036144578,22.0,19.5,22.0,19.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.3216,,0.3216,0.5,0.5,,1.0,20.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201588-203524-204014-2449,1610612754,"Ian Mahinmi, George Hill, Solomon Hill, Damjan Rudez, Luis Scola","Mahinmi, Hill, Hill, Rudez, Scola",101133-201588-203524-204014-2449,IND,114.0,1,2.0,-6.0,4.0,4.0,3.0,4.0,,8.0,1.0,1.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,,1.0,4.0,,,,2.0,8.0,,,,1.0,3.0,,,,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,2.0,,,,2.0,,1.0,,,,2.0,2.0,3.0,,1.0,,,,,,,0.25,,0.3333333333333333,0.25,,0.3333333333333333,0.2,,0.25,,0.25,,,,,,,,,,,,,,,,,101.05263157894737,17.5,11.0,17.5,11.0,0.25,1.0,1.0,,0.25,,,,0.5,,,,,,,,,,,,,,,0.3333333333333333,1.0,,,,,0.25,,0.44625,,0.4562,,,,1.0,9.85,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1610612754,2015,2014-15,False
101133-201588-203524-204014-2561,1610612754,"Ian Mahinmi, George Hill, Solomon Hill, Damjan Rudez, David West","Mahinmi, Hill, Hill, Rudez, West",101133-201588-203524-204014-2561,IND,273.0,1,5.0,-2.0,9.0,9.0,4.0,4.0,1.0,18.0,1.0,1.0,1.0,1.0,,,,,1.0,3.0,,,,,1.0,3.0,,2.0,2.0,4.0,1.0,3.0,2.0,9.0,11.0,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,5.0,,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,,2.0,,3.0,,1.0,,2.0,1.0,,,,,7.0,4.0,4.0,,,0.5,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,0.3333333333333333,0.5625,1.0,0.5,0.42857142857142855,,,0.5,1.0,0.5,,,1.0,0.25,,,,,1.0,1.0,,,94.94505494505495,15.222222222222221,15.11111111111111,15.11111111111111,15.11111111111111,0.14285714285714285,1.0,1.0,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,0.6666666666666666,,0.5714285714285714,0.3333333333333333,0.4934428571428571,0.6114,0.49285,0.125,0.2,0.2222222222222222,0.4444444444444444,14.25,25.599999999999998,0.4444444444444444,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201985-202388-202730-204014,1610612754,"Ian Mahinmi, AJ Price, Donald Sloan, Lavoy Allen, Damjan Rudez","Mahinmi, Price, Sloan, Allen, Rudez",101133-201985-202388-202730-204014,IND,334.0,2,6.0,2.0,10.0,10.0,,,,20.0,,,,,,,,1.0,3.0,4.0,1.0,1.0,,,1.0,2.0,,,3.0,5.0,2.0,3.0,,12.0,10.0,,,,,,,,,,2.0,4.0,6.0,,2.0,1.0,,1.0,2.0,3.0,1.0,1.0,,,1.0,8.0,,,3.0,1.0,4.0,,4.0,1.0,1.0,,2.0,,2.0,,,2.0,,1.0,3.0,,1.0,,,,,,,,,,12.0,,,,,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,,0.6666666666666666,0.6,,,0.75,,,0.75,,,0.375,,,1.0,0.5,,1.0,,0.8,,,,,1.0,,,1.0,1.0,86.22754491017965,16.9,16.5,16.9,16.4,,,,,0.125,,,,0.5,0.75,0.75,0.3333333333333333,0.125,1.0,1.0,1.0,0.25,0.5,0.5,1.0,,,,,,,,,,0.375,0.5,0.44515,,,,,,,16.14,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201985-202388-203963-204014,1610612754,"Ian Mahinmi, AJ Price, Donald Sloan, Shayne Whittington, Damjan Rudez","Mahinmi, Price, Sloan, Whittington, Rudez",101133-201985-202388-203963-204014,IND,188.0,1,3.0,2.0,5.0,6.0,,,,11.0,1.0,1.0,,,,,,,,1.0,,,,,2.0,2.0,,,1.0,2.0,2.0,2.0,,8.0,6.0,,,,,,,,,,,2.0,6.0,,2.0,2.0,,,2.0,2.0,2.0,,,,,6.0,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,,2.0,1.0,,,,,8.0,,,,,,,1.0,1.0,,1.0,0.5,,,1.0,,,0.8,,,0.5,,,,0.5,,1.0,,0.6666666666666666,,,,,1.0,,,1.0,,84.25531914893617,14.6,19.166666666666668,14.6,16.166666666666668,0.25,1.0,1.0,,,,,,0.25,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,0.75,1.0,0.5470875,,,0.2,0.3333333333333333,,,9.2,25.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
101133-201985-202730-203142-203524,1610612754,"Ian Mahinmi, AJ Price, Lavoy Allen, Chris Copeland, Solomon Hill","Mahinmi, Price, Allen, Copeland, Hill",101133-201985-202730-203142-203524,IND,583.0,2,10.0,-4.0,15.0,15.0,,,3.0,30.0,1.0,2.0,1.0,1.0,,,3.0,6.0,1.0,1.0,,1.0,,,,4.0,,,5.0,9.0,,5.0,,10.0,14.0,3.0,3.0,6.0,,,,,,,2.0,8.0,,2.0,4.0,,1.0,1.0,,1.0,,,,1.0,,2.0,2.0,2.0,,4.0,4.0,4.0,8.0,2.0,,2.0,3.0,,2.0,2.0,1.0,5.0,,1.0,5.0,,2.0,,,,,,,,,,4.0,,,,,0.2,0.25,,,,,0.5555555555555556,1.0,,0.35714285714285715,0.75,,0.35714285714285715,0.75,,0.35714285714285715,0.1111111111111111,,0.6,0.6666666666666666,0.5,,0.4,0.5714285714285714,0.4444444444444444,,0.6666666666666666,0.5,0.6666666666666666,1.0,,,,74.09948542024014,19.733333333333334,19.133333333333333,18.2,18.066666666666666,0.14285714285714285,0.5,0.5,,0.42857142857142855,0.5,0.6,0.3333333333333333,0.07142857142857142,1.0,1.0,,0.07142857142857142,,,,0.2857142857142857,,,,0.25,1.0,,,,,,,,0.5,,0.456525,0.483775,,,,0.6,,7.311111111111111,25.14,,1.0,1.0,,,,,,,1.0,,,,,,,0.16666666666666666,,,,,0.25,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1610612754,2015,2014-15,False
