EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Loose Ball Fouls Drawn,SecondChanceFtPoints,SecondChanceAtRimPctAssisted,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTurnovers,BlockingFouls,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,FTDefRebounds,SecondChanceFg3Pct,DefFTReboundPct,OffAtRimReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Technical Free Throw Trips,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceCorner3FGM,LostBallTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,FTOffRebounds,Offensive Fouls,3SecondViolations,OffFTReboundPct,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,BlockedLongMidRange,team_id,year,season,team_vs
200746-200777-201587-203081-203468,1610612757,"LaMarcus Aldridge, Joel Freeland, Nicolas Batum, Damian Lillard, CJ McCollum","Aldridge, Freeland, Batum, Lillard, McCollum",200746-200777-201587-203081-203468,POR,209.0,1,3.0,2.0,6.0,7.0,5.0,13.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,6.0,0.5,0.5,0.5,0.4,0.5,0.2,0.75,0.6,0.5,1.0,89.56937799043062,16.833333333333332,15.428571428571429,16.833333333333332,15.428571428571429,0.4,1.0,1.0,0.5,0.4,0.2,0.2,0.41464,0.16666666666666666,0.2,11.7,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
200746-201167-201577-201587-203081,1610612757,"LaMarcus Aldridge, Arron Afflalo, Robin Lopez, Nicolas Batum, Damian Lillard","Aldridge, Afflalo, Lopez, Batum, Lillard",200746-201167-201577-201587-203081,POR,2261.0,3,38.0,33.0,72.0,71.0,11.0,143.0,4.0,13.0,24.0,7.0,24.0,52.0,10.0,13.0,76.0,43.0,24.0,24.0,7.0,12.0,16.0,,36.0,25.0,38.0,43.0,5.0,12.0,13.0,,14.0,7.0,6.0,5.0,1.0,6.0,72.0,0.5,0.5217391304347826,0.46153846153846156,0.5080645161290323,0.5507246376811594,0.16129032258064516,0.8620689655172413,0.9047619047619048,0.8571428571428571,0.9285714285714286,91.07474568774879,17.40277777777778,14.19718309859155,17.0,14.070422535211268,0.20967741935483872,0.3076923076923077,0.3333333333333333,,0.3870967741935484,0.11290322580645161,0.4032258064516129,0.46685967741935486,0.10144927536231885,0.11864406779661017,11.061538461538463,24.79,1.0,4.0,9.0,15.0,1.0,1.0,1.0,1.0,11.0,1.0,3.0,4.0,5.0,2.0,3.0,4.0,1.0,1.0,2.0,12.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,5.0,7.0,1.0,4.0,13.0,5.0,1.0,6.0,4.0,2.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.8,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.1,0.038461538461538464,0.06666666666666667,0.07692307692307693,0.3333333333333333,0.125,0.14285714285714285,1.0,0.2,0.15151515151515152,0.3333333333333333,0.07692307692307693,0.3333333333333333,0.75,1.0,1.0,0.03333333333333333,0.6666666666666666,0.24193548387096775,0.6,0.6428571428571429,0.5555555555555556,0.4583333333333333,0.4583333333333333,0.6363636363636364,0.04838709677419355,0.3333333333333333,0.5,1.0,0.5714285714285714,0.5714285714285714,0.75,0.3333333333333333,1.0,1.0,1.0,0.5714285714285714,0.5227,0.9116,0.05263157894736842,0.02631578947368421,0.013888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
200746-201167-201577-203468-2581,1610612757,"LaMarcus Aldridge, Arron Afflalo, Robin Lopez, CJ McCollum, Steve Blake","Aldridge, Afflalo, Lopez, McCollum, Blake",200746-201167-201577-203468-2581,POR,38.0,1,1.0,-2.0,,1.0,,1.0,,,1.0,,,1.0,,,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,37.89473684210527,,19.0,,19.0,,,,,1.0,,,0.3918,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
200746-201167-201587-203081-203086,1610612757,"LaMarcus Aldridge, Arron Afflalo, Nicolas Batum, Damian Lillard, Meyers Leonard","Aldridge, Afflalo, Batum, Lillard, Leonard",200746-201167-201587-203081-203086,POR,94.0,1,2.0,,2.0,3.0,,5.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,,,1.0,,2.0,1.0,,,,,,1.0,1.0,0.3333333333333333,0.25,0.3,0.25,1.0,1.0,1.0,,76.59574468085107,27.5,13.0,24.5,13.0,0.25,,,,0.25,0.25,0.5,0.516225,0.2,0.25,11.233333333333334,25.9,,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,0.75,,,,,,,,0.5,,1.0,0.6666666666666666,1.0,,1.0,,,,0.3333333333333333,,0.25,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
200746-201167-201587-203081-203468,1610612757,"LaMarcus Aldridge, Arron Afflalo, Nicolas Batum, Damian Lillard, CJ McCollum","Aldridge, Afflalo, Batum, Lillard, McCollum",200746-201167-201587-203081-203468,POR,63.0,1,1.0,-1.0,7.0,7.0,7.0,14.0,,,,,,,,13.0,13.0,14.0,,,,,,,,,1.0,1.0,1.0,1.0,7.0,,14.0,,,,,,13.0,,,,,0.9285714285714286,,,1.0,,,320.0,3.0,6.0,3.0,6.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,0.9285714285714286,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,13.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
200746-201167-201587-203081-2549,1610612757,"LaMarcus Aldridge, Arron Afflalo, Nicolas Batum, Damian Lillard, Chris Kaman","Aldridge, Afflalo, Batum, Lillard, Kaman",200746-201167-201587-203081-2549,POR,184.0,2,3.0,3.0,6.0,5.0,,11.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,7.0,4.0,2.0,4.0,1.0,1.0,1.0,,2.0,1.0,3.0,4.0,1.0,4.0,1.0,,1.0,1.0,,,,,5.0,0.3333333333333333,0.3333333333333333,0.6,0.5,0.5833333333333334,0.16666666666666666,1.0,1.0,,1.0,86.08695652173913,14.333333333333334,19.6,12.0,19.6,0.3333333333333333,0.5,0.5,,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.4616,0.16666666666666666,0.2,9.42,25.7,1.0,2.0,1.0,1.0,,,,,1.0,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,0.5,,0.5,,0.5,,,,,,,,,1.0,1.0,0.3333333333333333,,,1.0,,1.0,,,,0.16666666666666666,1.0,1.0,,0.5,0.5,1.0,,,,,,,,,,,,,0.4205,,0.2857142857142857,,0.16666666666666666,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
200746-201167-203081-203086-203468,1610612757,"LaMarcus Aldridge, Arron Afflalo, Damian Lillard, Meyers Leonard, CJ McCollum","Aldridge, Afflalo, Lillard, Leonard, McCollum",200746-201167-203081-203086-203468,POR,57.0,1,1.0,2.0,1.0,2.0,,3.0,,,1.0,,1.0,1.0,,,2.0,,,2.0,,,,,,2.0,2.0,2.0,,,1.0,,,,,,,,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,75.78947368421053,13.0,22.0,13.0,22.0,,,,,1.0,,,0.4129,,,18.7,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
200746-201167-203081-203086-2581,1610612757,"LaMarcus Aldridge, Arron Afflalo, Damian Lillard, Meyers Leonard, Steve Blake","Aldridge, Afflalo, Lillard, Leonard, Blake",200746-201167-203081-203086-2581,POR,95.0,1,2.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,,,2.0,2.0,,,4.0,2.0,4.0,,,2.0,2.0,2.0,4.0,,1.0,1.0,,,1.0,1.0,,,,,,,4.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,75.78947368421053,18.5,19.333333333333332,18.5,19.333333333333332,1.0,1.0,1.0,1.0,,,,0.38425,,,8.95,,2.0,,,,,,,,,,,,,,,,2.0,2.0,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.38425,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
200746-201167-203086-203468-2581,1610612757,"LaMarcus Aldridge, Arron Afflalo, Meyers Leonard, CJ McCollum, Steve Blake","Aldridge, Afflalo, Leonard, McCollum, Blake",200746-201167-203086-203468-2581,POR,500.0,2,8.0,6.0,16.0,14.0,3.0,30.0,1.0,3.0,5.0,2.0,5.0,12.0,3.0,7.0,23.0,17.0,8.0,2.0,2.0,4.0,5.0,,11.0,3.0,6.0,9.0,3.0,5.0,5.0,,7.0,4.0,1.0,,1.0,1.0,18.0,0.8,0.8,0.4166666666666667,0.5333333333333333,0.6388888888888888,0.2,0.6,0.5714285714285714,0.5,0.6666666666666666,86.39999999999999,16.125,17.285714285714285,14.4375,14.928571428571429,0.2,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.13333333333333333,0.4666666666666667,0.48449333333333333,0.2222222222222222,0.26666666666666666,10.483333333333333,24.433333333333334,,3.0,3.0,4.0,,,,,1.0,,1.0,2.0,2.0,1.0,2.0,5.0,,,,3.0,3.0,,2.0,,,1.0,1.0,,3.0,1.0,,3.0,1.0,3.0,2.0,2.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,,0.8333333333333334,,0.8333333333333334,,,,,,,,0.42857142857142855,0.5,,0.375,0.5,0.25,,,,0.5,0.25,,0.26666666666666666,0.75,0.75,1.0,0.2,0.2,1.0,0.06666666666666667,,,,1.0,1.0,0.5,,,,,1.0,0.46036666666666665,,0.21739130434782608,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
200746-201167-203468-2549-2581,1610612757,"LaMarcus Aldridge, Arron Afflalo, CJ McCollum, Chris Kaman, Steve Blake","Aldridge, Afflalo, McCollum, Kaman, Blake",200746-201167-203468-2549-2581,POR,282.0,1,5.0,1.0,8.0,8.0,,16.0,1.0,2.0,3.0,,3.0,8.0,1.0,3.0,9.0,8.0,2.0,4.0,,1.0,1.0,1.0,2.0,3.0,4.0,7.0,,1.0,2.0,,3.0,2.0,1.0,1.0,,1.0,9.0,0.3333333333333333,0.3333333333333333,0.375,0.3333333333333333,0.45,0.1111111111111111,1.0,1.0,,1.0,81.70212765957446,20.25,15.0,17.5,15.0,0.2222222222222222,0.5,0.5,1.0,0.3333333333333333,,0.4444444444444444,0.4962388888888889,0.2,0.2222222222222222,8.6,22.6,,1.0,1.0,3.0,,2.0,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,0.6,1.0,,0.5,,0.5,,1.0,1.0,,0.16666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.1111111111111111,,,,,,,0.6666666666666666,,,,,0.6376499999999999,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2015,2014-15,True
