EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Steals,BadPassSteals,FoulsDrawn,PenaltyOffPoss,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,FTA,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PtsUnassisted3s,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,Loose Ball Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,OffTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,BlockingFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceTurnovers,BlockingFoulsDrawn,AtRimPctBlocked,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3FGM,PenaltyFG3M,LostBallTurnovers,PenaltyFg3Pct,PenaltyArc3Accuracy,LostBallSteals,Travels,Offensive Fouls,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,DefensiveGoaltends,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,PtsPutbacks,SelfOReb,SecondChanceFg3Pct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,Charge Fouls Drawn,Charge Fouls,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,Technical Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,HeaveAttempts,OffensiveGoaltends,Clear Path Fouls,3pt And 1 Free Throw Trips,HeaveMakes,team_id,year,season,team_vs
1737-201166-201565-202703-202710,1610612741,"Nazr Mohammed, Aaron Brooks, Derrick Rose, Nikola Mirotic, Jimmy Butler","Mohammed, Brooks, Rose, Mirotic, Butler",1737-201166-201565-202703-202710,CHI,161.0,1,3.0,-7.0,5.0,5.0,10.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,9.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,89.44099378881988,16.0,16.2,16.0,11.2,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,0.4866333333333333,2.7,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
1737-201166-201959-202710-203503,1610612741,"Nazr Mohammed, Aaron Brooks, Taj Gibson, Jimmy Butler, Tony Snell","Mohammed, Brooks, Gibson, Butler, Snell",1737-201166-201959-202710-203503,CHI,66.0,1,1.0,5.0,2.0,1.0,3.0,,,1.0,1.0,1.0,1.0,5.0,,2.0,1.0,1.0,2.0,,5.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.25,1.25,0.5,1.0,1.0,,,65.45454545454545,15.5,35.0,15.5,35.0,,,,,0.5,0.5,0.457975,5.1,25.1,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
1737-201166-201959-202734-203926,1610612741,"Nazr Mohammed, Aaron Brooks, Taj Gibson, E'Twaun Moore, Doug McDermott","Mohammed, Brooks, Gibson, Moore, McDermott",1737-201166-201959-202734-203926,CHI,6.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,6.0,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
1737-201166-201959-203503-2550,1610612741,"Nazr Mohammed, Aaron Brooks, Taj Gibson, Tony Snell, Kirk Hinrich","Mohammed, Brooks, Gibson, Snell, Hinrich",1737-201166-201959-203503-2550,CHI,250.0,1,4.0,3.0,8.0,8.0,16.0,3.0,3.0,1.0,3.0,4.0,2.0,10.0,7.0,6.0,1.0,3.0,3.0,3.0,6.0,2.0,5.0,6.0,,,,,2.0,2.0,,,1.0,10.0,1.0,1.0,0.75,0.5,0.625,0.3333333333333333,1.0,1.0,1.0,1.0,92.16,11.75,19.5,11.75,19.5,0.5,1.0,1.0,1.0,0.16666666666666666,0.8333333333333334,0.5734583333333333,3.525,24.25,8.0,,1.0,,,,,,,,1.0,,,,,1.0,0.16666666666666666,,,,,,,,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,1.0,0.5,0.6666666666666666,0.25,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,0.5,1.0,0.5,0.5441,0.25,0.3333333333333333,0.4,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
1737-201166-202703-202710-203503,1610612741,"Nazr Mohammed, Aaron Brooks, Nikola Mirotic, Jimmy Butler, Tony Snell","Mohammed, Brooks, Mirotic, Butler, Snell",1737-201166-202703-202710-203503,CHI,124.0,2,2.0,5.0,3.0,3.0,6.0,,,1.0,1.0,1.0,2.0,5.0,,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,0.6666666666666666,,,69.6774193548387,13.0,28.333333333333332,13.0,28.333333333333332,,,,,0.3333333333333333,0.6666666666666666,0.49433333333333335,11.8,24.4,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,0.5,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,2.0,,,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,0.5,,,,,1.0,0.3333333333333333,,,,0.3637,,,0.4,0.3333333333333333,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
1737-201166-202703-202710-203926,1610612741,"Nazr Mohammed, Aaron Brooks, Nikola Mirotic, Jimmy Butler, Doug McDermott","Mohammed, Brooks, Mirotic, Butler, McDermott",1737-201166-202703-202710-203926,CHI,53.0,1,1.0,1.0,2.0,2.0,4.0,,,,,1.0,1.0,3.0,2.0,,,,1.0,,3.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,3.0,,,,0.75,0.75,0.5,1.0,1.0,,,108.67924528301887,4.5,22.0,4.5,22.0,,,,,,0.5,0.515675,5.9,24.2,2.0,,1.0,,1.0,3.0,,1.0,,,,1.0,1.0,1.0,1.0,,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
1737-201166-202703-202710-2399,1610612741,"Nazr Mohammed, Aaron Brooks, Nikola Mirotic, Jimmy Butler, Mike Dunleavy","Mohammed, Brooks, Mirotic, Butler, Dunleavy",1737-201166-202703-202710-2399,CHI,25.0,1,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.599999999999994,24.0,,24.0,,1.0,,,,,1.0,0.4738,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,0.4738,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
1737-201166-202703-202710-2550,1610612741,"Nazr Mohammed, Aaron Brooks, Nikola Mirotic, Jimmy Butler, Kirk Hinrich","Mohammed, Brooks, Mirotic, Butler, Hinrich",1737-201166-202703-202710-2550,CHI,79.0,1,1.0,2.0,2.0,2.0,4.0,1.0,1.0,,1.0,2.0,,2.0,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,,,,,,72.9113924050633,14.5,25.0,14.5,25.0,0.5,1.0,1.0,1.0,,0.5,0.5461,4.8,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
1737-201166-202703-202734-203503,1610612741,"Nazr Mohammed, Aaron Brooks, Nikola Mirotic, E'Twaun Moore, Tony Snell","Mohammed, Brooks, Mirotic, Moore, Snell",1737-201166-202703-202734-203503,CHI,23.0,1,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,62.60869565217391,23.0,,23.0,,1.0,1.0,1.0,1.0,,1.0,0.2476,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,0.2476,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
1737-201166-202703-202734-203926,1610612741,"Nazr Mohammed, Aaron Brooks, Nikola Mirotic, E'Twaun Moore, Doug McDermott","Mohammed, Brooks, Mirotic, Moore, McDermott",1737-201166-202703-202734-203926,CHI,165.0,3,3.0,-3.0,6.0,5.0,11.0,,1.0,,1.0,3.0,,4.0,7.0,2.0,,1.0,1.0,,2.0,1.0,2.0,2.0,,,,,1.0,2.0,,,1.0,4.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,0.5,0.4,,,96.0,13.833333333333334,16.4,13.833333333333334,11.2,0.3333333333333333,,,,,0.3333333333333333,0.3784666666666667,13.366666666666667,,5.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,1.0,6.0,,,1.0,,,2.0,1.0,3.0,,2.0,4.0,,,1.0,,,2.0,,1.0,1.0,2.0,5.0,0.3333333333333333,0.3333333333333333,0.5,,,,0.3333333333333333,,,,0.3333333333333333,,,0.3333333333333333,,,0.3784666666666667,,,1.0,1.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2015,2014-15,True
