EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Steals,LostBallSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGM,PtsPutbacks,Corner3Assists,FoulsDrawn,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,DefAtRimReboundPct,DefLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyOffPoss,PenaltyFG2A,FTDefRebounds,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,PenaltyShotQualityAvg,PenaltyOffPossPct,DefThreePtRebounds,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,DefThreePtReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,FtPoints,PenaltyFG2M,PenaltyPoints,PtsUnassisted3s,ShortMidRangeAssists,Loose Ball Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,BadPassSteals,DefCorner3ReboundPct,Offensive Fouls,Offensive Fouls Drawn,BlockedLongMidRange,Defensive 3 Seconds Violations,BadPassOutOfBoundsTurnovers,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,PenaltyFG3A,SecondChanceTurnovers,Charge Fouls Drawn,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,Travels,BlockedShortMidRange,SecondChanceArc3FGA,SecondChanceArc3Frequency,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,PenaltyFtPoints,HeaveAttempts,Fg3aBlocked,PenaltyTurnovers,BlockingFouls,Charge Fouls,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockingFoulsDrawn,FTOffRebounds,OffensiveGoaltends,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,Clear Path Fouls,SecondChanceFg3Pct,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedCorner3,3pt And 1 Free Throw Trips,BlockedArc3,HeaveMakes,team_id,year,season,team_vs
1890-200811-201567-202681-2544,1610612739,"Shawn Marion, Lou Amundson, Kevin Love, Kyrie Irving, LeBron James","Marion, Amundson, Love, Irving, James",1890-200811-201567-202681-2544,CLE,95.0,1,2.0,-1.0,4.0,3.0,3.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,106.10526315789474,14.25,12.666666666666666,10.75,12.666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,0.39316666666666666,0.3932,0.5,10.466666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-200811-201567-203805-2544,1610612739,"Shawn Marion, Lou Amundson, Kevin Love, Will Cherry, LeBron James","Marion, Amundson, Love, Cherry, James",1890-200811-201567-203805-2544,CLE,151.0,1,3.0,,4.0,4.0,4.0,1.0,8.0,,1.0,,1.0,1.0,4.0,5.0,5.0,1.0,3.0,2.0,2.0,,1.0,2.0,,5.0,,,,,1.0,3.0,1.0,1.0,0.25,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333,76.29139072847683,17.25,20.5,14.75,20.5,0.16666666666666666,,,0.16666666666666666,,,,0.494875,0.5073,0.4,7.925,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-200811-202681-202684-203079,1610612739,"Shawn Marion, Lou Amundson, Kyrie Irving, Tristan Thompson, Dion Waiters","Marion, Amundson, Irving, Thompson, Waiters",1890-200811-202681-202684-203079,CLE,465.0,2,8.0,-3.0,13.0,15.0,,1.0,28.0,1.0,6.0,2.0,4.0,5.0,12.0,13.0,16.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,1.0,5.0,,,,,,11.0,0.2,0.25,0.4166666666666667,1.0,0.4642857142857143,1.0,0.4642857142857143,1.0,86.70967741935483,20.692307692307693,13.066666666666666,20.692307692307693,13.0,0.42857142857142855,0.16666666666666666,0.2,0.2857142857142857,0.5,0.5,0.5,0.4533392857142857,0.5682,0.15384615384615385,10.316666666666666,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,1.0,,1.0,1.0,,,1.0,5.0,5.0,1.0,6.0,,,,2.0,2.0,1.0,0.5,0.5,0.14285714285714285,0.08333333333333333,,,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.125,,0.2,,0.3333333333333333,,0.14285714285714285,1.0,1.0,,0.07142857142857142,0.07142857142857142,,,,1.0,1.0,,0.2857142857142857,,24.0,1.0,2.0,1.0,5.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-200811-202681-203925-2544,1610612739,"Shawn Marion, Lou Amundson, Kyrie Irving, Joe Harris, LeBron James","Marion, Amundson, Irving, Harris, James",1890-200811-202681-203925-2544,CLE,24.0,1,,,1.0,1.0,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,22.0,2.0,22.0,2.0,1.0,,,,,,,0.2548,,,9.6,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.2548,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-201567-201985-202684-203079,1610612739,"Shawn Marion, Kevin Love, AJ Price, Tristan Thompson, Dion Waiters","Marion, Love, Price, Thompson, Waiters",1890-201567-201985-202684-203079,CLE,182.0,1,3.0,-8.0,5.0,7.0,7.0,,12.0,,1.0,,1.0,,2.0,,8.0,,,,,,,,,,,,,,1.0,,,,,,,,,,94.94505494505495,17.0,13.857142857142858,17.0,10.714285714285714,0.25,,,0.25,,,,0.4128125,,,15.2,,,,,,,2.0,,2.0,,2.0,,,,,,,1.0,2.0,,2.0,,1.0,,,1.0,,,,0.5,,,1.0,0.3333333333333333,,0.5,,,,,,,,,,,,0.5,,,,,,,0.5,,26.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-201567-201985-202684-2592,1610612739,"Shawn Marion, Kevin Love, AJ Price, Tristan Thompson, James Jones","Marion, Love, Price, Thompson, Jones",1890-201567-201985-202684-2592,CLE,113.0,1,2.0,-2.0,3.0,3.0,,,6.0,1.0,2.0,,,1.0,3.0,2.0,4.0,,1.0,,,2.0,,,,,,,1.0,,1.0,2.0,,,0.3333333333333333,,0.25,,0.25,,76.46017699115045,18.666666666666668,19.0,17.0,19.0,0.5,0.5,0.5,,,,,0.4947125,,,4.366666666666666,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,2.0,3.0,,,,,,,,,0.25,,,,1.0,0.5,1.0,0.6666666666666666,1.0,,,,,0.25,,,,,0.25,,,,1.0,,,0.5,,25.2,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-201567-201985-203079-2034,1610612739,"Shawn Marion, Kevin Love, AJ Price, Dion Waiters, Mike Miller","Marion, Love, Price, Waiters, Miller",1890-201567-201985-203079-2034,CLE,226.0,1,4.0,4.0,6.0,7.0,1.0,,13.0,2.0,2.0,1.0,1.0,3.0,3.0,11.0,7.0,,,,2.0,4.0,1.0,1.0,,2.0,,,,,,11.0,0.3333333333333333,0.3333333333333333,1.0,,0.9,,0.9166666666666666,,82.83185840707965,14.166666666666666,20.142857142857142,14.166666666666666,17.0,0.4,1.0,1.0,0.2,1.0,1.0,,0.46638,,,12.333333333333334,,,,,,1.0,2.0,1.0,2.0,,2.0,1.0,,,,,,2.0,3.0,,3.0,,,,,1.0,,0.5,0.5,0.4,,,,1.0,,0.75,,,,,,,,,,,,0.4,0.5,0.5,,,,,0.4,0.5,24.45,,,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,0.365,0.16666666666666666,1.0,,,,,,,0.5,1.0,,,,,,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.16666666666666666,0.25,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-201567-201985-203079-2217,1610612739,"Shawn Marion, Kevin Love, AJ Price, Dion Waiters, Brendan Haywood","Marion, Love, Price, Waiters, Haywood",1890-201567-201985-203079-2217,CLE,169.0,1,3.0,1.0,6.0,6.0,,,12.0,,1.0,,,1.0,3.0,5.0,4.0,,,,2.0,,1.0,1.0,,2.0,2.0,1.0,,,,5.0,1.0,1.0,0.3333333333333333,,0.4166666666666667,,0.4166666666666667,,102.24852071005917,16.0,12.166666666666666,16.0,12.166666666666666,0.16666666666666666,,,,,,,0.505725,,,3.3333333333333335,1.0,2.0,,,,1.0,3.0,1.0,3.0,,3.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,0.5,,,,,,1.0,,,,,,,0.3333333333333333,0.5,0.5,1.0,,0.5,0.3333333333333333,0.3333333333333333,,,,,0.8333333333333334,0.3333333333333333,28.266666666666666,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-201567-201985-203079-2592,1610612739,"Shawn Marion, Kevin Love, AJ Price, Dion Waiters, James Jones","Marion, Love, Price, Waiters, Jones",1890-201567-201985-203079-2592,CLE,183.0,1,3.0,10.0,6.0,5.0,,2.0,11.0,1.0,3.0,1.0,1.0,3.0,6.0,12.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,10.0,,,,,,10.0,0.6666666666666666,1.0,0.5,0.5,0.75,0.5,0.75,0.5,86.55737704918033,16.0,17.4,14.333333333333334,17.4,0.375,0.3333333333333333,0.5,0.125,1.0,1.0,1.0,0.47830625,0.46075,0.16666666666666666,7.516666666666667,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,4.0,2.0,6.0,1.0,,,,1.0,1.0,1.0,1.0,0.25,0.16666666666666666,,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,,,0.5,0.25,0.5,0.5,,,0.25,1.0,1.0,1.0,0.5,1.0,,0.5,1.0,26.4,,2.0,,,,0.3333333333333333,,1.0,,,,,,,,,,,3.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
1890-201567-202389-202681-203521,1610612739,"Shawn Marion, Kevin Love, Timofey Mozgov, Kyrie Irving, Matthew Dellavedova","Marion, Love, Mozgov, Irving, Dellavedova",1890-201567-202389-202681-203521,CLE,92.0,1,2.0,3.0,2.0,2.0,,1.0,4.0,,,,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,,2.0,,1.0,,3.0,,,,,,3.0,,,0.5,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,62.60869565217391,18.0,28.0,17.0,28.0,,,,0.3333333333333333,,,,0.5294833333333333,0.6314,0.4,8.35,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,,1.0,,,1.0,,2.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,1.0,1.0,1.0,,,1.0,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,1.0,1.0,,0.6666666666666666,,23.1,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2015,2014-15,True
