EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGA,FtPoints,NonHeaveArc3FGA,Fg2aBlocked,DefTwoPtRebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefShortMidRangeReboundPct,Arc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsAssisted3s,ThreePtAssists,Corner3Assists,AtRimAssists,FTDefRebounds,BadPassSteals,Assisted3sPct,DefFTReboundPct,AtRimPctAssisted,Corner3PctAssisted,LongMidRangeFGM,LongMidRangeFGA,LiveBallTurnovers,LostBallTurnovers,Turnovers,Blocked2s,BlockedAtRim,Blocks,LiveBallTurnoverPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceOffPoss,SecondChanceAtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,OffRebounds,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Charge Fouls Drawn,2pt And 1 Free Throw Trips,DefLongMidRangeReboundPct,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,LongMidRangeAssists,OffThreePtRebounds,SecondChanceTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChancePointsPct,SelfOReb,BadPassTurnovers,PenaltyTurnovers,ShortMidRangePctBlocked,DefCorner3ReboundPct,SelfORebPct,PtsPutbacks,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,BlockingFoulsDrawn,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,Loose Ball Fouls,Offensive Fouls Drawn,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceFtPoints,Offensive Fouls,SecondChanceCorner3Frequency,BadPassOutOfBoundsTurnovers,HeaveMakes,HeaveAttempts,Charge Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockingFouls,SecondChanceCorner3FGM,SecondChanceFG3M,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,team_id,year,season,team_vs
1626169-201229-201975-203493-203915,1610612765,"Stanley Johnson, Anthony Tolliver, Jodie Meeks, Reggie Bullock, Spencer Dinwiddie","Johnson, Tolliver, Meeks, Bullock, Dinwiddie",1626169-201229-201975-203493-203915,DET,101.0,1,2.0,3.0,4.0,3.0,4.0,3.0,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,4.0,2.0,2.0,1.0,1.0,7.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,7.0,4.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.3333333333333333,1.0,1.0,1.0,99.8019801980198,12.5,17.0,12.5,17.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,0.4583333333333333,0.4583333333333333,1.0,6.55,25.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
1626169-201229-202694-202704-203083,1610612765,"Stanley Johnson, Anthony Tolliver, Marcus Morris, Reggie Jackson, Andre Drummond","Johnson, Tolliver, Morris, Jackson, Drummond",1626169-201229-202694-202704-203083,DET,115.0,1,2.0,-1.0,3.0,4.0,,,7,,1.0,,,,,,,,,,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,0.3333333333333333,,0.5,,0.5,,87.65217391304347,16.333333333333332,16.5,16.333333333333332,16.25,0.5,,,,,,,,,,,,,,1.0,0.46275,,,3.0,26.3,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
1626169-201229-202694-203083-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Marcus Morris, Andre Drummond, Steve Blake","Johnson, Tolliver, Morris, Drummond, Blake",1626169-201229-202694-203083-2581,DET,197.0,1,3.0,4.0,6.0,6.0,,,12,1.0,2.0,,,1.0,2.0,1.0,1.0,,,2.0,4.0,1.0,2.0,7.0,3.0,,,,,,4.0,,,2.0,3.0,1.0,7.0,1.0,4.0,4.0,7.0,,,1.0,1.0,0.5,,0.5,0.5,,0.5833333333333334,,0.5833333333333334,,0.3333333333333333,1.0,1.0,1.0,87.71573604060914,14.666666666666666,18.166666666666668,14.666666666666666,18.166666666666668,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,,,,,0.6666666666666666,0.5056833333333334,,,3.7,24.55,,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,,,,0.25,0.5,1.0,1.0,0.16666666666666666,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
1626169-201229-202699-202704-203083,1610612765,"Stanley Johnson, Anthony Tolliver, Tobias Harris, Reggie Jackson, Andre Drummond","Johnson, Tolliver, Harris, Jackson, Drummond",1626169-201229-202699-202704-203083,DET,129.0,1,2.0,-5.0,4.0,4.0,,,8,,,,,,,,,,,1.0,1.0,,2.0,2.0,7.0,,,,,,,2.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,1.0,0.5,1.0,89.30232558139535,18.0,14.25,18.0,14.0,,,,,,,,,,,,,,,0.6666666666666666,0.4723833333333333,,,16.6,25.65,,2.0,,2.0,,,,,,1.0,,,,,,,,0.6666666666666666,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
1626169-201229-202699-203083-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Tobias Harris, Andre Drummond, Steve Blake","Johnson, Tolliver, Harris, Drummond, Blake",1626169-201229-202699-203083-2581,DET,45.0,1,1.0,3.0,1.0,,,,1,,,,,,,1.0,1.0,,,,,1.0,1.0,3.0,,,,,,,,,,,1.0,,3.0,,,,3.0,,,,,1.0,,1.0,,,1.5,,1.5,,1.0,,,,32.0,30.0,,30.0,,,,,,,,,1.0,1.0,1.0,,,,,1.0,0.55155,,,,23.0,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
1626169-201229-202699-203382-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Tobias Harris, Aron Baynes, Steve Blake","Johnson, Tolliver, Harris, Baynes, Blake",1626169-201229-202699-203382-2581,DET,144.0,1,2.0,2.0,4.0,4.0,,,8,,,,,,,,,,,,2.0,2.0,2.0,6.0,4.0,,,,,,,,,,2.0,,6.0,,1.0,1.0,6.0,,,,,1.0,,1.0,,,0.75,,0.75,,0.5,,1.0,,80.0,17.75,18.25,17.75,18.25,,,,,,,,,,,,,,,0.5,0.4454125,,,16.7,25.9,,2.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,0.5,,,6.0,2.0,,,,1.0,1.0,,,,,2.0,,,,,,,,0.5,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
1626169-201229-202699-203484-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Tobias Harris, Kentavious Caldwell-Pope, Steve Blake","Johnson, Tolliver, Harris, Caldwell-Pope, Blake",1626169-201229-202699-203484-2581,DET,29.0,1,,-2.0,1.0,1.0,1.0,,2,,1.0,,1.0,,1.0,,,,,,2.0,,,,2.0,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,99.3103448275862,7.0,22.0,6.0,22.0,0.5,,,0.5,,,,,,,0.5,,,,0.5,0.44695,0.44695,,4.45,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.4612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
1626169-201229-202704-203382-203484,1610612765,"Stanley Johnson, Anthony Tolliver, Reggie Jackson, Aron Baynes, Kentavious Caldwell-Pope","Johnson, Tolliver, Jackson, Baynes, Caldwell-Pope",1626169-201229-202704-203382-203484,DET,64.0,1,1.0,,2.0,2.0,1.0,,4,,,,,1.0,1.0,,,,,1.0,2.0,,,2.0,2.0,1.0,2.0,,,2.0,,2.0,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,1.0,1.0,1.0,90.0,11.0,21.0,11.0,21.0,,,,0.5,1.0,1.0,,,,,,,,,,0.3053,0.3053,1.0,11.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
1626169-201229-203382-203484-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Aron Baynes, Kentavious Caldwell-Pope, Steve Blake","Johnson, Tolliver, Baynes, Caldwell-Pope, Blake",1626169-201229-203382-203484-2581,DET,238.0,2,4.0,5.0,7.0,7.0,,,14,2.0,2.0,,,1.0,1.0,,,,,3.0,5.0,1.0,2.0,10.0,5.0,,,,,,2.0,4.0,,1.0,2.0,,5.0,1.0,3.0,3.0,10.0,,,0.3333333333333333,0.3333333333333333,0.5,,0.5,0.6,,0.6428571428571429,,0.7142857142857143,,0.2857142857142857,1.0,1.0,1.0,84.70588235294117,18.857142857142858,15.142857142857142,18.857142857142858,15.142857142857142,0.2857142857142857,1.0,1.0,0.14285714285714285,1.0,1.0,,,,,,,,,0.5714285714285714,0.4793928571428571,,,8.42,25.95,,2.0,1.0,2.0,,2.0,,,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,0.2857142857142857,0.14285714285714285,0.2,3.0,1.0,,1.0,,,1.0,,0.5,,,2.0,,,,,,,,0.2857142857142857,,,1.0,1.0,1.0,,0.5,0.5,1.0,0.5,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
1626169-201229-203382-203493-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Aron Baynes, Reggie Bullock, Steve Blake","Johnson, Tolliver, Baynes, Bullock, Blake",1626169-201229-203382-203493-2581,DET,215.0,1,4.0,9.0,7.0,6.0,,,13,3.0,3.0,,,1.0,2.0,1.0,1.0,,,4.0,5.0,1.0,2.0,11.0,2.0,,,,,,4.0,4.0,,2.0,3.0,,7.0,1.0,4.0,4.0,11.0,,,0.5,0.5,0.5,,0.5,0.8,,0.7857142857142857,,0.7857142857142857,,0.2857142857142857,1.0,1.0,1.0,87.06976744186046,13.285714285714286,20.333333333333332,13.285714285714286,20.333333333333332,0.42857142857142855,1.0,1.0,0.2857142857142857,0.5,0.5,,0.14285714285714285,1.0,1.0,,,,,0.7142857142857143,0.6312142857142857,,,2.94,23.7,,1.0,,1.0,,3.0,1.0,,,1.0,,,,,,1.0,1.0,0.14285714285714285,,,3.0,1.0,1.0,2.0,,1.0,1.0,,0.6666666666666666,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
