EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG3M,FtPoints,PtsUnassisted2s,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Fouls,Offensive Fouls,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,2pt And 1 Free Throw Trips,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,PenaltyPoints,LongMidRangeAssists,ShootingFouls,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctAssisted,PenaltyArc3Accuracy,PenaltyPointsPct,SecondChanceFG2A,OffThreePtRebounds,Steals,BadPassSteals,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceFG2M,SecondChancePoints,BlockingFouls,Offensive Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGA,PenaltyTurnovers,OffensiveGoaltends,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFtPoints,Arc3Assists,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyCorner3FGM,LostBallTurnovers,PenaltyCorner3Accuracy,FTDefRebounds,LostBallSteals,Charge Fouls,DefFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,Travels,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SelfOReb,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,SelfORebPct,SecondChanceCorner3FGA,FTOffRebounds,Clear Path Fouls,OffFTReboundPct,SecondChanceCorner3Frequency,Technical Free Throw Trips,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,3SecondViolations,BlockedCorner3,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1626144-1626253-201571-203115-203530,1610612743,"Emmanuel Mudiay, Axel Toupane, D.J. Augustin, Will Barton, Joffrey Lauvergne","Mudiay, Toupane, Augustin, Barton, Lauvergne",1626144-1626253-201571-203115-203530,DEN,178.0,2,3.0,-3.0,5.0,5.0,3.0,3.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.3333333333333333,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,80.89887640449437,22.0,13.6,22.0,13.6,0.25,1.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.5,0.4074,0.3756333333333333,4.5,24.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
1626144-1626253-201571-203115-203994,1610612743,"Emmanuel Mudiay, Axel Toupane, D.J. Augustin, Will Barton, Jusuf Nurkic","Mudiay, Toupane, Augustin, Barton, Nurkic",1626144-1626253-201571-203115-203994,DEN,478.0,1,8.0,-1.0,16.0,15.0,,,31.0,1.0,4.0,1.0,,,3.0,7.0,4.0,18.0,19.0,,,4.0,,2.0,4.0,1.0,10.0,2.0,5.0,7.0,8.0,1.0,1.0,3.0,3.0,18.0,,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.5454545454545454,0.6428571428571429,0.36363636363636365,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,93.38912133891213,14.3125,16.6,14.3125,16.6,0.36363636363636365,0.25,0.3333333333333333,1.0,0.09090909090909091,,,0.7272727272727273,0.511009090909091,,7.985714285714286,23.525,,1.0,1.0,1.0,2.0,2.0,4.0,2.0,6.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,0.5,0.5,0.14285714285714285,0.25,0.25,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,0.36363636363636365,0.5,0.5,1.0,0.21428571428571427,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
1626144-1626253-201571-203115-203999,1610612743,"Emmanuel Mudiay, Axel Toupane, D.J. Augustin, Will Barton, Nikola Jokic","Mudiay, Toupane, Augustin, Barton, Jokic",1626144-1626253-201571-203115-203999,DEN,57.0,1,1.0,1.0,2.0,2.0,,,4.0,1.0,1.0,,1.0,,1.0,1.0,1.0,6.0,5.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,6.0,,1.0,1.0,1.0,1.25,1.5,0.5,,,,,,,101.05263157894737,17.5,11.0,17.5,11.0,0.5,1.0,1.0,1.0,,0.5,,1.0,0.4567,,3.4,24.9,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
1626144-1626253-201571-203914-203999,1610612743,"Emmanuel Mudiay, Axel Toupane, D.J. Augustin, Gary Harris, Nikola Jokic","Mudiay, Toupane, Augustin, Harris, Jokic",1626144-1626253-201571-203914-203999,DEN,91.0,2,2.0,,3.0,4.0,3.0,4.0,7.0,,,,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,5.0,3.0,1.0,1.0,1.0,1.25,1.25,0.5,,,1.0,1.0,,1.0,110.76923076923077,20.0,7.75,20.0,7.75,,,,,,0.5,0.5,0.5,0.332625,0.332625,20.1,25.4,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.25,1.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
1626144-1626253-201589-203115-203530,1610612743,"Emmanuel Mudiay, Axel Toupane, Darrell Arthur, Will Barton, Joffrey Lauvergne","Mudiay, Toupane, Arthur, Barton, Lauvergne",1626144-1626253-201589-203115-203530,DEN,206.0,2,3.0,1.0,7.0,8.0,,3.0,15.0,3.0,3.0,1.0,2.0,,3.0,5.0,2.0,8.0,7.0,,,,2.0,,,,,1.0,1.0,2.0,3.0,,,,1.0,8.0,,,,0.6,0.42857142857142855,0.5,0.2857142857142857,,1.0,1.0,1.0,,1.0,104.85436893203884,13.285714285714286,14.125,11.714285714285714,14.125,0.42857142857142855,1.0,1.0,,0.14285714285714285,0.2857142857142857,,0.7142857142857143,0.5702357142857143,,6.9,25.3,,1.0,,,1.0,,,,2.0,6.0,,1.0,,,,,1.0,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,0.2,,,0.25,,1.0,,1.0,,,,0.14285714285714285,,,,,,,0.125,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
1626144-1626253-201589-203115-203999,1610612743,"Emmanuel Mudiay, Axel Toupane, Darrell Arthur, Will Barton, Nikola Jokic","Mudiay, Toupane, Arthur, Barton, Jokic",1626144-1626253-201589-203115-203999,DEN,277.0,3,5.0,,10.0,11.0,,1.0,21.0,3.0,3.0,2.0,2.0,1.0,5.0,8.0,3.0,12.0,12.0,,1.0,6.0,2.0,3.0,3.0,3.0,6.0,1.0,1.0,2.0,3.0,,,,3.0,10.0,,0.6,0.6,0.625,0.45454545454545453,0.5,0.2727272727272727,,0.5,1.0,0.6666666666666666,,1.0,109.16967509025272,12.3,14.0,11.9,13.454545454545455,0.2727272727272727,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182,1.0,0.5454545454545454,0.49245,,8.7375,28.833333333333332,,2.0,2.0,,3.0,,1.0,,2.0,4.0,,,,,,,1.0,,,,2.0,,,3.0,2.0,,,,,,,,,,,0.2,,,,,1.0,1.0,,0.2727272727272727,,,0.09090909090909091,,,,0.16666666666666666,0.2222222222222222,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,0.5,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
1626144-1626253-201589-203530-203914,1610612743,"Emmanuel Mudiay, Axel Toupane, Darrell Arthur, Joffrey Lauvergne, Gary Harris","Mudiay, Toupane, Arthur, Lauvergne, Harris",1626144-1626253-201589-203530-203914,DEN,38.0,1,1.0,-5.0,1.0,2.0,,,3.0,,,1.0,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.6842105263158,20.0,9.0,20.0,9.0,,,,,1.0,,,,0.4158,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
1626144-1626253-202702-203115-203530,1610612743,"Emmanuel Mudiay, Axel Toupane, Kenneth Faried, Will Barton, Joffrey Lauvergne","Mudiay, Toupane, Faried, Barton, Lauvergne",1626144-1626253-202702-203115-203530,DEN,48.0,1,1.0,-3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,,2.0,5.0,1.0,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,90.0,15.0,16.5,15.0,11.0,1.0,1.0,1.0,1.0,,,,1.0,0.4219,0.4219,2.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
1626144-1626253-202702-203115-203914,1610612743,"Emmanuel Mudiay, Axel Toupane, Kenneth Faried, Will Barton, Gary Harris","Mudiay, Toupane, Faried, Barton, Harris",1626144-1626253-202702-203115-203914,DEN,209.0,2,3.0,3.0,7.0,6.0,6.0,,13.0,2.0,2.0,2.0,,,3.0,4.0,1.0,7.0,4.0,4.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,,,1.0,1.0,7.0,6.0,0.3333333333333333,0.3333333333333333,0.75,0.6,0.5833333333333334,0.2,,1.0,1.0,1.0,,,89.56937799043062,11.857142857142858,21.0,11.857142857142858,21.0,0.4,1.0,1.0,0.5,0.4,,,0.6,0.49246999999999996,0.49246999999999996,4.875,24.1,0.8571428571428571,,1.0,,,,1.0,,1.0,4.0,,,,,,,,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,0.5,0.5,,,,,0.2,,,,0.16666666666666666,0.2,,,,,,,,,3.0,,6.0,,,6.0,,0.75,0.6,0.6,,,0.8571428571428571,,,,,,,,,,,,,,,,1.0,,2.0,2.0,0.4,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
1626144-1626253-202702-203115-203960,1610612743,"Emmanuel Mudiay, Axel Toupane, Kenneth Faried, Will Barton, JaKarr Sampson","Mudiay, Toupane, Faried, Barton, Sampson",1626144-1626253-202702-203115-203960,DEN,1.0,1,,-1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2016,2015-16,False
