EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,Fouls,FoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,PenaltyArc3FGM,FG3M,FtPoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,BadPassSteals,Loose Ball Fouls,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceOffPoss,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3A,Fg3aBlocked,Charge Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,DefAtRimReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,FTDefRebounds,ShootingFouls,DefFTReboundPct,AtRimPctBlocked,OffAtRimReboundPct,LongMidRangeFGM,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedShortMidRange,LiveBallTurnoverPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceFG2M,SecondChancePoints,PtsUnassisted3s,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,PtsPutbacks,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffShortMidRangeReboundPct,Charge Fouls,DefLongMidRangeReboundPct,BadPassTurnovers,Travels,Offensive Fouls,Offensive Fouls Drawn,OffCorner3ReboundPct,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,BlockedAtRim,OffensiveGoaltends,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SelfOReb,BlockedCorner3,SelfORebPct,Transition Take Fouls,StepOutOfBoundsTurnovers,Corner3PctBlocked,team_id,year,season,team_vs
1626168-1627734-1628368-1628370-1628989,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Kevin Huerter","Lyles, Sabonis, Fox, Monk, Huerter",1626168-1627734-1628368-1628370-1628989,SAC,114.0,2,2.0,-2.0,4.0,3.0,4.0,2.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,0.3333333333333333,0.5,0.2,0.25,0.2,0.25,0.4,0.5,0.25,1.0,88.42105263157895,17.25,15.0,16.5,15.0,0.4,0.5,0.5,0.2,0.2,0.2,0.5,0.5,0.25,0.25,0.8,0.5245,0.556025,1.0,6.766666666666667,24.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626168-1627734-1628368-1628370-1629056,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Terence Davis","Lyles, Sabonis, Fox, Monk, Davis",1626168-1627734-1628368-1628370-1629056,SAC,471.0,1,8.0,-4.0,18.0,17.0,10.0,10.0,35.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,7.0,3.0,4.0,8.0,9.0,19.0,23.0,1.0,4.0,5.0,7.0,2.0,7.0,,,6.0,1.0,,1.0,1.0,19.0,7.0,10.0,,0.5,0.25,0.5,0.2777777777777778,0.5277777777777778,0.35,0.5294117647058824,,,,107.0063694267516,15.0,11.823529411764707,15.0,11.117647058823529,0.23529411764705882,0.75,0.75,0.11764705882352941,0.11764705882352941,0.4117647058823529,0.1111111111111111,1.0,0.2222222222222222,0.3333333333333333,0.7647058823529411,0.5189323529411765,0.5159611111111111,0.3684210526315789,6.925,25.922222222222224,0.5555555555555556,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,6.0,9.0,3.0,1.0,3.0,3.0,6.0,3.0,2.0,1.0,15.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.3333333333333333,0.2,0.3333333333333333,0.125,0.5,1.0,0.8,0.8571428571428571,1.0,1.0,1.0,0.6666666666666666,0.11764705882352941,0.5,1.0,1.0,0.42857142857142855,0.42857142857142855,1.0,0.3333333333333333,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626168-1627734-1628368-1628370-1630558,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Davion Mitchell","Lyles, Sabonis, Fox, Monk, Mitchell",1626168-1627734-1628368-1628370-1630558,SAC,333.0,3,6.0,11.0,13.0,11.0,4.0,3.0,24.0,6.0,7.0,1.0,2.0,1.0,,,3.0,,6.0,9.0,3.0,20.0,9.0,1.0,3.0,,4.0,2.0,3.0,,,5.0,1.0,1.0,1.0,4.0,20.0,4.0,4.0,,0.6666666666666666,0.3333333333333333,0.75,0.3333333333333333,0.7692307692307693,0.5,0.25,,,,103.78378378378379,13.461538461538462,14.363636363636363,11.23076923076923,14.363636363636363,0.5833333333333334,0.8571428571428571,0.8571428571428571,0.08333333333333333,,0.25,0.6666666666666666,0.5,,,0.8333333333333334,0.5329875000000001,0.4852666666666667,0.2,4.699999999999999,27.866666666666664,0.3076923076923077,,1.0,2.0,,2.0,2.0,,2.0,10.0,6.0,2.0,,5.0,2.0,7.0,2.0,5.0,,16.0,3.0,2.0,5.0,,,1.0,2.0,1.0,,,,,1.0,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,,0.6666666666666666,,,1.0,1.0,1.0,1.0,1.0,,0.8333333333333334,0.08333333333333333,,,,0.6666666666666666,1.0,1.0,,0.6666666666666666,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.454525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626168-1627734-1628368-1628370-1631099,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Malik Monk, Keegan Murray","Lyles, Sabonis, Fox, Monk, Murray",1626168-1627734-1628368-1628370-1631099,SAC,61.0,3,1.0,-7.0,3.0,4.0,1.0,1.0,7.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,,7.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,0.5,,,,165.24590163934428,11.666666666666666,6.5,11.666666666666666,6.5,0.5,,,,,0.5,,,,1.0,1.0,0.5554,0.5031,,2.4,25.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626168-1627734-1628368-1628989-1630558,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Kevin Huerter, Davion Mitchell","Lyles, Sabonis, Fox, Huerter, Mitchell",1626168-1627734-1628368-1628989-1630558,SAC,28.0,1,,-2.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,1.0,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,102.85714285714286,13.0,15.0,13.0,15.0,1.0,,,,,,,,,,1.0,0.4652,,,3.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626168-1627734-1628368-1628989-203084,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Kevin Huerter, Harrison Barnes","Lyles, Sabonis, Fox, Huerter, Barnes",1626168-1627734-1628368-1628989-203084,SAC,107.0,1,2.0,2.0,5.0,5.0,5.0,5.0,10.0,,1.0,,1.0,1.0,,,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,,,2.0,2.0,2.0,,,4.0,4.0,5.0,,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.25,,,,134.57943925233644,8.4,13.0,8.4,13.0,0.25,,,0.25,,0.25,0.25,,,0.25,0.5,0.39755,0.39755,1.0,11.366666666666667,25.7,1.0,1.0,1.0,,,,,,,2.0,,,,1.0,,1.0,,,1.0,2.0,,2.0,2.0,,,,,,,,1.0,1.0,,0.5,0.5,,,,,,,1.0,,1.0,1.0,,1.0,,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626168-1627734-1628368-1629056-1631099,1610612758,"Trey Lyles, Domantas Sabonis, De'Aaron Fox, Terence Davis, Keegan Murray","Lyles, Sabonis, Fox, Davis, Murray",1626168-1627734-1628368-1629056-1631099,SAC,132.0,1,2.0,5.0,4.0,5.0,,3.0,9.0,1.0,1.0,,,2.0,,,2.0,,3.0,3.0,2.0,9.0,4.0,,,,,4.0,2.0,,1.0,2.0,1.0,1.0,1.0,,7.0,,,,1.0,,0.9,,0.9,,0.4,,1.0,,98.18181818181817,14.5,14.8,13.0,13.4,0.2,1.0,1.0,0.4,,0.4,,,,,0.6,0.52702,,,12.799999999999999,27.5,,,,1.0,,1.0,,,,2.0,,1.0,,1.0,,1.0,,1.0,,2.0,1.0,,1.0,,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.5,,0.5,,,,0.3333333333333333,0.3333333333333333,,0.5,,1.0,,,,,0.5,0.5,,,0.5,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626168-1627734-1628370-1628989-1630558,1610612758,"Trey Lyles, Domantas Sabonis, Malik Monk, Kevin Huerter, Davion Mitchell","Lyles, Sabonis, Monk, Huerter, Mitchell",1626168-1627734-1628370-1628989-1630558,SAC,246.0,2,4.0,-1.0,8.0,9.0,,8.0,17.0,1.0,2.0,,,3.0,,,1.0,,3.0,7.0,1.0,10.0,11.0,,,,,2.0,1.0,1.0,1.0,5.0,,,2.0,1.0,7.0,,,1.0,0.42857142857142855,,0.5625,,0.625,,0.125,0.25,0.25,,99.51219512195122,15.75,13.333333333333334,15.75,12.0,0.25,0.5,0.5,0.375,,0.125,,,,,0.375,0.47574375,,,10.757142857142856,27.3,,1.0,2.0,1.0,,1.0,1.0,,,4.0,3.0,1.0,,2.0,1.0,3.0,1.0,,1.0,7.0,2.0,1.0,4.0,,1.0,,1.0,,,,1.0,,,0.6666666666666666,1.0,1.0,1.0,,1.0,,,0.25,0.5,0.375,0.3333333333333333,0.5,,,0.25,0.5,0.5,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,0.5,,0.5597,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,3.0,,,1.0,1.0,1.5,,,0.3,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626168-1627734-1628370-1629056-1630558,1610612758,"Trey Lyles, Domantas Sabonis, Malik Monk, Terence Davis, Davion Mitchell","Lyles, Sabonis, Monk, Davis, Mitchell",1626168-1627734-1628370-1629056-1630558,SAC,190.0,2,3.0,-2.0,5.0,5.0,2.0,,10.0,1.0,1.0,,,,1.0,,3.0,2.0,1.0,1.0,4.0,5.0,7.0,,,2.0,,,3.0,,,2.0,,,2.0,,5.0,,2.0,,1.0,,0.5,,0.5,,0.8,,,,75.78947368421053,20.2,17.8,20.2,17.8,0.2,1.0,1.0,,0.2,0.6,,,,1.0,1.0,0.5599700000000001,0.5259,,1.1,25.975,0.4,,,,,1.0,,,,2.0,3.0,,,1.0,1.0,2.0,,1.0,,5.0,,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,0.25,,0.25,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626168-1627734-1628370-1630558-1631099,1610612758,"Trey Lyles, Domantas Sabonis, Malik Monk, Davion Mitchell, Keegan Murray","Lyles, Sabonis, Monk, Mitchell, Murray",1626168-1627734-1628370-1630558-1631099,SAC,78.0,3,1.0,2.0,2.0,1.0,2.0,1.0,3.0,,,,,1.0,,,2.0,2.0,,2.0,2.0,3.0,1.0,,1.0,2.0,3.0,,2.0,2.0,2.0,3.0,,,1.0,,3.0,3.0,2.0,1.0,,,0.375,0.5,0.375,0.5,0.5,1.0,1.0,1.0,55.38461538461538,18.0,42.0,12.5,42.0,,,,0.25,,0.5,,,,0.6666666666666666,0.5,0.402075,0.41103333333333336,1.0,9.6,27.15,1.0,,1.0,1.0,1.0,1.0,,1.0,,,3.0,1.0,,,1.0,1.0,1.0,,,3.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,0.5,0.5,0.5,,,1.0,,1.0,1.0,,1.0,,0.25,,,,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,0.5,0.376,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
