EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FtPoints,PenaltyFtPoints,PtsUnassisted2s,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Transition Take Fouls,Charge Fouls Drawn,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFtPoints,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,SecondChanceFg3Pct,AtRimPctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,LostBallSteals,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3Accuracy,Loose Ball Fouls Drawn,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,Clear Path Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,LongMidRangeAssists,LongMidRangePctAssisted,DefensiveGoaltends,Transition Take Fouls Drawn,Defensive 3 Seconds Violations,Corner3PctBlocked,Blocked3s,BlockedArc3,BlockedLongMidRange,OffensiveGoaltends,BlockedCorner3,3SecondViolations,team_id,year,season,team_vs
1626158-1626168-1628368-1628370-1628989,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Kevin Huerter","Holmes, Lyles, Fox, Monk, Huerter",1626158-1626168-1628368-1628370-1628989,SAC,161.0,1,3.0,3.0,6.0,5.0,6.0,4.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,5.0,8.0,5.0,1.0,1.0,2.0,5.0,8.0,2.0,6.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,8.0,8.0,6.0,1.0,1.0,1.0,1.0,0.4,0.4,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.2,0.25,1.0,0.5,1.0,0.6666666666666666,0.5,1.0,98.38509316770187,14.333333333333334,15.0,14.333333333333334,14.6,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.6666666666666666,0.5,0.6666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.55375,0.55375,1.0,1.0,30.080000000000002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626158-1626168-1628368-1628370-1629056,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Terence Davis","Holmes, Lyles, Fox, Monk, Davis",1626158-1626168-1628368-1628370-1629056,SAC,150.0,2,2.0,-2.0,5.0,5.0,5.0,,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,3.0,,1.0,6.0,8.0,2.0,3.0,,1.0,6.0,2.0,,,,,,1.0,,1.0,,1.0,2.0,,1.0,,1.0,1.0,,,,6.0,6.0,5.0,,0.5,0.5,,,,,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6,0.6,0.25,,,,0.5,,0.5,0.5,,96.0,13.2,16.8,13.2,15.4,0.25,1.0,1.0,1.0,0.25,,,,,0.25,1.0,0.25,,,0.5,,0.5218,0.5218,1.0,10.466666666666667,23.3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,0.25,1.0,1.0,0.25,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626158-1626168-1628368-1628370-1629644,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, KZ Okpala","Holmes, Lyles, Fox, Monk, Okpala",1626158-1626168-1628368-1628370-1629644,SAC,1094.0,6,18.0,3.0,38.0,37.0,4.0,4.0,75.0,5.0,7.0,,,4.0,,1.0,7.0,1.0,1.0,9.0,20.0,2.0,11.0,32.0,29.0,,1.0,1.0,1.0,4.0,8.0,6.0,,7.0,1.0,,4.0,2.0,6.0,1.0,3.0,14.0,11.0,6.0,,17.0,22.0,4.0,10.0,,28.0,4.0,4.0,,0.4444444444444444,0.5714285714285714,1.0,0.18181818181818182,1.0,0.18181818181818182,0.45,,0.3870967741935484,0.75,0.44285714285714284,0.6666666666666666,0.3548387096774194,,,,0.6666666666666666,0.9166666666666666,0.8095238095238095,0.6666666666666666,1.0,98.72029250457038,15.131578947368421,14.027027027027026,14.763157894736842,13.162162162162161,0.22580645161290322,0.7142857142857143,0.7142857142857143,0.6,0.12903225806451613,0.22580645161290322,0.14285714285714285,0.14285714285714285,1.0,,,,0.5,1.0,0.5806451612903226,0.14285714285714285,0.5133983870967742,0.4204,0.125,6.3100000000000005,24.69090909090909,0.10526315789473684,3.0,11.0,2.0,8.0,1.0,10.0,10.0,11.0,,4.0,0.3548387096774194,0.2727272727272727,0.42857142857142855,0.06451612903225806,0.11428571428571428,0.16666666666666666,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,5.0,1.0,4.0,4.0,3.0,5.0,1.0,3.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.2,0.36363636363636365,0.375,0.2727272727272727,0.2222222222222222,0.25,1.0,0.125,0.3333333333333333,0.6,1.0,0.875,0.0625,0.6666666666666666,0.3333333333333333,0.5,0.5,0.25,0.25,1.0,0.6666666666666666,1.0,0.3333333333333333,0.6023,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626158-1626168-1628368-1628370-1630558,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Davion Mitchell","Holmes, Lyles, Fox, Monk, Mitchell",1626158-1626168-1628368-1628370-1630558,SAC,1117.0,5,19.0,5.0,40.0,42.0,16.0,11.0,82.0,5.0,9.0,2.0,5.0,5.0,1.0,7.0,12.0,4.0,5.0,6.0,13.0,8.0,17.0,48.0,43.0,2.0,6.0,4.0,6.0,23.0,8.0,21.0,,12.0,7.0,,4.0,7.0,11.0,6.0,3.0,29.0,7.0,9.0,,16.0,22.0,3.0,6.0,,42.0,23.0,16.0,,0.6666666666666666,0.8,0.875,0.47058823529411764,0.6666666666666666,0.47058823529411764,0.46153846153846156,0.3333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.71875,0.5666666666666667,,,,0.6428571428571429,0.875,0.7272727272727273,0.8333333333333334,0.5,105.7117278424351,15.925,11.428571428571429,15.4,10.69047619047619,0.3,0.5555555555555556,0.7142857142857143,0.6,0.16666666666666666,0.4,0.5833333333333334,0.5833333333333334,0.8571428571428571,0.4166666666666667,0.4,0.08333333333333333,0.4166666666666667,0.8,0.8666666666666667,0.5833333333333334,0.5163033333333333,0.5113625,0.4791666666666667,4.484615384615385,25.38235294117647,0.4,1.0,4.0,,12.0,7.0,4.0,12.0,13.0,,6.0,0.13333333333333333,0.25,0.3333333333333333,,0.19444444444444445,0.3157894736842105,5.0,1.0,3.0,,1.0,1.0,1.0,3.0,2.0,6.0,2.0,3.0,1.0,1.0,5.0,1.0,6.0,2.0,2.0,2.0,3.0,8.0,2.0,2.0,2.0,11.0,1.0,3.0,2.0,,,,3.0,2.0,3.0,2.0,0.3333333333333333,0.5,0.6,0.23076923076923078,0.25,0.2727272727272727,0.14285714285714285,0.5555555555555556,0.375,0.25,,0.4,0.75,0.25,1.0,0.15384615384615385,0.6666666666666666,1.0,,,0.2,0.2,1.0,0.6,0.3333333333333333,0.2,0.4597,0.125,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.5,0.2222222222222222,0.75,0.2,1.0,1.0,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626158-1626168-1628368-1628370-1631099,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Keegan Murray","Holmes, Lyles, Fox, Monk, Murray",1626158-1626168-1628368-1628370-1631099,SAC,881.0,8,15.0,3.0,32.0,34.0,5.0,7.0,66.0,3.0,7.0,1.0,3.0,4.0,,5.0,11.0,,1.0,8.0,14.0,6.0,15.0,38.0,35.0,1.0,3.0,,1.0,4.0,8.0,15.0,,11.0,5.0,,4.0,5.0,9.0,4.0,2.0,23.0,3.0,2.0,1.0,6.0,10.0,2.0,7.0,,35.0,4.0,5.0,,0.5,0.5,0.8333333333333334,0.4,,0.4,0.5714285714285714,0.3333333333333333,0.5862068965517241,0.25,0.6129032258064516,0.4,0.5172413793103449,,,1.0,0.6666666666666666,0.75,0.7142857142857143,,,107.87741203178206,15.21875,11.588235294117647,14.6875,11.382352941176471,0.2413793103448276,0.42857142857142855,0.5,0.6666666666666666,0.13793103448275862,0.3793103448275862,0.45454545454545453,0.45454545454545453,0.8,0.75,0.3333333333333333,,0.25,,0.7586206896551724,0.45454545454545453,0.5213241379310345,0.598575,0.10526315789473684,4.314285714285714,25.12,0.15625,5.0,7.0,,4.0,2.0,8.0,5.0,4.0,,1.0,0.2413793103448276,0.7142857142857143,0.8333333333333334,,0.03333333333333333,0.06666666666666667,4.0,,2.0,,1.0,2.0,,2.0,2.0,3.0,,2.0,1.0,2.0,1.0,3.0,4.0,,8.0,7.0,2.0,2.0,1.0,2.0,,4.0,,,1.0,,1.0,,,,,,,0.375,0.375,0.14285714285714285,0.14285714285714285,0.5,0.5,0.1111111111111111,0.26666666666666666,0.5,0.5,,,0.6666666666666666,0.75,,,0.4,,,0.25,0.25,1.0,0.5,,0.5,0.5765166666666667,0.07894736842105263,,,1.0,,3.0,,,,,,,0.5,0.14285714285714285,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626158-1626168-1628368-1628370-203084,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Harrison Barnes","Holmes, Lyles, Fox, Monk, Barnes",1626158-1626168-1628368-1628370-203084,SAC,1478.0,6,25.0,-2.0,51.0,52.0,14.0,12.0,103.0,7.0,11.0,1.0,1.0,1.0,,7.0,15.0,3.0,6.0,12.0,32.0,8.0,16.0,58.0,60.0,2.0,6.0,3.0,6.0,17.0,12.0,24.0,,15.0,7.0,1.0,6.0,8.0,14.0,7.0,3.0,36.0,7.0,3.0,1.0,11.0,22.0,7.0,13.0,1.0,44.0,17.0,14.0,1.0,0.5,0.6666666666666666,1.0,0.5,0.5,0.5,0.375,0.3333333333333333,0.5,0.5416666666666666,0.5370370370370371,0.6071428571428571,0.3333333333333333,0.0625,0.06666666666666667,1.0,0.42857142857142855,0.7777777777777778,0.625,0.3333333333333333,,100.35182679296346,15.823529411764707,12.903846153846153,15.058823529411764,12.634615384615385,0.22916666666666666,0.6363636363636364,0.6363636363636364,0.42857142857142855,0.020833333333333332,0.3125,0.4666666666666667,0.5,1.0,0.08333333333333333,1.0,,0.5,0.5,0.5625,0.4666666666666667,0.48613229166666666,0.4506333333333334,0.29310344827586204,7.953125,25.5875,0.27450980392156865,4.0,14.0,7.0,10.0,4.0,12.0,11.0,14.0,1.0,5.0,0.2916666666666667,0.2857142857142857,0.36363636363636365,0.14583333333333334,0.11320754716981132,0.1388888888888889,7.0,4.0,6.0,1.0,1.0,3.0,4.0,6.0,3.0,14.0,6.0,3.0,1.0,3.0,3.0,8.0,11.0,,8.0,5.0,5.0,3.0,,,,8.0,,2.0,2.0,,,,1.0,,1.0,,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.09375,0.21428571428571427,0.625,0.4,0.375,0.39285714285714285,0.5,0.4,0.375,0.3333333333333333,1.0,0.875,,,0.75,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.56475,0.2413793103448276,,,2.0,,,1.0,5.0,1.0,,1.0,1.0,0.6666666666666666,,,,,,0.058823529411764705,2.0,3.0,1.0,1.0,0.6666666666666666,2.0,0.3333333333333333,0.25,1.0,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626158-1626168-1628368-1628989-1630558,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Kevin Huerter, Davion Mitchell","Holmes, Lyles, Fox, Huerter, Mitchell",1626158-1626168-1628368-1628989-1630558,SAC,19.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626158-1626168-1628368-1628989-1631099,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Kevin Huerter, Keegan Murray","Holmes, Lyles, Fox, Huerter, Murray",1626158-1626168-1628368-1628989-1631099,SAC,71.0,1,1.0,-1.0,3.0,2.0,,,5.0,,,,,1.0,,,1.0,,,,,,2.0,2.0,3.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,0.3333333333333333,,1.0,,,,,1.0,1.0,,,101.40845070422534,18.333333333333332,8.0,18.333333333333332,8.0,,,,,0.5,0.5,,,,,,,,,1.0,,0.49665,,,,24.6,,,,,2.0,,,2.0,2.0,,1.0,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626158-1626168-1628368-1628989-203084,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Kevin Huerter, Harrison Barnes","Holmes, Lyles, Fox, Huerter, Barnes",1626158-1626168-1628368-1628989-203084,SAC,175.0,2,3.0,-3.0,6.0,7.0,1.0,3.0,13.0,1.0,1.0,,,,,,,,,3.0,4.0,,,8.0,11.0,,,,,2.0,6.0,,,,,,3.0,,3.0,,1.0,6.0,1.0,,,1.0,1.0,,2.0,,6.0,2.0,1.0,1.0,1.0,1.0,,,,,0.75,,0.75,,0.8,1.0,,,,,,1.0,1.0,,,106.97142857142858,15.666666666666666,11.571428571428571,13.833333333333334,11.571428571428571,0.25,1.0,1.0,1.0,,,,,,,,,,,0.25,,0.469225,,0.25,7.975,,0.16666666666666666,2.0,3.0,,2.0,2.0,,1.0,2.0,,1.0,0.75,0.6666666666666666,0.6666666666666666,,0.2,0.2,1.0,,,,,,1.0,1.0,,2.0,,,,2.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,0.4019,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
1626158-1626168-1628368-1629002-203084,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Chimezie Metu, Harrison Barnes","Holmes, Lyles, Fox, Metu, Barnes",1626158-1626168-1628368-1629002-203084,SAC,27.0,1,,1.0,2.0,,2.0,,2.0,,,,,,,1.0,2.0,1.0,2.0,,,1.0,2.0,3.0,2.0,,,1.0,2.0,3.0,,3.0,,2.0,1.0,,,1.0,1.0,1.0,,3.0,,,,,,,1.0,,3.0,3.0,2.0,,,,1.0,0.5,0.5,0.5,,,0.75,0.75,0.75,0.75,1.0,,,,,,,,,106.66666666666666,11.5,,11.5,,,,,,,1.0,0.5,0.5,1.0,,,,1.0,0.5,1.0,0.5,0.4071,0.4071,1.0,,25.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,True
