EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,Technical Free Throw Trips,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Corner3FGA,FTDefRebounds,TwoPtShootingFoulsDrawn,DefFTReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,PenaltyOffPoss,PenaltyDefPoss,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,LostBallTurnovers,DefCorner3ReboundPct,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3A,PenaltyArc3Frequency,PenaltyShotQualityAvg,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Charge Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,OffThreePtRebounds,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg2Pct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFGA,PenaltyAtRimFrequency,PtsPutbacks,BadPassOutOfBoundsTurnovers,PenaltyAtRimFGM,PenaltyCorner3FGA,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,OffCorner3ReboundPct,BlocksRecoveredPct,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Corner3Assists,SelfOReb,LostBallSteals,Charge Fouls,Loose Ball Fouls,Blocked2s,BlockedShortMidRange,3SecondViolations,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,Transition Take Fouls Drawn,SecondChanceFtPoints,SecondChanceTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,SecondChanceCorner3PctAssisted,HeaveAttempts,BlockedAtRim,StepOutOfBoundsTurnovers,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1626171-1626192-1628960-1628975-203114,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Jevon Carter, Khris Middleton","Portis, Connaughton, Allen, Carter, Middleton",1626171-1626192-1628960-1628975-203114,MIL,309.0,1,5.0,-3.0,10.0,11.0,1.0,21,1.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,6.0,9.0,1.0,1.0,13.0,16.0,1.0,2.0,2.0,6.0,6.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,4.0,2.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,0.5,0.5,0.6666666666666666,0.5,0.6,0.5,0.6,0.5,0.1,1.0,0.2222222222222222,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.5,1.0,1.0,1.0,97.86407766990291,15.8,13.727272727272727,14.6,13.727272727272727,0.3,0.3333333333333333,1.0,1.0,0.2,0.5,0.5,1.0,0.4,1.0,1.0,0.25,0.1,1.0,0.5,1.0,0.4,0.500325,0.6825,0.15384615384615385,9.833333333333334,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
1626171-1626192-1628960-201572-201950,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Brook Lopez, Jrue Holiday","Portis, Connaughton, Allen, Lopez, Holiday",1626171-1626192-1628960-201572-201950,MIL,231.0,2,4.0,-1.0,8.0,8.0,1.0,16,1.0,2.0,,1.0,1.0,2.0,,1.0,1.0,2.0,5.0,2.0,3.0,7.0,8.0,,1.0,,,4.0,1.0,,,,,,,,,1.0,1.0,3.0,5.0,1.0,6.0,,,,,1.0,,2.0,,4.0,,7.0,,,0.4,,0.2857142857142857,,0.3888888888888889,,0.2857142857142857,,,,,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2,,1.0,,0.5,99.74025974025975,12.875,16.0,12.875,13.625,0.2857142857142857,0.5,0.5,,0.2857142857142857,0.5,0.5,,0.14285714285714285,,,,0.14285714285714285,1.0,,,0.5714285714285714,0.5181214285714286,0.5749,,8.440000000000001,24.75,1.0,1.0,2.0,1.0,1.0,1.0,0.14285714285714285,0.2222222222222222,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
1626171-1626192-1628960-201950-203507,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Jrue Holiday, Giannis Antetokounmpo","Portis, Connaughton, Allen, Holiday, Antetokounmpo",1626171-1626192-1628960-201950-203507,MIL,20.0,1,,-1.0,1.0,2.0,,3,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,216.0,4.0,8.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
1626171-1626192-1628975-201950-204060,1610612749,"Bobby Portis, Pat Connaughton, Jevon Carter, Jrue Holiday, Joe Ingles","Portis, Connaughton, Carter, Holiday, Ingles",1626171-1626192-1628975-201950-204060,MIL,196.0,2,3.0,-1.0,6.0,7.0,,13,,,,,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,,6.0,7.0,,,,,6.0,1.0,,,,,,,,,,2.0,1.0,3.0,,3.0,1.0,,2.0,,1.0,,1.0,,,,6.0,,,1.0,,0.75,,0.75,,0.25,,,,,1.0,,0.4,0.5,,,,1.0,0.4,95.51020408163265,14.666666666666666,15.428571428571429,14.666666666666666,14.285714285714286,,,,,0.25,1.0,1.0,,0.5,1.0,1.0,,0.25,,,,0.25,0.4849625,,,14.266666666666666,26.1,,,,,,,,,,1.0,1.0,0.5,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
1626171-1626192-1628975-203109-204060,1610612749,"Bobby Portis, Pat Connaughton, Jevon Carter, Jae Crowder, Joe Ingles","Portis, Connaughton, Carter, Crowder, Ingles",1626171-1626192-1628975-203109-204060,MIL,133.0,1,2.0,5.0,5.0,4.0,,9,1.0,1.0,,,1.0,1.0,,,,2.0,2.0,1.0,2.0,6.0,1.0,,,,2.0,2.0,,,,1.0,1.0,1.0,,,2.0,,1.0,1.0,2.0,,2.0,,,1.0,1.0,1.0,,1.0,,2.0,,6.0,0.5,0.5,1.0,,0.6666666666666666,,0.75,,0.3333333333333333,,,,,1.0,,1.0,1.0,,,,1.0,,97.44360902255639,15.6,13.75,15.6,13.75,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,0.6666666666666666,0.5358666666666666,,,3.75,23.2,1.0,,1.0,,,,0.3333333333333333,0.25,0.3333333333333333,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
1626171-1626192-201572-201950-203114,1610612749,"Bobby Portis, Pat Connaughton, Brook Lopez, Jrue Holiday, Khris Middleton","Portis, Connaughton, Lopez, Holiday, Middleton",1626171-1626192-201572-201950-203114,MIL,94.0,1,2.0,-6.0,3.0,3.0,,6,,,,,,1.0,,,1.0,,1.0,1.0,,,6.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,0.5,,,,,1.0,,,1.0,,,,1.0,,91.91489361702128,18.333333333333332,13.0,18.333333333333332,13.0,,,,,0.5,,,,,,,,0.5,,,,0.5,0.470725,,,12.3,25.1,,,,,,,,,,,,,3.0,,,,,1.0,3.0,1.0,,,1.0,1.0,1.0,0.5,0.470725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
1626171-1626192-201572-201950-204060,1610612749,"Bobby Portis, Pat Connaughton, Brook Lopez, Jrue Holiday, Joe Ingles","Portis, Connaughton, Lopez, Holiday, Ingles",1626171-1626192-201572-201950-204060,MIL,118.0,1,2.0,-5.0,4.0,3.0,,7,1.0,2.0,,,,,1.0,1.0,1.0,2.0,3.0,1.0,,4.0,9.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,4.0,,,0.6666666666666666,,0.5,,0.5,,0.25,,,,,,,,,,,,,,85.42372881355932,16.0,18.0,16.0,17.666666666666668,0.5,0.5,0.5,,,,,,0.25,1.0,1.0,,0.25,,,,0.75,0.61735,,,7.166666666666667,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
1626171-1626192-201950-203109-204060,1610612749,"Bobby Portis, Pat Connaughton, Jrue Holiday, Jae Crowder, Joe Ingles","Portis, Connaughton, Holiday, Crowder, Ingles",1626171-1626192-201950-203109-204060,MIL,487.0,2,8.0,9.0,18.0,17.0,1.0,35,1.0,1.0,,,3.0,4.0,,,4.0,4.0,5.0,5.0,6.0,23.0,14.0,1.0,1.0,2.0,,8.0,4.0,,,,1.0,,,,3.0,,7.0,2.0,9.0,,9.0,1.0,,5.0,,,,6.0,,10.0,,21.0,,,0.8,1.0,0.85,1.0,0.8214285714285714,1.0,0.5,,,,,1.0,,0.875,0.9,,,,1.0,0.8333333333333334,103.49075975359342,11.38888888888889,16.58823529411765,10.722222222222221,15.823529411764707,0.1,1.0,1.0,,0.4,0.75,0.75,,,,,,0.4,,,,0.6,0.518185,,0.08695652173913043,7.62,25.8,1.0,,2.0,,,1.0,0.1,0.25,0.3333333333333333,4.0,3.0,0.8,5.0,,2.0,2.0,1.0,2.0,5.0,0.2777777777777778,1.0,1.0,1.0,,1.0,1.0,0.4998,3.0,1.0,3.0,1.0,4.0,7.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,0.3333333333333333,0.6,1.0,0.6,1.5,1.1666666666666667,0.75,0.75,0.3333333333333333,1.0,0.75,0.16666666666666666,0.30434782608695654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
1626171-1626192-201950-203114-203507,1610612749,"Bobby Portis, Pat Connaughton, Jrue Holiday, Khris Middleton, Giannis Antetokounmpo","Portis, Connaughton, Holiday, Middleton, Antetokounmpo",1626171-1626192-201950-203114-203507,MIL,313.0,2,5.0,-4.0,12.0,13.0,1.0,25,2.0,2.0,,,2.0,2.0,,,6.0,4.0,4.0,7.0,,14.0,18.0,,,3.0,2.0,6.0,6.0,,,1.0,2.0,1.0,,,5.0,,2.0,,2.0,1.0,3.0,1.0,,1.0,,1.0,,2.0,,2.0,,11.0,0.25,0.25,1.0,,0.6363636363636364,1.5,0.5833333333333334,1.5,0.6363636363636364,,,,,,,1.0,0.5,0.3333333333333333,,,,1.0,115.01597444089457,11.75,13.23076923076923,11.5,13.23076923076923,0.18181818181818182,1.0,1.0,0.5,0.18181818181818182,1.0,1.0,,,,,,0.5454545454545454,,,,0.8181818181818182,0.5264772727272727,,0.21428571428571427,3.475,26.057142857142857,1.0,,,,,,0.09090909090909091,,,,,,3.0,13.0,1.0,1.0,,1.0,3.0,0.25,,1.0,,1.0,,,0.3972,2.0,,2.0,,,2.0,3.0,3.0,2.0,1.0,1.0,1.0,,,1.0,2.0,1.0,0.5,0.2857142857142857,,0.2857142857142857,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,,0.3333333333333333,,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
1626171-1626192-201950-203114-204060,1610612749,"Bobby Portis, Pat Connaughton, Jrue Holiday, Khris Middleton, Joe Ingles","Portis, Connaughton, Holiday, Middleton, Ingles",1626171-1626192-201950-203114-204060,MIL,43.0,1,1.0,3.0,2.0,1.0,,3,,,,,,,,,1.0,,,1.0,2.0,5.0,2.0,,,,,,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,1.0,,2.0,,5.0,,,,,1.5,,1.25,,1.0,,,,,,,,,,,,,,100.46511627906976,15.0,13.0,15.0,13.0,,,,,,,,,,,,,1.0,,,,1.0,0.52635,,,,25.9,,,1.0,,,,,0.5,1.0,,,,2.0,,,,,,2.0,1.0,,,1.0,,1.0,1.0,0.52635,1.0,1.0,1.0,1.0,2.0,5.0,3.0,,1.0,1.0,1.0,,,,,5.0,,1.0,1.0,1.0,1.0,1.5,1.25,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,True
