EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,Minutes,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FtPoints,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFGM,LongMidRangeAssists,FTDefRebounds,2pt And 1 Free Throw Trips,DefFTReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Fg2aBlocked,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls,BlockedAtRim,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,LostBallSteals,Blocked3s,BlockedArc3,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFtPoints,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShortMidRangePctBlocked,PtsPutbacks,DefensiveGoaltends,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Offensive Fouls Drawn,Defensive 3 Seconds Violations,SecondChanceFtPoints,Charge Fouls,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,BlockedLongMidRange,PenaltyCorner3FGA,PenaltyCorner3Frequency,Travels,Technical Free Throw Trips,PenaltyCorner3FGM,PenaltyCorner3Accuracy,OffCorner3ReboundPct,Transition Take Fouls,SecondChanceArc3PctAssisted,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,HeaveAttempts,team_id,year,season,team_vs
1626145-1628379-1628415-1628991-1630214,1610612763,"Tyus Jones, Luke Kennard, Dillon Brooks, Jaren Jackson Jr., Xavier Tillman","Jones, Kennard, Brooks, Jackson Jr., Tillman",1626145-1628379-1628415-1628991-1630214,MEM,9.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.5,1.5,1.0,160.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51405,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
1626145-1628379-1628415-1628991-1630217,1610612763,"Tyus Jones, Luke Kennard, Dillon Brooks, Jaren Jackson Jr., Desmond Bane","Jones, Kennard, Brooks, Jackson Jr., Bane",1626145-1628379-1628415-1628991-1630217,MEM,458.0,2,-4.0,14.0,27.0,1.0,4.0,1.0,5.0,15.0,,4.0,1.0,,2.0,,4.0,11.0,,0.2,0.2,0.4230769230769231,0.5,0.38461538461538464,84.89082969432314,20.0,18.285714285714285,0.3076923076923077,0.25,0.25,,0.6923076923076923,0.25,0.5095,25.06,8.0,13.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,8.0,4.0,19.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,6.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.5,0.6,0.5,1.0,0.3333333333333333,0.6666666666666666,1.0,0.5,0.125,1.0,13.692307692307692,11.923076923076923,0.3076923076923077,0.75,0.75,0.3333333333333333,0.07692307692307693,1.0,1.0,1.0,0.23076923076923078,0.07692307692307693,0.3333333333333333,1.0,1.0,0.5517,0.13333333333333333,0.2,0.26666666666666666,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
1626145-1628379-1628415-1628991-1630583,1610612763,"Tyus Jones, Luke Kennard, Dillon Brooks, Jaren Jackson Jr., Santi Aldama","Jones, Kennard, Brooks, Jackson Jr., Aldama",1626145-1628379-1628415-1628991-1630583,MEM,193.0,1,-1.0,6.0,12.0,3.0,4.0,3.0,4.0,11.0,6.0,4.0,3.0,2.0,2.0,2.0,6.0,11.0,0.6666666666666666,0.75,0.75,1.1,1.1,0.8,89.53367875647668,14.166666666666666,14.166666666666666,0.8,0.75,0.75,0.6666666666666666,0.8,0.75,0.48480999999999996,25.35,3.0,6.0,4.0,,,,,,1.0,1.0,,,1.0,1.0,,12.0,,,,,2.0,3.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,18.0,18.0,,,,,0.2,1.0,1.0,,,,,,,,,,,4.7,5.0,3.0,4.0,1.0,1.0,3.0,4.0,11.0,1.0,11.0,5.0,0.75,1.0,1.1,1.1,0.8,0.75,0.48480999999999996,1.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
1626145-1628379-1628415-1629630-1630214,1610612763,"Tyus Jones, Luke Kennard, Dillon Brooks, Ja Morant, Xavier Tillman","Jones, Kennard, Brooks, Morant, Tillman",1626145-1628379-1628415-1629630-1630214,MEM,52.0,1,,1.0,3.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,0.5,83.07692307692308,27.0,27.0,0.5,,,,0.5,,0.42415,29.1,1.0,2.0,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,2.0,,2.0,1.0,3.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,0.5,,,,,1.0,,,12.5,12.5,,,,,0.5,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
1626145-1628379-1628415-1630214-1630583,1610612763,"Tyus Jones, Luke Kennard, Dillon Brooks, Xavier Tillman, Santi Aldama","Jones, Kennard, Brooks, Tillman, Aldama",1626145-1628379-1628415-1630214-1630583,MEM,69.0,1,2.0,2.0,5.0,,1.0,,1.0,4.0,,1.0,,,1.0,,2.0,4.0,,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,104.34782608695653,13.0,13.0,0.3333333333333333,,,,0.3333333333333333,,0.4834333333333333,25.6,1.0,3.0,,,,,,,1.0,1.0,1.0,,2.0,2.0,,2.0,,,,2.0,2.0,,1.0,,,,,1.0,1.0,3.0,,3.0,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,0.5,0.5,1.0,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,14.333333333333334,14.333333333333334,,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,0.3333333333333333,0.5,,10.3,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
1626145-1628379-1628991-1629630-1630217,1610612763,"Tyus Jones, Luke Kennard, Jaren Jackson Jr., Ja Morant, Desmond Bane","Jones, Kennard, Jackson Jr., Morant, Bane",1626145-1628379-1628991-1629630-1630217,MEM,130.0,2,-6.0,5.0,9.0,,3.0,,3.0,2.0,,3.0,,,,,,2.0,,,,,0.2,0.75,99.6923076923077,19.0,19.0,0.75,,,,1.0,,0.5367875,25.400000000000002,2.0,4.0,4.0,,,1.0,,,,,,,,1.0,2.0,8.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,8.75,8.75,0.25,,,,,,,,,,,,,,0.2,0.5,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
1626145-1628379-1628991-1629630-1631223,1610612763,"Tyus Jones, Luke Kennard, Jaren Jackson Jr., Ja Morant, David Roddy","Jones, Kennard, Jackson Jr., Morant, Roddy",1626145-1628379-1628991-1629630-1631223,MEM,221.0,1,-7.0,8.0,17.0,,1.0,,1.0,4.0,,1.0,,,2.0,,4.0,4.0,,,,0.4,0.4,0.2,110.76923076923077,13.625,13.625,0.2,,,,0.8,,0.5746100000000001,26.6,4.0,9.0,9.0,,1.0,3.0,,,1.0,1.0,,,2.0,4.0,,11.0,,,,4.0,,,2.0,1.0,1.0,,,2.0,1.0,3.0,,3.0,,1.0,1.0,2.0,,,3.0,,,2.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.5,,,,0.3333333333333333,0.5,,1.0,,0.75,,,,,,,,1.0,12.444444444444445,12.333333333333334,0.6,0.3333333333333333,0.5,1.0,0.2,1.0,1.0,1.0,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
1626145-1628379-1628991-1629723-1630217,1610612763,"Tyus Jones, Luke Kennard, Jaren Jackson Jr., John Konchar, Desmond Bane","Jones, Kennard, Jackson Jr., Konchar, Bane",1626145-1628379-1628991-1629723-1630217,MEM,84.0,1,4.0,4.0,7.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,1.0,1.0,1.0,0.625,0.75,0.25,120.00000000000001,13.5,13.5,0.25,1.0,1.0,1.0,0.75,1.0,0.5247375,27.2,1.0,3.0,,1.0,1.0,2.0,,1.0,,,1.0,,1.0,3.0,1.0,2.0,,1.0,,2.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,,,,,2.0,,1.0,1.0,,,,,,1.0,1.0,0.3333333333333333,,,,1.0,,0.5,1.0,,1.0,0.5,,1.0,,,,,,10.0,10.0,0.5,0.5,0.5,1.0,,,,,0.25,,1.0,,,0.4664,0.25,0.3333333333333333,,6.733333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
1626145-1628379-1628991-1629723-1631223,1610612763,"Tyus Jones, Luke Kennard, Jaren Jackson Jr., John Konchar, David Roddy","Jones, Kennard, Jackson Jr., Konchar, Roddy",1626145-1628379-1628991-1629723-1631223,MEM,38.0,1,2.0,2.0,4.0,,,,,2.0,,,,,1.0,,2.0,2.0,,,,0.5,0.5,,151.57894736842107,5.0,5.0,,,,,0.5,,0.62825,,1.0,2.0,,,1.0,1.0,,,,1.0,,,1.0,2.0,,,,,,2.0,,,1.0,1.0,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,2.0,2.0,,1.0,1.0,0.5,,,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,14.0,14.0,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
1626145-1628379-1628991-1630214-1630217,1610612763,"Tyus Jones, Luke Kennard, Jaren Jackson Jr., Xavier Tillman, Desmond Bane","Jones, Kennard, Jackson Jr., Tillman, Bane",1626145-1628379-1628991-1630214-1630217,MEM,215.0,2,-5.0,8.0,17.0,,,,,5.0,,,,,,,,5.0,,,,0.5,0.5,,113.86046511627906,10.375,10.375,,,,,0.5,,0.523025,,4.0,9.0,,,1.0,2.0,,,1.0,1.0,1.0,,2.0,4.0,1.0,10.0,,,,,4.0,,,,,,,,1.0,1.0,,1.0,,,,2.0,,,2.0,,,2.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,0.5,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,14.666666666666666,14.666666666666666,0.5,0.5,1.0,,0.25,1.0,1.0,,0.25,,,,,,,,,7.975,8.0,,,2.0,4.0,,,5.0,,5.0,8.0,,0.5,0.5,0.5,,,0.523025,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,0.25,0.5,,,,,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2023,2022-23,True
