EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,PenaltyOffPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG3M,FG3A,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LongMidRangeAssists,DefTwoPtRebounds,FTDefRebounds,Steals,LostBallSteals,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,Blocked2s,BlockedAtRim,Blocks,PenaltyArc3Frequency,Blocked3s,BlockedCorner3,RecoveredBlocks,ShortMidRangePctBlocked,LongMidRangePctBlocked,BlocksRecoveredPct,PenaltyCorner3FGA,NonShootingPenaltyNonTakeFouls,DefAtRimReboundPct,PenaltyCorner3Frequency,OffThreePtRebounds,SelfOReb,DeadBallTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,SecondChancePoints,SecondChanceTsPct,OffLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,BadPassSteals,BadPassTurnovers,Offensive Fouls,PenaltyFg3Pct,OffShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,PtsPutbacks,Arc3Assists,FTOffRebounds,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,OffFTReboundPct,OffCorner3ReboundPct,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShortMidRangeAssists,ShortMidRangePctAssisted,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,HeaveAttempts,Charge Fouls,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedArc3,OffensiveGoaltends,team_id,year,season,team_vs
1495-1938-201158-201168-201988,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tiago Splitter, Patty Mills","Duncan, Ginobili, Belinelli, Splitter, Mills",1495-1938-201158-201168-201988,SAS,86.0,1,1.0,3.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.46511627906976,15.333333333333334,13.333333333333334,13.0,13.333333333333334,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5244333333333333,2.466666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
1495-1938-201158-201168-2225,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Tiago Splitter, Tony Parker","Duncan, Ginobili, Belinelli, Splitter, Parker",1495-1938-201158-201168-2225,SAS,259.0,4,4.0,11.0,10.0,4.0,,21.0,5.0,5.0,,,6.0,6.0,17.0,6.0,6.0,6.0,,3.0,4.0,2.0,9.0,,2.0,5.0,,5.0,1.0,1.0,1.0,,17.0,0.5,0.5,1.0,0.9375,0.9444444444444444,,,1.0,,1.0,0.8,,,1.0,116.75675675675676,8.636363636363637,16.4,8.636363636363637,16.2,0.625,1.0,1.0,0.4,,,,0.875,0.61609375,3.6833333333333336,11.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,0.25,1.0,0.6666666666666666,0.5,1.0,1.0,0.125,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.125,0.4256,0.1111111111111111,0.14285714285714285,0.23529411764705882,24.9,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
1495-1938-201158-201980-201988,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Danny Green, Patty Mills","Duncan, Ginobili, Belinelli, Green, Mills",1495-1938-201158-201980-201988,SAS,177.0,3,3.0,5.0,7.0,3.0,,12.0,,1.0,,,,3.0,3.0,12.0,,,,,1.0,,3.0,,1.0,1.0,,1.0,,,,,3.0,,,,0.3,0.3,,,,,1.0,1.0,,,,97.62711864406779,15.4,14.285714285714286,15.4,11.0,0.2,,,,,,,0.6,0.44101,11.933333333333332,-9.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,3.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5,0.5,,,,0.4,,,,,1.0,0.4,,,,0.2,1.0,1.0,1.0,0.2,0.30525,,,,24.95,0.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
1495-1938-201158-201980-202695,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Danny Green, Kawhi Leonard","Duncan, Ginobili, Belinelli, Green, Leonard",1495-1938-201158-201980-202695,SAS,79.0,1,1.0,2.0,2.0,,,4.0,,,,1.0,,2.0,,3.0,,,2.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,72.9113924050633,18.5,21.0,18.5,21.0,,,,,0.5,,,,0.38785,10.15,-3.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
1495-1938-201158-201980-2564,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Danny Green, Boris Diaw","Duncan, Ginobili, Belinelli, Green, Diaw",1495-1938-201158-201980-2564,SAS,101.0,1,2.0,3.0,3.0,3.0,,6.0,,,,,,1.0,,1.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,85.54455445544555,22.666666666666668,11.0,22.666666666666668,11.0,,,,,,,,0.6666666666666666,0.4556166666666666,17.5,-1.0,2.0,,1.0,,2.0,,,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,2.0,,,,,,,0.6666666666666666,1.0,1.0,,,,0.3333333333333333,,,,0.6666666666666666,,,,,0.42625,,,,23.6,0.6666666666666666,,1.0,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
1495-1938-201158-201988-202695,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Patty Mills, Kawhi Leonard","Duncan, Ginobili, Belinelli, Mills, Leonard",1495-1938-201158-201988-202695,SAS,125.0,2,2.0,6.0,5.0,2.0,1.0,11.0,,,,,1.0,1.0,5.0,7.0,,2.0,,,,,,,1.0,2.0,1.0,3.0,,,2.0,,5.0,,,1.0,0.5,0.625,,,,,1.0,1.0,1.0,,,126.71999999999998,9.833333333333334,13.2,9.833333333333334,13.2,,,,,,,,0.5,0.487875,14.9,-2.0,2.0,1.0,1.0,,,1.0,,1.0,3.0,,,,,,1.0,,,,1.0,,,,1.0,,2.0,3.0,,5.0,2.0,,2.0,,,,,,,0.5,,1.0,1.0,,1.0,0.5,1.0,1.0,,,,,,0.5,0.56895,0.6666666666666666,1.0,,24.2,0.3333333333333333,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
1495-1938-201158-201988-2225,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Patty Mills, Tony Parker","Duncan, Ginobili, Belinelli, Mills, Parker",1495-1938-201158-201988-2225,SAS,176.0,1,3.0,6.0,5.0,5.0,1.0,11.0,1.0,2.0,1.0,1.0,3.0,5.0,8.0,8.0,,6.0,,,,,,1.0,,,1.0,1.0,,,,,6.0,,,0.6,0.6,0.6666666666666666,,,,0.5,,,0.5,,,90.0,16.0,16.0,15.0,16.0,0.4,0.5,0.5,,0.2,1.0,1.0,0.4,0.4957,9.64,,5.0,1.0,2.0,,,,,,2.0,3.0,5.0,2.0,8.0,,,,,,,,1.0,1.0,,,,1.0,,2.0,,8.0,5.0,,,,0.6,0.6,0.6666666666666666,,,,,,,0.4,0.5,0.5,,,,,,,0.4957,,,1.0,,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,0.4,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
1495-1938-201158-201988-2564,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Patty Mills, Boris Diaw","Duncan, Ginobili, Belinelli, Mills, Diaw",1495-1938-201158-201988-2564,SAS,871.0,7,15.0,29.0,29.0,8.0,1.0,58.0,3.0,4.0,,2.0,12.0,19.0,37.0,28.0,4.0,20.0,,2.0,4.0,1.0,10.0,1.0,5.0,13.0,1.0,14.0,1.0,,3.0,,37.0,0.16666666666666666,0.16666666666666666,0.631578947368421,0.6923076923076923,0.7115384615384616,,,0.3333333333333333,0.14285714285714285,0.8333333333333334,0.8,0.1,,0.8,95.8897818599311,13.586206896551724,16.448275862068964,13.448275862068966,15.724137931034482,0.15384615384615385,0.75,0.75,0.3333333333333333,0.07692307692307693,,,0.4230769230769231,0.4641942307692308,13.768421052631581,9.0,16.0,9.0,13.0,2.0,2.0,5.0,4.0,7.0,1.0,7.0,11.0,,20.0,6.0,5.0,2.0,2.0,1.0,7.0,1.0,2.0,,2.0,,6.0,2.0,,1.0,1.0,20.0,16.0,0.5,0.5714285714285714,0.5714285714285714,0.6363636363636364,0.7142857142857143,0.7142857142857143,0.2692307692307692,1.0,0.7777777777777778,0.5,1.0,1.0,0.5,0.6923076923076923,0.6923076923076923,0.1111111111111111,0.07692307692307693,1.0,1.0,1.0,0.19230769230769232,0.4519642857142857,0.038461538461538464,0.05263157894736842,0.5405405405405406,24.857142857142858,0.5517241379310345,2.0,3.0,,,,0.14285714285714285,,,,,,,1.0,,0.6666666666666666,0.07142857142857142,,1.0,2.0,,1.0,,1.0,,,,,,0.1,2.0,2.0,,,,,0.14285714285714285,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,0.6666666666666666,0.5,0.4,0.4,1.0,1.0,0.5,0.4,0.5307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
1495-1938-201158-201988-2588,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Patty Mills, Matt Bonner","Duncan, Ginobili, Belinelli, Mills, Bonner",1495-1938-201158-201988-2588,SAS,81.0,1,1.0,2.0,2.0,,,4.0,,,,,,,4.0,,,,,,,,,,,1.0,,1.0,,,,,4.0,,,,,1.0,,,,,,0.5,,,,71.1111111111111,8.0,32.5,8.0,23.0,,,,,,,,,,,4.0,2.0,,,,,,,,4.0,,,4.0,4.0,,,,,,1.0,,1.0,1.0,,,,2.0,,4.0,2.0,4.0,2.0,,,,,,1.0,,,0.5,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
1495-1938-201158-202695-2225,1610612759,"Tim Duncan, Manu Ginobili, Marco Belinelli, Kawhi Leonard, Tony Parker","Duncan, Ginobili, Belinelli, Leonard, Parker",1495-1938-201158-202695-2225,SAS,283.0,5,5.0,12.0,11.0,7.0,1.0,23.0,2.0,3.0,,1.0,3.0,6.0,12.0,11.0,2.0,4.0,,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,6.0,2.0,,3.0,,12.0,0.3333333333333333,0.3333333333333333,0.5,0.375,0.5454545454545454,,,0.6666666666666666,0.3333333333333333,1.0,1.0,0.2,,1.0,117.03180212014134,13.916666666666666,10.545454545454545,12.916666666666666,10.545454545454545,0.375,0.6666666666666666,0.6666666666666666,0.5,0.125,,,0.625,0.4944375,8.483333333333333,1.0,,1.0,2.0,,1.0,1.0,,2.0,6.0,,,,,,1.0,,,,3.0,,1.0,,2.0,,3.0,3.0,1.0,7.0,2.0,,,,,,,,,0.25,,1.0,1.0,1.0,,0.25,0.5,0.5,,0.125,,,,0.125,,0.2727272727272727,0.25,,23.2,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,0.58575,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2014,2013-14,True
