EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChancePointsPct,Avg3ptShotDistance,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,Fg2aBlocked,OffTwoPtRebounds,FTDefRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Frequency,Arc3PctAssisted,Offensive Fouls,Charge Fouls,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,HeaveAttempts,BlockedAtRim,OffLongMidRangeReboundPct,Loose Ball Fouls Drawn,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Charge Fouls Drawn,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,DefensiveGoaltends,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,3SecondViolations,3pt And 1 Free Throw Trips,BlockingFouls,BlockedCorner3,team_id,year,season,team_vs
101135-200756-201939-203084-2738,1610612744,"David Lee, Hilton Armstrong, Stephen Curry, Harrison Barnes, Andre Iguodala","Lee, Armstrong, Curry, Barnes, Iguodala",101135-200756-201939-203084-2738,GSW,55.0,1,1.0,1.0,4.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.27272727272728,9.5,5.666666666666667,9.5,5.666666666666667,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.4023,0.4023,1.0,5.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
101135-200756-201939-203110-2738,1610612744,"David Lee, Hilton Armstrong, Stephen Curry, Draymond Green, Andre Iguodala","Lee, Armstrong, Curry, Green, Iguodala",101135-200756-201939-203110-2738,GSW,79.0,1,1.0,-3.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,,,2.0,2.0,4.0,7.0,2.0,2.0,4.0,,,,,,,,,1.0,,,1.0,1.0,3.0,,2.0,4.0,3.0,2.0,,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,109.36708860759494,12.333333333333334,14.0,12.333333333333334,11.0,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,1.0,0.6666666666666666,0.5090166666666667,0.5090166666666667,1.0,10.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
101135-201578-201939-202691-203084,1610612744,"David Lee, Marreese Speights, Stephen Curry, Klay Thompson, Harrison Barnes","Lee, Speights, Curry, Thompson, Barnes",101135-201578-201939-202691-203084,GSW,22.0,1,,-1.0,1.0,1.0,1.0,,2.0,,2.0,,2.0,,,,2.0,1.0,2.0,,2.0,1.0,,,,,,,,1.0,3.0,,,,,1.0,,,1.0,1.0,,,,,,,,0.16666666666666666,0.16666666666666666,,,,130.9090909090909,12.0,10.0,12.0,10.0,1.0,,,,,,,,1.0,,1.0,0.47255,0.47255,1.0,2.6,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,2.0,,,1.0,,,0.25,,,,1.0,,,,,,1.0,,,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5225,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
101135-201578-201939-202691-203110,1610612744,"David Lee, Marreese Speights, Stephen Curry, Klay Thompson, Draymond Green","Lee, Speights, Curry, Thompson, Green",101135-201578-201939-202691-203110,GSW,151.0,1,3.0,2.0,6.0,5.0,6.0,,11.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,11.0,9.0,3.0,4.0,11.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,11.0,11.0,6.0,,0.3333333333333333,0.3333333333333333,0.75,0.75,0.9,0.9,0.9166666666666666,0.9166666666666666,0.5,0.5,,104.90066225165563,16.5,10.4,16.5,10.4,0.6,0.6666666666666666,1.0,0.5,0.2,1.0,1.0,,0.6,0.6666666666666666,0.8,0.45233,0.45233,1.0,5.325,1.0,,,,,,1.0,1.0,1.0,,,,1.0,4.0,,1.0,,,,,,,,,0.2,,,,,,,,0.2,,,0.2,,25.9,2.0,,2.0,1.0,,,1.0,2.0,,0.25,0.3333333333333333,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
101135-201578-201939-202691-2738,1610612744,"David Lee, Marreese Speights, Stephen Curry, Klay Thompson, Andre Iguodala","Lee, Speights, Curry, Thompson, Iguodala",101135-201578-201939-202691-2738,GSW,652.0,2,11.0,1.0,21.0,22.0,,13.0,43.0,6.0,8.0,,,1.0,5.0,10.0,18.0,27.0,26.0,,,,16.0,8.0,9.0,5.0,1.0,19.0,6.0,7.0,9.0,1.0,,3.0,,4.0,,27.0,,,1.0,0.8,0.8,0.5555555555555556,,0.6190476190476191,,0.6136363636363636,,0.8571428571428571,0.8571428571428571,0.75,94.96932515337423,16.095238095238095,14.272727272727273,15.761904761904763,14.272727272727273,0.38095238095238093,0.75,0.75,0.8333333333333334,0.23809523809523808,0.2,0.3333333333333333,1.0,,,0.5238095238095238,0.48475,,,8.11111111111111,,2.0,,1.0,3.0,5.0,2.0,,3.0,,2.0,,,4.0,,2.0,,2.0,2.0,1.0,2.0,,,,0.14285714285714285,0.6666666666666666,,0.2222222222222222,,0.23809523809523808,0.6,0.6,0.09523809523809523,0.5,,,,25.433333333333334,1.0,,,2.0,2.0,1.0,2.0,3.0,2.0,0.1111111111111111,,1.0,0.25,,0.34615,0.09090909090909091,0.10526315789473684,2.0,,2.0,,3.0,2.0,,,0.6666666666666666,,0.6666666666666666,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,0.5,1.0,1.0,0.6666666666666666,0.047619047619047616,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
101135-201578-201939-203084-203110,1610612744,"David Lee, Marreese Speights, Stephen Curry, Harrison Barnes, Draymond Green","Lee, Speights, Curry, Barnes, Green",101135-201578-201939-203084-203110,GSW,70.0,1,1.0,4.0,4.0,3.0,4.0,3.0,7.0,,,,,,,1.0,1.0,4.0,,1.0,1.0,4.0,2.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,4.0,4.0,4.0,,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,,144.0,7.75,13.0,7.75,12.666666666666666,,,,,,,,,,,0.5,0.477125,0.477125,1.0,18.9,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,0.5,,,,,0.5,1.0,1.0,0.5,,,0.5,,24.4,2.0,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
101135-201578-201939-203084-2581,1610612744,"David Lee, Marreese Speights, Stephen Curry, Harrison Barnes, Steve Blake","Lee, Speights, Curry, Barnes, Blake",101135-201578-201939-203084-2581,GSW,30.0,1,,-2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,96.0,7.0,23.0,7.0,23.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
101135-201578-202691-203110-2738,1610612744,"David Lee, Marreese Speights, Klay Thompson, Draymond Green, Andre Iguodala","Lee, Speights, Thompson, Green, Iguodala",101135-201578-202691-203110-2738,GSW,2.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
101135-201939-202348-202691-203084,1610612744,"David Lee, Stephen Curry, Jordan Crawford, Klay Thompson, Harrison Barnes","Lee, Curry, Crawford, Thompson, Barnes",101135-201939-202348-202691-203084,GSW,31.0,1,1.0,-1.0,1.0,1.0,,,2.0,1.0,1.0,,,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,,1.0,,1.0,,,,,92.9032258064516,12.0,19.0,12.0,19.0,1.0,1.0,1.0,,,,,,,,1.0,0.7366,,,0.7,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
101135-201939-202348-202691-203110,1610612744,"David Lee, Stephen Curry, Jordan Crawford, Klay Thompson, Draymond Green","Lee, Curry, Crawford, Thompson, Green",101135-201939-202348-202691-203110,GSW,184.0,2,3.0,-2.0,7.0,8.0,1.0,6.0,15.0,1.0,1.0,,,,,1.0,2.0,8.0,10.0,,,1.0,2.0,1.0,2.0,1.0,,5.0,1.0,3.0,3.0,,,1.0,,1.0,,8.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.5,,0.5714285714285714,0.25,1.0,1.0,,117.39130434782608,12.857142857142858,11.75,12.857142857142858,11.75,0.2,1.0,1.0,1.0,,,,,,,0.8,0.5168,0.4737,0.125,8.45,0.14285714285714285,,,,,1.0,3.0,1.0,3.0,,,,1.0,,,3.0,,,1.0,,,,,,0.6,1.0,,,,0.2,,,0.6,,,1.0,,26.066666666666666,3.0,,1.0,,,,2.0,4.0,2.0,,,,,,,0.2857142857142857,0.5,1.0,,1.0,,,1.0,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,3.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2014,2013-14,False
