EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,LostBallTurnovers,Travels,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,OffThreePtRebounds,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyFg3Pct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShortMidRangePctBlocked,AtRimAssists,BadPassSteals,AtRimPctAssisted,OffCorner3ReboundPct,Corner3FGM,SecondChanceFtPoints,Corner3Assists,FTDefRebounds,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Charge Fouls Drawn,PenaltyCorner3FGA,PenaltyFtPoints,DefThreePtRebounds,LostBallOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,HeaveAttempts,BlockingFouls,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,SelfOReb,Loose Ball Fouls Drawn,SelfORebPct,PenaltyCorner3FGM,BlockingFoulsDrawn,PenaltyCorner3Accuracy,Technical Free Throw Trips,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Blocked3s,BlockedArc3,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Corner3PctBlocked,BlockedLongMidRange,BlockedCorner3,team_id,year,season,team_vs
101107-101249-200839-202324-202330,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Derrick Favors, Gordon Hayward","Williams, Lucas III, Harris, Favors, Hayward",101107-101249-200839-202324-202330,UTA,44.0,1,1.0,-2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,98.18181818181819,12.0,20.0,12.0,20.0,1.0,0.4476,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
101107-101249-200839-202324-202692,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Derrick Favors, Alec Burks","Williams, Lucas III, Harris, Favors, Burks",101107-101249-200839-202324-202692,UTA,32.0,1,1.0,1.0,2.0,2.0,4.0,,2.0,1.0,,,,180.0,2.5,13.5,2.0,13.5,,0.57875,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.6296,0.57875,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
101107-101249-200839-202683-202692,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Enes Kanter, Alec Burks","Williams, Lucas III, Harris, Kanter, Burks",101107-101249-200839-202683-202692,UTA,736.0,4,12.0,-13.0,22.0,23.0,45.0,5.0,14.0,37.0,1.0,2.0,3.0,88.04347826086956,19.0,13.826086956521738,18.5,13.391304347826088,0.2631578947368421,0.4608921052631579,9.128571428571428,1.0,2.0,2.0,7.0,,2.0,,,5.0,24.0,,2.0,,,1.0,,6.0,,3.0,3.0,6.0,2.0,2.0,1.0,5.0,,1.0,0.35714285714285715,,,0.5,,,0.5454545454545454,,,0.3333333333333333,0.2727272727272727,0.6,0.3684210526315789,0.2857142857142857,0.5,0.6666666666666666,,,,0.631578947368421,0.49828333333333336,0.2937,,,0.045454545454545456,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,5.0,5.0,1.0,4.0,9.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,1.0,1.0,13.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,6.0,3.0,24.0,0.4,0.4,1.0,0.6,0.6,0.2631578947368421,0.21428571428571427,0.42857142857142855,0.3333333333333333,0.75,0.5,1.0,1.0,0.5,0.10526315789473684,0.5,0.5,1.0,0.4,0.4,0.5,0.05263157894736842,0.21052631578947367,0.75,0.75,1.0,0.3333333333333333,0.75,0.13636363636363635,0.17647058823529413,25.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
101107-101249-200839-202692-203197,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Alec Burks, Diante Garrett","Williams, Lucas III, Harris, Burks, Garrett",101107-101249-200839-202692-203197,UTA,102.0,2,2.0,5.0,4.0,3.0,7.0,2.0,3.0,2.0,,,1.0,98.82352941176471,13.25,16.333333333333332,8.25,14.0,0.4,0.48109999999999997,12.799999999999999,4.0,2.0,1.0,1.0,,,1.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,3.0,7.0,2.0,,1.0,2.0,4.0,,,,,7.0,4.0,0.6666666666666666,1.0,0.6666666666666666,0.7,1.0,0.7,0.7,1.0,0.7,1.0,1.0,,0.2,1.0,1.0,,,0.2,1.0,0.6,0.3999,0.48109999999999997,0.2857142857142857,1.0,1.0,1.0,,,1.0,,1.0,2.0,,1.0,2.0,,,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,5.0,2.0,2.0,1.0,,,,,,,5.0,0.5,0.5,1.0,0.5,0.5,0.4,,,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,,,0.5,0.5,1.0,,0.4,0.5,0.5,1.0,,0.5,,,24.55,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
101107-101249-200839-203197-2210,1610612762,"Marvin Williams, John Lucas III, Mike Harris, Diante Garrett, Richard Jefferson","Williams, Lucas III, Harris, Garrett, Jefferson",101107-101249-200839-203197-2210,UTA,41.0,1,1.0,-3.0,2.0,2.0,4.0,,1.0,3.0,1.0,1.0,1.0,140.4878048780488,11.5,9.0,11.5,9.0,,0.3263,3.7,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
101107-101249-201575-202324-202330,1610612762,"Marvin Williams, John Lucas III, Brandon Rush, Derrick Favors, Gordon Hayward","Williams, Lucas III, Rush, Favors, Hayward",101107-101249-201575-202324-202330,UTA,45.0,1,1.0,-2.0,1.0,1.0,2.0,,1.0,2.0,,,,64.0,17.0,28.0,17.0,28.0,,0.3003,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
101107-101249-201575-202324-202692,1610612762,"Marvin Williams, John Lucas III, Brandon Rush, Derrick Favors, Alec Burks","Williams, Lucas III, Rush, Favors, Burks",101107-101249-201575-202324-202692,UTA,114.0,1,2.0,,4.0,4.0,8.0,1.0,2.0,4.0,,,1.0,101.05263157894737,12.5,16.0,12.5,16.0,0.3333333333333333,0.59255,10.1,,,1.0,1.0,,,,,2.0,4.0,,,,,,,2.0,,,,1.0,1.0,,1.0,2.0,,,1.0,,,0.6666666666666666,,,0.6666666666666666,,,,,,0.3333333333333333,1.0,1.0,,,,,0.6666666666666666,,,,,,,,,1.0,1.0,,,,,1.0,,,2.0,,,,,1.0,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,4.0,0.5,0.5,,,,0.3333333333333333,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,0.3333333333333333,,,,,,,,,23.8,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
101107-101249-201575-202330-202683,1610612762,"Marvin Williams, John Lucas III, Brandon Rush, Gordon Hayward, Enes Kanter","Williams, Lucas III, Rush, Hayward, Kanter",101107-101249-201575-202330-202683,UTA,60.0,1,1.0,,2.0,2.0,4.0,,2.0,4.0,,,,96.0,16.0,14.0,14.5,14.0,,0.5853666666666667,4.35,,1.0,1.0,1.0,,,,,2.0,4.0,1.0,1.0,2.0,,,,2.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,,1.0,,0.3333333333333333,1.0,1.0,,,,,0.6666666666666666,,,0.5,,,2.0,1.0,1.0,,1.0,,,,,1.0,,,2.0,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,2.0,0.5,0.5,,,,0.3333333333333333,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,,,,,,,,,22.6,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
101107-101249-202324-202330-202379,1610612762,"Marvin Williams, John Lucas III, Derrick Favors, Gordon Hayward, Jeremy Evans","Williams, Lucas III, Favors, Hayward, Evans",101107-101249-202324-202330-202379,UTA,53.0,1,1.0,-2.0,1.0,2.0,3.0,,1.0,2.0,,,,81.50943396226415,22.0,15.5,22.0,15.5,,0.4448,8.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
101107-101249-202324-202330-202683,1610612762,"Marvin Williams, John Lucas III, Derrick Favors, Gordon Hayward, Enes Kanter","Williams, Lucas III, Favors, Hayward, Kanter",101107-101249-202324-202330-202683,UTA,71.0,1,1.0,-2.0,3.0,3.0,6.0,,1.0,2.0,1.0,1.0,1.0,121.69014084507042,11.333333333333334,12.333333333333334,11.333333333333334,12.333333333333334,,0.4271,5.5,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.5,,,,1.0,1.0,,1.0,,0.5,,,,,,,,0.5,,,,,,,,24.5,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2014,2013-14,False
