EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,OffThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,FTA,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyCorner3FGM,PenaltyFG3M,FTOffRebounds,SecondChanceTurnovers,PenaltyTurnovers,PenaltyFg3Pct,OffFTReboundPct,PenaltyCorner3Accuracy,PenaltyFtPoints,RecoveredBlocks,BlocksRecoveredPct,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,ShortMidRangeAssists,LostBallTurnovers,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceFtPoints,Arc3Assists,Offensive Fouls,NonShootingFoulsDrawn,Arc3PctAssisted,BlockedAtRim,Travels,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,PenaltyArc3FGM,SecondChanceFG3M,BlockedLongMidRange,SecondChanceFg3Pct,ShortMidRangePctBlocked,DefCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,SecondChanceArc3FGM,SelfOReb,BadPassOutOfBoundsTurnovers,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,DefensiveGoaltends,3SecondViolations,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Corner3PctBlocked,OffensiveGoaltends,Blocked3s,BlockedArc3,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
1005-1110-1952-2059-2492,1610612742,"Walt Williams, Mark Strickland, Raja Bell, Eduardo Najera, Adam Harrington","Williams, Strickland, Bell, Najera, Harrington",1005-1110-1952-2059-2492,DAL,128.0,2,2.0,2.0,5.0,5.0,5.0,5.0,10.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,6.0,4.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,5.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,112.5,14.4,11.2,14.4,10.0,0.25,1.0,1.0,0.75,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,0.25,0.454,0.454,1.0,15.375,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-1711-1717-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Dirk Nowitzki, Nick Van Exel","Williams, Abdul-Wahad, LaFrentz, Nowitzki, Van Exel",1005-1505-1711-1717-89,DAL,271.0,2,5.0,-4.0,8.0,8.0,6.0,6.0,16.0,,1.0,,1.0,1.0,4.0,1.0,5.0,6.0,10.0,1.0,5.0,2.0,,2.0,,1.0,,3.0,1.0,2.0,4.0,,,,,6.0,2.0,6.0,,,,0.2,0.2,0.25,0.125,0.2727272727272727,0.125,0.25,0.25,,85.01845018450184,18.625,15.25,17.25,13.375,0.1,,,0.4,0.25,0.25,,0.125,,0.6,0.45837000000000006,0.43531875,0.3333333333333333,15.2,0.75,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.2,0.2,0.5,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,0.5,0.2,0.5,0.5,1.0,0.3,0.5,0.5,0.125,0.25,0.09090909090909091,0.16666666666666666,24.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-1711-1952-422,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Raja Bell, Avery Johnson","Williams, Abdul-Wahad, LaFrentz, Bell, Johnson",1005-1505-1711-1952-422,DAL,567.0,1,9.0,-1.0,19.0,19.0,,3.0,38.0,6.0,12.0,,,1.0,7.0,7.0,20.0,14.0,15.0,,,,4.0,10.0,2.0,2.0,1.0,4.0,4.0,6.0,9.0,5.0,,,,12.0,,,1.0,0.2857142857142857,0.3333333333333333,0.35,,0.35,,0.35,,0.8,0.8333333333333334,1.0,96.50793650793652,13.68421052631579,16.157894736842106,13.0,16.157894736842106,0.6,0.5,0.5454545454545454,0.35,0.14285714285714285,0.14285714285714285,1.0,,,0.6,0.51043,,,7.49,,3.0,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,1.0,,,,,,,1.0,,0.23076923076923078,,,0.5,,,,,,,,,,,,,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05,0.08333333333333333,0.5,0.23076923076923078,1.0,0.16666666666666666,0.3333333333333333,1.0,1.0,0.16666666666666666,0.05,0.6666666666666666,0.5,0.5390333333333334,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-1711-1952-461,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Raja Bell, Popeye Jones","Williams, Abdul-Wahad, LaFrentz, Bell, Jones",1005-1505-1711-1952-461,DAL,95.0,1,2.0,-1.0,5.0,4.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,5.0,6.0,1.0,2.0,5.0,2.0,,1.0,2.0,,5.0,,,1.0,2.0,,,,5.0,5.0,5.0,,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,,136.42105263157896,13.0,7.5,11.2,7.25,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,1.0,0.6666666666666666,0.51945,0.51945,1.0,9.7,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,3.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,0.3333333333333333,,,,23.0,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-1711-2059-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Eduardo Najera, Nick Van Exel","Williams, Abdul-Wahad, LaFrentz, Najera, Van Exel",1005-1505-1711-2059-89,DAL,93.0,1,2.0,-4.0,3.0,3.0,,,6.0,1.0,2.0,,,,1.0,1.0,3.0,2.0,6.0,,,,2.0,,1.0,1.0,,2.0,,,1.0,,,,,2.0,,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,92.90322580645162,17.0,14.0,17.0,14.0,0.6666666666666666,0.5,0.5,0.3333333333333333,,,,,,0.6666666666666666,0.5364,,,6.766666666666667,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.5,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-1711-461-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Popeye Jones, Nick Van Exel","Williams, Abdul-Wahad, LaFrentz, Jones, Van Exel",1005-1505-1711-461-89,DAL,227.0,1,4.0,,5.0,6.0,5.0,6.0,11.0,,,,,1.0,3.0,1.0,4.0,6.0,6.0,1.0,4.0,6.0,2.0,,1.0,2.0,1.0,5.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,6.0,6.0,5.0,1.0,1.0,1.0,0.25,0.25,0.4166666666666667,0.4166666666666667,0.42857142857142855,0.42857142857142855,0.5,0.75,0.5,69.77973568281938,23.4,18.333333333333332,20.0,17.5,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,0.4696,0.4696,1.0,16.175,1.0,1.0,1.0,2.0,,2.0,,,,1.0,2.0,1.0,,2.0,3.0,,1.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,0.5,0.5,0.3333333333333333,,1.0,0.25,,1.0,,0.3333333333333333,0.5,0.5,1.0,,,,0.3333333333333333,,0.14285714285714285,0.2,22.85,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.16666666666666666,,,0.3309,,1.0,1.0,,,,0.5,,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-1711-762-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Shawn Bradley, Nick Van Exel","Williams, Abdul-Wahad, LaFrentz, Bradley, Van Exel",1005-1505-1711-762-89,DAL,75.0,1,1.0,5.0,2.0,2.0,,,4.0,1.0,1.0,,,,,1.0,1.0,5.0,,,,,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,1.0,1.0,1.0,,1.25,,1.25,,0.3333333333333333,0.3333333333333333,0.5,76.8,8.5,29.0,8.5,27.0,0.5,1.0,1.0,,,,,,,1.0,0.633025,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,0.5,,,,,,,,,,,0.5,,,,,,,24.1,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-1717-2059-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Dirk Nowitzki, Eduardo Najera, Nick Van Exel","Williams, Abdul-Wahad, Nowitzki, Najera, Van Exel",1005-1505-1717-2059-89,DAL,258.0,2,4.0,2.0,8.0,8.0,3.0,3.0,16.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,11.0,9.0,2.0,2.0,5.0,2.0,8.0,1.0,1.0,,2.0,3.0,3.0,4.0,4.0,,,,9.0,5.0,3.0,1.0,0.2,0.25,0.7142857142857143,1.0,0.7142857142857143,1.0,0.7857142857142857,1.25,0.6,0.6,0.5,89.30232558139535,12.625,19.625,12.625,19.25,0.2857142857142857,1.0,1.0,0.14285714285714285,1.0,1.0,,0.5,1.0,0.2857142857142857,0.4745857142857143,0.60735,0.45454545454545453,6.871428571428572,0.375,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,0.5,,,0.5,,,,,,,,,,0.14285714285714285,0.14285714285714285,,1.0,1.0,4.0,1.0,1.0,2.0,2.0,,,1.0,,,2.0,,,,2.0,2.0,,1.0,1.0,1.0,,,1.0,0.5,,,,1.0,,,0.5714285714285714,1.0,1.0,0.5818,0.18181818181818182,,,,,1.0,,,,1.0,,,,,,,,,2.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-1717-762-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Dirk Nowitzki, Shawn Bradley, Nick Van Exel","Williams, Abdul-Wahad, Nowitzki, Bradley, Van Exel",1005-1505-1717-762-89,DAL,442.0,1,7.0,1.0,14.0,14.0,3.0,,28.0,3.0,3.0,1.0,1.0,,1.0,3.0,7.0,20.0,19.0,1.0,2.0,4.0,2.0,4.0,1.0,3.0,,8.0,3.0,3.0,6.0,3.0,1.0,1.0,1.0,16.0,4.0,3.0,,0.3333333333333333,0.5,0.42857142857142855,0.5,0.5,0.3333333333333333,0.625,0.5,0.5,0.42857142857142855,0.3333333333333333,91.22171945701358,16.785714285714285,14.785714285714286,16.714285714285715,13.857142857142858,0.25,1.0,1.0,0.08333333333333333,,,,0.3333333333333333,1.0,0.6666666666666666,0.5318875,0.5056666666666666,0.2,8.057142857142857,0.21428571428571427,3.0,,,,,5.0,,1.0,2.0,5.0,8.0,,1.0,6.0,5.0,2.0,,2.0,,3.0,,,9.0,4.0,1.0,0.4,0.4,0.4166666666666667,,0.6666666666666666,0.42857142857142855,0.6666666666666666,,0.5,,,,,0.4166666666666667,,,,0.3333333333333333,0.26666666666666666,0.4,25.04,1.0,1.0,3.0,1.0,1.0,4.0,2.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,0.25,,,1.0,1.0,,0.3333333333333333,0.25,1.0,1.0,0.5541,0.2,,,,1.0,,,,,2.0,,,2.0,,2.0,0.4,0.4,0.4,,,,1.0,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-2059-714-959,1610612742,"Walt Williams, Tariq Abdul-Wahad, Eduardo Najera, Michael Finley, Steve Nash","Williams, Abdul-Wahad, Najera, Finley, Nash",1005-1505-2059-714-959,DAL,62.0,1,1.0,-1.0,3.0,2.0,,,5.0,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,0.25,,0.5,0.5,,116.1290322580645,10.333333333333334,15.5,10.333333333333334,15.5,,,,1.0,,,,,,,0.388,,,19.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-2059-762-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Eduardo Najera, Shawn Bradley, Nick Van Exel","Williams, Abdul-Wahad, Najera, Bradley, Van Exel",1005-1505-2059-762-89,DAL,131.0,1,2.0,2.0,4.0,4.0,,3.0,8.0,,,,,1.0,2.0,2.0,4.0,4.0,2.0,,,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,4.0,,,,0.5,0.5,0.5,,0.5,,0.5,,1.0,1.0,,87.93893129770993,15.75,17.0,15.75,17.0,,,,0.5,0.5,0.5,1.0,,,,0.37765,,,13.225,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-461-762-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Popeye Jones, Shawn Bradley, Nick Van Exel","Williams, Abdul-Wahad, Jones, Bradley, Van Exel",1005-1505-461-762-89,DAL,30.0,1,,-3.0,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,96.0,16.0,14.0,16.0,14.0,1.0,,,,,,,1.0,,1.0,0.6183,0.6183,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1505-762-89-959,1610612742,"Walt Williams, Tariq Abdul-Wahad, Shawn Bradley, Nick Van Exel, Steve Nash","Williams, Abdul-Wahad, Bradley, Van Exel, Nash",1005-1505-762-89-959,DAL,38.0,1,1.0,-1.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,113.6842105263158,8.0,15.0,8.0,14.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1559-1711-1717-89,1610612742,"Walt Williams, Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Nick Van Exel","Williams, Griffin, LaFrentz, Nowitzki, Van Exel",1005-1559-1711-1717-89,DAL,704.0,4,12.0,7.0,24.0,20.0,3.0,2.0,44.0,3.0,5.0,,,1.0,5.0,6.0,15.0,31.0,24.0,,,8.0,6.0,6.0,3.0,7.0,,18.0,5.0,10.0,13.0,2.0,2.0,,2.0,25.0,8.0,3.0,,0.5,0.5,0.4,,0.5714285714285714,1.5,0.6458333333333334,1.3333333333333333,0.7142857142857143,0.8181818181818182,1.0,90.0,17.541666666666668,14.15,16.625,13.2,0.23809523809523808,0.6,0.75,0.23809523809523808,0.2,0.2,,,,0.5238095238095238,0.4644666666666667,0.468225,0.25806451612903225,8.453333333333333,0.125,2.0,1.0,1.0,1.0,,5.0,,2.0,4.0,6.0,7.0,1.0,2.0,12.0,5.0,4.0,1.0,1.0,1.0,3.0,,,8.0,5.0,1.0,0.6666666666666666,0.6666666666666666,0.2857142857142857,1.0,0.5,0.2727272727272727,0.5,,1.0,0.047619047619047616,1.0,1.0,1.0,0.23809523809523808,0.3333333333333333,,,1.0,0.21739130434782608,0.29411764705882354,25.566666666666666,,,5.0,1.0,2.0,6.0,,2.0,3.0,2.0,4.0,,2.0,1.0,2.0,,4.0,1.0,,0.5,0.8333333333333334,1.0,0.13333333333333333,0.2,0.5,0.2222222222222222,1.0,,0.25,0.3333333333333333,1.0,1.0,0.23809523809523808,,,0.48185,0.1935483870967742,,2.0,,,,1.0,,,2.0,1.0,0.5,3.0,,3.0,0.6,0.6,0.6,2.0,,1.0,3.0,0.3333333333333333,0.4,0.5,,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1559-1711-1717-959,1610612742,"Walt Williams, Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Steve Nash","Williams, Griffin, LaFrentz, Nowitzki, Nash",1005-1559-1711-1717-959,DAL,142.0,2,2.0,3.0,5.0,5.0,1.0,5.0,10.0,1.0,1.0,,,,,1.0,1.0,7.0,4.0,,,2.0,,2.0,,1.0,,3.0,,2.0,2.0,3.0,1.0,,1.0,7.0,2.0,1.0,2.0,,,1.0,,0.8333333333333334,,0.875,1.0,,0.16666666666666666,,101.40845070422534,6.6,21.8,6.6,19.6,0.3333333333333333,1.0,1.0,,,,,,,1.0,0.5989333333333333,,0.2857142857142857,,0.2,,,,,,2.0,,,1.0,2.0,2.0,,,3.0,2.0,1.0,,,1.0,,2.0,2.0,2.0,,1.0,0.5,0.5,0.6666666666666666,1.0,,,,,,,,,,0.6666666666666666,,,,,,,24.55,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,0.5,0.5,0.5,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1559-1711-1952-89,1610612742,"Walt Williams, Adrian Griffin, Raef LaFrentz, Raja Bell, Nick Van Exel","Williams, Griffin, LaFrentz, Bell, Van Exel",1005-1559-1711-1952-89,DAL,68.0,1,1.0,-2.0,2.0,1.0,,,3.0,,1.0,,,,1.0,,3.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,63.529411764705884,26.5,15.0,25.5,15.0,0.3333333333333333,,,0.3333333333333333,,,,,,0.3333333333333333,0.41429999999999995,,,10.066666666666666,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,0.3333333333333333,1.0,,0.3333333333333333,,,,,,,0.3333333333333333,1.0,,0.5516,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1559-1711-2059-959,1610612742,"Walt Williams, Adrian Griffin, Raef LaFrentz, Eduardo Najera, Steve Nash","Williams, Griffin, LaFrentz, Najera, Nash",1005-1559-1711-2059-959,DAL,230.0,2,4.0,-3.0,6.0,7.0,1.0,7.0,13.0,,,,,,2.0,2.0,6.0,4.0,7.0,,,,4.0,,2.0,2.0,,4.0,1.0,2.0,5.0,2.0,,,,2.0,,1.0,1.0,1.0,1.0,0.3333333333333333,,0.25,,0.25,,0.3333333333333333,0.5,0.5,81.39130434782608,20.833333333333332,15.0,14.833333333333334,11.285714285714286,,,,0.25,,,,,,0.25,0.4512125,0.5976,,12.966666666666667,0.16666666666666666,2.0,,,,,2.0,,1.0,,2.0,,,1.0,,2.0,,,,,3.0,1.0,,,,,,,0.25,,,0.5,,,,,,,,0.25,,,,1.0,,,24.8,,,4.0,1.0,2.0,2.0,,,,3.0,1.0,1.0,1.0,,,,1.0,1.0,,0.5,0.5,0.5,,,1.0,0.75,1.0,,0.5,,1.0,,0.5,,,0.4229,0.5,,,,1.0,,,,,,,,,,,,,,2.0,2.0,1.0,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
1005-1559-1711-422-461,1610612742,"Walt Williams, Adrian Griffin, Raef LaFrentz, Avery Johnson, Popeye Jones","Williams, Griffin, LaFrentz, Johnson, Jones",1005-1559-1711-422-461,DAL,271.0,1,5.0,,9.0,8.0,,,17.0,2.0,2.0,,,1.0,1.0,5.0,5.0,13.0,13.0,,,,4.0,6.0,2.0,3.0,1.0,7.0,3.0,3.0,3.0,2.0,,,,13.0,,,,0.4,0.4,1.0,,0.9285714285714286,,0.9285714285714286,,0.5,0.5,,90.33210332103322,13.88888888888889,18.25,13.88888888888889,17.875,0.2857142857142857,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,,,0.5714285714285714,0.5018142857142858,,,6.82,,,,1.0,,,1.0,,,1.0,2.0,,,,3.0,1.0,1.0,,,,,,,,,1.0,0.5,0.5,0.2857142857142857,,,,,,0.6666666666666666,0.14285714285714285,,,,0.14285714285714285,,,,,,,24.1,,,2.0,,,,,,,,,,2.0,1.0,,,2.0,1.0,,,,,,,1.0,,,,,1.0,,,0.2857142857142857,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,0.5,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,False
