EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,Corner3Assists,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,LostBallTurnovers,Loose Ball Fouls Drawn,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,Loose Ball Fouls,ShortMidRangeFGM,ShortMidRangeAssists,ShootingFouls,Blocked3s,BlockedArc3,DefensiveGoaltends,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,2pt And 1 Free Throw Trips,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,DefCorner3ReboundPct,StepOutOfBoundsTurnovers,Charge Fouls,Fg3aBlocked,BlockedAtRim,FG3APctBlocked,Arc3PctBlocked,OffAtRimReboundPct,Offensive Fouls,PenaltyCorner3FGA,SelfOReb,Charge Fouls Drawn,Technical Free Throw Trips,SelfORebPct,PenaltyCorner3Frequency,SecondChanceTurnovers,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,FTOffRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedCorner3,SecondChanceFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,3SecondViolations,BlockedLongMidRange,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627759-1628369-1628400-1628464-202954,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Daniel Theis, Brad Wanamaker","Brown, Tatum, Ojeleye, Theis, Wanamaker",1627759-1628369-1628400-1628464-202954,BOS,135.0,1,2.0,1.0,4.0,5.0,4.0,5.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,6.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,7.0,7.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.7,0.7,0.3333333333333333,1.0,1.0,1.0,96.0,13.0,16.6,13.0,16.6,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5619333333333333,0.5619333333333333,1.0,7.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1629057-202689,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Robert Williams III, Kemba Walker","Brown, Tatum, Ojeleye, Williams III, Walker",1627759-1628369-1628400-1629057-202689,BOS,230.0,2,4.0,5.0,10.0,10.0,4.0,4.0,20,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,13.0,8.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,6.0,2.0,2.0,2.0,3.0,2.0,8.0,1.0,5.0,6.0,1.0,,,1.0,2.0,,11.0,6.0,4.0,,,1.0,1.0,1.0,1.0,0.5,1.0,0.75,1.25,0.7222222222222222,1.0,0.25,1.0,1.0,1.0,125.21739130434783,10.7,12.3,10.7,12.3,0.5,0.75,1.0,0.25,0.25,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.75,1.0,0.54634375,0.6241,0.46153846153846156,4.333333333333333,25.95,0.4,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.16666666666666666,0.25,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5063,0.1111111111111111,0.14285714285714285,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1629057-202954,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Robert Williams III, Brad Wanamaker","Brown, Tatum, Ojeleye, Williams III, Wanamaker",1627759-1628369-1628400-1629057-202954,BOS,37.0,1,1.0,,2.0,2.0,,,4,,,,,,,1.0,,,1.0,1.0,,1.0,,2.0,2.0,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,2.0,,,,,,,,,1.0,,0.5,,0.5,,0.5,,,,155.67567567567568,12.5,6.0,12.5,6.0,,,,,0.5,,,,,,,,0.5,,0.4744,,,19.0,27.8,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1629057-203935,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Robert Williams III, Marcus Smart","Brown, Tatum, Ojeleye, Williams III, Smart",1627759-1628369-1628400-1629057-203935,BOS,173.0,3,3.0,3.0,5.0,4.0,1.0,,9,1.0,1.0,1.0,1.0,1.0,,2.0,,,2.0,3.0,1.0,3.0,,7.0,4.0,1.0,1.0,,,,2.0,2.0,3.0,2.0,,1.0,2.0,,5.0,,2.0,3.0,,,1.0,1.0,,,5.0,2.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,1.0,0.5833333333333334,1.0,0.5833333333333334,1.0,0.5,,1.0,,74.91329479768787,15.4,24.0,13.2,24.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.3333333333333333,,,,1.0,1.0,,,0.6666666666666666,,0.5315416666666667,0.5927,0.2857142857142857,9.333333333333334,24.766666666666666,0.2,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,1.0,,0.3333333333333333,,1.0,,,1.0,0.5,1.0,0.5927,,,0.2857142857142857,1.0,1.0,,0.16666666666666666,1.0,1.0,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-1629684-202954,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Grant Williams, Brad Wanamaker","Brown, Tatum, Ojeleye, Williams, Wanamaker",1627759-1628369-1628400-1629684-202954,BOS,61.0,1,1.0,2.0,2.0,2.0,1.0,2.0,4,,,,,,,1.0,,1.0,,2.0,,1.0,2.0,2.0,,,1.0,,1.0,2.0,2.0,,,1.0,,,,,,1.0,2.0,5.0,,,,2.0,2.0,1.0,,2.0,1.0,,1.0,,,,,,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,94.42622950819673,18.0,12.5,10.5,12.5,,,,,0.3333333333333333,,,,,,0.5,,0.3333333333333333,,0.4859166666666667,0.524175,1.0,18.6,25.0,0.5,1.0,,,,1.0,2.0,,,,,,2.0,,1.0,3.0,,1.0,,,,1.0,,,,,,,,,,,0.3333333333333333,,,1.0,1.0,,1.0,1.0,,,,,,,,0.524175,,,1.0,,2.0,,0.6666666666666666,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628400-202683-202689,1610612738,"Jaylen Brown, Jayson Tatum, Semi Ojeleye, Enes Kanter, Kemba Walker","Brown, Tatum, Ojeleye, Kanter, Walker",1627759-1628369-1628400-202683-202689,BOS,49.0,1,1.0,,2.0,1.0,,,3,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,88.16326530612245,11.5,26.0,11.5,25.0,,,,,,,,,,,,,1.0,,0.67275,,,,22.5,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628464-1629605-203935,1610612738,"Jaylen Brown, Jayson Tatum, Daniel Theis, Tacko Fall, Marcus Smart","Brown, Tatum, Theis, Fall, Smart",1627759-1628369-1628464-1629605-203935,BOS,,1,,-3.0,,1.0,,1.0,1,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628464-1629641-202689,1610612738,"Jaylen Brown, Jayson Tatum, Daniel Theis, Romeo Langford, Kemba Walker","Brown, Tatum, Theis, Langford, Walker",1627759-1628369-1628464-1629641-202689,BOS,98.0,1,2.0,-6.0,3.0,4.0,,,7,,,,,1.0,,,,,1.0,1.0,,,,2.0,8.0,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,1.0,0.3333333333333333,1.0,102.85714285714286,9.333333333333334,17.5,9.333333333333334,15.25,,,,1.0,,,,,,,,,,,0.2946,,,4.2,,,,,,,,,2.0,,,1.0,,,,,,,2.0,1.0,,,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628464-1629641-203935,1610612738,"Jaylen Brown, Jayson Tatum, Daniel Theis, Romeo Langford, Marcus Smart","Brown, Tatum, Theis, Langford, Smart",1627759-1628369-1628464-1629641-203935,BOS,10.0,1,,,1.0,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,288.0,9.0,1.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
1627759-1628369-1628464-1629684-202330,1610612738,"Jaylen Brown, Jayson Tatum, Daniel Theis, Grant Williams, Gordon Hayward","Brown, Tatum, Theis, Williams, Hayward",1627759-1628369-1628464-1629684-202330,BOS,129.0,1,2.0,,5.0,4.0,5.0,4.0,9,1.0,1.0,1.0,1.0,1.0,,2.0,,2.0,2.0,2.0,,2.0,1.0,5.0,5.0,2.0,2.0,,2.0,1.0,5.0,2.0,,2.0,,,1.0,,2.0,1.0,2.0,2.0,,,1.0,2.0,3.0,,5.0,5.0,5.0,,,,,,,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,100.46511627906978,12.0,17.25,12.0,12.25,0.25,1.0,1.0,0.25,0.5,,,,0.25,1.0,0.5,,0.75,,0.4792875,0.4792875,1.0,6.6,25.6,1.0,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,2.0,,,,,0.5,0.5,,,,,,,,1.0,,,,,1.0,,,,,,0.4,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2020,2019-20,False
