EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,Corner3FGM,Corner3FGA,Corner3Assists,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangeFGM,ShortMidRangeFGA,ShortMidRangeAssists,FTDefRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,BlockedShortMidRange,DefensiveGoaltends,DefFTReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceShotQualityAvg,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGA,SecondChanceFG2M,Fg2aBlocked,FTOffRebounds,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,AtRimPctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,BadPassTurnovers,Travels,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,Charge Fouls Drawn,Blocked3s,BlockedCorner3,PtsPutbacks,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,Technical Free Throw Trips,HeaveAttempts,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangeAssists,StepOutOfBoundsTurnovers,LongMidRangePctAssisted,3SecondViolations,BlockedLongMidRange,BlockedArc3,Fg3aBlocked,Transition Take Fouls Drawn,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Transition Take Fouls,Arc3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
1626157-1628420-1629162-1629638-1629675,1610612750,"Karl-Anthony Towns, Monte Morris, Jordan McLaughlin, Nickeil Alexander-Walker, Naz Reid","Towns, Morris, McLaughlin, Alexander-Walker, Reid",1626157-1628420-1629162-1629638-1629675,MIN,59.0,1,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,73.22033898305085,13.0,33.0,13.0,33.0,1.0,1.0,1.0,0.4264,0.4264,1.0,19.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
1626157-1628420-1629638-1629675-1630162,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Naz Reid, Anthony Edwards","Towns, Morris, Alexander-Walker, Reid, Edwards",1626157-1628420-1629638-1629675-1630162,MIN,599.0,3,10.0,13.0,21.0,21.0,8.0,42.0,,1.0,6.0,10.0,14.0,32.0,19.0,2.0,3.0,7.0,11.0,8.0,5.0,8.0,15.0,3.0,30.0,11.0,8.0,3.0,0.6,0.6666666666666666,0.6,0.4,0.7272727272727273,0.6111111111111112,100.96828046744575,10.952380952380953,17.571428571428573,10.904761904761905,16.523809523809526,0.06666666666666667,,,0.60371,0.46703,0.34375,3.55,0.38095238095238093,4.0,2.0,6.0,9.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,4.0,6.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,10.0,1.0,1.0,4.0,7.0,11.0,2.0,13.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.4,0.4,0.5,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.8,0.3333333333333333,0.7857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,1.0,0.5,0.6666666666666666,1.0,0.16666666666666666,1.0,0.6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4,0.4,1.0,0.4,1.0,0.4,0.9333333333333333,0.4,0.2631578947368421,0.35714285714285715,0.0625,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
1626157-1628420-1629638-1629675-1630183,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Naz Reid, Jaden McDaniels","Towns, Morris, Alexander-Walker, Reid, McDaniels",1626157-1628420-1629638-1629675-1630183,MIN,5.0,1,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,288.0,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
1626157-1628420-1629638-1629675-201144,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Naz Reid, Mike Conley","Towns, Morris, Alexander-Walker, Reid, Conley",1626157-1628420-1629638-1629675-201144,MIN,114.0,2,2.0,-3.0,4.0,6.0,,10.0,,,,1.0,,3.0,6.0,,,,,,1.0,1.0,,,3.0,,,,,,0.5,,0.5,,126.31578947368422,12.25,10.833333333333334,12.25,10.5,,,,0.5407000000000001,,,3.9,,,,,1.0,,,,,,1.0,2.0,,,,,,3.0,,,,1.0,1.0,,,3.0,,,,2.0,2.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,1.0,0.5,0.5,,0.6666666666666666,0.6666666666666666,,,,0.5,,,,0.6666666666666666,,,,,,,0.3333333333333333,,,,,,,,,,,1.0,,,,,23.1,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
1626157-1628420-1629638-1629675-203937,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Naz Reid, Kyle Anderson","Towns, Morris, Alexander-Walker, Reid, Anderson",1626157-1628420-1629638-1629675-203937,MIN,682.0,4,11.0,-6.0,22.0,24.0,5.0,46.0,,1.0,6.0,13.0,5.0,26.0,32.0,1.0,1.0,3.0,5.0,8.0,5.0,4.0,6.0,,26.0,5.0,5.0,,0.46153846153846156,1.0,0.5526315789473685,1.0,0.5909090909090909,0.8333333333333334,97.12609970674487,15.545454545454545,14.166666666666666,15.409090909090908,13.583333333333334,0.05263157894736842,,,0.4846315789473684,0.4419,0.19230769230769232,8.276923076923076,0.22727272727272727,,1.0,2.0,3.0,,,1.0,4.0,,3.0,6.0,1.0,,,,4.0,9.0,4.0,1.0,2.0,3.0,5.0,1.0,1.0,13.0,1.0,1.0,5.0,3.0,9.0,2.0,11.0,,1.0,,2.0,2.0,4.0,1.0,,,3.0,1.0,,1.0,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,,0.3157894736842105,0.75,0.14285714285714285,0.8333333333333334,0.3333333333333333,0.8,0.2,,0.3333333333333333,,0.6666666666666666,1.0,1.0,0.5,,,0.15789473684210525,0.6666666666666666,0.6666666666666666,0.5,0.21052631578947367,0.25,0.25,1.0,,,,0.47368421052631576,0.25,0.13636363636363635,0.1875,,25.05,2.0,2.0,2.0,,,,0.10526315789473684,1.0,1.0,1.0,4.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.2,0.47368421052631576,0.4444444444444444,0.4444444444444444,0.25,0.4847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
1626157-1628420-1629638-1630162-1630183,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Anthony Edwards, Jaden McDaniels","Towns, Morris, Alexander-Walker, Edwards, McDaniels",1626157-1628420-1629638-1630162-1630183,MIN,221.0,1,4.0,3.0,8.0,8.0,,16.0,,,4.0,4.0,,8.0,5.0,,,,,4.0,2.0,,,,8.0,,,,1.0,,0.5714285714285714,,0.5714285714285714,,104.25339366515837,14.0,13.625,14.0,12.75,,,,0.6254785714285714,,,2.775,,8.0,,3.0,3.0,,,,2.0,,,3.0,,,,,4.0,,2.0,,2.0,,2.0,,2.0,4.0,,,3.0,,3.0,,3.0,,1.0,,,1.0,1.0,,,,,,,,,0.5,0.5,,,,,0.42857142857142855,,,0.75,,0.75,,,,,,,0.75,,,,0.42857142857142855,1.0,1.0,0.6666666666666666,0.2857142857142857,,,,,,,0.8571428571428571,,,,,24.733333333333334,,1.0,,1.0,1.0,1.0,0.14285714285714285,,,,1.0,1.0,,,1.0,,,,,,,0.14285714285714285,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
1626157-1628420-1629638-1630162-203497,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Anthony Edwards, Rudy Gobert","Towns, Morris, Alexander-Walker, Edwards, Gobert",1626157-1628420-1629638-1630162-203497,MIN,98.0,1,2.0,-2.0,3.0,3.0,2.0,6.0,,,1.0,1.0,3.0,5.0,7.0,1.0,1.0,2.0,4.0,2.0,,2.0,4.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,88.16326530612245,21.333333333333332,11.333333333333334,21.333333333333332,11.0,,,,0.7037,0.7037,0.8,1.1,0.6666666666666666,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
1626157-1628420-1629638-1630183-203497,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Jaden McDaniels, Rudy Gobert","Towns, Morris, Alexander-Walker, McDaniels, Gobert",1626157-1628420-1629638-1630183-203497,MIN,281.0,3,5.0,6.0,7.0,8.0,1.0,15.0,,,2.0,5.0,1.0,11.0,5.0,,1.0,,,,2.0,3.0,4.0,,9.0,,1.0,,0.4,,0.5555555555555556,,0.5,,76.86832740213522,21.142857142857142,16.625,20.142857142857142,15.125,,,,0.5521666666666667,0.5060666666666667,,4.5600000000000005,0.14285714285714285,,1.0,2.0,3.0,,,1.0,2.0,1.0,2.0,4.0,2.0,,2.0,2.0,4.0,6.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,10.0,1.0,1.0,1.0,2.0,4.0,3.0,7.0,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.3333333333333333,1.0,0.5,0.75,0.4,,,1.0,1.0,,1.0,,,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.2222222222222222,0.5,0.5,1.0,,,0.3333333333333333,0.7777777777777778,0.5,0.18181818181818182,0.2857142857142857,0.18181818181818182,24.3,1.0,2.0,1.0,,,,0.2222222222222222,0.5,0.5,1.0,,2.0,,1.0,,,,,,1.0,0.5,0.2222222222222222,,,,0.5808,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.5,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
1626157-1628420-1629638-201144-203497,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Mike Conley, Rudy Gobert","Towns, Morris, Alexander-Walker, Conley, Gobert",1626157-1628420-1629638-201144-203497,MIN,96.0,1,2.0,1.0,3.0,3.0,,6.0,,,,,,3.0,2.0,,,,,,1.0,,,,3.0,,,,,,0.75,,0.75,,90.0,16.666666666666668,15.333333333333334,16.666666666666668,15.333333333333334,,,,0.555825,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,3.0,1.0,,,1.0,1.0,,,3.0,,,1.0,1.0,2.0,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,0.5,0.5,,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,0.5,,,,,,,1.0,,,,,25.2,1.0,1.0,1.0,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
1626157-1628420-1629638-203497-203937,1610612750,"Karl-Anthony Towns, Monte Morris, Nickeil Alexander-Walker, Rudy Gobert, Kyle Anderson","Towns, Morris, Alexander-Walker, Gobert, Anderson",1626157-1628420-1629638-203497-203937,MIN,94.0,1,2.0,2.0,3.0,3.0,3.0,6.0,,,2.0,2.0,,7.0,5.0,2.0,2.0,,7.0,2.0,1.0,2.0,1.0,,7.0,7.0,3.0,,1.0,1.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,91.91489361702128,15.333333333333334,16.0,15.333333333333334,16.0,,,,0.7296666666666667,0.7296666666666667,1.0,0.6,1.0,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,0.5,0.5,1.0,1.0,1.0,,0.3333333333333333,1.0,,,,1.0,,,,1.0,,,,,,,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2024,2023-24,False
