EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceArc3FGA,SecondChanceFG3A,DefShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGA,ShortMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted3s,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,LostBallSteals,Offensive Fouls,Offensive Fouls Drawn,BlockedAtRim,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChancePointsPct,SecondChanceAtRimFGM,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Travels,PenaltyFtPoints,PtsPutbacks,SelfOReb,Technical Free Throw Trips,SelfORebPct,LostBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Loose Ball Fouls,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,FTDefRebounds,Charge Fouls,Charge Fouls Drawn,DefFTReboundPct,DefensiveGoaltends,Defensive 3 Seconds Violations,HeaveAttempts,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
1627745-1627747-1627777-1630171-1630241,1610612739,"Damian Jones, Caris LeVert, Georges Niang, Isaac Okoro, Sam Merrill","Jones, LeVert, Niang, Okoro, Merrill",1627745-1627747-1627777-1630171-1630241,CLE,419.0,1,7.0,14.0,15.0,14.0,13.0,2.0,29.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,7.0,3.0,5.0,17.0,17.0,4.0,7.0,3.0,5.0,17.0,6.0,2.0,9.0,4.0,2.0,1.0,3.0,3.0,6.0,2.0,1.0,2.0,1.0,15.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,17.0,14.0,0.75,0.75,1.0,0.6,0.6,0.6,0.5714285714285714,0.5714285714285714,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.4166666666666667,0.14285714285714285,0.3333333333333333,0.5,0.75,0.6666666666666666,0.42857142857142855,0.4,0.6666666666666666,1.0,1.0,99.66587112171838,10.428571428571429,18.2,10.357142857142858,15.733333333333333,0.25,1.0,1.0,0.6666666666666666,0.25,0.08333333333333333,1.0,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.25,1.0,0.08333333333333333,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5,0.464875,0.464875,0.08333333333333333,0.14285714285714285,1.0,6.528571428571429,25.96,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627745-1627777-1630241-202684-202694,1610612739,"Damian Jones, Georges Niang, Sam Merrill, Tristan Thompson, Marcus Morris Sr.","Jones, Niang, Merrill, Thompson, Morris Sr.",1627745-1627777-1630241-202684-202694,CLE,130.0,1,2.0,5.0,5.0,,5.0,1.0,10.0,,,,,1.0,1.0,1.0,,,,,,2.0,,,1.0,2.0,,2.0,2.0,5.0,,,,,,2.0,,,2.0,,,1.0,,1.0,,,,1.0,2.0,,1.0,1.0,,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,0.5,,0.25,,0.25,,0.5,,,,1.0,,1.0,,,,,110.76923076923077,15.0,11.0,13.6,11.0,,,,,0.25,0.25,1.0,1.0,1.0,,,,,0.5,,,,,,,,,,0.5,,0.4431625,,,,,14.3,27.25,,-3.0,1.0,1.0,1.0,1.0,0.5094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627747-1627777-1628378-1628386-1629622,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Jarrett Allen, Max Strus","LeVert, Niang, Mitchell, Allen, Strus",1627747-1627777-1628378-1628386-1629622,CLE,721.0,4,12.0,25.0,23.0,6.0,11.0,6.0,48.0,4.0,8.0,1.0,2.0,7.0,1.0,2.0,1.0,3.0,,2.0,2.0,6.0,,,11.0,17.0,3.0,9.0,34.0,19.0,4.0,5.0,,2.0,8.0,14.0,8.0,6.0,6.0,2.0,1.0,7.0,2.0,9.0,1.0,1.0,4.0,,20.0,4.0,7.0,11.0,6.0,17.0,2.0,1.0,2.0,,2.0,1.0,,3.0,1.0,,4.0,7.0,5.0,4.0,,2.0,2.0,,2.0,29.0,8.0,6.0,0.6363636363636364,0.6363636363636364,0.6666666666666666,0.3333333333333333,,0.3333333333333333,0.6470588235294118,0.8,0.5961538461538461,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.34615384615384615,0.058823529411764705,,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.6875,0.5,1.0,0.6,1.0,95.86685159500693,15.6,14.391304347826088,14.32,13.73913043478261,0.3076923076923077,0.5,0.5714285714285714,1.0,0.2692307692307692,0.07692307692307693,0.5,0.5,,0.11538461538461539,0.3333333333333333,0.3333333333333333,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.5,0.2857142857142857,0.5,0.2857142857142857,,,,0.6538461538461539,0.3333333333333333,0.5440326923076924,0.5632571428571429,0.07142857142857142,0.10526315789473684,0.23529411764705882,6.129411764705883,26.299999999999997,0.24,15.0,,,1.0,,0.48690000000000005,2.0,6.0,3.0,2.0,4.0,1.0,5.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.125,0.5714285714285714,0.3333333333333333,0.5,1.0,0.25,0.5,0.6666666666666666,0.5,0.5,0.8571428571428571,0.8571428571428571,0.5,0.5,0.14705882352941177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627747-1627777-1628378-1628386-1629636,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Jarrett Allen, Darius Garland","LeVert, Niang, Mitchell, Allen, Garland",1627747-1627777-1628378-1628386-1629636,CLE,51.0,1,1.0,2.0,2.0,2.0,,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,112.94117647058823,12.5,13.0,12.5,13.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,0.6257,0.6257,,,1.0,2.6,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627747-1627777-1628378-1628386-1630171,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Jarrett Allen, Isaac Okoro","LeVert, Niang, Mitchell, Allen, Okoro",1627747-1627777-1628378-1628386-1630171,CLE,665.0,4,11.0,22.0,20.0,10.0,19.0,5.0,42.0,8.0,10.0,5.0,7.0,5.0,1.0,1.0,,2.0,,,1.0,2.0,1.0,1.0,10.0,16.0,1.0,4.0,25.0,24.0,5.0,8.0,1.0,1.0,13.0,12.0,8.0,,2.0,1.0,1.0,6.0,,6.0,,,5.0,,12.0,4.0,2.0,6.0,4.0,10.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,5.0,1.0,3.0,2.0,5.0,4.0,3.0,1.0,2.0,,,,23.0,13.0,10.0,0.6,0.6,,0.25,1.0,0.25,0.625,0.625,0.575,0.7222222222222222,0.5952380952380952,0.7222222222222222,0.2,0.0625,0.2,0.4,1.0,0.6666666666666666,0.8571428571428571,0.4444444444444444,0.75,1.0,1.0,90.94736842105263,15.363636363636363,16.35,14.0,16.1,0.5,0.8,0.8,0.625,0.25,0.05,1.0,1.0,,0.1,,,,0.1,0.5,0.5,,0.7777777777777778,0.7142857142857143,,,0.1111111111111111,1.0,0.7,0.5,0.6291225,0.6875833333333333,0.09523809523809523,0.11764705882352941,0.52,4.23125,24.4,0.45454545454545453,1.0,1.0,1.0,,0.25,0.5896375,2.0,1.0,2.0,1.0,3.0,,2.0,3.0,1.0,,4.0,2.0,1.0,,,,0.3333333333333333,0.25,0.25,,0.8,,0.5,,,,0.8,,,0.2,0.25,1.0,0.5,0.08,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627747-1627777-1628378-1629622-1629636,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Max Strus, Darius Garland","LeVert, Niang, Mitchell, Strus, Garland",1627747-1627777-1628378-1629622-1629636,CLE,18.0,1,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,80.0,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627747-1627777-1628378-1629622-1630596,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Max Strus, Evan Mobley","LeVert, Niang, Mitchell, Strus, Mobley",1627747-1627777-1628378-1629622-1630596,CLE,241.0,2,4.0,8.0,8.0,,,1.0,16.0,2.0,3.0,,,4.0,,,,,,,,,,,4.0,7.0,,,10.0,8.0,,,,,,8.0,,,,,,4.0,,4.0,,,2.0,,8.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,2.0,,1.0,,,,10.0,,,1.0,1.0,,,,,0.5714285714285714,,0.5714285714285714,,0.625,,,,,,0.6666666666666666,0.3333333333333333,0.75,0.3333333333333333,0.5,0.6666666666666666,,95.60165975103735,14.75,15.375,13.75,14.875,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.5714285714285714,,,,,,,,,,,,,,,,,,,0.42857142857142855,,0.5328285714285714,,0.125,0.125,,4.785714285714286,,,2.0,,,,,0.4896,,2.0,2.0,,1.0,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,0.5,0.5,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627747-1627777-1628378-1629636-1630596,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Darius Garland, Evan Mobley","LeVert, Niang, Mitchell, Garland, Mobley",1627747-1627777-1628378-1629636-1630596,CLE,305.0,3,5.0,11.0,12.0,4.0,3.0,1.0,23.0,2.0,4.0,,,1.0,,,,2.0,,2.0,1.0,3.0,,1.0,2.0,5.0,1.0,5.0,8.0,9.0,,,,3.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,5.0,1.0,3.0,6.0,1.0,7.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,6.0,1.0,4.0,0.5,1.0,1.0,0.2,,0.2,0.4,,0.35,,0.35,,0.5,0.2,,1.0,0.75,0.3333333333333333,0.8571428571428571,0.14285714285714285,,0.6666666666666666,1.0,108.59016393442623,13.727272727272727,12.833333333333334,13.727272727272727,12.833333333333334,0.4,0.5,0.6666666666666666,0.5,0.1,,,,,0.2,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,,,0.6666666666666666,,0.3333333333333333,,0.9,0.3333333333333333,0.57057,0.56525,,,0.125,3.9200000000000004,25.44,0.36363636363636365,-1.0,,,,,0.5483,1.0,,1.0,1.0,1.0,,2.0,,,,3.0,,,,,,1.0,1.0,1.0,0.25,1.0,,0.5,,,,1.0,1.0,,,,,1.0,0.25,1.0,,,1.0,,,1.0,2.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627747-1627777-1628378-1629636-202684,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Darius Garland, Tristan Thompson","LeVert, Niang, Mitchell, Garland, Thompson",1627747-1627777-1628378-1629636-202684,CLE,32.0,1,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.5,,,,,90.0,11.0,21.0,11.0,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.4197,,,,,,22.4,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
1627747-1627777-1628378-1630171-1630596,1610612739,"Caris LeVert, Georges Niang, Donovan Mitchell, Isaac Okoro, Evan Mobley","LeVert, Niang, Mitchell, Okoro, Mobley",1627747-1627777-1628378-1630171-1630596,CLE,243.0,4,4.0,9.0,11.0,2.0,6.0,1.0,20.0,1.0,3.0,,1.0,,,1.0,,1.0,,1.0,,2.0,,,1.0,4.0,,3.0,4.0,11.0,,1.0,,1.0,2.0,,2.0,,2.0,,,,,,,,,,,,,2.0,1.0,3.0,1.0,1.0,2.0,,1.0,,,2.0,,,2.0,3.0,1.0,2.0,,,3.0,1.0,3.0,4.0,2.0,2.0,,,,,,,0.25,,0.14285714285714285,,0.25,0.3333333333333333,0.42857142857142855,,,1.0,,,0.4,0.16666666666666666,,,,118.51851851851852,13.0,11.454545454545455,12.666666666666666,9.727272727272727,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,0.14285714285714285,,,,0.14285714285714285,,,,0.2857142857142857,,,,0.5,,0.5,,,,0.8571428571428571,,0.5491285714285714,0.60975,,,0.5,7.2,25.166666666666668,0.2222222222222222,-7.0,,,,,,1.0,,2.0,,1.0,,,,,1.0,2.0,,,,2.0,,,,,,1.0,0.3333333333333333,,,,1.0,1.0,,,,,,1.0,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2024,2023-24,False
