EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGA,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FoulsDrawn,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls Drawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,FtPoints,PenaltyFG2M,PenaltyFtPoints,LostBallTurnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Steals,BadPassSteals,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangeAssists,LostBallSteals,ShortMidRangePctAssisted,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,LongMidRangeAssists,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,DefFTReboundPct,OffAtRimReboundPct,LongMidRangePctAssisted,Offensive Fouls,Loose Ball Fouls,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceFtPoints,Fg2aBlocked,Travels,FG2APctBlocked,ShortMidRangePctBlocked,Charge Fouls Drawn,AtRimPctBlocked,LongMidRangePctBlocked,SecondChanceArc3FGM,PtsPutbacks,Charge Fouls,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,PenaltyArc3FGM,FTOffRebounds,BlockedArc3,OffFTReboundPct,PenaltyArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,team_id,year,season,team_vs
1626171-1626192-1627736-1631260-201976,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, AJ Green, Patrick Beverley","Portis, Connaughton, Beasley, Green, Beverley",1626171-1626192-1627736-1631260-201976,MIL,90.0,1,2.0,4.0,2.0,3.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,6.0,2.0,2.0,2.0,6.0,6.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.75,1.5,0.75,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,80.0,22.0,15.333333333333334,15.5,15.333333333333334,0.75,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,1.0,1.0,1.0,0.5827125,1.0,24.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
1626171-1626192-1627736-1631260-203081,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, AJ Green, Damian Lillard","Portis, Connaughton, Beasley, Green, Lillard",1626171-1626192-1627736-1631260-203081,MIL,311.0,2,5.0,-3.0,11.0,12.0,2.0,3.0,23.0,1.0,3.0,,1.0,3.0,1.0,6.0,9.0,12.0,,3.0,2.0,,3.0,,1.0,,2.0,2.0,2.0,7.0,4.0,11.0,,1.0,,,0.16666666666666666,,0.16666666666666666,0.34615384615384615,0.25,0.34615384615384615,0.25,0.46153846153846156,1.0,0.4,1.0,0.4444444444444444,0.6666666666666666,,,,106.49517684887459,14.0,13.083333333333334,12.0,13.083333333333334,0.23076923076923078,0.3333333333333333,0.3333333333333333,,0.23076923076923078,0.25,,,0.5384615384615384,0.5243346153846153,0.2222222222222222,26.333333333333332,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,7.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,7.0,3.0,5.0,0.3333333333333333,0.3333333333333333,0.25,0.42857142857142855,1.0,0.25,0.25,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.502875,0.5121583333333334,0.3333333333333333,11.771428571428572,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
1626171-1626192-1627736-201568-201976,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Danilo Gallinari, Patrick Beverley","Portis, Connaughton, Beasley, Gallinari, Beverley",1626171-1626192-1627736-201568-201976,MIL,150.0,1,2.0,-7.0,5.0,6.0,4.0,,11.0,,1.0,,,,,1.0,4.0,11.0,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,,,,,0.3333333333333333,,0.5,,0.3333333333333333,0.5,,0.5,,,,,,105.6,16.2,11.5,16.2,9.666666666666666,0.3333333333333333,,,,,,,,0.3333333333333333,0.5014500000000001,,22.8,5.0,,,,,1.0,2.0,,,,1.0,,,1.0,2.0,,,2.0,,1.0,4.0,,2.0,,,,,,1.0,,,,1.0,1.0,1.0,3.0,,4.0,4.0,5.0,,,,0.5,,0.3333333333333333,0.5,1.0,,,,,1.0,,,,,,,,0.6666666666666666,0.5,0.5,,,,,,,,0.3333333333333333,,,,0.5014500000000001,1.0,7.2,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
1626171-1626192-1627736-201568-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Danilo Gallinari, Khris Middleton","Portis, Connaughton, Beasley, Gallinari, Middleton",1626171-1626192-1627736-201568-203114,MIL,31.0,1,1.0,4.0,2.0,2.0,,,4.0,,,,,,,,4.0,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,185.8064516129032,3.5,12.0,3.5,12.0,,,,,,,,,1.0,0.8915,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,4.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.5,,2.0,,,,2.0,,1.0,,,,,,0.5,0.5,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
1626171-1626192-1627736-201572-203081,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Brook Lopez, Damian Lillard","Portis, Connaughton, Beasley, Lopez, Lillard",1626171-1626192-1627736-201572-203081,MIL,16.0,1,,-2.0,1.0,1.0,1.0,,2.0,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,180.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,2.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
1626171-1626192-1627736-201572-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Brook Lopez, Khris Middleton","Portis, Connaughton, Beasley, Lopez, Middleton",1626171-1626192-1627736-201572-203114,MIL,170.0,1,3.0,1.0,5.0,4.0,1.0,2.0,9.0,,,,,2.0,,2.0,6.0,5.0,,,,,2.0,,1.0,,2.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,0.5,,0.5,,0.3333333333333333,0.5,1.0,0.5,0.6666666666666666,1.0,,,,76.23529411764706,11.8,27.75,11.2,24.25,,,,,0.3333333333333333,,,,0.5,0.4457583333333333,,29.95,,1.0,1.0,,,2.0,3.0,,,,,,,3.0,4.0,,1.0,,,,,2.0,4.0,,1.0,,,,,,,,,,,1.0,,6.0,,,0.3333333333333333,0.3333333333333333,,0.75,,,,,,,,,1.0,,,,0.16666666666666666,1.0,1.0,,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,6.975,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
1626171-1626192-1627736-201976-203081,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Patrick Beverley, Damian Lillard","Portis, Connaughton, Beasley, Beverley, Lillard",1626171-1626192-1627736-201976-203081,MIL,126.0,2,2.0,5.0,3.0,3.0,1.0,,6.0,,,,,1.0,1.0,1.0,7.0,2.0,,,,3.0,1.0,1.0,2.0,,5.0,,1.0,2.0,,2.0,,,,1.0,1.0,,1.0,1.1666666666666667,,1.1666666666666667,,0.3333333333333333,1.0,,1.0,,,,,,68.57142857142857,13.666666666666666,28.333333333333332,13.666666666666666,28.333333333333332,,,,,0.3333333333333333,,,,0.6666666666666666,0.49173333333333336,,27.1,1.0,1.0,1.0,,,1.0,1.0,,,,,,,2.0,2.0,,,1.0,,,2.0,2.0,2.0,,1.0,1.0,,1.0,,,,,,,,2.0,,7.0,2.0,1.0,0.5,0.5,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,0.2926,0.2857142857142857,5.35,0.3333333333333333,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
1626171-1626192-1627736-201976-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Patrick Beverley, Khris Middleton","Portis, Connaughton, Beasley, Beverley, Middleton",1626171-1626192-1627736-201976-203114,MIL,396.0,2,7.0,-9.0,11.0,11.0,2.0,3.0,22.0,1.0,1.0,,,2.0,1.0,3.0,9.0,18.0,,,,3.0,2.0,1.0,3.0,1.0,7.0,1.0,,3.0,3.0,6.0,,3.0,,1.0,0.3333333333333333,,0.3333333333333333,0.5,,0.5,,0.3333333333333333,,0.5,0.6666666666666666,0.6,0.5,,,,80.0,19.454545454545453,16.545454545454547,17.363636363636363,16.545454545454547,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,,,,0.5555555555555556,0.5393111111111111,,24.933333333333334,,1.0,2.0,,,1.0,1.0,1.0,3.0,,,,,3.0,6.0,,1.0,,,,,4.0,2.0,,2.0,1.0,2.0,2.0,1.0,,4.0,1.0,5.0,,3.0,3.0,1.0,9.0,,,0.6666666666666666,0.6666666666666666,,0.5,,,,0.2,0.6666666666666666,1.0,,0.5,,,1.0,,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,0.3947,,,9.766666666666667,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
1626171-1626192-1627736-203081-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Damian Lillard, Khris Middleton","Portis, Connaughton, Beasley, Lillard, Middleton",1626171-1626192-1627736-203081-203114,MIL,304.0,1,5.0,7.0,9.0,9.0,,1.0,18.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,13.0,6.0,1.0,1.0,3.0,6.0,2.0,2.0,3.0,2.0,8.0,,3.0,5.0,1.0,6.0,,2.0,,1.0,0.5,1.0,0.5,0.75,1.5,0.7222222222222222,1.5,0.5,1.0,,0.8,0.3333333333333333,,,1.0,,85.26315789473685,14.88888888888889,18.88888888888889,14.555555555555555,18.555555555555557,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.875,0.566825,0.23076923076923078,24.875,,2.0,3.0,,,1.0,1.0,,,,,,,3.0,4.0,,,,,,,2.0,4.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,2.0,3.0,,10.0,,,0.3333333333333333,0.3333333333333333,,0.75,,,,,1.0,0.5,,,1.0,,0.5,,0.375,0.6666666666666666,0.6666666666666666,0.5,0.125,1.0,1.0,,,,,,,,,,,0.6288,,,3.5,,1.0,,,,2.0,,1.0,1.0,1.0,1.0,,,0.1111111111111111,0.2,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
1626171-1626192-1627736-203109-203114,1610612749,"Bobby Portis, Pat Connaughton, Malik Beasley, Jae Crowder, Khris Middleton","Portis, Connaughton, Beasley, Crowder, Middleton",1626171-1626192-1627736-203109-203114,MIL,107.0,1,2.0,2.0,4.0,4.0,4.0,,8.0,,,,,2.0,,2.0,2.0,,,,,,2.0,,1.0,,2.0,,,2.0,,2.0,,1.0,,,,,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,,,0.6666666666666666,,,,,,107.66355140186916,13.0,13.75,13.0,13.75,,,,,0.6666666666666666,,,,0.6666666666666666,0.48033333333333333,,29.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,2.0,,,1.0,,,2.0,1.0,1.0,,,1.0,,,,,2.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,7.4,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.3333333333333333,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2024,2023-24,True
