EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyPointsPct,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,ShootingFouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,OffLongMidRangeReboundPct,SecondChanceFtPoints,LostBallTurnovers,ShortMidRangePctBlocked,PtsUnassisted3s,HeaveAttempts,SecondChanceTurnovers,Loose Ball Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,PenaltyCorner3Accuracy,BlockedLongMidRange,DefensiveGoaltends,FTOffRebounds,Charge Fouls,OffFTReboundPct,Travels,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedCorner3,Arc3PctBlocked,Transition Take Fouls Drawn,HeaveMakes,Transition Take Fouls,OffensiveGoaltends,3SecondViolations,Clear Path Fouls,team_id,year,season,team_vs
1628365-1628371-1628976-1629643-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Chuma Okeke, Paolo Banchero","Fultz, Isaac, Carter Jr., Okeke, Banchero",1628365-1628371-1628976-1629643-1631094,ORL,24.0,1,-1.0,1.0,2.0,1.0,2.0,3,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,180.0,7.0,8.5,7.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1628976-1630175-1630532,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Cole Anthony, Franz Wagner","Fultz, Isaac, Carter Jr., Anthony, Wagner",1628365-1628371-1628976-1630175-1630532,ORL,254.0,2,4.0,8.0,7.0,,,15,4.0,13.0,9.0,,,2.0,4.0,,8.0,0.65,,85.03937007874016,15.125,19.0,13.25,17.142857142857142,,,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.25,0.5,0.25,0.75,1.0,0.5625,0.8333333333333334,0.8333333333333334,0.5,1.0,0.4,1.0,1.0,0.6666666666666666,0.5,0.75,1.0,0.6666666666666666,0.4,1.0,0.5,1.0,0.375,1.0,1.0,0.6666666666666666,0.125,0.125,1.0,1.0,1.0,0.375,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.875,0.60329375,0.56295,0.2,0.3333333333333333,0.38461538461538464,3.825,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1628976-1630175-1641710,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Cole Anthony, Anthony Black","Fultz, Isaac, Carter Jr., Anthony, Black",1628365-1628371-1628976-1630175-1641710,ORL,41.0,1,,1.0,1.0,1.0,1.0,2,,,,,,,,,,,,70.2439024390244,14.0,27.0,14.0,27.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1628976-1630175-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Cole Anthony, Joe Ingles","Fultz, Isaac, Carter Jr., Anthony, Ingles",1628365-1628371-1628976-1630175-204060,ORL,2088.0,5,29.0,70.0,69.0,15.0,13.0,139,12.0,92.0,63.0,7.0,18.0,17.0,13.0,1.0,78.0,0.647887323943662,0.6923076923076923,95.86206896551725,14.314285714285715,15.73913043478261,14.028571428571428,15.246376811594203,0.1956521739130435,0.21428571428571427,35.0,9.0,24.0,30.0,6.0,7.0,12.0,1.0,4.0,,,15.0,1.0,31.0,46.0,6.0,19.0,7.0,8.0,,1.0,14.0,34.0,28.0,18.0,15.0,17.0,6.0,23.0,1.0,12.0,52.0,3.0,6.0,10.0,17.0,28.0,9.0,37.0,,4.0,4.0,8.0,15.0,4.0,7.0,5.0,7.0,5.0,0.5483870967741935,0.68,1.0,0.3157894736842105,,0.3157894736842105,0.6739130434782609,0.875,0.6153846153846154,0.7777777777777778,0.7777777777777778,0.2923076923076923,0.5,0.8095238095238095,0.4,0.6666666666666666,0.23076923076923078,0.75,0.32142857142857145,0.7142857142857143,0.2,0.7777777777777778,0.5833333333333334,,0.7142857142857143,0.46153846153846156,0.8,0.8275862068965517,0.5,0.18461538461538463,0.06153846153846154,0.25,0.25,1.0,0.23076923076923078,0.7777777777777778,0.8571428571428571,,,,0.1111111111111111,0.7538461538461538,0.5813146153846154,0.6053833333333333,0.07142857142857142,0.08,0.15217391304347827,4.054347826086956,25.263157894736842,,4.0,2.0,15.0,4.0,5.0,5.0,2.0,4.0,2.0,5.0,1.0,1.0,4.0,7.0,1.0,3.0,12.0,5.0,1.0,5.0,3.0,2.0,1.0,7.0,6.0,1.0,2.0,7.0,2.0,2.0,1.0,1.0,2.0,18.0,3.0,1.0,0.3333333333333333,0.5714285714285714,0.55,0.021739130434782608,0.03333333333333333,1.0,0.16666666666666666,0.3333333333333333,0.8,1.0,1.0,0.4166666666666667,0.4166666666666667,0.6,0.06153846153846154,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.8,0.2,0.1,1.0,0.3333333333333333,0.592085,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1628976-1630243-1630532,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Trevelin Queen, Franz Wagner","Fultz, Isaac, Carter Jr., Queen, Wagner",1628365-1628371-1628976-1630243-1630532,ORL,127.0,1,,3.0,3.0,,,6,,8.0,8.0,,,,,,8.0,1.3333333333333333,,68.03149606299212,18.0,24.333333333333332,18.0,22.0,,,2.0,,1.0,1.0,,,,,,,,2.0,,1.0,1.0,2.0,2.0,,,,,,2.0,,6.0,2.0,1.0,2.0,3.0,,1.0,8.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.3333333333333333,,,0.6666666666666666,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,0.6666666666666666,,,,,,,1.0,0.5234166666666666,,,,,2.7,26.85,,,,,,,,,,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1628976-1630532-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Franz Wagner, Paolo Banchero","Fultz, Isaac, Carter Jr., Wagner, Banchero",1628365-1628371-1628976-1630532-1631094,ORL,75.0,1,2.0,2.0,3.0,2.0,,5,2.0,4.0,2.0,2.0,4.0,1.0,2.0,,2.0,0.6666666666666666,0.6666666666666666,96.0,13.0,16.333333333333332,13.0,16.333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,,,1.0,1.0,,,2.0,,2.0,,,,,,,,,,1.0,,2.0,2.0,1.0,3.0,,,,,,1.0,,,,,,,,,,,0.5,1.0,0.5,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,0.5,1.0,1.0,,,,,,,,1.0,1.0,,,,,0.5,0.4651,0.615,0.3333333333333333,0.3333333333333333,0.5,9.25,,,,,2.0,1.0,1.0,,,1.0,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,4.0,,,,0.5,0.5,,,,,,1.0,1.0,,,,,0.5,,,,,,,0.5,1.0,,,,,0.4651,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1628976-1630591-1631094,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Jalen Suggs, Paolo Banchero","Fultz, Isaac, Carter Jr., Suggs, Banchero",1628365-1628371-1628976-1630591-1631094,ORL,203.0,2,-2.0,8.0,8.0,,1.0,16,1.0,5.0,7.0,,,3.0,4.0,,4.0,0.35714285714285715,,113.49753694581281,12.875,12.5,12.875,12.5,,,3.0,1.0,1.0,1.0,,,2.0,,,,,1.0,,2.0,4.0,,1.0,,,,,1.0,,4.0,,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,0.5,,0.4,,0.5,0.2,0.5,1.0,0.5,1.0,,1.0,0.3333333333333333,1.0,,1.0,1.0,,1.0,0.2,1.0,1.0,,0.4,,,,,0.2,,,,,,,0.4,0.48382,,0.2857142857142857,0.3333333333333333,0.2,8.875,25.2,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,0.5,0.5,,0.2,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1628976-1630591-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Jalen Suggs, Joe Ingles","Fultz, Isaac, Carter Jr., Suggs, Ingles",1628365-1628371-1628976-1630591-204060,ORL,41.0,1,-5.0,1.0,2.0,,,3,,,5.0,,,,,,,,,105.36585365853658,29.0,6.0,29.0,6.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.3654,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1628976-1641710-204060,1610612753,"Markelle Fultz, Jonathan Isaac, Wendell Carter Jr., Anthony Black, Joe Ingles","Fultz, Isaac, Carter Jr., Black, Ingles",1628365-1628371-1628976-1641710-204060,ORL,6.0,1,,,1.0,,1.0,1,,,,,,,,,,,,240.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
1628365-1628371-1629021-1630175-1630532,1610612753,"Markelle Fultz, Jonathan Isaac, Moritz Wagner, Cole Anthony, Franz Wagner","Fultz, Isaac, Wagner, Anthony, Wagner",1628365-1628371-1629021-1630175-1630532,ORL,230.0,4,-1.0,8.0,8.0,1.0,1.0,16,3.0,8.0,9.0,,3.0,3.0,6.0,,8.0,0.5,0.75,100.17391304347825,12.5,16.25,12.5,15.5,0.375,0.125,4.0,,,1.0,,,1.0,,1.0,,,1.0,,1.0,3.0,1.0,2.0,,,,,,,2.0,3.0,1.0,,1.0,1.0,,,3.0,,,2.0,1.0,3.0,,3.0,,1.0,1.0,1.0,3.0,3.0,,,,,,,1.0,0.5,,0.5,0.3333333333333333,,0.5,,,0.4,1.0,1.0,,1.0,,1.0,,,,,1.0,,,0.2,,,,0.2,0.2,,,,0.2,,,,,,,0.6,0.50672,,0.375,0.5,,7.533333333333334,24.25,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,,3.0,1.0,,1.0,,1.5,0.3333333333333333,,,,,1.0,,,,,,0.2,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.54915,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2024,2023-24,False
