EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Corner3Frequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,FG2M,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,SelfOReb,DeadBallTurnovers,FoulsDrawn,Loose Ball Fouls Drawn,FTA,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PtsUnassisted2s,Fg2aBlocked,BadPassOutOfBoundsTurnovers,TwoPtShootingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,OffCorner3ReboundPct,DefAtRimReboundPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,ShortMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFtPoints,PtsPutbacks,ShortMidRangeAssists,Steals,BadPassSteals,LostBallSteals,Charge Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,SecondChanceFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyFG3M,StepOutOfBoundsTurnovers,Offensive Fouls,PenaltyFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,FTOffRebounds,FTDefRebounds,LostBallTurnovers,BlockedAtRim,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,HeaveAttempts,Blocked3s,BlockedArc3,SecondChanceFtPoints,PenaltyCorner3FGA,Travels,Loose Ball Fouls,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,PenaltyCorner3Frequency,DefensiveGoaltends,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Transition Take Fouls Drawn,LongMidRangePctBlocked,Transition Take Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,BlockedCorner3,Corner3PctBlocked,Clear Path Fouls,3SecondViolations,OffensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
1627759-1628369-1628401-1628436-1629052,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Oshae Brissett","Brown, Tatum, White, Kornet, Brissett",1627759-1628369-1628401-1628436-1629052,BOS,184.0,2,3.0,-10.0,6.0,8.0,3.0,4.0,1.0,14.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,10.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,1.0,1.0,1.0,0.25,1.0,0.2,0.3333333333333333,1.0,1.0,109.56521739130434,1.0,16.666666666666668,10.5,16.166666666666668,10.5,0.2,0.2,0.6,0.5,0.5,1.0,0.54203,0.510575,2.9,25.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
1627759-1628369-1628401-1628436-1630202,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Payton Pritchard","Brown, Tatum, White, Kornet, Pritchard",1627759-1628369-1628401-1628436-1630202,BOS,341.0,3,6.0,2.0,11.0,9.0,4.0,,2.0,20.0,2.0,,1.0,4.0,1.0,6.0,5.0,14.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,5.0,,,1.0,,1.0,,,,,,,4.0,,0.45454545454545453,,0.3333333333333333,1.0,1.0,0.5,0.6,1.0,,,84.4574780058651,,16.90909090909091,17.22222222222222,15.818181818181818,17.22222222222222,0.18181818181818182,0.09090909090909091,0.36363636363636365,,0.5,0.6363636363636364,0.48577272727272724,0.336325,8.766666666666667,26.660000000000004,0.36363636363636365,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,16.0,1.0,3.0,2.0,1.0,2.0,4.0,6.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,14.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.6,0.6,0.3333333333333333,0.3333333333333333,1.0,0.5909090909090909,0.3333333333333333,0.5,0.6153846153846154,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,0.4,0.5,0.5,1.0,0.2727272727272727,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,0.5,0.5797666666666667,0.08333333333333333,0.16666666666666666,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
1627759-1628369-1628401-1628436-1630573,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Sam Hauser","Brown, Tatum, White, Kornet, Hauser",1627759-1628369-1628401-1628436-1630573,BOS,268.0,2,4.0,3.0,9.0,9.0,,,1.0,18.0,5.0,,1.0,,,7.0,1.0,6.0,,,,1.0,3.0,3.0,6.0,1.0,7.0,,,1.0,,,1.0,1.0,,,,,,,0.125,,0.75,1.0,1.0,0.8571428571428571,0.25,,0.5,1.0,96.71641791044776,,13.777777777777779,16.0,13.666666666666666,15.88888888888889,0.625,0.125,,,,0.75,0.60093125,,3.5714285714285716,22.9,,4.0,1.0,1.0,2.0,,,,,4.0,,1.0,9.0,1.0,1.0,2.0,,,6.0,,,,3.0,,3.0,,,3.0,,6.0,,,1.0,1.0,,2.0,,,7.0,,,0.75,0.75,,,,0.5714285714285714,1.0,,0.5,1.0,,0.5,1.0,,,,1.0,,,0.8,0.8,0.75,0.25,,,,,,,,,,,1.0,1.0,1.0,,,0.1111111111111111,,0.2222222222222222,,2.0,1.0,1.0,1.0,0.14285714285714285,0.5,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
1627759-1628369-1628401-1628436-1630625,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Dalano Banton","Brown, Tatum, White, Kornet, Banton",1627759-1628369-1628401-1628436-1630625,BOS,54.0,1,1.0,-1.0,1.0,1.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,53.33333333333333,,22.0,32.0,22.0,32.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
1627759-1628369-1628401-1628436-201143,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Al Horford","Brown, Tatum, White, Kornet, Horford",1627759-1628369-1628401-1628436-201143,BOS,654.0,6,11.0,-9.0,22.0,21.0,7.0,1.0,5.0,43.0,5.0,3.0,2.0,6.0,1.0,14.0,8.0,35.0,6.0,1.0,6.0,2.0,,4.0,4.0,5.0,9.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,,,,,7.0,,0.36363636363636365,0.6666666666666666,0.8,,0.4,0.5714285714285714,0.38461538461538464,0.5,1.0,,94.6788990825688,,15.863636363636363,14.523809523809524,14.454545454545455,14.523809523809524,0.22727272727272727,0.09090909090909091,0.2727272727272727,0.42857142857142855,0.14285714285714285,0.5909090909090909,0.5205454545454545,0.5137857142857143,6.871428571428572,25.8,0.3181818181818182,2.0,1.0,1.0,7.0,1.0,2.0,1.0,2.0,6.0,3.0,5.0,26.0,2.0,2.0,7.0,2.0,6.0,2.0,6.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,,,8.0,3.0,1.0,1.0,4.0,,6.0,,1.0,19.0,6.0,1.0,0.16666666666666666,0.2,0.6666666666666666,0.375,0.375,0.42857142857142855,1.0,0.3333333333333333,0.4772727272727273,0.875,0.2857142857142857,0.5416666666666666,0.875,0.375,0.375,0.25,1.0,,0.08333333333333333,0.4,0.5,,0.3181818181818182,0.09090909090909091,0.5,0.5,,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,1.0,,0.3333333333333333,0.58405,0.08695652173913043,,0.2692307692307692,0.23076923076923078,10.0,1.0,,2.0,0.07142857142857142,,,0.6666666666666666,0.13333333333333333,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.25,1.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
1627759-1628369-1628401-1628436-201950,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Jrue Holiday","Brown, Tatum, White, Kornet, Holiday",1627759-1628369-1628401-1628436-201950,BOS,965.0,7,16.0,-1.0,36.0,35.0,10.0,9.0,6.0,71.0,11.0,3.0,4.0,13.0,5.0,20.0,17.0,45.0,5.0,5.0,13.0,5.0,6.0,4.0,10.0,8.0,18.0,3.0,3.0,6.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,,10.0,,0.4594594594594595,0.5,0.4,1.0,0.45454545454545453,0.625,0.42105263157894735,0.4444444444444444,0.2,1.0,105.94818652849742,,12.722222222222221,14.485714285714286,11.777777777777779,13.714285714285714,0.2972972972972973,0.10810810810810811,0.35135135135135137,0.3,0.5,0.7567567567567568,0.5687540540540541,0.582245,5.525,25.211764705882356,0.2777777777777778,9.0,1.0,3.0,7.0,1.0,2.0,2.0,4.0,12.0,6.0,2.0,44.0,3.0,6.0,9.0,5.0,15.0,14.0,12.0,6.0,4.0,7.0,4.0,11.0,2.0,2.0,5.0,1.0,26.0,3.0,2.0,3.0,2.0,,2.0,,,35.0,15.0,,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.35294117647058826,0.35294117647058826,0.6,0.5,1.0,0.5675675675675675,0.6428571428571429,0.65,0.5789473684210527,0.6428571428571429,0.6818181818181818,0.375,0.4,0.5,1.0,0.1111111111111111,0.8181818181818182,0.8181818181818182,0.5555555555555556,0.1891891891891892,0.05405405405405406,0.5,0.5,1.0,0.5,0.5,1.0,0.3076923076923077,0.3076923076923077,0.5,0.42857142857142855,0.3333333333333333,,0.3076923076923077,0.48333333333333334,0.02631578947368421,,0.20454545454545456,0.3409090909090909,10.0,1.0,,1.0,0.05,0.14285714285714285,0.5,0.6666666666666666,0.047619047619047616,3.0,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,2.0,1.0,,,1.0,,0.5,0.2857142857142857,0.3333333333333333,0.5,,,,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
1627759-1628369-1628401-1628436-204001,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Kristaps Porzingis","Brown, Tatum, White, Kornet, Porzingis",1627759-1628369-1628401-1628436-204001,BOS,405.0,3,7.0,6.0,13.0,13.0,4.0,13.0,3.0,26.0,3.0,3.0,2.0,3.0,1.0,6.0,5.0,15.0,3.0,1.0,3.0,2.0,3.0,3.0,8.0,3.0,11.0,1.0,,3.0,,1.0,3.0,5.0,2.0,1.0,2.0,2.0,4.0,,0.45454545454545453,0.3333333333333333,0.75,1.0,0.6666666666666666,0.8571428571428571,0.5,1.0,0.5,1.0,92.44444444444444,1.0,17.46153846153846,13.692307692307692,16.846153846153847,13.692307692307692,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.75,0.25,0.7272727272727273,0.5240818181818182,0.6017875,7.55,24.72,0.3076923076923077,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,5.0,2.0,5.0,21.0,2.0,3.0,4.0,2.0,6.0,4.0,6.0,,2.0,2.0,2.0,4.0,2.0,,1.0,1.0,10.0,,,2.0,4.0,,7.0,,1.0,17.0,6.0,1.0,0.4,0.6666666666666666,1.0,0.4,0.4,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.5,0.7142857142857143,0.6666666666666666,0.6,,,,1.0,,0.6666666666666666,0.6666666666666666,0.5,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,,0.6666666666666666,0.8058,0.15384615384615385,,0.19047619047619047,0.2857142857142857,6.0,,,2.0,,,0.5,1.0,0.25,2.0,2.0,,,,,,2.0,4.0,,,,,,,1.0,,,,1.0,1.0,,,,,,0.6666666666666666,,,,,1.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
1627759-1628369-1628401-1629052-1630202,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Oshae Brissett, Payton Pritchard","Brown, Tatum, White, Brissett, Pritchard",1627759-1628369-1628401-1629052-1630202,BOS,27.0,1,,1.0,3.0,4.0,3.0,4.0,,7.0,2.0,2.0,,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,373.3333333333333,,3.3333333333333335,4.25,3.3333333333333335,3.75,1.0,,,1.0,,1.0,0.887,0.887,1.35,,1.0,2.0,,,,,,,,2.0,,1.0,5.0,,,,2.0,5.0,2.0,,,,1.0,,1.0,,,1.0,,2.0,,,,1.0,,2.0,,1.0,5.0,4.0,,0.5,0.5,,,,1.0,,1.0,1.0,,1.0,0.8333333333333334,,0.8333333333333334,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
1627759-1628369-1628401-1629052-201143,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Oshae Brissett, Al Horford","Brown, Tatum, White, Brissett, Horford",1627759-1628369-1628401-1629052-201143,BOS,267.0,2,4.0,,7.0,8.0,,2.0,1.0,15.0,1.0,,1.0,2.0,,3.0,3.0,6.0,,,2.0,,2.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,,,2.0,2.0,1.0,,1.0,,,,0.5,1.0,0.5,1.0,,0.6666666666666666,0.25,,,1.0,80.89887640449437,,15.714285714285714,19.625,14.714285714285714,16.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,,,0.6666666666666666,0.49915,,10.0,25.7,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,6.0,,1.0,,,,,3.0,,1.0,,1.0,1.0,1.0,,,,3.0,1.0,,,1.0,,2.0,,,6.0,,,,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.4166666666666667,,,0.42857142857142855,,,0.5,,1.0,1.0,,,,,0.16666666666666666,0.16666666666666666,,,,,,,0.5,0.5,1.0,1.0,,,0.5,0.6013,0.14285714285714285,,,,2.0,1.0,,1.0,0.3333333333333333,,,,0.25,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
1627759-1628369-1628401-1629052-204001,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Oshae Brissett, Kristaps Porzingis","Brown, Tatum, White, Brissett, Porzingis",1627759-1628369-1628401-1629052-204001,BOS,316.0,1,5.0,6.0,10.0,11.0,2.0,,1.0,21.0,3.0,,,5.0,3.0,5.0,5.0,9.0,1.0,3.0,4.0,1.0,2.0,2.0,5.0,1.0,6.0,,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,,0.5,,0.6666666666666666,1.0,1.0,0.8,0.25,1.0,,1.0,95.69620253164557,,11.4,18.363636363636363,11.2,18.181818181818183,0.3,,0.5,,0.75,0.8,0.6135666666666667,0.49931666666666663,4.88,34.6,0.2,1.0,,,2.0,,,,3.0,2.0,3.0,2.0,15.0,,,3.0,,3.0,,9.0,,3.0,,3.0,3.0,3.0,,,,9.0,,,1.0,1.0,,2.0,,,12.0,3.0,,,,1.0,0.6,0.75,0.4,,,0.65,1.5,0.375,0.6818181818181818,1.5,0.375,,,1.0,1.0,,0.3333333333333333,0.3333333333333333,,0.2,,,,,,,,0.6,0.6,1.0,,,,0.75,,0.09090909090909091,,0.2,0.2,4.0,,1.0,1.0,,,,,0.16666666666666666,,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,0.5,0.5,,,,,1.0,,1.0,1.0,1.0,,,0.3333333333333333,1.0,1.0,0.3333333333333333,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2024,2023-24,False
