EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGA,FG3A,NonHeaveArc3FGA,OffThreePtRebounds,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,FG3APct,OffThreePtReboundPct,OffArc3ReboundPct,Arc3Frequency,Avg3ptShotDistance,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGM,FTDefRebounds,Blocked2s,BlockedShortMidRange,Blocks,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Corner3FGA,PenaltyCorner3FGA,DefShortMidRangeReboundPct,Corner3Frequency,PenaltyCorner3Frequency,DefThreePtRebounds,StepOutOfBoundsTurnovers,ShootingFouls,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,AtRimAssists,AtRimPctAssisted,Corner3FGM,Steals,BadPassSteals,Corner3Accuracy,UnblockedCorner3Accuracy,SelfOReb,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SelfORebPct,Corner3Assists,Travels,Loose Ball Fouls,Defensive 3 Seconds Violations,Corner3PctAssisted,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,Charge Fouls,PenaltyArc3FGM,ShortMidRangeAssists,Loose Ball Fouls Drawn,ShortMidRangePctAssisted,PenaltyArc3Accuracy,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3FGM,SecondChanceFG3M,LostBallSteals,Blocked3s,BlockedArc3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,Clear Path Fouls,SecondChanceCorner3Frequency,HeaveAttempts,SecondChanceAtRimPctAssisted,Fg3aBlocked,BlockingFouls,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,BlockingFoulsDrawn,FTOffRebounds,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,OffFTReboundPct,team_id,year,season,team_vs
101107-1626163-1626203-1628370-203487,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Malik Monk, Michael Carter-Williams","Williams, Kaminsky, Graham, Monk, Carter-Williams",101107-1626163-1626203-1628370-203487,CHA,90.0,1,2.0,1.0,4.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,0.5,0.5,0.5,0.5,0.75,0.75,0.5,1.0,1.0,1.0,112.0,12.25,13.666666666666666,12.25,13.666666666666666,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5324,0.5324,0.5,0.5,1.0,4.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
101107-1626163-1626203-1628407-202689,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Dwayne Bacon, Kemba Walker","Williams, Kaminsky, Graham, Bacon, Walker",101107-1626163-1626203-1628407-202689,CHA,41.0,1,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,2.0,1.0,2.0,,2.0,2.0,,,1.0,,,,,,,,,,,,2.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,105.36585365853658,25.0,8.0,25.0,7.0,0.5,1.0,1.0,,0.5,1.0,0.5,0.48885,0.48885,,,1.0,9.95,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6679,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
101107-1626163-1626203-1628407-203487,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Dwayne Bacon, Michael Carter-Williams","Williams, Kaminsky, Graham, Bacon, Carter-Williams",101107-1626163-1626203-1628407-203487,CHA,69.0,1,1.0,,3.0,2.0,,5.0,,1.0,,,,,1.0,2.0,2.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,2.0,2.0,,1.0,2.0,,,,,,,0.3333333333333333,,,,,,104.34782608695653,16.0,10.5,15.666666666666666,10.5,0.5,,,,,,1.0,0.575375,,0.3333333333333333,0.5,,1.4,,,1.0,,,,,,,,,1.0,1.0,,,,,,0.5,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
101107-1626163-1626203-201587-202689,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Nicolas Batum, Kemba Walker","Williams, Kaminsky, Graham, Batum, Walker",101107-1626163-1626203-201587-202689,CHA,99.0,1,2.0,-2.0,2.0,4.0,1.0,6.0,,,,,,,,,3.0,5.0,,,,,,,1.0,1.0,,,,,,,,,,,3.0,,1.0,,,0.75,,0.75,,,,,,87.27272727272728,21.5,14.0,21.5,14.0,,,,,,,1.0,0.512625,0.4434,,,,,0.5,4.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,2.0,,,,,1.0,,,1.0,24.95,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
101107-1626163-1626203-202689-203077,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Kemba Walker, Michael Kidd-Gilchrist","Williams, Kaminsky, Graham, Walker, Kidd-Gilchrist",101107-1626163-1626203-202689-203077,CHA,57.0,1,1.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,2.0,2.0,,,,2.0,2.0,,1.0,1.0,1.0,,,,,,,1.0,2.0,,1.0,2.0,2.0,2.0,,,,,0.5,0.5,,1.0,1.0,,101.05263157894737,6.5,22.0,6.5,22.0,,,,,,,1.0,0.8118,0.8118,0.5,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,23.6,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
101107-1626163-1626203-202689-203087,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Kemba Walker, Jeremy Lamb","Williams, Kaminsky, Graham, Walker, Lamb",101107-1626163-1626203-202689-203087,CHA,148.0,3,2.0,-2.0,5.0,4.0,,9.0,,,,,,,,2.0,2.0,4.0,,,,,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,,1.0,2.0,,1.0,2.0,,,,,,,0.3333333333333333,,0.3333333333333333,1.0,1.0,,87.56756756756756,14.8,18.5,14.8,18.5,,,,,,,1.0,0.51555,,0.3333333333333333,1.0,,,,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,0.5,,,,,,,2.0,2.0,2.0,1.0,1.0,,,1.0,0.5,0.5,1.0,26.3,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
101107-1626163-1626203-203087-203487,1610612766,"Marvin Williams, Frank Kaminsky, Treveon Graham, Jeremy Lamb, Michael Carter-Williams","Williams, Kaminsky, Graham, Lamb, Carter-Williams",101107-1626163-1626203-203087-203487,CHA,823.0,4,14.0,-8.0,22.0,23.0,,45.0,1.0,3.0,,,1.0,5.0,8.0,3.0,22.0,30.0,,,,,6.0,4.0,6.0,9.0,2.0,1.0,,4.0,6.0,,8.0,5.0,,2.0,21.0,,,0.625,,0.5588235294117647,,0.5789473684210527,,0.3333333333333333,0.5,0.5,0.3333333333333333,78.7363304981774,16.545454545454547,19.956521739130434,15.136363636363637,18.52173913043478,0.17647058823529413,0.3333333333333333,0.5,0.058823529411764705,,,0.7058823529411765,0.49493529411764703,,0.10526315789473684,0.2,,9.975,,3.0,4.0,,,4.0,,1.0,1.0,,1.0,3.0,8.0,,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,,0.23529411764705882,,,0.3913,0.045454545454545456,7.0,9.0,7.0,2.0,1.0,,,0.5294117647058824,0.3333333333333333,0.25,0.4117647058823529,25.022222222222222,3.0,,3.0,,3.0,3.0,,,,,0.3333333333333333,0.3333333333333333,,0.42857142857142855,0.42857142857142855,,0.42857142857142855,2.0,,,0.11764705882352941,,2.0,,4.0,0.5,,1.0,3.0,1.0,1.0,1.0,4.0,6.0,1.0,2.0,2.0,4.0,2.0,2.0,10.0,2.0,2.0,1.0,1.0,0.4,0.4,0.6666666666666666,0.125,0.3333333333333333,0.5,0.5,0.75,0.5,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
101107-1626163-1628370-1628407-202689,1610612766,"Marvin Williams, Frank Kaminsky, Malik Monk, Dwayne Bacon, Kemba Walker","Williams, Kaminsky, Monk, Bacon, Walker",101107-1626163-1628370-1628407-202689,CHA,172.0,2,3.0,-7.0,6.0,6.0,,12.0,2.0,2.0,,,,2.0,3.0,,4.0,11.0,,,,,2.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,,,,4.0,,,0.6666666666666666,,0.4,,0.4,,1.0,1.0,1.0,,100.46511627906976,14.333333333333334,14.333333333333334,14.0,14.333333333333334,0.4,1.0,1.0,,,,0.8,0.53626,,,,,7.966666666666666,,3.0,2.0,,,1.0,,,,,1.0,1.0,1.0,,,,,1.0,0.3333333333333333,1.0,0.2,,,,,1.0,2.0,1.0,,1.0,,,0.4,,,0.2,24.05,,,,,,,,,,,,,,,,,,1.0,,1.0,0.2,,,,,,,,,,,,2.0,,,1.0,,1.0,,,2.0,,,1.0,,0.5,0.5,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
101107-1626163-1628370-1628407-203087,1610612766,"Marvin Williams, Frank Kaminsky, Malik Monk, Dwayne Bacon, Jeremy Lamb","Williams, Kaminsky, Monk, Bacon, Lamb",101107-1626163-1628370-1628407-203087,CHA,306.0,1,5.0,3.0,10.0,9.0,,19.0,5.0,7.0,,,1.0,5.0,8.0,2.0,15.0,12.0,,,,,6.0,,1.0,1.0,,,,,,,1.0,2.0,,1.0,15.0,,,0.625,,0.7222222222222222,,0.75,,,,0.5,,89.41176470588236,16.0,16.22222222222222,16.0,16.22222222222222,0.7777777777777778,0.7142857142857143,0.8333333333333334,0.1111111111111111,,,0.8888888888888888,0.5619555555555555,,0.1,0.1111111111111111,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.1111111111111111,,,,22.8,,,1.0,,3.0,,,,,,1.0,1.0,,,,,,1.0,,,0.1111111111111111,,1.0,,,0.5,,,,,,,4.0,,1.0,2.0,,2.0,,,4.0,,,,,0.4,0.4,,0.125,0.14285714285714285,,,,0.5,,,,,,,,2.0,0.4,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
101107-1626163-1628370-1628407-203469,1610612766,"Marvin Williams, Frank Kaminsky, Malik Monk, Dwayne Bacon, Cody Zeller","Williams, Kaminsky, Monk, Bacon, Zeller",101107-1626163-1628370-1628407-203469,CHA,73.0,1,1.0,-2.0,3.0,2.0,,5.0,1.0,1.0,,,3.0,1.0,4.0,1.0,3.0,5.0,,,,,2.0,,,2.0,,,,,,,1.0,2.0,,1.0,1.0,,,0.25,,0.25,,0.3,,,,,,98.63013698630138,14.333333333333334,15.0,11.0,15.0,0.25,1.0,1.0,0.75,,,0.25,0.4812,,0.2,0.2,,7.225,,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,,,0.5,1.0,0.5202,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2018,2017-18,True
