EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,FG2M,FG2A,PtsUnassisted2s,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Charge Fouls,Offensive Fouls Drawn,Fg2Pct,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Avg2ptShotDistance,ShortMidRangeFGA,Corner3FGA,FtPoints,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,SelfOReb,Steals,LostBallSteals,FTA,TwoPtShootingFoulsDrawn,SecondChanceTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,Corner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LostBallTurnovers,Offensive Fouls,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,PtsPutbacks,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,BadPassSteals,2pt And 1 Free Throw Trips,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,Travels,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,Corner3Assists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyDefPoss,PenaltyCorner3FGA,FTDefRebounds,DefFTReboundPct,PenaltyCorner3Frequency,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,ShortMidRangePctAssisted,PenaltyCorner3FGM,PenaltyFtPoints,PenaltyCorner3Accuracy,ShootingFouls,Loose Ball Fouls,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,BlockedShortMidRange,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,SecondChanceCorner3FGA,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceCorner3Frequency,DefensiveGoaltends,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg2aBlocked,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,Fg3aBlocked,Charge Fouls Drawn,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,LongMidRangeAssists,OffLongMidRangeReboundPct,LongMidRangePctAssisted,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,Technical Free Throw Trips,team_id,year,season,team_vs
1627884-1627936-1629632-201942-202684,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, DeMar DeRozan, Tristan Thompson","Jones Jr., Caruso, White, DeRozan, Thompson",1627884-1627936-1629632-201942-202684,CHI,66.0,1,1.0,4.0,2,2.0,4,2.0,2.0,2.0,2.0,6.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,87.27272727272727,1.0,15.5,17.5,15.5,17.5,1.0,1.0,1.0,1.0,1.0,1.0,0.533025,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
1627884-1627936-1629632-201942-202696,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, DeMar DeRozan, Nikola Vucevic","Jones Jr., Caruso, White, DeRozan, Vucevic",1627884-1627936-1629632-201942-202696,CHI,237.0,1,4.0,-2.0,8,8.0,16,,1.0,,1.0,2.0,4.0,,1.0,,,,,,1.0,4.0,5.0,1.0,,,,,2.0,,,,0.2,0.2,0.2,0.25,0.4444444444444444,,97.21518987341771,,14.375,15.25,12.875,13.25,0.2,,,,0.4,,0.49253,29.7,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.25,0.5,0.6,1.0,0.25,1.0,1.0,0.5,1.0,0.2,1.0,1.0,0.6,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
1627884-1627936-1629632-202684-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Tristan Thompson, Zach LaVine","Jones Jr., Caruso, White, Thompson, LaVine",1627884-1627936-1629632-202684-203897,CHI,82.0,1,1.0,1.0,4,3.0,7,,1.0,,2.0,1.0,,,1.0,,,,,,1.0,2.0,3.0,1.0,,,,,,,,,,0.125,0.6666666666666666,1.0,1.0,,122.92682926829268,,9.75,14.333333333333334,9.5,14.333333333333334,0.3333333333333333,,,,0.6666666666666666,,0.4800333333333333,25.2,1.0,,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,0.3333333333333333,,,1.0,,,,,,4.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
1627884-1627936-1629632-202696-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Nikola Vucevic, Zach LaVine","Jones Jr., Caruso, White, Vucevic, LaVine",1627884-1627936-1629632-202696-203897,CHI,63.0,1,1.0,-3.0,2,2.0,4,,,,,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,91.42857142857143,,10.0,21.5,10.0,21.5,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,2.0,,1.0,,,,0.5,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
1627884-1627936-1629750-201942-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Javonte Green, DeMar DeRozan, Zach LaVine","Jones Jr., Caruso, Green, DeRozan, LaVine",1627884-1627936-1629750-201942-203897,CHI,117.0,1,2.0,-2.0,3,4.0,7,,2.0,,2.0,2.0,4.0,,2.0,,,,,,,1.0,4.0,2.0,,,,,,,,,0.2,0.16666666666666666,0.4,,1.0,,86.15384615384616,,25.666666666666668,10.0,20.666666666666668,10.0,0.4,,,,0.8,,0.54877,26.95,2.0,1.0,2.0,,1.0,3.0,2.0,1.0,1.0,3.0,,,,1.0,1.0,,1.0,,,0.3333333333333333,,1.0,0.5,0.75,0.5,,1.0,,0.4,0.5,0.5,,2.2666666666666666,1.0,,,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,,0.25,0.2,,0.16666666666666666,0.25,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.57175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
1627884-1627936-1630245-201942-202696,1610612741,"Derrick Jones Jr., Alex Caruso, Ayo Dosunmu, DeMar DeRozan, Nikola Vucevic","Jones Jr., Caruso, Dosunmu, DeRozan, Vucevic",1627884-1627936-1630245-201942-202696,CHI,171.0,1,3.0,5.0,6,6.0,12,2.0,3.0,2.0,3.0,9.0,4.0,6.0,3.0,2.0,2.0,2.0,2.0,6.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,9.0,1.0,0.6666666666666666,0.6666666666666666,0.8,0.9,0.6,0.5,0.75,,101.05263157894737,,10.0,18.5,10.0,17.333333333333332,0.6,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.59997,25.400000000000002,,1.0,2.0,,1.0,2.0,2.0,,2.0,,,,,1.0,1.0,,1.0,1.0,,0.5,,1.0,,,,1.0,1.0,1.0,0.4,0.5,0.5,,2.05,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,0.2,0.5,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
1627884-1627936-1630245-202696-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Ayo Dosunmu, Nikola Vucevic, Zach LaVine","Jones Jr., Caruso, Dosunmu, Vucevic, LaVine",1627884-1627936-1630245-202696-203897,CHI,191.0,1,3.0,-5.0,7,6.0,13,1.0,3.0,1.0,3.0,5.0,10.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,5.0,1.0,0.3333333333333333,0.3333333333333333,0.625,0.625,0.75,,,,98.01047120418849,,13.0,16.666666666666668,13.0,16.666666666666668,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.601525,26.166666666666668,,1.0,1.0,,1.0,1.0,2.0,,,,2.0,,1.0,1.0,3.0,,,,,1.0,0.6666666666666666,,,,,,,,0.25,1.0,1.0,,0.6,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,7.0,0.3333333333333333,1.0,0.625,0.625,0.25,1.0,0.75,0.3333333333333333,0.601525,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
1627884-1627936-201942-202696-203897,1610612741,"Derrick Jones Jr., Alex Caruso, DeMar DeRozan, Nikola Vucevic, Zach LaVine","Jones Jr., Caruso, DeRozan, Vucevic, LaVine",1627884-1627936-201942-202696-203897,CHI,339.0,2,6.0,-2.0,10,12.0,22,1.0,3.0,2.0,5.0,10.0,12.0,6.0,3.0,1.0,2.0,2.0,1.0,6.0,1.0,4.0,5.0,2.0,,,,,8.0,1.0,0.4,0.4,0.5,0.5,0.5,1.0,1.0,1.0,93.45132743362831,,15.2,15.583333333333334,15.2,15.583333333333334,0.3,0.3333333333333333,0.3333333333333333,1.0,0.7,0.3333333333333333,0.540965,25.240000000000002,1.0,1.0,2.0,,2.0,5.0,4.0,,3.0,1.0,,,,1.0,1.0,,2.0,1.0,,0.4,,1.0,,0.16666666666666666,,,1.0,1.0,0.2,0.5,0.5,,5.74,3.0,2.0,,,2.0,1.0,1.0,,,,,1.0,0.3333333333333333,,,0.16666666666666666,0.3,0.2,,,0.2,,,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
1627884-1628396-1628972-1629632-1630172,1610612741,"Derrick Jones Jr., Tony Bradley, Troy Brown Jr., Coby White, Patrick Williams","Jones Jr., Bradley, Brown Jr., White, Williams",1627884-1628396-1628972-1629632-1630172,CHI,100.0,1,2.0,-5.0,4,4.0,8,,,,1.0,,5.0,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,0.3333333333333333,1.0,0.5,,115.19999999999999,,16.5,8.5,16.5,8.25,,,,,0.3333333333333333,,0.4765333333333333,23.1,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,0.3333333333333333,11.8,1.0,1.0,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,2.0,,1.0,,,,,4.0,,,,,,,,,0.4765333333333333,,1.0,,,,,,,,,4.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
1627884-1628396-1628972-1629750-1630245,1610612741,"Derrick Jones Jr., Tony Bradley, Troy Brown Jr., Javonte Green, Ayo Dosunmu","Jones Jr., Bradley, Brown Jr., Green, Dosunmu",1627884-1628396-1628972-1629750-1630245,CHI,148.0,1,2.0,-2.0,5,5.0,10,1.0,2.0,1.0,2.0,6.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,4.0,1.0,0.5,0.5,0.625,0.6,0.5,1.0,0.5,,97.29729729729729,,16.8,12.8,16.8,12.2,0.5,0.5,0.5,1.0,1.0,0.5,0.5348375,27.9,1.0,1.0,2.0,,1.0,2.0,2.0,,,1.0,,,,1.0,1.0,,,,,0.5,,,,0.5,,1.0,,,0.5,0.5,0.5,,1.9,,,1.0,,2.0,1.0,,,,2.0,1.0,1.0,1.0,,,,,,0.2,0.3333333333333333,0.3333333333333333,,,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,0.7351,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.2,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2022,2021-22,True
