EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,Loose Ball Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,AtRimFGA,FG2A,Fouls,Loose Ball Fouls,Offensive Fouls Drawn,RecoveredBlocks,BlocksRecoveredPct,AtRimFrequency,Avg2ptShotDistance,Corner3FGA,Steals,BadPassSteals,Corner3Frequency,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGM,SecondChanceCorner3FGA,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,Corner3Assists,OffTwoPtRebounds,OffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,ShootingFouls,FTA,TwoPtShootingFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,OffThreePtRebounds,Offensive Fouls,BlockedAtRim,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,LongMidRangeFGA,2pt And 1 Free Throw Trips,LongMidRangeFrequency,PenaltyOffPoss,SecondChanceFtPoints,PenaltyFG2A,FTDefRebounds,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,OffLongMidRangeReboundPct,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangeFGM,SecondChanceCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Blocked3s,BlockedArc3,PenaltyPointsExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangeFGM,SecondChanceArc3FGM,PtsAssisted2s,Fg3aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Technical Free Throw Trips,HeaveAttempts,PenaltyCorner3FGM,Charge Fouls Drawn,PenaltyCorner3Accuracy,Travels,BlockedCorner3,SecondChanceAtRimPctAssisted,FTOffRebounds,Charge Fouls,OffFTReboundPct,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,3SecondViolations,OffensiveGoaltends,team_id,year,season,team_vs
1626145-1628415-1628991-1629001-1629634,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., De'Anthony Melton, Brandon Clarke","Jones, Brooks, Jackson Jr., Melton, Clarke",1626145-1628415-1628991-1629001-1629634,MEM,121.0,2,2.0,1.0,5.0,5.0,10.0,1.0,4.0,1.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.25,0.25,0.375,0.375,1.0,1.0,0.6666666666666666,1.0,0.75,0.6666666666666666,1.0,119.00826446280992,13.4,10.8,13.4,10.8,1.0,0.25,0.25,1.0,1.0,0.25,0.5490375,26.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
1626145-1628415-1628991-1629001-1630214,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., De'Anthony Melton, Xavier Tillman","Jones, Brooks, Jackson Jr., Melton, Tillman",1626145-1628415-1628991-1629001-1630214,MEM,163.0,1,3.0,-4.0,5.0,6.0,11.0,,2.0,,2.0,,4.0,,2.0,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,0.5,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,97.17791411042944,16.0,13.833333333333334,16.0,12.166666666666666,0.5,,,,1.0,,0.5398,25.15,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
1626145-1628415-1628991-1629001-1630217,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., De'Anthony Melton, Desmond Bane","Jones, Brooks, Jackson Jr., Melton, Bane",1626145-1628415-1628991-1629001-1630217,MEM,74.0,1,1.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.75,0.75,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.5,116.75675675675676,9.333333333333334,15.333333333333334,9.333333333333334,12.333333333333334,0.5,1.0,1.0,1.0,1.0,1.0,0.595275,25.2,,,,,,1.0,1.0,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
1626145-1628415-1628991-1629001-203500,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., De'Anthony Melton, Steven Adams","Jones, Brooks, Jackson Jr., Melton, Adams",1626145-1628415-1628991-1629001-203500,MEM,409.0,2,7.0,-5.0,15.0,15.0,30.0,1.0,4.0,2.0,8.0,10.0,15.0,6.0,4.0,1.0,2.0,2.0,1.0,6.0,6.0,1.0,7.0,10.0,2.0,1.0,4.0,2.0,,,,,8.0,1.0,0.25,0.25,0.3076923076923077,0.35714285714285715,0.6153846153846154,0.5,1.0,0.8571428571428571,0.875,,1.0,105.62347188264059,14.933333333333334,12.333333333333334,14.2,11.866666666666667,0.3076923076923077,0.25,0.25,1.0,0.7692307692307693,0.25,0.5299576923076923,25.4625,2.0,5.0,1.0,,,,,0.15384615384615385,5.76,4.0,2.0,1.0,0.3076923076923077,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.2,1.0,0.5,0.5,0.2,0.3333333333333333,0.75,0.3,1.0,0.6666666666666666,1.0,0.5,0.5,0.5,0.23076923076923078,0.25,0.25,1.0,0.5,1.0,0.5,0.636575,0.07142857142857142,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
1626145-1628415-1628991-1629630-1629634,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., Ja Morant, Brandon Clarke","Jones, Brooks, Jackson Jr., Morant, Clarke",1626145-1628415-1628991-1629630-1629634,MEM,118.0,1,2.0,5.0,4.0,3.0,7.0,1.0,3.0,1.0,3.0,5.0,,3.0,3.0,1.0,1.0,1.0,1.0,3.0,,2.0,2.0,3.0,,,1.0,,,1.0,,1.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.625,0.625,0.75,,1.0,,1.0,1.0,,85.42372881355932,13.5,21.333333333333332,13.25,21.333333333333332,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.557825,25.633333333333336,1.0,1.0,2.0,,,1.0,1.0,0.25,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,2.0,2.0,2.0,,,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,0.5,,,,,1.0,1.0,,,,,1.0,1.0,,,,,0.4,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
1626145-1628415-1628991-1629630-1630214,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., Ja Morant, Xavier Tillman","Jones, Brooks, Jackson Jr., Morant, Tillman",1626145-1628415-1628991-1629630-1630214,MEM,219.0,2,4.0,12.0,8.0,6.0,14.0,1.0,1.0,3.0,4.0,14.0,2.0,9.0,1.0,1.0,3.0,3.0,1.0,9.0,1.0,3.0,4.0,4.0,,,1.0,1.0,,,,,14.0,1.0,0.75,0.75,0.9285714285714286,1.0,0.5714285714285714,,1.0,1.0,1.0,1.0,,92.05479452054794,12.125,20.333333333333332,12.125,20.333333333333332,0.14285714285714285,1.0,1.0,1.0,0.8571428571428571,1.0,0.5321571428571429,23.65,2.0,3.0,1.0,,,,,0.2857142857142857,8.033333333333333,3.0,,,0.42857142857142855,,2.0,,,,2.0,,2.0,1.0,,,,,4.0,,,2.0,,,,,1.0,,,,,1.0,1.0,0.6666666666666666,,,,,,,,,,,1.0,1.0,1.0,,0.6666666666666666,0.6666666666666666,1.0,,,,,0.14285714285714285,0.3333333333333333,,,1.0,,,,,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
1626145-1628415-1628991-1629630-1630217,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., Ja Morant, Desmond Bane","Jones, Brooks, Jackson Jr., Morant, Bane",1626145-1628415-1628991-1629630-1630217,MEM,193.0,1,3.0,-4.0,6.0,6.0,12.0,,1.0,,1.0,3.0,7.0,,1.0,,,,,,,,1.0,2.0,1.0,,1.0,3.0,,,,,1.0,,,,,0.3,0.3333333333333333,1.0,,,,,,89.53367875647668,16.5,15.666666666666666,16.166666666666668,15.666666666666666,0.3333333333333333,,,,0.3333333333333333,,0.389,24.5,,2.0,1.0,,,,,,19.75,,2.0,2.0,,2.0,,,,,,,,3.0,,,,2.0,,,,,1.0,1.0,,,,1.0,,,1.0,4.0,2.0,,,,1.0,,,1.0,0.5,,,,,,,,,,,,,,,0.4,0.5,0.6666666666666666,,,,,,,2.0,,0.6666666666666666,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.2549,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
1626145-1628415-1628991-1629634-1630217,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., Brandon Clarke, Desmond Bane","Jones, Brooks, Jackson Jr., Clarke, Bane",1626145-1628415-1628991-1629634-1630217,MEM,433.0,2,7.0,4.0,17.0,15.0,32.0,1.0,5.0,2.0,7.0,10.0,6.0,3.0,5.0,1.0,1.0,1.0,,3.0,4.0,7.0,11.0,14.0,1.0,1.0,7.0,3.0,1.0,,,1.0,7.0,0.5,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.38461538461538464,0.5833333333333334,0.14285714285714285,0.7777777777777778,1.0,0.8461538461538461,0.7142857142857143,1.0,106.4203233256351,14.176470588235293,12.8,13.058823529411764,12.333333333333334,0.4166666666666667,0.2,0.2,,0.5833333333333334,0.2,0.4714291666666666,26.02857142857143,,5.0,3.0,,,,,,10.1,2.0,,,0.16666666666666666,3.0,,,,4.0,1.0,1.0,1.0,2.0,,,2.0,3.0,2.0,,1.0,1.0,1.0,3.0,,4.0,6.0,,,1.0,2.0,2.0,1.0,0.2,,0.75,0.75,0.2,0.25,0.25,0.3333333333333333,,0.3333333333333333,1.0,,,,0.3333333333333333,0.5,0.5,1.0,,,0.5,0.5745,0.07692307692307693,0.16666666666666666,0.3,2.0,,,0.4,0.5,1.0,1.0,,0.08333333333333333,5.0,,2.0,,5.0,,,0.4254,0.29411764705882354,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,0.5,0.5,0.5,0.625,0.625,0.25,0.3333333333333333,1.0,1.0,0.5,0.25,0.25,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
1626145-1628415-1628991-1629634-1630533,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., Brandon Clarke, Ziaire Williams","Jones, Brooks, Jackson Jr., Clarke, Williams",1626145-1628415-1628991-1629634-1630533,MEM,77.0,1,1.0,-2.0,2.0,2.0,4.0,,,1.0,1.0,3.0,5.0,3.0,,,1.0,1.0,,3.0,,,,,1.0,,1.0,,,,,,3.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,,,,,,74.8051948051948,16.5,22.0,16.5,18.0,,,,,1.0,,0.4263,23.2,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
1626145-1628415-1628991-1630217-1630533,1610612763,"Tyus Jones, Dillon Brooks, Jaren Jackson Jr., Desmond Bane, Ziaire Williams","Jones, Brooks, Jackson Jr., Bane, Williams",1626145-1628415-1628991-1630217-1630533,MEM,30.0,1,,4.0,2.0,2.0,4.0,,,,,4.0,,,,,,,,,1.0,1.0,2.0,2.0,,,,2.0,1.0,,,,4.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,192.0,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,,4.0,,,,,,2.0,,,,,1.0,,,,,,,,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2022,2021-22,True
