EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyArc3FGA,PenaltyFG3A,AtRimAssists,Steals,LostBallSteals,AtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PlusMinus,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassSteals,DeadBallTurnovers,Travels,ShootingFouls,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffLongMidRangeReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PtsUnassisted3s,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,SecondChanceFg3Pct,AtRimPctBlocked,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Offensive Fouls Drawn,BlockedShortMidRange,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefAtRimReboundPct,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,SecondChanceTurnovers,Offensive Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedArc3,Fg3aBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,Charge Fouls,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,Technical Free Throw Trips,OffensiveGoaltends,BlockedLongMidRange,Clear Path Fouls,Defensive 3 Seconds Violations,Arc3PctBlocked,team_id,year,season,team_vs
1628389-1628997-1629130-1629216-1629639,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Tyler Herro","Adebayo, Martin, Robinson, Vincent, Herro",1628389-1628997-1629130-1629216-1629639,MIA,499.0,2,8.0,15.0,14.0,6.0,5.0,5.0,29,2.0,4.0,2.0,3.0,2.0,3.0,9.0,1.0,3.0,1.0,1.0,6.0,16.0,2.0,4.0,16.0,16.0,3.0,5.0,1.0,7.0,1.0,8.0,2.0,4.0,4.0,8.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,1.0,6.0,5.0,11.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,9.0,4.0,6.0,1.0,1.0,0.3333333333333333,0.5,0.375,0.6,0.125,0.3333333333333333,0.6,0.125,0.42105263157894735,0.7,0.2222222222222222,0.1111111111111111,0.0625,0.1111111111111111,1.0,1.0,1.0,0.5,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.5,0.6666666666666666,1.0,1.0,0.5,1.0,0.18181818181818182,83.687374749499,18.733333333333334,15.571428571428571,18.0,15.428571428571429,0.2222222222222222,0.5,0.5,0.5,0.3333333333333333,0.375,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.05555555555555555,0.05555555555555555,0.6,0.6666666666666666,0.25,0.3333333333333333,0.4542722222222222,0.50684,0.442175,0.1111111111111111,0.125,0.4375,0.25,9.03125,25.25,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
1628389-1628997-1629130-1629216-202710,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Jimmy Butler","Adebayo, Martin, Robinson, Vincent, Butler",1628389-1628997-1629130-1629216-202710,MIA,100.0,1,2.0,5.0,4.0,5.0,,,9,1.0,1.0,,,1.0,,2.0,,,,1.0,1.0,3.0,1.0,2.0,4.0,4.0,,,,,1.0,3.0,2.0,4.0,2.0,,,1.0,,1.0,1.0,,,2.0,,,1.0,,1.0,,1.0,,,,,,,1.0,2.0,,,1.0,4.0,4.0,5.0,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.25,,0.25,0.4,,0.4,0.25,,,,,0.5,,,0.5,,,,0.5,,,,,129.6,7.8,15.25,7.8,14.0,0.25,1.0,1.0,0.5,,,,,,,,,0.25,,,0.25,0.5,0.3931125,,0.3931125,,,,1.0,6.266666666666667,26.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
1628389-1628997-1629130-1629216-203506,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Gabe Vincent, Victor Oladipo","Adebayo, Martin, Robinson, Vincent, Oladipo",1628389-1628997-1629130-1629216-203506,MIA,917.0,3,15.0,30.0,29.0,,5.0,2.0,59,2.0,9.0,1.0,4.0,,1.0,4.0,1.0,3.0,3.0,11.0,4.0,16.0,14.0,2.0,19.0,27.0,1.0,5.0,,2.0,,,,,2.0,6.0,2.0,11.0,,1.0,4.0,,1.0,11.0,5.0,8.0,4.0,1.0,13.0,5.0,18.0,2.0,3.0,3.0,4.0,4.0,,5.0,2.0,,1.0,,17.0,,,,,0.25,0.3333333333333333,0.25,0.2,,0.2833333333333333,0.2,,0.3064516129032258,0.2,,0.4666666666666667,,,0.75,1.0,0.8,0.4166666666666667,0.8888888888888888,0.8571428571428571,0.22727272727272727,0.42857142857142855,0.3333333333333333,1.0,,0.875,1.0,0.09090909090909091,92.64994547437296,17.733333333333334,13.275862068965518,17.066666666666666,13.10344827586207,0.3,0.2222222222222222,0.2222222222222222,0.13333333333333333,0.25,0.25,,0.1,0.3333333333333333,0.3333333333333333,1.0,0.1,0.36666666666666664,0.8,0.25,,0.7666666666666667,0.49973833333333334,0.53634,,0.03225806451612903,0.058823529411764705,0.10526315789473684,,5.88125,26.314285714285713,,,,,,3.0,2.0,,,,-8.0,3.0,3.0,9.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.5,0.5,0.2727272727272727,0.2727272727272727,1.0,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
1628389-1628997-1629130-1629639-202710,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Tyler Herro, Jimmy Butler","Adebayo, Martin, Robinson, Herro, Butler",1628389-1628997-1629130-1629639-202710,MIA,217.0,1,4.0,5.0,4.0,,,1.0,9,2.0,2.0,1.0,1.0,,,1.0,,,2.0,1.0,2.0,3.0,3.0,1.0,8.0,2.0,1.0,1.0,1.0,3.0,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,,,2.0,,2.0,1.0,,3.0,1.0,4.0,,,,,,,2.0,1.0,1.0,1.0,,5.0,,,,,0.5,1.0,0.6666666666666666,1.0,,0.5833333333333334,1.0,,0.6666666666666666,1.5,,0.5,,,,,0.5,,1.0,0.75,0.3333333333333333,,,0.5,,1.0,1.0,,59.723502304147466,22.6,26.0,22.6,26.0,0.3333333333333333,1.0,1.0,0.16666666666666666,,,,,,,,0.3333333333333333,0.16666666666666666,1.0,1.0,,0.8333333333333334,0.5490499999999999,,,0.16666666666666666,0.3333333333333333,0.375,,3.766666666666667,23.7,,,,,1.0,,,0.5,,,6.0,1.0,1.0,,1.0,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,1.0,,1.0,3.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
1628389-1628997-1629130-1629639-203506,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Tyler Herro, Victor Oladipo","Adebayo, Martin, Robinson, Herro, Oladipo",1628389-1628997-1629130-1629639-203506,MIA,402.0,3,7.0,12.0,12.0,2.0,3.0,4.0,24,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,8.0,4.0,3.0,14.0,10.0,2.0,3.0,1.0,8.0,2.0,2.0,,4.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,,5.0,3.0,3.0,,2.0,5.0,4.0,9.0,,2.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,2.0,,6.0,4.0,2.0,,,0.25,0.3333333333333333,0.5,0.6666666666666666,1.0,0.4583333333333333,0.875,1.0,0.5384615384615384,1.0,1.0,0.3333333333333333,0.125,,0.6666666666666666,1.0,,0.75,1.0,0.75,0.5714285714285714,1.0,1.0,,,1.0,1.0,,85.97014925373134,17.666666666666668,15.833333333333334,16.166666666666668,14.833333333333334,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.5,0.5,1.0,0.16666666666666666,0.5,0.5,,0.25,0.08333333333333333,0.25,1.0,0.5,0.6666666666666666,0.5199291666666667,0.42829999999999996,0.62185,0.15384615384615385,0.2222222222222222,0.5714285714285714,0.2857142857142857,7.525,24.975,0.16666666666666666,1.0,,,,3.0,2.0,,1.0,,4.0,,1.0,3.0,,1.0,,1.0,1.0,,2.0,,,,,,,1.0,0.25,0.25,,,,,,,,1.0,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
1628389-1628997-1629130-200768-202710,1610612748,"Bam Adebayo, Caleb Martin, Duncan Robinson, Kyle Lowry, Jimmy Butler","Adebayo, Martin, Robinson, Lowry, Butler",1628389-1628997-1629130-200768-202710,MIA,185.0,1,3.0,6.0,7.0,,,,13,1.0,1.0,,,,1.0,2.0,,,,1.0,2.0,3.0,1.0,1.0,5.0,7.0,,,,,,,,,4.0,,,1.0,,2.0,2.0,1.0,,4.0,,2.0,,,2.0,,2.0,,2.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,,5.0,,,,,1.0,1.0,0.6666666666666666,,,0.5,,,0.625,,,0.25,,,1.0,,,,1.0,0.6666666666666666,,,,,,1.0,,,101.18918918918918,14.166666666666666,14.285714285714286,14.166666666666666,14.0,0.25,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,0.25,,,,0.5,0.5622,,,0.25,0.3333333333333333,,,5.366666666666667,26.8,,,,,1.0,,,1.0,,,-2.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
1628389-1628997-1629216-1629622-1629639,1610612748,"Bam Adebayo, Caleb Martin, Gabe Vincent, Max Strus, Tyler Herro","Adebayo, Martin, Vincent, Strus, Herro",1628389-1628997-1629216-1629622-1629639,MIA,222.0,2,4.0,7.0,8.0,,,,15,1.0,1.0,,,,1.0,1.0,,,,3.0,2.0,2.0,3.0,1.0,8.0,4.0,,,,,,,,,,4.0,,3.0,,,1.0,,,3.0,,2.0,1.0,,3.0,,3.0,,1.0,,1.0,3.0,,4.0,3.0,,1.0,,8.0,,,,,,,1.0,,,0.7,,,0.6666666666666666,,,0.6,,,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,97.29729729729729,16.428571428571427,13.375,16.428571428571427,13.375,0.2,1.0,1.0,0.2,1.0,1.0,,,,,,,0.6,,,,0.8,0.4931,,,0.3333333333333333,0.3333333333333333,,,7.25,25.2,,,,,,1.0,,,,,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
1628389-1628997-1629216-1629622-202710,1610612748,"Bam Adebayo, Caleb Martin, Gabe Vincent, Max Strus, Jimmy Butler","Adebayo, Martin, Vincent, Strus, Butler",1628389-1628997-1629216-1629622-202710,MIA,291.0,3,5.0,6.0,8.0,2.0,,,14,,,,,,2.0,2.0,,,2.0,1.0,2.0,2.0,3.0,2.0,12.0,10.0,,,,,1.0,1.0,2.0,4.0,,4.0,,1.0,,,2.0,,,6.0,,1.0,3.0,,4.0,,4.0,,,,,1.0,1.0,2.0,2.0,,1.0,,12.0,4.0,2.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,0.6,,,,,0.3333333333333333,,1.0,0.4,,,,0.5,,1.0,,,69.27835051546393,23.333333333333332,18.875,23.333333333333332,13.625,,,,0.4,1.0,1.0,,,,,,0.4,0.2,,,,0.6,0.49268,,0.3869,0.16666666666666666,0.3333333333333333,,0.3333333333333333,11.3,24.866666666666664,0.3333333333333333,,,,,,,,,,2.0,1.0,2.0,6.0,1.0,2.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,0.6666666666666666,0.6666666666666666,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,0.5,0.5,1.0,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
1628389-1628997-1629216-1629622-203506,1610612748,"Bam Adebayo, Caleb Martin, Gabe Vincent, Max Strus, Victor Oladipo","Adebayo, Martin, Vincent, Strus, Oladipo",1628389-1628997-1629216-1629622-203506,MIA,128.0,2,2.0,5.0,6.0,3.0,6.0,,11,1.0,1.0,,,1.0,,,1.0,1.0,,,2.0,2.0,,2.0,6.0,3.0,,,,,2.0,2.0,,4.0,2.0,2.0,,,,1.0,1.0,,,2.0,,,4.0,,4.0,,4.0,,1.0,1.0,2.0,1.0,,1.0,2.0,,1.0,,6.0,4.0,3.0,,,0.5,0.5,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,0.5,,1.0,,,0.6666666666666666,,,,1.0,1.0,,,,123.75,8.2,14.5,8.2,11.0,0.5,1.0,1.0,,,,,0.5,1.0,1.0,,,,,,0.5,0.5,0.41105,,0.41105,0.3333333333333333,0.3333333333333333,,0.6666666666666666,10.0,,0.6,1.0,,,1.0,1.0,,1.0,1.0,,3.0,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
1628389-1628997-1629216-1629639-200768,1610612748,"Bam Adebayo, Caleb Martin, Gabe Vincent, Tyler Herro, Kyle Lowry","Adebayo, Martin, Vincent, Herro, Lowry",1628389-1628997-1629216-1629639-200768,MIA,45.0,1,1.0,1.0,2.0,,1.0,,3,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,96.0,7.0,19.0,7.0,19.0,,,,,,,,1.0,1.0,1.0,,,,,,,,0.3692,,,,,,,20.1,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2022,2021-22,True
